
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.07,28.46,19.52,0.69,2.28
2024,2,1.0,28.54,19.69,1.78,2.47
2024,3,1.11,28.39,19.7,1.58,2.93
2024,4,1.02,28.42,19.66,1.1,2.43
2024,5,1.04,28.15,19.75,1.38,2.47
2024,6,1.06,27.92,19.89,2.79,2.1
2024,7,1.03,28.06,19.51,2.02,1.77
2024,8,1.04,28.28,20.22,4.2,2.49
2024,9,0.95,28.24,20.34,8.65,2.94
2024,10,1.19,28.24,19.96,6.68,3.14
2024,11,1.19,28.91,18.42,0.55,2.5
2024,12,1.09,28.37,19.46,0.3,2.23
2024,13,1.05,28.23,19.92,0.49,2.65
2024,14,1.02,28.23,19.71,0.29,2.2
2024,15,0.98,28.38,19.63,0.93,2.62
2024,16,0.99,28.24,19.06,0.24,2.61
2024,17,1.06,27.77,17.93,0.08,2.01
2024,18,1.14,27.66,18.33,0.01,1.74
2024,19,0.92,27.89,17.87,0.01,1.81
2024,20,0.98,28.28,18.64,0.08,2.0
2024,21,1.12,28.79,19.05,0.56,2.15
2024,22,1.22,28.16,19.37,0.96,2.83
2024,23,1.12,28.0,19.6,1.07,3.08
2024,24,1.14,28.11,19.43,0.94,2.1
2024,25,1.0,28.26,19.09,1.16,1.4
2024,26,1.05,28.55,15.66,0.24,1.99
2024,27,1.11,28.56,15.28,0.02,1.55
2024,28,1.03,28.33,16.55,0.0,1.51
2024,29,0.88,27.96,17.65,0.0,1.95
2024,30,0.92,27.95,18.36,0.03,2.02
2024,31,0.84,28.19,19.36,0.06,2.53
2024,32,0.8,27.96,19.65,0.22,2.76
2024,33,0.78,28.85,19.09,0.13,2.18
2024,34,0.88,27.81,19.86,0.14,1.38
2024,35,0.79,27.55,19.36,0.1,1.56
2024,36,0.82,27.74,19.29,0.05,1.66
2024,37,0.97,27.76,18.93,0.01,1.45
2024,38,0.89,27.48,18.05,0.0,1.62
2024,39,0.99,27.61,19.24,0.0,2.05
2024,40,0.93,28.26,19.52,0.01,2.59
2024,41,0.94,28.46,20.1,0.38,2.64
2024,42,0.99,28.63,20.48,1.29,2.58
2024,43,0.96,28.31,20.84,2.21,2.42
2024,44,0.98,28.97,21.21,2.23,2.94
2024,45,1.11,29.42,21.29,2.0,3.22
2024,46,1.04,29.33,21.22,5.89,3.17
2024,47,1.02,28.87,20.58,1.53,2.87
2024,48,0.97,28.94,19.89,1.42,2.92
2024,49,1.15,28.82,19.94,1.47,2.7
2024,50,1.12,28.69,20.12,2.81,2.67
2024,51,0.96,28.73,20.08,3.41,2.5
2024,52,1.12,28.57,20.55,5.57,2.68
2024,53,1.0,28.5,20.39,8.35,3.09
2024,54,1.07,28.53,20.05,2.78,3.22
2024,55,1.11,28.59,20.01,1.51,2.45
2024,56,1.06,28.44,19.61,0.55,2.53
2024,57,1.18,28.33,19.97,0.72,2.54
2024,58,1.14,28.56,20.29,0.96,2.52
2024,59,1.11,28.84,20.1,0.72,3.23
2024,60,1.11,28.71,20.0,0.82,3.9
2024,61,0.88,28.53,19.23,1.35,3.69
2024,62,1.24,28.33,20.11,21.87,3.31
2024,63,0.55,27.64,20.21,16.09,2.57
2024,64,1.22,28.21,19.13,3.77,2.21
2024,65,1.25,28.12,20.09,7.15,3.48
2024,66,1.06,28.06,20.33,13.31,3.72
2024,67,0.76,27.8,20.05,0.96,3.31
2024,68,1.26,27.73,19.97,0.7,3.18
2024,69,0.78,27.77,20.06,0.98,2.7
2024,70,1.34,28.16,20.46,0.34,2.34
2024,71,1.37,28.51,20.69,0.85,3.02
2024,72,1.24,28.3,20.5,13.66,3.67
2024,73,1.2,28.34,20.65,8.0,3.44
2024,74,1.23,28.42,20.94,15.52,3.3
2024,75,1.38,28.28,20.17,3.11,2.15
2024,76,1.37,28.49,20.34,5.04,2.79
2024,77,1.23,28.64,21.19,10.11,2.5
2024,78,1.24,28.43,21.19,19.89,2.49
2024,79,0.97,28.27,21.16,27.67,2.4
2024,80,0.96,28.43,20.05,5.67,2.69
2024,81,1.14,28.69,20.83,9.05,2.8
2024,82,0.71,28.47,20.08,1.78,3.16
2024,83,0.89,27.86,20.07,1.92,3.2
2024,84,1.32,28.09,19.41,0.39,2.77
2024,85,1.29,28.6,20.75,0.92,2.86
2024,86,1.4,28.5,20.9,2.2,2.67
2024,87,1.4,29.01,20.8,2.21,2.19
2024,88,1.18,29.34,21.38,4.43,2.94
2024,89,1.2,28.83,21.17,5.65,3.87
2024,90,1.23,28.91,21.12,3.19,3.52
2024,91,1.31,28.95,21.29,4.12,3.06
2024,92,1.16,28.95,21.22,2.79,2.88
2024,93,1.2,28.6,21.31,5.06,2.71
2024,94,0.75,28.45,21.32,6.54,3.13
2024,95,1.34,28.8,20.92,3.26,2.82
2024,96,1.16,28.69,21.42,8.62,3.4
2024,97,1.12,28.34,20.83,7.97,3.01
2024,98,1.43,28.23,20.81,2.9,2.7
2024,99,0.64,28.15,20.77,12.06,2.94
2024,100,1.39,28.34,20.26,2.07,2.25
2024,101,1.45,28.52,20.36,4.17,1.75
2024,102,0.87,28.73,20.41,2.73,2.83
2024,103,1.19,28.74,20.52,0.99,2.81
2024,104,1.3,28.8,20.21,1.15,3.11
2024,105,1.15,28.64,19.87,2.07,1.65
2024,106,1.26,28.85,20.57,1.7,2.11
2024,107,0.51,28.53,20.68,3.38,2.33
2024,108,1.29,28.3,20.85,1.99,3.04
2024,109,1.18,28.8,20.17,0.87,2.48
2024,110,1.23,28.72,21.76,3.41,2.84
2024,111,1.35,28.97,21.21,1.89,2.46
2024,112,1.33,28.96,21.42,11.22,3.02
2024,113,1.24,28.82,20.86,5.07,3.28
2024,114,0.86,28.51,20.86,22.63,3.0
2024,115,1.4,28.54,20.88,4.16,2.52
2024,116,1.29,28.61,21.01,5.13,2.99
2024,117,1.25,28.93,21.26,5.51,2.93
2024,118,1.23,28.95,21.18,3.06,2.17
2024,119,1.05,28.84,21.47,3.8,3.01
2024,120,1.02,28.44,20.58,8.89,3.03
2024,121,1.3,29.07,20.76,6.86,2.19
2024,122,0.39,28.13,20.79,19.3,3.18
2024,123,1.17,28.03,19.77,0.15,2.81
2024,124,1.29,28.35,19.69,1.02,2.65
2024,125,1.31,29.15,19.9,0.85,2.02
2024,126,1.37,28.86,21.35,1.48,2.61
2024,127,0.65,28.55,21.31,28.48,2.34
2024,128,1.18,27.94,20.52,3.37,2.09
2024,129,1.31,28.37,20.36,1.57,2.42
2024,130,0.94,28.61,20.87,2.53,2.41
2024,131,0.93,28.61,21.03,4.74,2.72
2024,132,1.01,28.55,21.08,16.23,2.3
2024,133,1.02,27.92,20.76,11.16,2.33
2024,134,0.76,28.03,19.51,8.46,1.72
2024,135,1.18,28.31,19.55,1.53,1.66
2024,136,1.16,28.67,20.7,11.81,2.12
2024,137,0.84,27.58,20.74,18.55,1.7
2024,138,1.1,27.98,20.45,2.72,2.7
2024,139,0.72,28.2,20.4,3.16,2.9
2024,140,1.29,28.41,20.88,3.92,2.75
2024,141,1.24,28.64,21.17,6.65,2.58
2024,142,1.24,28.32,21.55,13.68,2.86
2024,143,0.6,28.01,20.89,18.44,2.83
2024,144,1.12,27.54,20.14,12.89,2.4
2024,145,1.28,28.06,20.01,7.96,2.86
2024,146,0.34,27.57,19.73,17.02,2.99
2024,147,1.11,27.71,19.51,2.48,2.45
2024,148,1.38,27.94,19.36,0.28,2.29
2024,149,1.18,28.0,20.23,0.99,3.08
2024,150,1.22,28.14,20.45,1.48,3.0
2024,151,1.32,28.1,20.57,5.59,3.04
2024,152,1.01,27.92,20.57,6.33,3.66
2024,153,1.11,27.73,20.14,11.33,2.49
2024,154,0.62,27.0,19.88,10.99,2.99
2024,155,0.93,26.97,19.51,3.02,2.67
2024,156,1.11,27.16,19.71,5.23,3.08
2024,157,1.12,27.25,20.25,11.1,2.87
2024,158,1.05,26.95,19.67,17.74,3.38
2024,159,1.01,26.78,19.09,34.4,2.16
2024,160,1.11,27.08,19.1,3.11,2.51
2024,161,0.78,26.91,19.72,16.59,3.17
2024,162,0.92,26.8,19.65,10.44,3.16
2024,163,0.84,26.96,19.27,13.12,3.27
2024,164,0.99,27.06,19.18,1.78,2.52
2024,165,0.9,27.03,19.35,14.94,3.34
2024,166,0.73,26.54,19.36,17.94,3.58
2024,167,0.76,25.94,18.87,7.96,2.79
2024,168,1.03,26.25,18.64,2.91,2.0
2024,169,1.14,26.81,18.87,0.43,1.78
2024,170,1.05,26.93,19.4,0.92,2.3
2024,171,1.12,26.72,19.76,1.07,3.2
2024,172,0.96,26.57,19.52,5.56,3.4
2024,173,1.01,26.13,19.09,7.55,2.27
2024,174,1.2,26.19,19.08,3.48,2.15
2024,175,0.99,26.17,18.92,2.07,2.18
2024,176,1.13,26.44,19.41,4.65,2.41
2024,177,0.79,26.28,19.43,14.36,2.77
2024,178,0.82,25.74,19.09,15.16,2.83
2024,179,0.94,26.07,18.75,1.81,2.47
2024,180,0.79,25.95,19.04,9.46,2.77
2024,181,0.87,25.75,19.08,13.07,2.69
2024,182,0.88,25.69,19.08,8.15,2.88
2024,183,1.19,25.64,18.61,2.26,1.9
2024,184,1.06,26.04,18.69,4.64,3.32
2024,185,0.37,25.64,18.6,7.5,3.86
2024,186,0.98,25.62,18.38,4.91,2.94
2024,187,0.93,25.69,18.55,2.19,2.48
2024,188,1.0,25.61,18.78,1.34,2.67
2024,189,0.93,25.71,18.85,3.24,3.2
2024,190,0.88,25.26,18.39,5.55,2.9
2024,191,0.82,25.41,18.07,4.72,3.19
2024,192,0.83,25.32,17.81,1.15,3.15
2024,193,0.85,25.19,17.91,0.66,2.96
2024,194,0.85,25.09,18.01,1.81,3.33
2024,195,0.76,24.89,17.69,0.65,3.04
2024,196,0.78,24.81,17.49,0.72,3.02
2024,197,0.92,24.72,17.68,1.73,3.41
2024,198,0.78,24.72,17.75,0.77,2.94
2024,199,0.82,24.66,17.63,0.93,3.29
2024,200,0.89,24.74,17.74,1.08,3.33
2024,201,0.77,24.78,17.84,0.78,3.1
2024,202,0.76,24.63,17.88,1.03,4.07
2024,203,0.72,24.61,17.45,0.59,3.43
2024,204,1.08,24.57,17.16,0.25,3.01
2024,205,1.01,24.59,17.34,0.55,2.7
2024,206,0.95,24.56,17.43,0.24,2.61
2024,207,0.93,24.53,17.47,0.39,3.26
2024,208,0.9,24.5,17.42,0.3,2.94
2024,209,0.83,24.64,17.47,0.31,3.02
2024,210,0.89,24.49,17.55,0.37,3.36
2024,211,0.73,24.42,17.35,0.44,3.37
2024,212,0.77,24.6,17.02,0.42,3.25
2024,213,0.94,24.6,17.19,1.42,3.48
2024,214,0.63,24.5,17.3,1.75,3.86
2024,215,0.86,24.51,16.91,0.78,3.28
2024,216,1.04,24.73,17.0,0.21,2.89
2024,217,1.12,24.6,16.79,0.08,2.67
2024,218,1.07,24.55,16.7,0.09,3.4
2024,219,0.88,24.41,16.8,0.1,3.54
2024,220,0.81,24.36,16.68,0.27,3.66
2024,221,0.86,24.43,16.58,0.07,3.52
2024,222,0.84,24.3,16.82,0.17,2.7
2024,223,1.06,24.36,17.04,0.11,2.9
2024,224,0.79,24.64,17.16,0.23,3.3
2024,225,0.73,24.8,17.48,0.59,3.7
2024,226,0.82,24.96,17.84,0.87,4.06
2024,227,0.99,24.92,17.6,0.42,3.37
2024,228,0.8,24.69,17.11,0.18,3.23
2024,229,0.73,24.45,16.98,0.04,3.53
2024,230,0.67,24.34,17.21,1.58,3.39
2024,231,0.98,24.45,17.05,0.2,2.52
2024,232,0.85,24.46,17.18,0.57,3.39
2024,233,0.87,24.21,17.46,12.84,3.57
2024,234,0.96,24.4,17.35,0.83,2.36
2024,235,1.02,24.52,17.52,3.13,3.04
2024,236,0.66,24.11,17.42,2.41,4.26
2024,237,0.74,24.35,17.4,1.33,2.8
2024,238,0.7,24.5,17.19,0.69,1.99
2024,239,0.73,24.34,17.5,1.48,3.37
2024,240,0.61,24.43,17.51,0.67,3.55
2024,241,0.62,24.4,17.39,0.62,2.63
2024,242,0.86,24.43,17.1,0.22,2.62
2024,243,0.81,24.15,16.97,0.65,3.5
2024,244,0.79,23.75,16.71,0.73,3.06
2024,245,0.77,23.93,16.52,0.44,2.75
2024,246,1.09,24.2,16.74,0.18,2.6
2024,247,1.04,24.28,16.96,0.23,2.83
2024,248,1.22,24.67,16.99,0.21,3.22
2024,249,1.35,24.66,16.61,0.08,2.95
2024,250,1.22,24.76,16.6,0.02,3.13
2024,251,1.11,24.73,16.84,0.31,2.91
2024,252,1.13,24.95,16.99,1.18,3.11
2024,253,1.33,25.16,17.09,0.3,2.65
2024,254,1.03,25.32,17.83,1.27,3.49
2024,255,0.89,25.22,18.17,3.95,3.52
2024,256,0.96,25.41,17.97,2.12,2.99
2024,257,1.07,25.51,17.93,1.57,3.05
2024,258,0.8,25.4,17.99,3.45,3.15
2024,259,1.05,25.43,17.81,1.32,3.37
2024,260,1.1,25.67,17.77,0.85,3.22
2024,261,1.21,25.49,18.03,7.48,3.58
2024,262,1.01,25.3,18.0,2.21,3.66
2024,263,1.17,25.07,17.53,0.39,3.18
2024,264,1.15,25.36,17.64,0.24,2.46
2024,265,1.09,25.76,17.98,0.23,2.52
2024,266,0.93,25.96,18.38,1.64,3.49
2024,267,1.18,25.67,18.25,16.8,3.29
2024,268,1.27,25.84,18.05,1.8,2.75
2024,269,0.69,25.81,18.31,5.14,2.72
2024,270,1.04,25.69,18.1,2.78,2.49
2024,271,1.32,26.11,18.27,2.1,2.83
2024,272,1.12,25.91,18.38,5.7,3.01
2024,273,1.05,26.32,18.17,1.98,2.5
2024,274,1.15,26.19,18.0,1.58,2.77
2024,275,1.02,26.32,18.25,1.88,3.17
2024,276,1.19,26.47,18.5,3.49,3.03
2024,277,1.0,26.48,18.64,3.62,3.44
2024,278,1.07,26.0,18.77,14.1,3.65
2024,279,1.05,25.92,18.79,9.85,3.5
2024,280,1.15,25.66,18.58,18.88,2.94
2024,281,1.26,26.08,18.58,3.58,2.74
2024,282,0.97,26.19,18.59,10.22,1.74
2024,283,1.23,25.67,18.17,19.56,1.69
2024,284,1.25,26.16,18.04,1.28,1.55
2024,285,1.17,26.36,18.74,7.17,2.55
2024,286,1.08,26.6,19.4,15.77,2.45
2024,287,0.47,25.94,19.49,16.25,2.27
2024,288,1.14,25.9,18.84,8.18,2.93
2024,289,1.3,26.19,18.75,4.25,2.34
2024,290,1.33,26.42,18.76,3.99,2.11
2024,291,0.74,25.74,18.94,15.36,2.52
2024,292,1.17,26.06,18.46,5.85,2.12
2024,293,1.2,26.49,18.74,8.18,2.62
2024,294,1.16,26.35,18.86,6.76,3.07
2024,295,1.2,26.67,19.01,2.55,2.7
2024,296,1.19,26.78,19.08,5.03,2.51
2024,297,1.11,26.73,19.26,11.79,2.45
2024,298,1.22,26.99,19.42,3.52,2.4
2024,299,1.15,26.82,19.57,9.8,2.53
2024,300,1.04,26.77,19.08,10.22,1.08
2024,301,1.15,26.91,19.18,11.05,1.55
2024,302,1.19,26.7,19.73,12.7,2.7
2024,303,0.62,26.72,19.58,12.71,2.41
2024,304,1.22,26.75,19.47,4.09,1.94
2024,305,1.27,26.92,19.36,4.25,1.76
2024,306,1.21,27.02,19.38,4.98,1.93
2024,307,1.29,27.04,19.77,3.0,2.61
2024,308,1.19,26.91,19.45,4.42,2.02
2024,309,1.15,27.31,19.34,2.27,1.47
2024,310,1.21,27.37,19.14,0.81,1.37
2024,311,1.22,27.4,18.97,1.64,2.01
2024,312,1.0,27.39,19.33,3.48,1.76
2024,313,0.97,27.26,19.6,4.25,2.24
2024,314,1.14,26.75,19.64,5.88,2.87
2024,315,1.12,26.9,19.05,2.47,2.24
2024,316,1.11,27.41,18.44,1.56,1.58
2024,317,1.11,27.4,19.37,2.79,1.53
2024,318,1.17,27.47,19.79,1.78,2.12
2024,319,1.09,27.38,20.06,5.42,2.67
2024,320,1.0,27.13,19.13,3.95,2.38
2024,321,1.13,27.24,19.42,1.32,1.92
2024,322,1.26,27.28,19.07,1.8,1.96
2024,323,1.16,27.37,19.06,0.02,1.97
2024,324,1.11,27.4,18.54,0.78,1.63
2024,325,1.14,27.68,19.13,1.44,1.93
2024,326,1.07,27.58,19.99,1.4,2.51
2024,327,1.17,27.58,19.31,0.94,2.33
2024,328,1.02,27.38,19.26,1.33,2.09
2024,329,1.14,27.39,18.73,0.21,1.35
2024,330,1.12,27.57,18.63,0.21,1.84
2024,331,1.16,27.22,19.14,0.65,2.4
2024,332,1.11,27.3,19.04,0.35,2.12
2024,333,1.15,27.38,18.58,0.2,1.55
2024,334,1.07,27.62,18.04,0.04,1.53
2024,335,1.04,27.81,17.46,0.02,1.59
2024,336,0.94,27.72,15.88,0.01,1.35
2024,337,0.95,27.02,17.06,0.22,2.3
2024,338,1.04,27.45,18.82,0.49,2.48
2024,339,1.07,27.05,19.08,0.88,2.31
2024,340,1.06,27.57,18.7,0.63,2.14
2024,341,1.06,27.53,18.4,0.53,2.08
2024,342,0.98,28.08,18.39,0.36,1.75
2024,343,1.01,27.52,18.97,0.74,1.71
2024,344,0.93,27.74,19.15,0.64,1.85
2024,345,1.05,27.44,18.15,0.3,1.75
2024,346,0.78,27.4,18.81,0.45,2.74
2024,347,1.05,27.62,19.41,0.23,2.49
2024,348,1.08,27.67,18.99,0.29,1.96
2024,349,1.08,27.84,18.99,0.14,1.65
2024,350,1.11,28.18,18.46,0.05,1.73
