YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.11,7.54,5.8,6.84,6.74
2024,2,0.08,9.64,7.12,23.61,7.75
2024,3,0.1,8.62,6.51,9.07,6.4
2024,4,0.1,5.99,5.39,8.85,2.78
2024,5,0.08,6.38,5.77,4.06,3.66
2024,6,0.07,2.99,4.21,0.42,4.95
2024,7,0.13,-0.03,3.22,0.26,5.38
2024,8,0.11,-1.06,2.82,0.01,5.99
2024,9,0.17,-2.68,2.42,0.0,5.65
2024,10,0.17,-4.12,2.31,0.0,4.5
2024,11,0.12,-0.73,3.58,0.11,2.26
2024,12,0.13,2.48,4.22,0.44,2.12
2024,13,0.12,3.47,4.54,1.25,3.8
2024,14,0.13,3.35,4.43,2.93,4.07
2024,15,0.15,2.6,3.85,3.65,6.15
2024,16,0.16,1.49,3.53,0.71,4.46
2024,17,0.12,-0.1,3.4,0.32,3.38
2024,18,0.19,0.9,3.45,0.12,2.75
2024,19,0.17,2.07,3.68,0.34,3.94
2024,20,0.17,0.54,3.45,0.01,5.78
2024,21,0.1,2.03,4.02,0.66,8.63
2024,22,0.21,8.16,5.95,3.67,9.46
2024,23,0.21,7.17,5.63,4.09,7.88
2024,24,0.22,8.6,5.77,0.44,9.38
2024,25,0.19,5.91,5.55,0.83,3.47
2024,26,0.21,7.09,5.57,4.41,6.68
2024,27,0.25,4.01,4.74,0.01,3.79
2024,28,0.25,3.42,4.21,0.0,4.63
2024,29,0.21,5.24,5.28,0.12,3.53
2024,30,0.16,6.68,5.7,0.61,4.75
2024,31,0.15,4.99,4.84,3.72,5.02
2024,32,0.28,5.63,5.13,0.15,3.96
2024,33,0.18,6.66,5.75,0.2,5.96
2024,34,0.2,8.06,6.35,1.75,5.45
2024,35,0.23,8.15,6.3,1.12,6.77
2024,36,0.23,7.75,6.03,0.27,8.22
2024,37,0.2,8.51,6.44,12.67,8.86
2024,38,0.3,4.75,4.42,1.77,1.63
2024,39,0.16,2.58,4.26,11.7,3.62
2024,40,0.22,8.73,6.8,6.52,4.8
2024,41,0.27,8.31,6.68,0.48,2.71
2024,42,0.22,7.47,6.21,2.83,2.99
2024,43,0.27,5.77,5.37,0.28,3.11
2024,44,0.32,5.81,5.29,4.05,5.19
2024,45,0.19,9.24,6.91,5.11,6.0
2024,46,0.24,10.49,7.45,3.59,4.29
2024,47,0.22,8.85,6.76,1.65,3.7
2024,48,0.25,8.0,6.2,0.24,2.02
2024,49,0.12,7.81,6.18,17.5,5.83
2024,50,0.2,7.74,6.12,2.76,4.45
2024,51,0.33,7.63,6.01,0.23,4.89
2024,52,0.23,7.9,6.21,7.46,6.36
2024,53,0.26,8.91,6.86,12.53,6.6
2024,54,0.31,5.59,5.22,2.54,6.56
2024,55,0.25,4.69,5.0,5.49,4.75
2024,56,0.34,5.71,5.14,1.87,3.44
2024,57,0.28,4.89,4.88,0.55,6.99
2024,58,0.46,4.65,4.44,0.01,2.42
2024,59,0.34,6.47,5.55,0.16,3.89
2024,60,0.26,6.64,5.76,9.54,6.24
2024,61,0.42,7.57,5.74,2.44,5.96
2024,62,0.54,8.36,5.82,1.59,5.8
2024,63,0.41,9.17,6.44,0.27,2.89
2024,64,0.5,6.89,5.43,0.09,2.7
2024,65,0.28,6.81,5.64,2.26,1.35
2024,66,0.5,7.15,5.56,0.31,1.49
2024,67,0.5,5.16,4.69,0.02,4.51
2024,68,0.61,4.46,4.38,0.0,5.69
2024,69,0.58,6.35,5.21,0.0,5.08
2024,70,0.38,7.07,5.51,0.01,5.45
2024,71,0.27,6.49,5.74,4.53,2.69
2024,72,0.42,7.55,5.96,2.4,3.23
2024,73,0.38,9.67,6.86,0.95,4.72
2024,74,0.69,10.66,7.16,0.13,4.56
