
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.48,13.88,7.31,0.05,1.94
2024,2,0.31,12.76,7.6,0.0,2.58
2024,3,0.47,12.83,7.29,0.0,3.14
2024,4,0.51,13.58,7.75,0.0,3.26
2024,5,0.52,13.93,7.95,0.0,2.3
2024,6,0.46,14.64,9.16,2.48,5.12
2024,7,0.35,14.87,7.81,5.07,6.79
2024,8,0.43,12.96,6.83,2.66,3.84
2024,9,0.44,10.08,6.08,2.62,4.84
2024,10,0.39,6.96,4.81,1.14,7.34
2024,11,0.45,7.65,4.42,2.23,3.89
2024,12,0.24,7.5,5.29,6.54,3.51
2024,13,0.37,7.2,4.96,0.33,4.64
2024,14,0.51,7.17,4.74,0.0,2.49
2024,15,0.35,10.86,6.63,4.42,3.51
2024,16,0.46,14.32,8.38,0.28,2.9
2024,17,0.56,13.24,8.07,0.28,1.65
2024,18,0.55,14.52,9.23,0.65,4.14
2024,19,0.57,15.13,8.83,0.0,2.53
2024,20,0.33,13.92,7.84,0.32,3.29
2024,21,0.37,8.34,5.31,0.34,9.18
2024,22,0.44,7.41,4.44,0.27,8.5
2024,23,0.58,8.53,4.86,0.04,4.84
2024,24,0.51,8.95,4.98,0.01,5.59
2024,25,0.51,10.01,4.83,0.0,2.47
2024,26,0.58,9.52,5.21,0.0,4.26
2024,27,0.55,9.6,4.74,0.0,3.41
2024,28,0.38,7.8,5.27,6.27,4.68
2024,29,0.41,7.16,4.56,2.8,5.99
2024,30,0.33,6.11,4.86,10.37,8.55
2024,31,0.46,7.31,4.95,1.08,7.92
2024,32,0.64,8.62,4.75,0.04,4.24
2024,33,0.65,9.4,4.47,0.0,2.46
2024,34,0.63,9.71,5.28,0.05,2.63
2024,35,0.62,11.55,5.68,0.0,2.43
2024,36,0.69,12.72,6.87,0.0,3.03
2024,37,0.73,13.22,6.98,0.0,1.92
2024,38,0.67,13.1,7.22,0.0,2.0
2024,39,0.66,13.43,7.3,0.01,2.41
2024,40,0.71,12.77,7.23,0.0,2.13
2024,41,0.63,12.86,7.84,0.0,3.33
2024,42,0.41,14.92,9.22,2.0,6.45
2024,43,0.52,14.3,7.61,0.6,4.17
2024,44,0.74,12.34,6.58,0.52,2.05
2024,45,0.67,11.19,6.47,0.97,5.12
2024,46,0.5,10.43,6.06,3.4,6.08
2024,47,0.26,10.2,6.22,0.51,5.74
2024,48,0.52,10.64,6.23,0.03,4.21
2024,49,0.76,11.26,6.3,0.0,3.32
2024,50,0.76,10.87,6.2,0.01,2.9
2024,51,0.63,10.94,5.87,0.04,2.53
2024,52,0.51,10.56,5.77,1.43,2.19
2024,53,0.68,11.41,6.68,0.17,1.69
2024,54,0.83,13.35,7.7,0.01,2.7
2024,55,0.87,13.54,8.57,0.02,3.13
2024,56,0.74,14.79,9.08,3.23,3.46
2024,57,0.44,13.87,9.11,24.64,4.74
2024,58,0.6,14.01,8.63,0.88,2.5
2024,59,0.63,14.53,9.09,0.82,3.32
2024,60,0.5,14.66,9.05,0.8,4.51
2024,61,0.17,13.38,9.17,145.58,3.94
2024,62,0.87,12.57,6.69,0.02,2.05
2024,63,0.87,13.22,7.48,0.0,1.63
2024,64,0.95,13.49,7.98,3.23,2.39
2024,65,0.86,12.45,7.0,3.83,3.9
2024,66,0.9,12.21,6.87,0.05,2.45
2024,67,1.0,13.45,7.12,0.08,1.9
2024,68,0.98,11.19,6.19,0.09,3.11
2024,69,0.86,11.7,6.18,0.01,1.41
2024,70,0.99,12.96,7.13,0.32,1.7
2024,71,0.99,13.97,8.34,0.01,4.25
2024,72,0.94,14.71,8.23,1.45,3.36
2024,73,1.05,12.61,6.75,0.63,2.76
2024,74,1.04,13.62,7.02,0.35,1.57
2024,75,1.03,13.32,7.12,0.18,1.8
2024,76,0.99,13.86,7.45,0.66,0.97
2024,77,0.78,13.04,7.53,1.14,1.79
2024,78,1.07,13.55,7.3,0.06,2.35
2024,79,0.68,13.18,7.62,4.05,1.65
2024,80,0.68,10.52,6.12,0.42,5.23
2024,81,1.18,11.66,5.26,0.0,2.28
2024,82,0.83,11.68,6.63,0.94,3.32
2024,83,1.2,11.67,5.45,0.0,2.5
2024,84,1.16,13.13,6.76,0.0,2.89
2024,85,1.05,14.81,7.95,0.0,3.92
2024,86,0.59,14.12,8.04,0.48,2.78
2024,87,0.96,15.85,9.72,0.93,2.73
2024,88,0.91,16.4,9.4,1.87,2.06
2024,89,1.28,16.96,8.03,0.0,1.86
2024,90,1.29,16.74,8.41,0.0,1.48
2024,91,1.27,16.56,9.05,0.0,2.19
2024,92,1.12,16.69,9.01,0.0,1.95
2024,93,1.06,19.62,8.13,0.0,2.42
2024,94,1.3,17.46,7.16,0.0,2.77
2024,95,1.29,17.37,7.09,0.0,1.98
2024,96,1.28,18.16,7.1,0.0,2.0
2024,97,1.31,19.34,7.13,0.0,1.48
2024,98,1.11,18.23,8.32,0.3,4.1
2024,99,1.31,15.92,7.06,0.02,6.89
2024,100,1.35,16.13,6.85,0.0,4.4
2024,101,1.39,17.76,6.54,0.0,2.22
2024,102,1.36,17.3,7.39,0.0,5.23
2024,103,1.3,18.41,8.38,0.0,5.71
2024,104,1.26,19.27,8.77,0.0,3.9
2024,105,1.33,20.01,8.49,0.0,2.72
2024,106,1.43,21.1,7.39,0.0,1.47
2024,107,0.85,19.59,9.22,0.0,2.83
2024,108,1.18,19.34,9.79,0.04,2.81
2024,109,1.43,18.36,7.87,0.0,3.46
2024,110,1.2,16.6,7.76,8.05,3.05
2024,111,1.39,14.87,7.54,5.26,3.8
2024,112,1.38,16.09,7.05,0.0,3.33
2024,113,0.98,16.69,8.57,0.41,2.93
2024,114,0.35,18.24,11.01,0.15,4.25
2024,115,1.03,18.96,8.4,0.0,2.15
2024,116,1.35,18.03,7.12,0.03,3.37
2024,117,1.48,17.11,7.2,0.0,2.19
2024,118,1.4,17.41,7.7,0.0,3.3
2024,119,1.52,17.22,7.44,0.0,5.49
2024,120,1.5,17.82,8.36,0.0,6.15
2024,121,1.34,17.42,8.98,0.01,5.73
2024,122,1.47,17.66,9.37,0.01,4.77
2024,123,1.44,18.66,9.13,0.43,2.33
2024,124,1.55,19.38,8.11,0.0,4.66
2024,125,1.3,16.94,7.77,1.62,4.81
2024,126,1.42,17.05,8.04,0.87,5.04
2024,127,1.58,18.67,6.85,0.0,1.54
2024,128,1.54,20.59,7.82,0.0,1.88
2024,129,1.39,19.89,8.82,0.0,1.82
2024,130,0.76,18.48,9.85,0.81,2.04
2024,131,0.84,16.42,9.57,3.06,6.94
2024,132,1.37,17.44,6.86,0.41,5.67
2024,133,1.58,19.08,7.1,0.0,2.62
2024,134,1.43,19.65,8.44,0.49,2.41
