
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,1.18,28.15,1.61,0.0,16.42
2024,2,1.15,28.42,1.33,0.0,16.11
2024,3,1.23,27.21,1.84,0.0,13.31
2024,4,1.19,26.57,2.03,0.0,14.11
2024,5,1.17,26.85,1.77,0.0,13.73
2024,6,1.18,26.51,1.76,0.0,12.84
2024,7,1.21,26.95,1.77,0.0,13.98
2024,8,1.21,27.7,1.25,0.0,13.9
2024,9,1.19,28.52,0.83,0.0,14.19
2024,10,1.15,28.24,1.33,0.0,14.81
2024,11,1.08,28.74,1.2,0.0,16.93
2024,12,1.07,28.86,1.19,0.0,17.18
2024,13,0.98,28.88,1.12,0.02,17.39
2024,14,1.1,28.52,1.68,0.01,16.1
2024,15,1.22,27.87,2.24,0.0,14.35
2024,16,1.22,27.57,2.07,0.0,13.45
2024,17,1.18,27.51,1.79,0.0,13.58
2024,18,1.25,28.16,1.05,0.0,13.36
2024,19,1.21,29.29,0.85,0.0,13.66
2024,20,1.15,29.61,0.89,0.0,15.51
2024,21,1.09,29.35,1.03,0.0,14.64
2024,22,0.98,28.86,0.67,0.0,13.56
2024,23,0.75,26.69,2.56,0.06,12.69
2024,24,0.81,25.72,2.8,0.32,10.81
2024,25,0.95,25.54,3.17,0.1,11.39
2024,26,1.19,26.32,2.2,0.19,12.4
2024,27,1.2,27.72,2.1,0.0,13.12
2024,28,1.12,28.03,2.28,0.0,13.3
2024,29,1.12,28.34,1.72,0.0,13.44
2024,30,0.98,29.59,1.29,0.07,14.18
2024,31,1.02,29.77,0.94,0.25,15.31
2024,32,0.98,29.79,1.2,0.11,16.33
2024,33,0.97,30.37,1.29,0.02,16.43
2024,34,0.99,30.52,1.74,0.0,16.64
2024,35,1.13,31.09,1.12,0.0,16.43
2024,36,1.19,31.64,0.86,0.09,15.31
2024,37,1.17,30.93,1.18,0.14,14.36
2024,38,1.19,30.92,1.21,0.01,14.43
2024,39,1.16,30.22,1.64,0.0,14.36
2024,40,1.14,30.52,2.04,0.0,16.29
2024,41,0.89,29.63,2.4,0.73,15.42
2024,42,1.3,28.06,3.42,0.03,10.93
2024,43,1.31,27.76,2.49,0.0,10.94
2024,44,1.33,28.42,1.67,0.0,9.62
2024,45,1.29,29.47,1.54,0.0,10.56
2024,46,1.19,30.88,1.37,0.0,13.67
2024,47,1.16,31.3,1.71,0.01,16.09
2024,48,1.13,30.14,2.01,2.12,17.51
2024,49,1.21,29.94,2.56,0.59,17.04
2024,50,1.31,30.03,2.64,0.0,16.51
2024,51,1.36,30.75,2.86,0.0,16.13
2024,52,1.35,30.98,2.8,0.0,15.88
2024,53,1.35,31.52,2.73,0.0,16.26
2024,54,1.27,31.52,2.22,0.0,17.03
2024,55,1.19,31.78,2.38,0.0,16.78
2024,56,1.18,32.07,2.06,0.0,16.39
2024,57,1.19,32.09,1.81,0.0,16.05
2024,58,1.22,32.07,2.12,0.01,15.66
2024,59,1.21,31.75,2.23,0.15,16.45
2024,60,1.24,31.53,2.44,0.17,17.32
2024,61,1.09,32.0,2.01,0.07,16.83
2024,62,1.12,31.78,1.92,0.57,16.3
2024,63,1.2,32.0,2.01,0.24,17.07
2024,64,1.35,32.78,2.7,0.02,16.74
2024,65,1.41,32.9,2.22,0.0,15.39
2024,66,1.41,32.24,2.55,0.0,15.45
2024,67,1.43,32.99,2.43,0.0,15.8
2024,68,0.98,31.92,2.69,0.0,17.67
2024,69,0.69,30.93,3.1,0.01,16.76
2024,70,1.08,32.1,2.6,0.01,16.42
2024,71,1.15,32.28,2.53,0.02,17.38
2024,72,0.94,31.34,2.98,5.36,17.28
2024,73,1.1,31.54,2.45,0.76,16.86
2024,74,1.39,32.48,2.36,0.08,16.02
2024,75,1.37,32.46,2.57,0.16,16.63
2024,76,0.73,31.89,2.84,0.58,17.4
2024,77,1.41,32.44,2.95,0.08,15.28
2024,78,1.27,31.78,2.47,0.0,15.62
2024,79,0.97,31.81,3.0,4.0,17.4
2024,80,0.41,29.23,2.13,14.82,17.78
2024,81,1.09,28.91,1.72,0.21,15.86
2024,82,1.27,30.37,2.04,0.11,16.75
2024,83,1.36,30.7,3.26,0.17,18.4
2024,84,1.43,31.65,2.39,0.15,17.53
2024,85,1.34,32.07,2.23,0.03,17.86
2024,86,1.15,31.58,2.47,3.61,18.5
2024,87,1.18,31.59,2.2,1.95,18.37
2024,88,1.04,31.23,2.16,0.26,17.63
2024,89,1.36,31.71,2.66,0.31,17.98
2024,90,1.49,32.71,2.83,0.02,17.25
2024,91,1.56,33.53,2.81,0.0,16.54
2024,92,1.46,34.04,2.3,0.0,14.59
2024,93,1.42,33.44,2.8,0.0,15.72
2024,94,1.43,33.25,2.92,0.0,16.49
2024,95,1.41,33.44,2.64,0.0,16.84
2024,96,1.36,33.38,2.96,0.0,17.94
2024,97,1.33,33.09,3.18,0.0,18.29
2024,98,1.28,33.28,3.25,0.0,18.32
2024,99,1.26,34.13,2.93,1.43,16.83
2024,100,1.07,34.11,2.52,0.86,17.75
2024,101,0.93,33.04,1.41,0.69,18.82
2024,102,1.15,34.04,1.69,0.23,17.46
2024,103,1.06,33.99,2.32,0.03,17.58
2024,104,1.23,33.93,2.62,0.29,17.59
2024,105,1.32,33.52,3.01,0.68,18.29
