
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.26,-4.51,2.01,0.0,1.03
2024,2,0.31,-3.21,1.75,0.0,2.9
2024,3,0.44,-3.09,1.63,0.0,2.81
2024,4,0.38,-2.18,1.79,0.0,2.71
2024,5,0.4,-2.93,1.7,0.0,1.77
2024,6,0.47,-5.14,1.14,0.0,3.95
2024,7,0.44,-7.84,0.99,0.0,2.12
2024,8,0.31,-5.32,1.63,0.0,0.67
2024,9,0.36,-2.15,1.66,0.16,1.76
2024,10,0.4,-4.59,1.67,0.0,2.09
2024,11,0.4,-0.45,2.02,0.0,2.14
2024,12,0.37,-0.94,2.02,0.0,1.22
2024,13,0.11,-3.06,2.14,0.0,1.66
2024,14,0.47,-3.85,1.01,0.0,3.06
2024,15,0.47,-5.02,1.21,0.0,1.84
2024,16,0.23,-3.62,2.1,0.07,1.57
2024,17,0.17,-1.79,2.63,0.55,0.72
2024,18,0.33,-3.16,1.57,0.01,1.65
2024,19,0.34,-4.95,1.42,0.25,1.01
2024,20,0.34,-6.17,1.37,0.5,1.71
2024,21,0.51,-10.72,0.56,0.0,5.52
2024,22,0.51,-10.7,0.6,0.0,4.56
2024,23,0.51,-8.33,0.77,0.0,5.66
2024,24,0.51,-4.64,1.26,0.0,3.24
2024,25,0.46,-3.6,1.12,0.0,3.55
2024,26,0.51,-3.61,1.12,0.0,3.26
2024,27,0.48,-4.86,1.15,0.0,2.93
2024,28,0.47,-3.45,1.34,0.0,2.39
2024,29,0.32,-4.28,1.61,0.0,2.38
2024,30,0.16,-5.17,2.04,0.0,1.1
2024,31,0.31,-5.07,1.3,0.0,2.14
2024,32,0.39,-7.51,0.95,0.0,0.97
2024,33,0.43,-6.63,1.27,0.0,1.02
2024,34,0.47,-3.66,1.49,0.0,1.07
2024,35,0.37,-4.91,1.59,0.24,1.1
2024,36,0.47,-2.74,1.89,0.42,1.15
2024,37,0.44,-2.25,1.67,0.03,2.06
2024,38,0.6,-2.86,1.32,0.0,2.64
2024,39,0.53,-2.62,1.45,0.0,2.22
2024,40,0.38,-1.43,1.56,0.0,3.4
2024,41,0.61,-2.12,1.39,0.0,2.76
2024,42,0.52,1.69,1.92,0.0,2.56
2024,43,0.44,2.74,2.6,0.0,1.31
2024,44,0.51,5.62,3.04,0.0,1.51
2024,45,0.29,2.96,2.42,0.0,2.62
2024,46,0.66,0.41,1.64,0.0,2.5
2024,47,0.58,0.58,2.31,0.0,1.61
2024,48,0.53,1.86,3.49,0.0,1.47
2024,49,0.13,3.94,3.84,0.44,2.56
2024,50,0.58,-0.8,0.97,0.0,3.94
2024,51,0.23,-3.95,0.94,2.96,2.22
2024,52,0.33,-4.0,1.1,3.79,2.71
2024,53,0.67,-3.45,1.1,0.06,2.05
2024,54,0.62,-2.72,1.51,0.0,1.22
2024,55,0.43,-0.81,1.96,0.0,1.14
2024,56,0.78,0.22,1.48,0.0,2.64
2024,57,0.55,-1.5,1.56,0.0,2.27
2024,58,0.43,-0.19,2.5,0.07,2.43
2024,59,0.24,0.22,2.28,0.01,2.07
2024,60,0.76,-2.07,1.0,0.0,4.25
2024,61,0.82,-2.47,1.13,0.0,2.17
2024,62,0.82,1.08,1.51,0.0,2.83
2024,63,0.75,0.47,1.64,0.0,2.75
2024,64,0.4,0.0,2.12,0.08,1.56
2024,65,0.17,0.83,2.78,1.81,1.38
2024,66,0.84,1.52,1.8,0.01,2.01
2024,67,0.67,2.04,1.96,0.0,3.88
2024,68,0.98,1.74,1.52,0.0,2.64
2024,69,0.84,4.32,1.98,0.0,1.59
2024,70,0.53,4.86,2.8,0.0,1.42
2024,71,0.8,6.86,2.33,0.0,2.48
2024,72,0.89,5.47,2.0,0.0,2.02
2024,73,0.82,8.28,2.33,0.0,2.01
2024,74,0.86,9.65,2.43,0.0,2.58
2024,75,0.8,10.25,3.59,0.0,2.51
2024,76,0.67,9.46,2.82,0.2,4.15
2024,77,0.99,5.96,2.14,0.12,3.54
2024,78,0.63,7.22,2.37,0.0,2.67
2024,79,1.06,5.6,1.44,0.0,4.73
2024,80,1.07,6.15,1.86,0.0,2.13
2024,81,0.48,5.9,3.51,0.07,1.58
2024,82,1.12,9.77,2.96,0.0,3.32
2024,83,0.78,10.86,3.21,0.0,1.96
2024,84,0.47,7.6,3.22,3.81,1.76
2024,85,0.76,8.57,4.23,0.29,1.29
2024,86,0.63,10.07,5.11,0.17,2.44
2024,87,0.45,9.56,5.19,1.42,1.93
2024,88,1.18,8.63,1.62,0.01,4.2
2024,89,1.19,10.38,2.28,0.06,3.57
2024,90,1.21,10.93,2.52,0.0,3.02
2024,91,1.04,12.92,4.09,0.0,1.51
