
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.1,5.23,5.23,0.93,3.91
2024,2,0.07,4.6,5.11,8.84,3.38
2024,3,0.1,8.3,6.34,5.89,5.36
2024,4,0.09,3.14,4.62,3.25,4.22
2024,5,0.06,-0.35,3.57,3.27,3.0
2024,6,0.05,-0.66,3.38,1.07,3.59
2024,7,0.09,-3.46,2.44,0.05,3.26
2024,8,0.16,-8.45,1.54,0.0,3.58
2024,9,0.16,-9.88,1.52,0.0,1.6
2024,10,0.15,-7.54,1.74,0.0,1.38
2024,11,0.15,-4.13,2.66,0.47,2.65
2024,12,0.07,-1.41,3.21,0.43,2.65
2024,13,0.1,0.92,3.92,2.41,5.56
2024,14,0.1,0.98,3.98,2.1,5.53
2024,15,0.1,-0.01,3.66,1.51,5.71
2024,16,0.1,-1.12,3.31,3.02,2.91
2024,17,0.12,-3.27,2.82,0.86,2.51
2024,18,0.15,-3.6,2.8,0.21,2.2
2024,19,0.15,-2.63,2.93,0.14,4.76
2024,20,0.15,-2.11,2.96,0.0,4.91
2024,21,0.12,-3.06,2.53,0.02,4.42
2024,22,0.14,3.6,4.54,1.81,6.33
2024,23,0.12,3.88,4.67,1.44,5.4
2024,24,0.14,7.53,5.7,6.44,8.92
2024,25,0.14,5.27,4.98,0.42,6.19
2024,26,0.12,3.64,4.68,5.44,4.9
2024,27,0.17,2.65,4.29,0.13,4.48
2024,28,0.24,0.64,3.73,0.07,2.52
2024,29,0.23,1.02,3.69,0.01,3.45
2024,30,0.18,2.99,4.39,0.03,3.49
2024,31,0.15,3.55,4.43,0.19,3.8
2024,32,0.23,4.54,4.67,1.23,5.43
2024,33,0.13,4.97,5.0,1.12,5.25
2024,34,0.14,8.46,6.46,2.46,6.2
2024,35,0.17,6.16,5.46,5.53,5.81
2024,36,0.16,9.12,6.44,9.56,7.71
2024,37,0.12,8.62,6.2,2.71,8.47
2024,38,0.27,4.16,4.65,6.68,4.52
2024,39,0.19,0.83,3.73,2.02,1.42
2024,40,0.15,2.97,4.84,9.98,3.12
2024,41,0.23,7.92,6.56,3.06,2.11
2024,42,0.11,6.4,5.96,6.62,2.66
2024,43,0.18,5.91,5.53,3.51,3.65
