
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.18,19.41,14.06,0.12,0.83
2024,2,1.26,19.68,13.1,0.09,0.87
2024,3,1.27,19.71,13.45,0.11,0.97
2024,4,1.41,19.87,13.08,0.0,1.06
2024,5,1.4,19.67,12.89,0.0,1.11
2024,6,1.43,19.7,11.77,0.0,1.14
2024,7,1.36,19.25,11.7,0.0,1.4
2024,8,1.42,19.38,11.85,0.0,1.06
2024,9,1.35,19.51,11.62,0.62,1.21
2024,10,1.33,19.87,12.29,0.91,0.82
2024,11,1.34,20.59,13.51,2.37,0.67
2024,12,1.34,19.52,14.76,12.97,0.66
2024,13,0.97,20.17,13.95,0.25,0.59
2024,14,1.21,20.15,12.3,0.05,0.89
2024,15,1.36,18.82,11.09,0.0,1.69
2024,16,1.31,18.22,10.78,0.0,2.16
2024,17,1.27,19.98,12.63,0.0,1.99
2024,18,1.26,20.91,13.44,0.0,1.73
2024,19,1.31,20.26,12.4,0.01,1.71
2024,20,0.96,20.66,13.09,0.03,1.89
2024,21,1.07,20.76,13.15,0.41,1.75
2024,22,1.51,20.38,12.32,0.0,2.94
2024,23,1.6,18.86,10.31,0.0,3.16
2024,24,1.6,19.24,10.91,0.0,2.12
2024,25,1.55,19.85,10.64,0.0,2.09
2024,26,1.43,19.67,10.46,0.0,1.4
2024,27,1.39,20.89,11.53,0.0,1.06
2024,28,1.27,21.71,13.04,0.0,0.77
2024,29,1.28,21.68,13.08,0.04,0.95
2024,30,1.19,21.19,12.56,0.41,0.84
2024,31,1.15,21.01,13.35,0.79,0.62
2024,32,0.98,21.38,14.19,5.71,0.65
2024,33,0.72,20.92,14.54,8.2,0.78
2024,34,1.07,19.42,14.89,7.19,1.0
2024,35,0.9,19.25,13.92,4.37,0.85
2024,36,0.9,19.19,12.93,9.75,1.23
2024,37,1.16,19.96,13.71,2.36,0.62
2024,38,1.12,20.77,14.03,1.23,0.76
2024,39,0.85,20.57,14.14,3.66,0.56
2024,40,0.97,20.93,13.88,2.49,1.12
2024,41,1.16,21.31,13.53,2.27,1.77
2024,42,1.39,20.97,12.98,0.26,1.25
2024,43,1.42,21.21,12.88,0.0,0.92
2024,44,1.33,21.41,12.43,0.74,1.43
2024,45,1.12,21.21,13.08,0.33,2.1
2024,46,1.2,21.67,13.67,0.41,1.35
2024,47,1.19,21.28,14.36,4.58,1.58
2024,48,1.25,21.28,14.05,2.09,1.8
2024,49,1.42,21.84,13.53,2.26,1.46
2024,50,1.37,21.27,12.45,0.58,1.25
2024,51,1.46,21.11,13.38,0.1,1.53
2024,52,1.35,20.26,13.55,0.54,1.59
2024,53,1.07,19.37,13.18,0.18,1.84
2024,54,1.39,20.53,12.71,0.0,1.26
2024,55,1.29,20.15,12.96,1.11,1.26
2024,56,1.18,19.43,11.9,0.66,1.4
2024,57,1.18,20.97,12.81,0.75,0.98
2024,58,1.21,20.59,14.02,3.65,0.99
2024,59,1.15,21.41,14.12,1.28,0.93
2024,60,1.16,21.19,13.38,1.0,0.93
2024,61,1.11,20.65,11.5,1.55,1.18
2024,62,1.23,20.8,13.03,3.21,0.74
2024,63,1.06,20.57,13.67,1.73,0.76
2024,64,0.98,21.28,13.87,0.6,0.93
2024,65,1.03,22.08,13.77,0.0,0.71
2024,66,1.08,22.44,13.53,0.0,0.66
2024,67,1.0,22.62,13.87,1.61,0.99
2024,68,0.93,22.03,14.22,3.44,1.32
2024,69,0.74,21.99,13.88,5.26,0.83
2024,70,1.23,22.02,13.54,3.38,1.33
2024,71,0.97,22.27,13.63,4.24,1.81
2024,72,0.95,21.98,13.55,2.32,1.61
2024,73,1.13,22.45,13.35,0.54,1.95
2024,74,0.88,22.75,13.48,0.18,2.0
2024,75,1.05,22.66,13.41,1.43,1.52
2024,76,1.12,22.88,13.8,0.54,0.96
2024,77,1.0,22.3,13.0,0.35,1.66
2024,78,1.12,22.32,12.98,1.64,1.97
2024,79,0.83,21.99,13.88,3.03,0.93
2024,80,1.15,21.88,13.48,0.26,0.75
2024,81,1.17,19.78,15.04,5.81,0.69
2024,82,1.19,22.12,13.75,1.83,0.94
2024,83,1.0,20.46,12.61,0.37,0.99
2024,84,1.25,20.49,13.8,1.91,1.14
2024,85,1.2,20.38,14.25,2.82,1.09
2024,86,1.15,19.88,13.8,1.84,1.4
2024,87,0.85,19.68,12.97,1.56,1.05
2024,88,1.05,20.12,13.44,1.79,1.32
2024,89,0.98,19.64,14.06,13.43,1.01
2024,90,0.64,20.56,13.31,7.6,0.96
2024,91,0.75,19.97,13.13,5.81,0.75
2024,92,0.95,20.64,13.74,11.11,0.79
2024,93,0.83,20.0,14.18,8.34,0.84
2024,94,0.87,20.22,14.71,8.58,0.58
2024,95,0.88,20.07,13.32,7.77,1.32
2024,96,1.27,19.96,12.54,9.32,1.06
2024,97,1.14,20.22,13.38,4.55,0.86
2024,98,1.41,20.56,12.76,4.36,1.41
2024,99,1.05,21.12,13.42,3.9,1.76
2024,100,1.36,20.95,12.8,0.96,1.59
2024,101,1.47,20.8,11.7,0.0,1.52
2024,102,1.31,21.35,11.06,0.01,1.07
2024,103,1.39,22.23,12.58,0.0,1.17
2024,104,1.37,23.0,13.54,0.1,1.03
2024,105,1.2,22.77,12.64,0.21,1.22
2024,106,1.32,22.46,13.54,5.31,0.81
2024,107,1.34,21.95,13.11,2.83,1.21
2024,108,0.72,21.39,13.75,3.19,0.75
2024,109,0.88,20.41,14.34,18.94,0.98
2024,110,1.08,19.79,14.57,19.4,0.97
2024,111,1.24,19.99,14.83,6.32,1.01
2024,112,1.12,19.54,14.88,12.33,0.54
2024,113,0.64,18.72,14.63,10.99,0.55
2024,114,1.21,20.23,14.11,6.77,0.59
2024,115,1.36,20.38,13.72,13.21,1.17
2024,116,1.14,20.08,13.42,6.46,0.91
2024,117,1.23,19.55,14.11,17.27,0.92
2024,118,1.31,19.53,14.66,7.3,0.57
2024,119,1.1,18.68,15.0,19.79,0.75
2024,120,1.2,19.35,14.52,9.63,0.62
2024,121,1.38,20.28,14.62,4.39,0.85
2024,122,1.09,20.46,15.08,5.49,0.88
2024,123,1.13,20.62,15.35,1.49,0.71
2024,124,1.04,19.73,15.25,8.94,0.76
2024,125,1.02,20.21,14.69,19.45,0.79
2024,126,1.11,19.24,14.19,17.49,0.85
2024,127,1.28,19.69,14.74,3.49,0.65
2024,128,1.29,21.12,14.68,15.54,1.02
2024,129,1.07,19.56,15.08,35.4,0.59
2024,130,0.69,19.36,14.19,20.66,0.59
2024,131,1.21,19.18,14.2,3.59,1.21
2024,132,1.14,19.94,14.29,14.44,0.98
2024,133,1.18,19.85,14.59,24.03,0.82
2024,134,1.43,20.58,14.67,18.26,0.96
2024,135,1.12,19.67,13.85,7.09,1.26
2024,136,1.11,19.74,14.21,12.4,0.54
2024,137,0.81,19.03,14.48,15.24,0.74
2024,138,1.17,19.74,13.98,0.79,0.82
2024,139,1.09,20.23,14.12,10.95,1.43
2024,140,1.17,19.78,14.26,2.26,1.27
2024,141,1.27,19.75,14.67,10.91,1.35
2024,142,1.23,19.15,13.68,5.87,1.19
2024,143,1.2,19.66,13.23,2.87,1.17
2024,144,1.12,20.05,14.26,3.96,0.74
2024,145,1.19,20.57,14.63,4.23,0.67
2024,146,0.82,19.46,14.37,32.35,0.84
2024,147,1.26,18.94,14.33,6.68,0.91
2024,148,1.39,19.29,13.63,3.21,1.16
2024,149,1.21,19.26,13.62,2.02,1.3
2024,150,1.16,19.06,13.82,54.0,1.3
2024,151,1.14,19.13,13.91,6.26,1.07
2024,152,1.14,19.48,13.92,2.47,1.38
2024,153,1.56,19.82,13.82,0.95,1.46
2024,154,1.59,20.06,14.37,3.34,1.11
2024,155,1.38,19.59,14.14,17.53,1.56
2024,156,1.15,18.88,13.93,14.72,1.69
2024,157,1.2,19.08,13.49,0.83,0.87
2024,158,1.22,19.28,13.3,0.51,1.64
2024,159,1.18,19.17,13.55,7.99,1.21
