
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.29,24.0,16.01,22.44,1.22
2024,2,1.11,22.92,16.46,34.23,1.71
2024,3,0.84,22.5,17.03,14.26,2.41
2024,4,0.67,22.6,16.66,9.9,2.53
2024,5,0.67,21.98,16.11,3.6,2.08
2024,6,1.46,23.74,16.03,1.7,1.13
2024,7,1.48,24.23,15.97,3.61,0.99
2024,8,1.01,23.06,17.0,8.16,1.36
2024,9,1.2,22.56,16.41,4.29,1.94
2024,10,1.15,22.57,16.02,16.52,1.45
2024,11,1.36,22.72,15.84,1.68,1.05
2024,12,1.7,24.31,16.7,3.4,1.1
2024,13,1.31,24.32,16.94,9.64,0.85
2024,14,1.31,23.98,16.17,3.35,0.99
2024,15,1.34,22.89,15.79,6.89,1.12
2024,16,1.71,23.9,15.49,1.68,1.65
2024,17,1.81,24.37,15.08,0.07,1.77
2024,18,1.75,24.83,15.36,5.44,1.29
2024,19,1.75,25.06,15.6,7.07,1.12
2024,20,1.7,25.14,15.41,0.17,1.31
2024,21,1.47,24.59,16.04,4.9,1.8
2024,22,1.42,24.42,16.74,7.81,1.88
2024,23,1.33,23.94,17.15,4.17,2.37
2024,24,0.99,23.21,17.41,7.88,3.02
2024,25,1.0,23.8,16.81,5.08,1.32
2024,26,0.77,22.51,14.53,2.76,0.95
2024,27,1.22,22.13,14.87,8.28,1.35
2024,28,1.21,21.98,15.64,5.51,2.28
2024,29,1.14,23.01,15.49,0.72,1.95
2024,30,1.25,23.95,14.98,1.0,0.8
2024,31,0.99,23.6,15.65,8.41,0.72
2024,32,1.14,23.25,16.28,5.71,1.79
2024,33,1.4,22.04,15.42,4.8,2.27
2024,34,1.21,20.86,14.02,2.2,2.54
2024,35,1.27,22.3,14.27,0.92,1.83
2024,36,0.95,22.61,15.26,3.11,1.53
2024,37,1.19,23.42,15.4,4.5,1.13
2024,38,1.42,23.7,16.16,12.23,1.41
2024,39,1.2,23.17,16.38,6.32,1.41
2024,40,1.19,23.14,16.45,10.09,1.19
2024,41,0.72,22.67,16.28,7.86,2.54
2024,42,0.75,22.08,15.48,11.46,2.9
2024,43,1.6,22.51,14.41,0.35,1.97
2024,44,1.79,23.17,14.33,0.37,2.21
2024,45,1.77,23.95,12.88,0.27,1.16
2024,46,1.58,24.85,13.7,1.62,1.02
2024,47,1.12,22.86,15.34,4.83,1.24
2024,48,1.16,23.3,15.84,1.77,1.74
2024,49,1.07,22.67,16.0,2.83,1.64
2024,50,1.11,22.4,16.08,15.53,2.35
2024,51,0.59,21.48,15.95,17.02,3.46
2024,52,0.77,21.4,16.15,3.02,2.93
2024,53,1.33,22.86,15.94,0.98,1.36
2024,54,1.17,22.5,16.51,7.83,1.72
2024,55,1.48,23.16,15.64,1.4,2.06
2024,56,1.62,23.6,15.69,0.1,2.54
2024,57,1.69,22.56,13.27,0.01,2.54
2024,58,1.59,23.06,13.8,0.01,1.81
2024,59,1.65,25.13,14.28,0.03,1.21
2024,60,1.59,26.49,14.8,0.74,0.77
2024,61,1.23,25.7,15.77,1.36,1.53
2024,62,1.35,26.52,16.0,4.77,1.11
2024,63,0.98,26.16,15.15,5.26,0.79
2024,64,1.13,22.55,15.73,3.57,1.09
2024,65,1.13,23.12,14.87,3.8,1.47
2024,66,1.33,23.94,15.7,2.19,1.24
