
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.14,7.34,5.77,7.16,6.1
2024,2,0.07,10.72,7.46,19.64,8.12
2024,3,0.12,9.61,6.87,9.68,7.35
2024,4,0.14,8.03,6.2,6.08,4.57
2024,5,0.1,6.89,5.8,4.39,6.05
2024,6,0.08,3.91,4.7,2.36,2.63
2024,7,0.08,-1.16,3.1,0.16,3.9
2024,8,0.11,-3.26,2.41,0.17,4.41
2024,9,0.19,-4.14,2.12,0.0,4.38
2024,10,0.16,-6.08,2.08,0.0,2.27
2024,11,0.2,-3.84,2.53,0.15,1.47
2024,12,0.1,0.69,3.84,0.34,0.89
2024,13,0.1,0.74,3.87,0.52,3.23
2024,14,0.11,-0.55,3.48,1.95,4.11
2024,15,0.14,0.58,3.65,1.98,4.07
2024,16,0.21,-1.32,3.01,0.08,3.17
2024,17,0.06,-2.97,2.8,4.83,2.15
2024,18,0.2,-1.91,3.19,0.26,1.66
2024,19,0.17,-1.54,3.2,0.05,2.58
2024,20,0.2,-3.21,2.58,0.04,4.24
2024,21,0.12,1.06,3.69,0.13,7.28
2024,22,0.24,7.64,6.0,3.55,7.84
2024,23,0.17,6.38,5.67,1.94,6.35
2024,24,0.19,9.5,6.38,0.62,7.03
2024,25,0.16,6.89,5.88,1.25,3.17
2024,26,0.27,6.68,5.45,6.78,4.84
2024,27,0.29,1.63,4.01,0.01,2.3
2024,28,0.28,2.79,4.11,0.0,3.33
2024,29,0.28,6.48,5.69,0.06,3.56
2024,30,0.14,7.73,5.95,0.2,3.72
2024,31,0.18,5.32,4.86,0.58,3.41
2024,32,0.3,6.03,5.13,3.46,2.87
2024,33,0.19,5.56,5.3,0.37,4.97
2024,34,0.16,9.35,6.83,1.55,4.98
2024,35,0.28,10.22,7.15,1.78,6.32
2024,36,0.24,8.23,5.98,0.31,6.53
2024,37,0.17,9.75,6.73,2.66,8.23
2024,38,0.11,5.74,5.33,16.9,3.79
2024,39,0.14,6.57,5.97,17.62,3.72
2024,40,0.21,10.61,7.36,3.26,5.38
2024,41,0.27,9.22,7.18,3.7,2.31
2024,42,0.24,7.54,6.17,2.02,2.68
2024,43,0.31,5.98,5.37,0.83,2.9
2024,44,0.34,5.31,5.04,0.97,4.59
2024,45,0.15,10.05,7.21,4.71,5.0
2024,46,0.27,11.61,7.81,2.38,3.97
2024,47,0.15,10.55,7.38,2.06,3.64
2024,48,0.36,8.93,6.24,0.18,2.47
2024,49,0.17,8.32,6.23,7.12,5.02
2024,50,0.25,8.14,6.31,1.68,3.33
2024,51,0.29,7.22,5.63,0.24,3.7
2024,52,0.31,7.96,6.16,7.74,5.81
2024,53,0.2,9.87,7.15,8.09,6.42
2024,54,0.31,5.34,5.12,2.1,5.64
2024,55,0.32,4.96,4.92,3.28,4.38
2024,56,0.38,6.46,5.29,3.96,3.78
2024,57,0.17,4.69,5.02,9.65,5.86
2024,58,0.32,4.02,4.52,0.06,2.64
2024,59,0.42,4.29,4.86,0.1,2.92
2024,60,0.27,6.35,5.53,6.66,5.05
2024,61,0.43,7.22,5.67,3.23,5.48
2024,62,0.49,8.21,6.01,7.49,4.45
2024,63,0.4,7.77,6.1,1.72,2.54
2024,64,0.57,6.13,4.77,0.01,1.66
2024,65,0.34,5.05,4.97,1.03,1.7
2024,66,0.54,5.27,4.73,0.03,1.47
2024,67,0.57,5.34,4.87,0.03,3.08
2024,68,0.66,5.42,4.6,0.05,4.05
2024,69,0.47,9.01,5.87,0.1,4.19
2024,70,0.36,8.36,6.06,3.79,1.72
2024,71,0.2,7.36,6.15,14.71,2.63
2024,72,0.38,8.1,6.15,9.12,3.86
2024,73,0.35,11.18,7.35,0.91,3.83
2024,74,0.73,11.39,7.28,0.05,3.83
2024,75,0.45,11.99,7.61,2.75,4.99
2024,76,0.39,8.81,5.75,1.21,2.45
2024,77,0.5,9.63,6.78,2.81,3.44
2024,78,0.62,11.36,7.17,0.29,2.33
2024,79,0.66,11.45,7.2,0.01,1.84
2024,80,0.67,12.03,7.17,0.0,1.47
2024,81,0.55,9.43,6.66,0.07,2.16
2024,82,0.52,9.12,6.54,10.31,3.3
2024,83,0.66,6.32,5.03,2.56,4.14
2024,84,0.56,6.06,5.13,2.8,4.93
2024,85,0.86,6.85,4.96,0.09,2.61
2024,86,0.58,8.82,6.28,0.89,3.22
2024,87,0.53,7.97,5.75,0.52,3.8
2024,88,0.76,7.53,5.29,2.47,6.3
2024,89,0.61,9.19,6.32,3.41,4.07
2024,90,0.41,8.02,6.34,2.81,1.3
2024,91,0.53,10.33,7.15,4.61,3.38
2024,92,0.66,9.27,6.44,0.5,3.37
2024,93,0.51,9.6,6.66,2.94,4.99
2024,94,0.53,11.02,7.13,3.71,4.99
2024,95,0.66,12.38,7.55,11.26,5.4
2024,96,0.52,13.72,8.81,2.82,4.54
2024,97,0.76,16.81,9.72,0.06,4.39
2024,98,0.81,15.24,9.25,1.27,3.86
2024,99,0.66,14.22,8.96,2.93,2.1
2024,100,0.71,10.14,6.3,4.91,6.19
2024,101,1.03,10.1,5.56,0.02,3.2
2024,102,0.54,12.36,7.89,0.76,3.26
2024,103,0.74,15.02,8.91,0.05,3.16
2024,104,1.06,16.28,9.48,0.04,3.9
2024,105,0.81,11.81,6.6,1.05,2.0
2024,106,0.71,8.09,5.57,5.08,5.78
2024,107,0.63,7.62,5.76,8.01,5.75
2024,108,0.69,6.34,5.08,4.69,2.49
2024,109,0.87,7.28,4.92,0.79,2.46
2024,110,0.56,8.16,5.71,7.43,5.95
2024,111,0.78,6.59,4.9,1.87,4.37
2024,112,0.83,6.33,4.67,1.23,3.6
2024,113,0.84,5.32,4.24,0.26,2.55
2024,114,1.0,5.75,4.22,0.99,2.21
2024,115,0.88,5.81,4.78,2.2,3.46
2024,116,0.72,6.87,4.79,1.15,2.82
2024,117,0.74,7.76,5.88,3.53,1.57
2024,118,0.73,11.3,7.21,2.89,3.73
2024,119,0.71,11.74,6.84,0.44,5.05
2024,120,1.06,12.5,7.17,0.04,2.83
2024,121,0.93,15.7,8.9,1.22,2.28
2024,122,1.14,17.17,10.48,3.13,2.14
2024,123,0.6,15.76,9.81,1.27,3.18
2024,124,0.77,11.29,7.08,10.4,4.38
2024,125,0.77,10.73,7.02,4.87,2.21
2024,126,0.97,12.75,7.46,0.52,1.52
2024,127,0.66,13.95,8.55,4.14,1.1
2024,128,0.83,13.45,8.21,2.66,2.41
2024,129,0.53,12.2,7.57,0.53,2.26
2024,130,1.13,14.21,7.92,0.07,0.96
2024,131,1.22,15.94,8.69,0.02,1.56
2024,132,1.37,17.14,9.29,0.03,2.77
2024,133,1.2,18.32,10.43,1.2,2.39
2024,134,1.05,17.99,10.6,1.37,2.61
2024,135,1.22,18.04,10.55,3.43,3.39
2024,136,0.69,15.39,9.53,8.13,0.77
2024,137,0.87,14.94,9.35,8.69,1.8
2024,138,0.61,14.2,9.09,10.34,2.75
2024,139,0.66,15.78,9.33,3.54,1.98
2024,140,0.89,15.18,9.08,2.18,1.8
2024,141,1.11,15.31,9.3,2.22,1.83
2024,142,0.6,15.04,9.47,8.49,1.37
2024,143,0.84,14.93,8.95,1.95,3.96
2024,144,1.21,15.06,8.66,1.01,2.75
2024,145,0.71,13.71,8.89,15.23,1.78
2024,146,0.99,14.51,8.8,12.39,2.72
2024,147,0.89,15.96,9.37,3.52,2.99
2024,148,0.89,13.27,7.94,1.75,2.21
2024,149,0.98,13.83,8.42,6.31,4.04
2024,150,0.91,15.75,9.25,4.61,3.73
2024,151,0.9,13.93,8.48,1.96,2.6
2024,152,0.86,14.95,9.06,4.97,3.22
2024,153,0.35,14.95,9.51,4.52,4.55
2024,154,0.75,13.86,7.85,0.14,3.4
2024,155,0.9,14.03,8.12,0.2,1.36
2024,156,1.07,16.87,9.45,0.51,2.92
2024,157,1.03,13.94,7.03,0.66,2.46
2024,158,1.35,13.44,6.46,0.0,1.99
2024,159,1.52,14.28,7.16,0.0,2.0
2024,160,1.4,13.59,7.66,0.16,2.82
2024,161,1.65,13.6,6.96,0.02,2.3
2024,162,0.74,11.64,7.33,10.12,4.49
2024,163,1.24,11.48,6.67,1.62,2.67
2024,164,0.96,11.88,6.55,0.46,2.17
2024,165,1.19,13.58,7.44,0.13,2.6
2024,166,0.81,15.68,9.5,2.97,3.87
2024,167,1.15,14.58,8.49,7.71,5.54
2024,168,0.89,14.7,8.86,3.42,3.87
2024,169,1.1,16.85,9.09,1.41,1.95
2024,170,0.63,15.46,10.19,35.74,2.5
2024,171,1.01,16.13,9.17,0.9,2.4
2024,172,0.73,16.56,9.94,2.16,3.04
2024,173,0.46,15.2,9.7,6.84,2.88
2024,174,0.97,16.43,9.55,1.12,2.52
2024,175,1.49,17.86,9.76,0.03,1.78
2024,176,1.46,20.19,10.88,0.01,1.2
2024,177,1.58,21.53,11.72,0.0,1.86
