
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.66,25.22,11.13,0.0,5.18
2024,2,1.81,24.61,12.91,0.11,6.41
2024,3,1.71,24.96,13.01,0.0,6.55
2024,4,1.74,25.11,13.18,0.0,5.41
2024,5,1.82,26.12,13.41,0.0,4.65
2024,6,1.09,26.23,14.34,0.1,3.7
2024,7,1.51,25.39,15.62,10.74,3.21
2024,8,1.94,26.2,13.7,4.59,2.96
2024,9,1.57,27.53,12.71,0.0,2.92
2024,10,1.66,26.39,16.05,2.06,4.69
2024,11,1.87,24.33,13.32,3.54,6.29
2024,12,1.94,22.47,11.07,0.0,5.81
2024,13,1.77,26.14,12.41,1.36,4.25
2024,14,1.77,26.56,13.44,4.76,5.46
2024,15,1.92,25.36,11.28,0.0,3.32
2024,16,0.73,23.24,12.92,12.32,6.51
2024,17,1.91,24.69,12.9,0.0,5.75
2024,18,1.38,26.05,14.94,0.0,3.63
2024,19,1.92,25.22,12.67,0.01,5.87
2024,20,1.92,23.07,10.74,0.0,6.48
2024,21,1.83,22.81,11.52,0.0,5.91
2024,22,1.91,23.73,11.15,0.0,5.24
2024,23,1.93,24.76,11.04,0.0,5.69
2024,24,1.91,24.67,11.06,0.0,4.9
2024,25,1.91,25.68,12.14,0.0,4.59
2024,26,1.91,25.89,12.15,0.0,5.18
2024,27,1.9,25.31,11.82,0.0,5.58
2024,28,1.85,25.28,12.85,0.0,5.89
2024,29,1.69,26.5,13.52,0.0,4.02
2024,30,1.78,27.71,14.51,0.0,3.0
2024,31,1.66,29.7,14.62,0.0,2.63
2024,32,1.75,30.89,15.04,0.21,3.65
2024,33,1.84,31.04,13.94,0.0,4.33
2024,34,1.54,30.01,14.41,0.0,5.01
2024,35,1.7,23.71,12.76,0.0,7.24
2024,36,1.63,26.02,13.73,0.0,5.27
2024,37,1.14,29.7,16.4,0.7,4.51
2024,38,1.18,31.25,16.78,0.25,3.7
2024,39,1.05,29.01,16.33,1.77,4.84
2024,40,0.83,27.42,17.45,24.19,4.07
2024,41,1.11,27.57,18.6,46.71,3.6
2024,42,1.76,28.3,16.64,0.02,2.46
2024,43,0.58,24.59,16.18,20.73,6.88
2024,44,1.83,19.75,9.99,0.0,6.42
2024,45,1.76,20.95,10.24,0.0,4.58
2024,46,1.59,23.26,12.2,0.0,4.99
2024,47,1.49,24.2,13.32,0.0,5.3
2024,48,1.61,24.51,13.47,0.0,5.2
2024,49,1.16,25.29,15.9,1.06,3.54
2024,50,1.67,24.89,14.89,0.18,5.42
2024,51,1.62,25.32,15.3,0.0,4.6
2024,52,1.61,26.06,14.8,0.0,4.7
2024,53,1.49,26.74,14.68,0.0,3.63
2024,54,0.86,25.48,14.96,0.0,4.16
2024,55,1.51,23.27,12.86,0.0,7.46
2024,56,1.12,23.51,12.85,0.36,6.97
2024,57,0.74,23.37,14.82,20.34,5.06
2024,58,1.37,24.83,15.15,0.07,2.96
