
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.64,14.91,8.1,0.01,1.56
2024,2,0.67,15.59,8.31,0.0,2.25
2024,3,0.68,14.39,7.73,0.0,1.51
2024,4,0.69,14.18,7.22,0.0,1.51
2024,5,0.7,13.86,6.18,0.0,1.23
2024,6,0.72,15.4,7.67,0.01,1.59
2024,7,0.65,14.6,6.24,0.0,2.52
2024,8,0.64,13.45,4.38,0.0,1.87
2024,9,0.69,10.95,3.75,0.0,2.1
2024,10,0.66,11.74,4.99,0.01,2.71
2024,11,0.55,13.03,6.7,0.29,2.3
2024,12,0.66,12.28,5.27,0.02,2.4
2024,13,0.67,12.1,4.79,0.02,3.58
2024,14,0.65,12.28,6.28,0.25,1.73
2024,15,0.74,11.71,5.71,0.01,1.4
2024,16,0.72,11.99,4.39,0.0,1.63
2024,17,0.65,13.8,4.21,0.0,1.38
2024,18,0.72,14.62,4.49,0.0,0.79
2024,19,0.75,15.49,5.1,0.0,0.99
2024,20,0.74,16.45,5.55,0.0,1.15
2024,21,0.69,16.35,4.19,0.0,2.61
2024,22,0.69,14.28,6.16,0.05,3.05
2024,23,0.65,14.53,6.81,0.08,2.94
2024,24,0.69,12.49,5.87,0.2,2.28
2024,25,0.62,11.91,6.61,0.52,2.13
2024,26,0.63,13.11,6.58,0.76,3.55
2024,27,0.64,13.18,6.2,0.4,2.78
2024,28,0.65,12.19,6.01,0.46,1.5
2024,29,0.58,11.17,5.88,0.71,2.72
2024,30,0.67,9.4,4.63,0.03,3.36
2024,31,0.7,8.49,4.67,42.54,2.61
2024,32,0.77,8.91,5.37,1.96,2.81
2024,33,0.69,10.76,6.75,31.46,2.37
2024,34,0.85,9.73,4.77,0.0,1.95
2024,35,0.76,10.23,5.37,0.25,1.59
2024,36,0.67,11.23,6.52,0.02,1.89
2024,37,0.88,12.53,6.68,0.02,1.6
2024,38,0.87,13.46,6.94,0.06,1.18
2024,39,0.86,13.08,6.2,0.01,1.63
2024,40,0.89,13.34,6.33,0.0,1.51
2024,41,0.91,13.56,6.71,0.0,1.39
2024,42,0.95,13.97,6.6,0.03,2.03
2024,43,0.7,14.13,5.28,0.0,2.53
2024,44,0.62,14.8,5.76,0.01,3.43
2024,45,0.76,12.68,6.51,0.04,2.19
2024,46,0.73,12.21,6.31,1.06,2.83
2024,47,0.86,12.35,6.21,0.27,3.49
2024,48,0.87,12.33,6.21,0.08,2.7
2024,49,0.78,13.42,6.8,0.03,1.73
2024,50,0.86,12.78,6.47,0.03,2.39
2024,51,0.95,12.98,6.12,0.0,1.49
2024,52,0.98,13.63,6.33,0.01,2.32
2024,53,1.06,13.38,6.45,0.02,2.67
2024,54,0.65,13.22,7.43,0.1,2.55
2024,55,0.93,15.37,7.22,0.16,2.27
2024,56,1.09,14.86,6.76,0.04,1.8
2024,57,0.99,15.96,5.92,0.0,2.24
2024,58,0.74,14.49,7.42,0.0,2.56
2024,59,1.04,15.25,7.09,0.0,2.57
2024,60,1.1,17.37,6.16,0.0,2.3
2024,61,1.03,20.73,5.25,0.0,2.06
2024,62,1.01,16.1,6.19,0.0,2.92
2024,63,1.03,14.82,7.37,0.0,2.25
2024,64,1.14,14.9,6.66,0.0,1.54
2024,65,1.14,17.41,5.95,0.0,1.44
2024,66,0.99,15.62,7.03,0.0,2.55
2024,67,0.95,15.14,7.09,0.0,1.97
2024,68,1.09,15.03,6.53,0.0,2.04
2024,69,1.13,14.94,6.34,0.0,1.97
2024,70,1.19,14.99,6.34,0.0,3.07
2024,71,1.22,14.9,6.1,0.0,2.89
2024,72,1.2,17.2,5.67,0.0,1.8
2024,73,1.09,16.93,6.35,0.0,1.78
2024,74,1.18,15.97,6.63,0.0,2.1
2024,75,1.17,15.47,6.29,0.0,1.91
2024,76,0.75,15.85,6.79,0.0,2.34
2024,77,0.92,17.25,7.44,0.0,3.57
2024,78,0.81,14.67,7.19,1.25,3.23
2024,79,1.11,14.74,6.39,0.07,3.39
2024,80,1.26,16.98,5.78,0.0,2.44
2024,81,1.22,17.32,5.9,0.05,3.38
2024,82,1.25,14.22,5.43,0.0,2.69
2024,83,1.22,14.78,5.48,0.0,1.91
2024,84,0.93,12.81,6.79,4.02,2.47
2024,85,1.31,14.32,5.07,0.0,1.83
2024,86,1.17,18.49,4.64,0.0,1.87
2024,87,1.2,22.76,4.72,0.0,1.68
2024,88,0.94,21.3,5.39,0.02,2.1
2024,89,1.15,20.15,9.04,0.53,2.78
2024,90,1.23,20.48,8.29,0.38,2.81
2024,91,1.27,23.09,8.89,0.05,3.69
2024,92,1.24,23.84,8.52,0.0,3.7
2024,93,1.36,22.82,7.79,0.0,3.41
2024,94,1.4,22.2,7.29,0.0,2.3
2024,95,1.39,22.63,5.94,0.0,2.32
2024,96,1.33,20.62,6.99,0.0,2.65
2024,97,1.35,18.76,6.98,0.0,3.06
2024,98,1.26,18.49,7.22,0.06,3.31
2024,99,1.04,18.24,7.74,0.3,2.5
2024,100,1.14,17.99,7.29,0.08,3.15
2024,101,1.37,18.76,7.26,0.0,2.02
2024,102,1.45,20.5,7.14,0.0,1.81
2024,103,1.42,20.64,7.09,0.01,2.27
2024,104,1.31,21.1,8.17,0.19,2.96
2024,105,1.37,21.31,8.54,0.36,3.33
2024,106,1.45,21.88,7.94,0.22,3.52
2024,107,1.47,22.26,7.64,0.0,2.61
2024,108,1.43,26.22,5.98,0.0,3.23
2024,109,1.0,23.59,8.12,0.0,2.54
2024,110,1.53,21.82,7.8,0.0,2.16
