
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,0.95,22.85,1.62,0.5,15.92
2024,2,1.25,22.88,1.41,0.16,15.9
2024,3,1.2,23.36,1.7,0.23,16.39
2024,4,1.24,23.62,1.81,0.31,16.39
2024,5,1.16,23.22,1.92,0.62,16.09
2024,6,1.09,22.85,1.89,1.6,16.07
2024,7,1.19,22.91,1.91,1.31,15.89
2024,8,1.24,22.62,1.9,1.25,15.36
2024,9,1.24,23.05,1.83,2.87,16.4
2024,10,1.16,23.34,1.84,2.21,16.86
2024,11,1.25,23.08,1.82,0.04,15.9
2024,12,1.36,22.71,1.63,0.01,15.52
2024,13,1.3,22.85,1.59,0.02,15.98
2024,14,0.88,23.11,1.93,0.08,16.16
2024,15,1.21,23.44,1.94,0.04,16.25
2024,16,1.17,23.39,2.05,0.0,16.14
2024,17,1.24,22.98,2.08,0.0,15.62
2024,18,1.35,22.65,1.82,0.0,15.06
2024,19,1.37,23.05,1.69,0.0,15.63
2024,20,1.3,23.23,1.76,0.0,15.5
2024,21,1.24,23.05,2.04,0.07,16.12
2024,22,1.28,22.55,2.28,0.13,15.22
2024,23,1.19,22.84,1.84,0.27,15.82
2024,24,1.31,22.43,1.72,0.14,15.24
2024,25,1.3,22.6,1.83,0.22,15.64
2024,26,1.2,22.5,1.71,1.32,15.18
2024,27,1.35,22.25,1.43,0.92,15.17
2024,28,1.39,21.79,1.62,0.37,14.39
2024,29,1.43,22.08,1.38,0.24,14.83
2024,30,1.36,23.07,1.26,0.31,16.09
2024,31,1.23,23.26,1.54,0.0,16.56
2024,32,1.11,23.66,1.32,0.0,16.65
2024,33,1.09,23.63,1.31,0.0,16.5
2024,34,1.17,23.93,1.24,0.0,16.16
2024,35,1.12,24.32,0.85,0.0,16.54
2024,36,1.21,25.32,1.16,0.0,15.99
2024,37,1.16,25.99,0.75,0.0,17.12
2024,38,0.8,24.92,0.95,0.01,17.86
2024,39,0.37,23.77,1.8,0.02,16.85
2024,40,0.65,23.27,2.01,1.44,16.41
2024,41,1.23,23.34,1.94,6.02,16.75
2024,42,1.34,22.86,1.98,3.77,15.68
2024,43,1.32,23.17,2.18,2.14,15.93
2024,44,1.32,23.8,1.96,1.93,16.35
2024,45,1.21,24.17,2.03,2.11,16.98
2024,46,1.38,24.24,2.1,0.0,16.54
2024,47,1.4,24.04,2.07,0.0,15.85
2024,48,1.49,23.87,1.9,0.0,15.5
2024,49,1.53,23.86,1.91,0.0,15.2
2024,50,1.45,23.82,1.91,0.0,15.46
2024,51,1.42,23.14,1.84,0.0,15.18
2024,52,1.42,22.7,1.39,0.0,14.78
2024,53,1.46,22.14,1.16,0.0,14.39
2024,54,1.44,22.64,1.39,0.0,14.55
2024,55,1.39,23.15,1.65,0.0,14.55
2024,56,1.29,23.26,1.64,0.02,15.36
2024,57,1.18,23.23,1.78,0.03,15.02
2024,58,1.33,22.89,1.92,0.03,14.78
2024,59,1.44,22.72,2.04,0.02,14.32
2024,60,1.45,23.16,1.9,0.02,14.63
2024,61,1.45,23.21,1.95,0.03,14.97
2024,62,1.3,22.94,1.89,0.02,14.43
