
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,0.27,0.73,5.02,0.28,3.21
2024,2,0.37,0.45,6.6,0.0,3.27
2024,3,0.12,1.23,4.15,0.06,3.33
2024,4,0.41,0.72,2.64,0.0,2.51
2024,5,0.39,1.09,3.51,0.05,3.03
2024,6,0.15,1.23,2.81,2.72,3.62
2024,7,0.17,1.15,4.57,0.44,3.4
2024,8,0.23,1.79,5.18,1.93,3.45
2024,9,0.16,1.65,6.94,23.29,4.22
2024,10,0.19,0.13,6.92,0.63,3.4
2024,11,0.46,0.09,4.57,0.4,3.31
2024,12,0.12,1.26,7.42,20.37,4.02
2024,13,0.31,-4.76,9.78,1.77,2.58
2024,14,0.49,-16.7,8.92,0.48,1.24
2024,15,0.44,-15.58,6.54,0.25,1.33
2024,16,0.49,-14.46,8.59,0.08,1.36
2024,17,0.48,-9.4,7.55,0.1,1.75
2024,18,0.39,-5.42,3.16,1.18,1.99
2024,19,0.47,-8.63,8.03,0.94,1.83
2024,20,0.5,-8.11,6.21,0.28,1.77
2024,21,0.41,-8.98,6.1,0.0,1.68
2024,22,0.19,-1.38,6.92,1.76,3.13
2024,23,0.13,1.28,2.21,8.79,3.95
2024,24,0.26,2.01,2.33,5.58,4.24
2024,25,0.27,2.3,3.36,12.09,4.4
2024,26,0.29,2.41,2.78,4.21,4.35
2024,27,0.32,2.57,2.46,1.65,4.4
2024,28,0.28,2.08,5.49,1.34,3.97
2024,29,0.44,0.95,5.12,0.06,3.65
2024,30,0.25,2.34,4.43,0.73,3.99
2024,31,0.27,2.05,4.74,0.01,3.97
2024,32,0.53,3.0,4.66,0.0,4.39
2024,33,0.53,2.03,4.06,0.0,3.79
2024,34,0.48,0.98,3.75,0.0,3.71
2024,35,0.6,1.89,3.74,0.0,3.85
2024,36,0.54,1.64,3.32,0.0,4.04
2024,37,0.37,2.27,1.74,0.0,4.12
2024,38,0.32,2.3,3.55,0.0,4.09
2024,39,0.42,7.01,7.1,1.02,5.86
2024,40,0.6,5.82,4.86,0.01,4.9
2024,41,0.58,1.64,3.97,0.0,3.37
2024,42,0.64,0.9,2.9,0.0,3.06
2024,43,0.67,1.57,2.04,0.0,3.33
2024,44,0.63,1.12,3.76,0.09,3.28
2024,45,0.7,2.34,2.87,0.0,3.22
2024,46,0.56,2.08,7.96,3.04,3.37
2024,47,0.3,-1.77,5.13,0.26,2.34
2024,48,0.66,-4.77,8.56,0.0,1.88
2024,49,0.73,0.19,5.72,0.0,2.92
2024,50,0.68,2.71,1.93,0.0,3.39
2024,51,0.73,3.17,4.56,0.0,3.92
2024,52,0.65,6.06,4.23,0.05,5.11
2024,53,0.53,6.39,2.39,1.96,4.71
2024,54,0.73,2.21,6.05,1.83,3.85
2024,55,0.74,-1.39,4.72,0.03,2.38
2024,56,0.75,4.75,4.8,0.02,4.08
2024,57,0.75,7.3,4.58,0.0,5.41
2024,58,0.7,11.04,5.36,1.91,8.07
2024,59,0.82,-1.93,8.75,8.0,2.39
2024,60,0.88,-0.9,4.45,0.0,2.38
2024,61,0.42,2.43,4.4,0.0,3.61
2024,62,0.86,4.97,3.78,0.0,4.77
2024,63,0.88,8.7,6.87,0.0,6.04
2024,64,0.44,11.52,4.13,2.05,8.23
2024,65,0.38,4.93,6.23,24.12,5.14
2024,66,0.86,4.54,5.06,0.04,4.48
2024,67,0.57,4.31,3.07,0.01,4.38
2024,68,0.23,4.65,4.24,24.1,5.15
2024,69,0.83,3.26,6.71,0.26,3.57
2024,70,1.02,2.41,5.7,0.01,3.07
2024,71,0.99,6.78,6.24,0.0,4.31
2024,72,0.85,9.41,5.35,0.0,6.05
2024,73,0.77,9.09,2.39,6.48,6.43
2024,74,0.58,7.68,4.61,13.28,6.37
2024,75,0.86,4.21,3.6,0.0,4.57
2024,76,0.88,6.1,6.87,0.12,4.48
2024,77,0.72,1.23,6.65,0.02,2.99
2024,78,0.7,-0.08,5.78,0.02,2.73
2024,79,0.98,3.86,7.32,0.0,3.65
2024,80,1.15,1.12,5.98,0.0,2.54
2024,81,0.86,1.08,2.44,0.08,2.18
2024,82,0.7,1.7,5.17,3.86,3.41
2024,83,0.88,1.05,4.84,0.05,2.88
2024,84,0.81,3.46,5.66,0.0,3.29
2024,85,0.51,8.25,6.36,9.74,5.67
2024,86,0.57,6.47,8.44,3.73,5.19
2024,87,1.08,1.68,6.39,0.01,2.95
2024,88,1.0,3.44,3.74,0.0,3.4
2024,89,1.04,4.39,2.98,9.2,3.87
2024,90,0.98,6.43,4.07,7.75,5.66
2024,91,0.99,3.9,3.89,15.45,4.34
2024,92,0.48,5.18,5.82,8.63,5.14
