
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.04,11.07,5.66,0.0,0.47
2024,2,0.89,10.65,5.64,0.0,1.33
2024,3,1.05,11.52,5.3,0.01,0.95
2024,4,1.11,10.25,6.8,0.0,1.92
2024,5,1.09,10.32,6.68,0.04,2.08
2024,6,1.08,10.75,5.35,0.0,1.66
2024,7,0.59,10.65,6.53,0.31,1.21
2024,8,0.97,11.2,7.46,0.01,2.25
2024,9,0.79,11.26,5.21,0.0,1.09
2024,10,1.04,10.33,6.05,0.0,1.97
2024,11,1.01,12.06,5.92,0.0,1.54
2024,12,1.09,14.3,4.88,0.0,0.88
2024,13,0.86,12.98,5.68,0.0,1.54
2024,14,0.89,13.75,5.41,0.0,0.91
2024,15,1.13,14.07,4.83,0.01,1.04
2024,16,1.1,14.49,4.76,0.03,0.72
2024,17,0.98,14.28,5.98,0.0,1.04
2024,18,1.0,13.93,5.06,0.0,1.07
2024,19,0.7,12.32,4.07,0.01,1.06
2024,20,0.66,9.82,6.75,0.24,0.71
2024,21,0.73,11.31,7.45,1.19,0.55
2024,22,0.92,11.95,7.66,0.37,1.08
2024,23,1.09,12.62,7.05,0.0,1.06
2024,24,1.17,12.86,6.78,0.01,1.47
2024,25,1.15,12.3,5.39,0.0,1.33
2024,26,1.16,12.86,5.26,0.0,1.69
2024,27,1.14,12.85,4.72,0.03,0.7
2024,28,1.04,10.97,6.34,0.02,1.24
2024,29,1.01,9.8,5.04,0.01,0.92
2024,30,0.81,10.96,4.75,0.0,0.71
2024,31,1.04,11.8,5.5,0.07,0.79
2024,32,0.64,11.26,6.75,0.1,1.14
2024,33,1.23,11.96,6.87,0.0,1.55
2024,34,1.3,10.47,6.42,0.0,2.66
2024,35,1.32,10.29,3.41,0.0,1.72
2024,36,1.3,10.02,2.89,0.0,1.54
2024,37,1.31,11.89,2.58,0.0,1.07
2024,38,1.27,13.68,5.06,0.0,1.05
2024,39,1.29,15.73,6.07,0.0,0.84
2024,40,1.25,14.84,5.31,0.0,1.04
