
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,0.48,1.67,1.16,0.0,2.95
2024,2,0.5,0.6,1.07,0.0,2.89
2024,3,0.51,-1.11,2.4,0.0,2.16
2024,4,0.38,-2.14,1.57,0.58,2.38
2024,5,0.45,-2.94,2.18,0.3,2.23
2024,6,0.55,-4.27,2.11,0.55,1.76
2024,7,0.38,-4.32,2.11,0.96,1.8
2024,8,0.41,-8.54,6.16,2.02,1.63
2024,9,0.48,-4.8,4.11,0.06,1.72
2024,10,0.55,-5.57,4.83,0.98,1.41
2024,11,0.53,-9.52,3.53,0.57,1.45
2024,12,0.53,-8.56,4.29,0.64,1.19
2024,13,0.52,-10.93,2.32,1.36,1.31
2024,14,0.45,-10.51,1.43,2.17,1.73
2024,15,0.33,-17.58,2.89,2.77,0.95
2024,16,0.56,-11.05,4.15,0.0,1.22
2024,17,0.45,-3.25,2.09,1.21,2.51
2024,18,0.58,-2.5,3.32,0.39,2.79
2024,19,0.57,-4.66,1.05,0.17,2.55
2024,20,0.56,0.7,1.48,0.02,3.26
2024,21,0.43,2.21,1.61,0.1,3.51
2024,22,0.54,1.31,1.38,0.3,3.52
2024,23,0.58,1.33,1.9,0.15,3.53
2024,24,0.53,1.38,1.36,0.14,3.25
2024,25,0.6,0.87,1.15,0.78,3.1
2024,26,0.43,-1.19,1.98,2.73,3.26
2024,27,0.64,-1.07,2.67,0.02,2.11
2024,28,0.69,3.59,1.87,0.03,3.48
2024,29,0.64,4.18,1.31,0.0,4.03
2024,30,0.7,3.99,2.06,0.0,3.5
2024,31,0.6,4.63,2.1,0.0,2.94
2024,32,0.71,5.3,1.89,0.01,2.83
2024,33,0.64,2.51,1.73,4.48,4.27
2024,34,0.66,-1.43,2.11,14.93,4.0
2024,35,0.71,-3.92,1.78,0.62,2.4
2024,36,0.78,0.35,1.94,0.09,2.89
2024,37,0.61,3.17,3.17,0.14,3.31
2024,38,0.71,2.06,4.32,0.34,3.1
2024,39,0.81,0.08,2.83,0.56,2.56
2024,40,0.69,-2.05,1.29,2.6,2.47
2024,41,0.48,-5.32,3.07,5.14,2.28
2024,42,0.79,-5.69,2.02,0.12,1.68
2024,43,0.82,-0.73,1.71,0.19,2.52
2024,44,0.83,-0.58,2.31,0.02,2.22
2024,45,0.77,0.35,2.83,0.19,2.55
2024,46,0.79,0.73,3.25,0.39,2.86
2024,47,0.47,-2.68,2.12,2.75,2.53
2024,48,0.87,-5.23,2.23,0.74,1.74
2024,49,0.76,0.0,2.02,0.35,2.06
2024,50,0.89,2.78,3.1,0.03,2.56
2024,51,0.87,4.95,2.4,0.14,3.57
2024,52,0.87,4.42,2.92,0.05,3.06
2024,53,0.59,0.35,2.01,0.64,3.18
2024,54,0.95,-0.07,3.34,0.06,2.07
2024,55,0.91,2.3,4.84,0.0,2.11
2024,56,0.94,4.39,5.38,0.02,2.44
2024,57,0.93,6.06,5.56,0.23,3.16
2024,58,0.45,-1.32,3.78,2.86,2.43
2024,59,0.95,-0.76,2.39,0.03,1.82
2024,60,1.05,3.27,2.99,0.55,2.29
2024,61,1.04,4.6,3.24,0.0,2.96
2024,62,1.04,6.1,5.32,0.23,2.79
2024,63,1.04,2.45,3.77,1.52,2.84
2024,64,1.07,-0.13,2.18,0.3,2.51
2024,65,1.0,-0.29,1.72,0.16,2.5
2024,66,1.06,3.49,2.46,0.11,3.0
2024,67,0.54,0.3,2.08,1.15,3.8
2024,68,0.57,-3.69,2.58,1.2,2.58
2024,69,1.16,0.55,2.11,0.01,1.98
2024,70,1.14,4.53,2.84,0.25,2.17
2024,71,0.69,5.29,1.79,0.05,2.57
2024,72,0.86,5.95,1.71,0.36,3.64
2024,73,0.72,3.23,2.34,9.25,4.3
2024,74,0.34,-3.31,3.74,26.62,3.59
2024,75,0.72,-3.13,2.7,2.11,3.44
2024,76,0.86,-1.3,1.99,0.29,3.12
2024,77,0.78,-0.07,1.74,0.11,3.1
2024,78,1.23,3.2,1.66,0.0,3.27
2024,79,1.21,6.99,1.3,0.0,3.65
2024,80,1.07,6.15,1.53,0.0,3.56
2024,81,1.21,6.95,2.49,0.04,3.4
2024,82,1.27,6.38,1.77,0.11,3.55
