
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.74,25.28,13.95,0.01,5.1
2024,2,0.77,24.54,13.27,0.0,6.2
2024,3,0.74,23.93,12.84,0.01,5.09
2024,4,0.75,23.39,12.64,0.03,8.1
2024,5,0.8,23.29,12.07,0.0,4.05
2024,6,0.78,23.41,11.89,0.0,4.81
2024,7,0.8,23.05,10.42,0.0,3.2
2024,8,0.78,23.54,9.77,0.0,3.06
2024,9,0.84,23.46,9.21,0.0,2.12
2024,10,0.84,22.41,10.01,0.0,2.34
2024,11,0.81,21.89,10.73,0.0,2.49
2024,12,0.82,22.46,9.64,0.0,3.06
2024,13,0.79,23.49,8.73,0.0,1.91
2024,14,0.82,23.91,10.01,0.0,2.24
2024,15,0.83,24.59,11.39,0.0,3.12
2024,16,0.81,24.64,14.76,0.0,5.14
2024,17,0.83,24.19,12.41,0.0,7.62
2024,18,0.81,22.87,11.25,0.0,4.47
2024,19,0.77,23.27,11.29,0.0,5.23
2024,20,0.83,22.6,11.38,0.0,2.99
2024,21,0.82,22.76,11.5,0.0,3.86
2024,22,0.86,23.1,11.27,0.0,3.34
2024,23,0.86,22.99,11.16,0.0,2.55
2024,24,0.86,22.19,11.27,0.0,3.16
2024,25,0.84,23.04,10.55,0.0,3.04
2024,26,0.76,24.03,9.8,0.0,2.68
2024,27,0.76,23.65,13.25,0.01,4.33
2024,28,0.77,23.27,12.47,0.05,5.4
2024,29,0.81,22.72,10.31,0.0,6.5
2024,30,0.86,23.47,11.64,0.0,2.58
2024,31,0.81,23.93,13.46,0.38,2.27
2024,32,0.77,24.24,13.09,0.47,5.56
2024,33,0.54,23.22,12.97,0.54,6.39
2024,34,0.75,21.08,9.42,0.0,8.68
2024,35,1.0,21.04,9.06,0.0,7.93
2024,36,0.92,21.74,9.51,0.0,7.76
2024,37,0.93,22.05,9.77,0.0,8.12
2024,38,0.98,21.69,9.52,0.0,5.84
2024,39,1.0,21.32,10.08,0.0,5.7
2024,40,1.02,20.97,9.77,0.0,4.06
2024,41,1.01,20.94,9.1,0.0,1.98
2024,42,0.27,21.12,11.07,2.71,3.29
2024,43,0.67,20.9,12.66,102.55,6.55
2024,44,1.01,22.38,12.49,0.16,4.88
2024,45,0.96,22.9,14.04,0.17,4.32
2024,46,1.1,22.91,14.37,0.01,3.41
2024,47,1.0,23.29,14.88,0.0,3.91
2024,48,0.95,23.89,13.94,0.0,3.08
2024,49,1.05,22.98,12.24,0.0,7.47
2024,50,1.11,21.84,10.25,0.0,7.27
2024,51,1.02,22.35,10.73,0.0,6.44
2024,52,1.16,22.42,10.49,0.0,7.34
2024,53,1.12,22.12,10.74,0.0,4.33
2024,54,1.13,21.9,11.82,0.0,2.96
2024,55,1.0,22.18,14.07,0.02,3.34
2024,56,0.49,22.91,12.85,0.01,2.87
2024,57,1.04,22.08,12.18,0.02,6.52
2024,58,1.15,21.54,10.32,0.02,4.67
2024,59,0.91,21.47,9.8,0.0,2.3
2024,60,0.97,21.77,10.22,0.02,6.86
2024,61,1.1,19.87,8.22,0.0,5.27
2024,62,1.14,20.33,7.75,0.0,4.48
2024,63,1.23,20.79,7.17,0.0,1.95
2024,64,0.83,22.01,10.19,0.87,3.94
2024,65,0.67,22.32,13.71,3.77,5.45
2024,66,1.17,21.97,10.57,0.01,4.49
2024,67,1.14,22.21,10.67,0.0,2.2
2024,68,1.05,23.49,13.1,0.05,2.54
2024,69,0.26,22.07,14.16,40.61,3.26
2024,70,1.25,22.01,12.75,0.16,2.43
2024,71,1.18,22.48,12.36,0.19,2.73
2024,72,1.2,23.14,12.42,0.01,6.66
2024,73,1.2,22.72,12.03,0.0,3.15
2024,74,1.24,23.3,13.98,0.03,2.87
2024,75,0.86,23.39,15.17,0.01,1.91
2024,76,1.11,23.97,14.21,0.0,2.51
2024,77,1.17,24.82,14.54,0.0,2.72
2024,78,1.24,24.06,16.55,0.01,2.71
2024,79,0.88,24.65,16.69,0.02,1.67
2024,80,1.02,24.86,16.08,0.01,4.02
2024,81,1.25,23.97,14.61,0.01,4.98
2024,82,1.04,23.59,13.77,0.0,2.88
2024,83,0.77,25.05,14.56,0.79,2.0
2024,84,0.73,25.43,15.4,0.07,2.98
2024,85,0.7,25.66,15.21,0.0,4.3
2024,86,1.13,23.63,12.84,0.0,7.47
2024,87,1.18,22.62,11.32,0.0,8.01
2024,88,1.32,23.23,12.64,0.0,7.64
2024,89,1.37,23.29,13.08,0.0,6.91
2024,90,1.19,22.82,13.78,0.0,2.25
2024,91,0.76,23.43,15.03,0.0,2.62
2024,92,0.93,23.32,14.78,0.01,4.22
2024,93,1.22,23.62,14.88,0.04,4.18
2024,94,1.38,23.77,15.82,0.01,3.17
2024,95,1.34,23.83,15.48,0.0,4.5
2024,96,1.33,23.79,16.04,0.02,3.94
2024,97,1.31,23.79,16.45,0.0,3.55
2024,98,1.37,24.19,14.61,0.0,2.76
2024,99,1.04,25.39,14.02,0.0,1.63
2024,100,0.62,25.51,15.74,0.0,3.95
2024,101,1.22,25.34,16.75,0.0,5.01
2024,102,1.11,25.75,16.56,3.34,4.01
2024,103,1.1,25.9,16.97,0.11,3.59
2024,104,1.15,25.68,14.99,0.0,5.49
2024,105,1.31,25.39,14.18,0.0,5.3
2024,106,1.25,25.86,14.0,0.07,2.94
2024,107,0.19,24.32,16.52,51.14,7.29
2024,108,1.27,24.55,15.67,7.8,7.12
2024,109,1.51,25.12,15.43,0.09,4.07
2024,110,1.47,24.77,16.0,0.13,2.64
2024,111,1.43,24.8,15.8,0.04,2.38
2024,112,1.47,25.45,16.91,0.13,1.84
2024,113,1.23,26.71,15.66,0.02,2.04
2024,114,1.26,26.84,16.82,0.11,4.04
2024,115,1.45,26.16,17.16,0.08,5.02
2024,116,1.38,26.32,15.46,0.06,2.85
2024,117,1.43,26.31,16.8,0.01,2.63
2024,118,1.34,26.68,18.8,0.37,2.51
2024,119,1.24,27.58,17.08,0.03,4.15
2024,120,1.32,28.12,16.78,0.06,2.99
2024,121,1.39,27.87,17.62,0.02,2.73
2024,122,1.36,27.8,18.57,0.08,2.89
2024,123,0.6,25.52,17.58,19.46,3.1
2024,124,1.51,26.45,16.63,0.72,3.22
2024,125,1.42,27.61,15.83,0.0,2.62
2024,126,1.45,27.79,16.96,0.0,2.48
2024,127,1.55,27.78,17.67,0.0,1.51
2024,128,1.4,29.04,16.47,0.0,1.38
2024,129,1.34,29.06,18.23,0.01,2.38
2024,130,1.56,28.29,20.48,0.71,5.13
2024,131,1.63,27.44,16.58,0.0,5.84
2024,132,1.49,27.06,18.01,0.0,2.18
2024,133,1.43,27.98,20.0,0.0,1.7
2024,134,1.43,29.36,17.85,0.0,2.21
2024,135,1.39,30.52,16.87,0.0,3.22
2024,136,1.47,30.28,18.01,0.0,2.99
2024,137,1.47,30.41,17.94,0.0,3.06
