
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.09,6.89,5.95,10.01,6.23
2024,2,0.07,8.53,6.73,6.45,5.2
2024,3,0.11,7.78,6.41,2.17,4.16
2024,4,0.15,5.92,5.61,0.9,4.55
2024,5,0.14,6.24,5.59,1.52,5.15
2024,6,0.15,5.16,5.14,0.75,4.17
2024,7,0.15,4.59,4.58,0.48,2.33
2024,8,0.1,3.72,4.03,0.57,4.44
2024,9,0.14,4.06,4.02,0.27,6.36
2024,10,0.12,4.93,4.62,0.88,4.66
2024,11,0.11,6.38,5.0,0.27,3.53
2024,12,0.09,4.32,4.42,0.24,2.25
2024,13,0.15,3.76,4.63,0.6,2.97
2024,14,0.16,3.71,4.53,0.69,4.64
2024,15,0.18,1.96,3.86,0.25,4.55
2024,16,0.16,2.41,4.23,1.15,5.7
2024,17,0.19,1.46,3.76,0.15,4.03
2024,18,0.2,1.39,3.81,0.25,4.73
2024,19,0.17,2.9,4.09,0.11,6.0
2024,20,0.12,7.1,5.78,8.66,9.26
2024,21,0.1,9.31,6.76,9.73,9.94
2024,22,0.17,6.25,5.24,0.74,9.13
2024,23,0.18,9.07,6.66,6.12,9.05
2024,24,0.2,7.42,5.81,0.22,6.43
2024,25,0.16,10.18,7.21,5.42,7.34
2024,26,0.22,5.8,5.12,0.18,6.87
2024,27,0.18,7.8,6.07,0.24,6.54
2024,28,0.11,9.66,7.0,5.2,7.2
2024,29,0.17,5.35,5.06,9.06,4.5
2024,30,0.26,4.38,4.59,0.03,4.66
2024,31,0.12,6.47,5.42,2.46,7.24
2024,32,0.24,5.8,5.18,0.19,4.99
2024,33,0.18,10.47,7.3,1.16,6.86
2024,34,0.22,8.91,6.61,0.9,4.6
2024,35,0.23,9.4,6.79,0.53,7.27
2024,36,0.24,9.3,6.66,0.59,7.6
2024,37,0.23,7.59,5.86,8.83,5.16
2024,38,0.31,4.39,4.37,0.3,2.59
2024,39,0.14,5.19,5.23,18.98,7.5
2024,40,0.19,5.9,5.65,7.65,4.51
2024,41,0.28,7.03,6.09,1.08,2.78
2024,42,0.3,5.98,5.48,0.52,4.53
2024,43,0.29,5.24,5.14,0.69,6.13
2024,44,0.27,6.69,5.85,5.23,3.05
2024,45,0.24,10.42,7.51,8.24,4.46
2024,46,0.33,10.15,7.39,5.05,3.51
2024,47,0.28,9.07,6.81,1.04,3.47
2024,48,0.25,10.05,7.29,7.96,4.04
2024,49,0.3,9.7,6.93,0.31,3.57
2024,50,0.37,8.79,6.47,0.43,4.78
2024,51,0.38,9.32,6.7,1.5,5.13
2024,52,0.37,9.21,6.82,7.12,6.69
2024,53,0.41,5.76,5.32,6.21,5.86
2024,54,0.4,4.71,5.05,1.54,5.69
2024,55,0.35,4.87,5.03,0.79,2.77
2024,56,0.41,6.23,5.34,0.34,5.15
2024,57,0.42,5.58,4.8,0.15,4.42
2024,58,0.35,6.31,5.32,0.92,4.93
2024,59,0.29,8.45,6.56,7.16,5.67
2024,60,0.41,5.93,5.18,1.73,6.04
2024,61,0.29,4.76,5.01,21.16,6.63
2024,62,0.36,4.55,4.84,2.88,5.92
2024,63,0.4,5.24,5.03,0.54,3.14
2024,64,0.39,6.47,5.61,3.44,6.57
2024,65,0.51,7.08,5.55,0.38,4.95
2024,66,0.44,7.4,5.72,0.11,5.41
