YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.02,23.53,16.72,13.15,1.0
2024,2,1.21,23.38,17.05,6.04,1.34
2024,3,1.27,23.33,17.31,7.67,2.46
2024,4,0.89,22.96,17.11,11.26,1.83
2024,5,1.14,23.32,16.64,3.47,1.9
2024,6,1.62,24.49,16.22,0.5,1.7
2024,7,1.5,25.6,16.67,5.9,0.91
2024,8,1.27,24.18,17.24,7.96,1.1
2024,9,1.34,23.54,16.95,1.71,1.64
2024,10,1.07,23.9,16.34,6.39,2.04
2024,11,1.43,23.34,15.93,2.3,1.37
2024,12,1.69,25.01,16.2,0.48,1.42
2024,13,1.31,23.13,16.31,1.3,1.46
2024,14,1.0,24.63,16.21,3.74,1.01
2024,15,1.34,22.93,15.89,7.82,0.61
2024,16,1.65,25.16,15.29,2.45,1.6
2024,17,1.73,26.46,15.02,0.06,1.5
2024,18,1.66,26.63,15.1,21.74,1.19
2024,19,1.66,26.98,16.19,10.74,0.71
2024,20,1.65,26.37,16.39,0.47,1.07
2024,21,1.25,25.99,16.36,2.3,1.49
2024,22,1.42,25.42,17.0,3.97,1.83
2024,23,1.3,24.81,17.29,5.97,2.02
2024,24,1.2,23.97,17.53,9.38,2.59
2024,25,1.16,24.66,15.35,0.66,1.81
2024,26,1.18,23.9,13.42,0.41,1.39
2024,27,1.53,24.73,13.9,1.3,1.01
2024,28,1.56,23.37,15.1,4.58,2.25
2024,29,1.4,24.76,14.81,0.18,2.3
2024,30,1.57,25.37,13.2,0.03,0.89
2024,31,1.04,25.61,13.81,6.24,0.84
2024,32,1.52,24.3,15.82,10.42,1.59
2024,33,1.04,23.48,15.88,13.3,2.13
2024,34,1.05,23.06,14.25,6.31,2.11
2024,35,1.18,23.11,15.1,7.44,1.86
2024,36,1.07,23.03,15.07,4.01,1.05
2024,37,1.46,24.52,15.16,6.01,1.09
2024,38,1.47,24.76,16.24,8.07,1.36
2024,39,1.3,24.05,16.67,6.0,1.31
2024,40,1.44,24.27,17.01,8.71,1.18
2024,41,1.28,23.45,17.04,8.97,2.59
2024,42,0.97,23.12,15.83,4.55,3.26
2024,43,1.57,24.06,14.78,0.83,1.98
2024,44,1.71,25.11,14.51,0.22,2.0
2024,45,1.73,25.64,13.41,1.1,1.42
2024,46,1.4,26.27,13.72,2.6,0.95
2024,47,1.19,23.78,15.46,3.18,1.03
2024,48,0.96,24.82,16.18,4.51,1.59
2024,49,0.97,23.48,16.58,2.08,1.75
2024,50,1.23,24.12,16.65,5.3,2.53
2024,51,0.83,22.96,17.07,12.76,3.38
2024,52,1.24,23.87,16.33,8.71,2.84
2024,53,1.33,23.91,16.37,1.14,1.81
2024,54,1.22,22.94,16.95,4.91,1.52
2024,55,1.48,24.28,16.0,4.53,1.69
2024,56,1.6,24.93,16.06,0.16,2.1
2024,57,1.66,24.87,14.1,0.11,2.52
2024,58,1.63,24.57,13.08,0.04,2.08
2024,59,1.66,26.03,13.73,0.01,1.6
2024,60,1.59,27.53,14.3,0.33,0.76
2024,61,1.41,27.7,15.87,0.95,1.2
2024,62,1.16,28.21,16.38,5.57,1.11
2024,63,1.45,27.53,15.38,5.04,0.98
2024,64,1.18,25.58,15.39,2.65,1.63
2024,65,1.41,24.54,15.21,3.64,1.97
2024,66,1.24,25.3,15.47,2.86,1.34
2024,67,1.09,25.11,17.26,6.86,1.48
2024,68,1.51,26.56,15.94,2.73,1.66
2024,69,1.12,26.95,16.31,12.04,1.33
2024,70,1.05,25.46,16.69,13.5,1.33
2024,71,1.35,25.87,17.12,1.0,1.26
2024,72,1.24,24.6,17.79,3.8,1.37
2024,73,0.99,24.49,17.5,1.01,1.2
2024,74,1.38,25.92,16.99,3.34,0.93
2024,75,1.37,26.63,17.35,3.42,1.53
2024,76,1.47,27.0,16.52,5.2,1.73
2024,77,1.39,26.14,16.54,3.73,0.99
2024,78,1.41,26.63,16.31,1.99,0.86
2024,79,1.33,26.55,16.73,11.98,1.51
2024,80,1.27,26.85,17.58,5.78,1.03
2024,81,0.99,23.91,18.19,9.85,1.67
2024,82,1.25,25.27,16.96,1.9,0.85
