
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,1.16,19.21,2.15,0.0,12.04
2024,2,0.95,19.74,2.36,0.38,12.66
2024,3,1.12,19.56,1.44,0.17,12.56
2024,4,0.98,20.16,1.15,0.03,13.35
2024,5,1.19,20.22,1.43,0.0,13.66
2024,6,1.2,19.85,1.11,0.0,12.12
2024,7,1.19,19.61,1.83,0.0,11.71
2024,8,1.21,19.28,1.64,0.0,11.37
2024,9,1.2,19.55,1.14,0.0,12.04
2024,10,1.12,19.92,0.96,0.0,12.14
2024,11,1.12,20.0,1.3,0.0,12.56
2024,12,1.18,19.52,1.32,0.0,12.47
2024,13,1.14,20.8,1.08,0.0,12.42
2024,14,1.1,20.93,1.27,0.0,13.02
2024,15,1.15,20.73,1.02,0.0,12.57
2024,16,1.12,20.81,1.38,0.0,12.17
2024,17,1.13,21.73,2.99,0.0,13.34
2024,18,1.23,21.55,1.96,0.0,12.21
2024,19,1.19,21.62,1.54,0.04,12.47
2024,20,1.1,20.67,3.54,0.09,11.78
2024,21,1.04,20.67,3.59,0.33,11.83
2024,22,1.22,20.98,1.78,0.0,11.85
2024,23,1.17,21.41,0.94,0.0,12.41
2024,24,1.25,21.6,1.18,0.0,12.26
2024,25,1.13,22.23,1.05,0.0,13.21
2024,26,1.13,22.88,0.98,0.0,14.47
2024,27,1.15,23.5,0.92,0.0,13.87
2024,28,0.98,22.32,3.33,0.08,13.3
2024,29,1.22,19.44,5.01,0.35,10.12
2024,30,1.26,18.44,3.32,0.41,10.02
2024,31,1.15,18.82,2.73,0.59,10.17
2024,32,1.21,19.33,1.86,1.14,11.41
2024,33,1.25,20.78,1.72,0.23,12.11
2024,34,1.2,19.95,2.72,0.77,12.67
2024,35,1.25,20.21,2.22,0.21,11.97
2024,36,1.08,21.45,0.87,0.34,12.42
2024,37,1.35,17.98,3.1,0.0,8.15
2024,38,1.31,17.47,2.16,0.07,7.58
2024,39,1.39,18.71,1.28,0.03,8.42
2024,40,1.31,20.01,0.93,0.0,9.8
2024,41,1.31,19.76,1.32,0.0,10.75
2024,42,1.38,20.64,1.68,0.0,10.39
2024,43,1.35,21.57,1.7,0.0,10.53
2024,44,1.13,22.39,2.69,0.0,12.18
2024,45,1.16,22.27,3.15,0.04,12.42
2024,46,1.33,21.97,2.69,0.04,11.52
2024,47,1.41,21.94,1.55,0.0,11.3
2024,48,1.27,21.96,1.93,0.02,12.73
2024,49,1.06,22.73,1.44,0.54,12.33
2024,50,1.35,21.09,2.96,0.04,10.7
2024,51,1.45,20.17,4.4,0.0,8.33
2024,52,1.45,19.38,3.52,0.0,7.81
2024,53,1.48,20.77,1.34,0.0,7.22
2024,54,1.36,21.26,1.41,0.0,9.15
2024,55,1.47,20.96,2.27,0.0,8.37
2024,56,1.49,21.5,2.8,0.0,9.9
2024,57,1.47,21.59,1.41,0.0,9.47
2024,58,1.5,21.66,1.62,0.0,10.13
2024,59,1.45,22.87,1.33,0.0,10.85
2024,60,1.37,23.21,1.53,0.0,11.37
2024,61,1.42,22.6,1.82,0.0,11.39
2024,62,1.15,23.05,1.5,0.0,12.66
2024,63,1.18,22.6,1.58,0.0,13.17
2024,64,1.22,22.62,1.8,0.0,12.76
2024,65,1.37,22.68,1.89,0.0,12.56
2024,66,1.24,23.32,1.58,0.05,13.23
2024,67,1.29,23.91,1.91,0.17,13.77
2024,68,1.4,23.1,2.17,0.06,13.4
2024,69,1.45,23.59,1.64,0.0,13.41
2024,70,1.24,24.97,2.03,0.0,12.89
2024,71,1.36,25.14,2.77,0.0,12.84
2024,72,1.42,24.16,2.08,0.0,10.75
2024,73,1.35,24.73,1.21,0.0,11.92
2024,74,1.33,24.78,1.75,0.0,12.8
2024,75,1.28,25.18,1.44,0.0,12.66
2024,76,1.18,25.49,1.13,0.0,13.4
2024,77,1.22,25.4,1.41,0.0,13.42
2024,78,1.06,25.7,1.07,0.0,13.67
2024,79,1.12,26.11,1.95,12.8,14.39
2024,80,1.32,23.31,1.99,35.0,13.71
2024,81,1.44,23.38,1.68,0.15,12.24
2024,82,1.48,22.95,1.62,0.47,14.13
2024,83,1.23,24.82,1.15,0.0,13.86
2024,84,1.39,24.25,2.38,0.0,13.39
2024,85,1.4,23.27,2.71,0.0,13.59
2024,86,1.47,23.39,2.44,0.0,13.17
2024,87,1.46,24.51,1.63,0.0,13.02
2024,88,0.97,24.06,2.34,0.0,12.45
2024,89,1.47,23.29,2.85,0.0,10.53
2024,90,1.48,23.94,1.49,0.0,11.48
2024,91,1.45,24.28,1.59,0.0,11.72
2024,92,1.3,23.91,1.83,0.0,13.62
