
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.86,19.43,10.23,0.0,2.32
2024,2,0.89,19.81,10.45,0.0,2.73
2024,3,0.73,20.21,11.22,0.02,2.54
2024,4,0.71,21.94,13.66,0.84,2.08
2024,5,0.83,23.02,14.35,0.1,2.72
2024,6,0.87,24.47,16.94,2.9,4.17
2024,7,0.76,24.75,16.64,3.01,2.5
2024,8,0.72,24.57,16.43,2.11,4.01
2024,9,0.71,24.79,17.04,4.97,5.54
2024,10,0.51,24.48,16.97,38.45,1.4
2024,11,0.63,24.72,17.19,0.68,3.27
2024,12,0.91,25.56,18.08,0.09,4.7
2024,13,0.88,25.35,16.89,0.09,3.1
2024,14,0.77,24.77,16.6,0.11,2.11
2024,15,0.87,24.45,16.54,0.04,2.93
2024,16,0.6,25.08,17.31,1.19,2.52
2024,17,0.42,23.61,16.12,5.12,3.55
2024,18,0.92,25.03,16.4,0.3,2.21
2024,19,0.78,24.57,15.44,0.04,1.75
2024,20,0.78,23.06,14.38,1.19,4.24
2024,21,0.82,21.79,11.53,0.02,5.8
2024,22,0.64,22.85,13.15,0.13,5.39
2024,23,0.59,24.03,15.48,1.45,4.77
2024,24,0.92,25.23,16.96,2.91,4.79
2024,25,0.8,25.08,16.55,0.57,3.65
2024,26,0.98,24.73,15.35,0.0,3.05
2024,27,1.02,24.98,16.11,0.0,2.57
2024,28,0.98,25.18,15.85,0.0,2.76
2024,29,0.81,21.08,10.28,0.0,5.35
2024,30,0.7,19.65,9.19,0.03,2.83
2024,31,0.97,19.88,9.84,0.06,3.25
2024,32,0.98,20.13,9.87,0.65,2.8
2024,33,0.94,20.3,9.39,0.01,1.47
2024,34,1.02,21.1,10.97,0.01,2.19
2024,35,0.62,23.79,15.5,19.11,3.75
2024,36,0.67,21.56,12.0,35.98,5.18
2024,37,0.95,19.74,10.53,25.63,6.75
2024,38,1.06,19.02,9.79,0.0,4.0
2024,39,1.07,20.24,10.98,0.01,3.59
2024,40,1.05,21.07,11.76,0.14,3.4
2024,41,1.14,22.02,12.8,0.2,3.18
2024,42,1.1,23.32,14.73,0.24,3.83
2024,43,1.05,24.43,15.94,0.67,4.03
2024,44,0.65,23.79,15.84,16.37,3.23
2024,45,1.0,21.38,12.11,0.02,2.97
2024,46,0.98,23.6,14.8,1.09,2.42
2024,47,1.1,23.47,14.67,0.07,2.52
2024,48,1.17,24.26,16.11,0.34,3.29
2024,49,0.29,24.16,17.44,34.33,4.24
2024,50,1.08,21.64,13.12,10.08,4.62
2024,51,1.17,19.08,9.69,0.0,3.78
2024,52,1.08,18.39,9.13,0.0,3.79
2024,53,1.19,19.96,9.42,0.0,1.91
2024,54,1.2,20.95,11.61,0.0,2.33
2024,55,0.9,21.93,12.94,2.91,3.62
2024,56,1.23,19.58,8.58,0.0,3.54
2024,57,1.2,20.58,10.11,0.0,2.65
2024,58,1.26,22.09,11.92,0.02,2.7
2024,59,1.19,23.34,13.6,0.0,2.65
2024,60,1.19,24.42,14.81,0.0,3.33
2024,61,1.04,25.05,14.89,0.01,3.22
2024,62,1.06,24.84,15.37,0.01,2.23
2024,63,1.02,25.1,15.11,0.07,1.89
2024,64,1.25,25.72,15.26,0.03,2.12
2024,65,1.29,25.5,15.71,0.11,2.49
2024,66,0.91,25.58,16.01,0.16,2.69
2024,67,1.27,26.1,16.12,0.11,2.36
2024,68,1.18,26.31,16.82,0.02,3.6
2024,69,1.29,26.48,16.96,0.02,3.86
2024,70,1.25,26.68,17.26,0.84,2.85
2024,71,1.24,25.47,14.24,0.19,3.6
2024,72,1.24,26.19,15.39,0.09,2.19
2024,73,1.25,26.7,15.78,0.73,1.61
2024,74,1.32,26.35,15.23,0.01,3.64
2024,75,1.32,26.33,15.5,0.03,3.18
2024,76,1.31,27.2,16.36,0.66,2.41
2024,77,1.33,27.29,16.62,0.63,2.33
2024,78,1.3,27.47,16.9,2.74,2.34
2024,79,1.14,25.34,16.77,26.9,2.98
2024,80,1.34,25.32,14.74,0.36,1.85
2024,81,1.39,26.22,16.47,8.31,2.68
2024,82,0.43,25.41,17.0,23.83,5.12
2024,83,0.75,25.64,17.91,12.79,5.3
2024,84,1.45,22.67,12.67,1.4,3.27
2024,85,1.43,23.66,12.9,0.08,3.54
2024,86,1.46,25.14,15.78,0.03,3.94
2024,87,1.39,26.12,16.31,0.04,3.67
2024,88,0.69,25.37,15.35,2.55,4.9
2024,89,1.48,23.08,10.91,0.0,4.75
2024,90,1.47,23.58,11.7,0.0,3.46
2024,91,1.47,24.23,12.24,0.0,2.81
2024,92,1.45,25.1,14.65,0.08,2.97
2024,93,1.47,25.99,16.24,0.44,3.58
2024,94,1.5,26.98,17.46,2.39,4.86
2024,95,0.51,25.15,17.11,55.42,3.06
2024,96,1.47,23.5,12.84,0.01,3.03
2024,97,1.57,22.33,10.7,0.0,2.95
2024,98,1.54,22.99,10.51,0.0,2.33
2024,99,1.54,23.89,11.76,0.0,4.23
2024,100,1.55,24.6,13.38,0.0,3.36
2024,101,1.47,26.08,16.47,0.0,4.47
2024,102,1.23,27.36,17.85,0.32,4.54
2024,103,1.08,25.8,15.83,0.79,3.42
2024,104,1.51,24.16,11.71,0.0,4.59
2024,105,1.48,24.8,12.52,0.0,4.26
2024,106,1.56,24.58,12.27,0.0,3.84
2024,107,1.54,25.36,13.34,0.0,4.03
2024,108,1.54,26.51,14.5,0.0,4.33
2024,109,1.53,26.17,13.54,0.0,3.26
2024,110,1.52,26.69,14.35,0.0,3.03
2024,111,1.53,27.03,13.8,0.0,2.95
2024,112,1.45,27.13,14.39,0.0,2.13
2024,113,1.49,26.91,15.1,0.01,2.58
2024,114,1.42,26.8,14.9,0.02,3.14
2024,115,1.47,27.06,15.07,0.04,3.12
2024,116,1.59,26.08,13.06,0.0,3.69
2024,117,1.61,26.24,12.73,0.0,4.22
2024,118,1.5,26.53,14.01,0.03,5.09
2024,119,1.28,26.23,14.05,0.01,4.74
2024,120,1.56,27.07,14.83,0.23,3.4
2024,121,1.53,27.9,15.14,0.2,2.44
2024,122,1.57,27.49,15.9,0.04,3.05
2024,123,1.61,27.57,15.72,0.05,3.92
2024,124,1.6,27.39,15.31,0.0,4.43
2024,125,1.57,27.74,15.57,0.03,3.93
2024,126,1.55,28.5,16.13,2.87,3.92
2024,127,1.53,28.22,16.91,2.34,3.66
2024,128,1.55,28.98,17.66,0.74,2.66
2024,129,1.59,29.56,16.91,0.17,2.52
2024,130,1.52,30.04,17.11,0.05,2.3
2024,131,1.54,30.22,17.22,0.12,1.67
2024,132,1.37,30.7,17.03,0.0,0.7
2024,133,1.4,30.79,17.76,0.0,1.54
2024,134,1.42,30.82,17.78,0.0,3.22
2024,135,1.48,30.46,18.25,0.0,3.86
2024,136,1.55,30.65,18.14,0.06,4.09
2024,137,1.55,30.52,18.3,0.34,3.42
2024,138,1.53,30.3,18.64,0.38,3.96
2024,139,1.5,30.7,18.37,1.47,3.68
2024,140,1.47,30.47,18.57,8.02,2.16
2024,141,1.39,29.66,18.18,19.22,1.12
2024,142,1.47,28.94,18.97,59.74,1.21
2024,143,1.54,28.64,18.7,8.01,1.88
2024,144,1.6,28.68,17.63,1.02,1.61
2024,145,1.62,28.46,16.46,0.61,2.05
2024,146,1.61,28.81,16.97,0.66,1.98
2024,147,1.61,29.58,18.23,0.01,1.69
2024,148,1.54,30.72,18.33,0.02,1.42
2024,149,1.54,30.22,18.06,0.45,1.87
2024,150,1.65,29.74,17.36,0.06,2.46
2024,151,1.65,29.57,17.33,1.01,2.25
2024,152,1.61,29.19,17.91,5.91,3.83
2024,153,1.62,29.4,16.69,0.57,4.41
2024,154,1.57,28.95,17.85,1.24,2.95
2024,155,1.58,28.95,17.33,5.66,2.18
2024,156,1.57,28.83,16.91,5.06,2.64
2024,157,1.61,29.53,20.19,20.29,2.5
2024,158,1.56,29.65,20.75,13.45,2.52
2024,159,1.47,28.5,20.32,98.4,2.53
2024,160,1.53,28.43,20.05,24.03,2.4
2024,161,1.57,28.4,20.35,94.65,2.42
2024,162,1.23,28.52,20.6,10.05,4.02
2024,163,0.73,28.53,21.14,29.63,4.08
2024,164,1.07,28.36,21.53,34.37,3.39
2024,165,1.39,27.7,21.17,29.41,3.21
2024,166,0.84,27.03,19.98,9.98,3.4
2024,167,0.54,26.6,19.86,42.98,3.3
2024,168,1.46,27.23,19.84,44.8,4.09
2024,169,1.38,27.53,20.39,24.51,4.39
2024,170,1.45,27.96,20.72,42.15,4.0
2024,171,1.53,27.95,20.35,54.73,4.14
2024,172,1.38,27.03,19.75,6.69,4.03
2024,173,1.2,27.24,20.11,10.76,3.46
2024,174,0.61,27.08,19.58,12.38,2.81
2024,175,1.1,26.43,19.07,12.0,2.95
2024,176,1.62,27.83,19.03,19.67,2.12
2024,177,1.6,28.94,18.94,34.69,1.46
2024,178,1.62,28.99,19.35,18.68,1.04
2024,179,1.62,28.29,20.04,20.84,2.05
2024,180,1.08,27.07,20.0,21.81,2.97
2024,181,1.36,27.97,20.48,10.51,3.05
2024,182,0.98,27.6,20.96,9.76,3.66
2024,183,1.2,27.25,19.82,19.45,2.14
2024,184,1.66,28.08,19.78,1.73,2.18
2024,185,1.63,28.21,21.11,1.37,3.67
2024,186,1.34,28.09,21.43,1.55,4.1
2024,187,1.54,28.74,20.36,0.2,2.37
2024,188,1.59,28.77,20.35,0.29,2.15
2024,189,1.5,28.04,20.59,3.55,3.08
2024,190,1.48,28.17,20.55,2.84,2.73
2024,191,1.19,28.07,21.18,0.28,3.6
2024,192,1.49,28.07,20.04,1.75,3.43
