
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,0.5,12.0,1.75,0.6,7.22
2024,2,0.41,8.78,2.07,14.81,5.48
2024,3,0.61,8.7,1.99,6.84,5.92
2024,4,0.7,9.47,2.35,2.09,5.52
2024,5,0.55,10.9,2.09,25.79,6.86
2024,6,0.7,9.09,1.31,0.01,5.54
2024,7,0.67,10.05,1.69,0.01,5.53
2024,8,0.3,15.05,3.5,12.21,9.96
2024,9,0.8,7.17,3.62,0.0,3.16
2024,10,0.74,9.81,1.98,0.0,5.61
2024,11,0.64,16.98,2.7,0.21,11.36
2024,12,0.79,10.67,4.0,0.13,5.26
2024,13,0.8,8.42,1.53,0.0,4.48
2024,14,0.71,3.7,2.95,0.0,3.2
2024,15,0.24,-1.37,3.62,0.13,2.3
2024,16,0.82,-4.0,3.22,0.0,1.44
2024,17,0.74,-0.21,1.28,0.29,2.65
2024,18,0.49,9.28,1.64,0.7,6.55
2024,19,0.81,5.77,2.98,0.0,3.4
2024,20,0.8,1.98,1.87,0.0,2.54
2024,21,0.27,2.85,2.87,0.8,3.12
2024,22,0.16,13.3,3.22,52.68,9.59
2024,23,0.29,17.35,2.22,40.76,11.82
2024,24,0.13,15.66,1.21,52.63,10.57
2024,25,0.77,15.17,1.42,5.49,8.88
2024,26,0.36,13.38,1.49,10.4,9.15
2024,27,0.53,11.51,2.67,0.04,7.13
2024,28,0.81,8.68,1.86,0.06,5.2
2024,29,0.88,11.57,0.99,0.0,5.68
2024,30,0.83,12.74,1.33,0.0,6.88
2024,31,0.83,13.72,1.07,0.0,7.26
2024,32,0.68,14.02,1.33,0.0,8.74
2024,33,0.61,16.24,2.26,17.43,10.7
2024,34,0.67,15.85,2.28,18.55,10.0
2024,35,0.95,12.55,2.73,0.11,6.82
2024,36,0.66,12.39,3.22,0.12,7.23
2024,37,0.96,12.75,1.04,0.0,6.14
2024,38,0.74,13.87,2.28,0.01,8.63
2024,39,0.53,18.11,1.8,0.06,11.87
2024,40,0.58,18.99,1.72,1.73,12.41
2024,41,0.46,18.45,1.65,7.21,12.95
2024,42,0.57,17.33,2.31,4.72,11.45
2024,43,1.02,8.49,3.11,0.01,4.97
2024,44,1.01,10.13,0.86,0.0,5.12
2024,45,0.95,11.65,1.43,0.0,6.85
2024,46,0.63,15.72,1.07,0.11,10.15
2024,47,0.43,17.22,1.9,2.35,11.11
2024,48,0.41,6.71,3.45,0.02,4.56
2024,49,1.04,5.67,1.68,0.0,3.57
2024,50,1.06,9.76,1.25,0.0,5.18
2024,51,1.07,14.67,1.51,0.0,9.16
2024,52,1.02,17.36,2.55,0.0,10.79
2024,53,0.6,19.34,2.13,0.0,11.88
2024,54,1.13,16.11,2.15,0.0,8.27
2024,55,1.12,16.07,1.09,0.0,6.79
2024,56,1.13,17.06,2.42,0.0,10.25
2024,57,0.75,20.23,2.59,0.0,12.78
2024,58,0.93,21.8,3.29,0.0,13.81
2024,59,0.67,15.03,3.26,0.0,7.84
2024,60,0.32,10.52,1.82,0.08,5.63
2024,61,0.9,13.95,1.04,0.0,8.18
2024,62,0.63,17.08,1.18,0.0,10.7
2024,63,0.71,19.79,1.61,0.05,12.58
2024,64,0.63,20.94,1.58,0.35,14.02
2024,65,1.04,21.84,1.03,0.15,13.25
2024,66,0.93,19.84,1.3,0.02,12.36
2024,67,0.79,19.07,1.99,0.99,12.16
2024,68,0.78,21.84,1.64,1.59,14.52
2024,69,0.76,12.67,3.33,0.03,6.77
2024,70,1.07,13.28,1.19,0.0,5.91
2024,71,1.01,15.67,1.25,0.0,8.08
2024,72,0.88,17.84,1.65,0.0,10.9
2024,73,0.68,21.54,2.38,0.0,13.92
2024,74,0.74,22.43,2.59,0.01,14.56
2024,75,0.61,22.11,1.35,14.06,15.02
2024,76,0.56,19.51,1.95,2.55,13.19
2024,77,0.69,20.2,1.51,6.28,12.96
2024,78,1.07,15.4,2.7,0.02,6.95
2024,79,1.0,12.9,1.05,0.01,5.69
2024,80,0.83,15.53,1.02,0.1,8.06
2024,81,0.4,16.15,2.48,46.32,10.71
2024,82,1.25,17.72,2.22,0.18,10.23
2024,83,1.28,17.9,1.19,0.01,9.69
2024,84,0.74,18.87,3.23,0.03,11.42
2024,85,0.86,19.21,2.5,3.12,11.7
2024,86,1.4,13.23,2.1,0.0,6.32
2024,87,0.75,13.07,1.62,0.01,6.85
2024,88,1.38,16.01,1.13,0.0,7.97
2024,89,1.35,17.62,2.32,0.0,9.49
2024,90,0.8,20.01,1.84,0.0,12.0
2024,91,0.81,22.11,2.36,0.01,14.01
2024,92,0.71,22.92,2.98,0.22,15.51
2024,93,1.37,20.23,2.83,0.31,9.53
2024,94,1.51,16.01,1.73,0.01,7.12
2024,95,1.5,18.59,1.2,0.0,7.37
2024,96,1.49,19.59,1.74,0.0,9.97
2024,97,0.91,20.64,2.75,0.02,12.16
2024,98,0.99,23.51,1.35,0.54,14.61
2024,99,0.8,23.23,2.37,9.16,16.05
2024,100,0.5,24.04,2.76,21.45,16.38
2024,101,1.13,20.38,2.98,29.43,11.79
2024,102,1.53,17.94,2.25,0.0,8.25
2024,103,1.53,18.39,1.36,0.0,7.89
2024,104,1.42,19.59,2.02,0.0,10.32
2024,105,1.25,21.31,2.14,0.0,13.18
2024,106,0.83,22.84,2.59,0.0,14.95
2024,107,0.74,24.3,2.75,0.05,15.54
2024,108,0.77,24.13,1.84,0.02,15.76
2024,109,1.1,23.82,2.13,0.0,15.57
2024,110,0.81,25.13,1.0,0.01,15.94
2024,111,0.77,23.86,1.62,12.6,15.35
2024,112,1.3,16.17,3.18,13.8,8.1
2024,113,1.49,16.32,1.51,0.0,7.51
2024,114,0.94,19.71,1.6,0.0,11.0
2024,115,1.22,23.28,1.59,0.0,14.07
2024,116,0.8,23.8,2.9,0.0,14.95
2024,117,0.69,24.24,3.35,0.02,16.1
2024,118,0.76,25.55,4.24,0.01,16.48
2024,119,0.72,25.29,3.61,22.37,16.64
2024,120,1.11,25.15,1.32,17.81,16.67
2024,121,1.39,23.93,1.61,0.03,15.15
2024,122,0.72,24.3,2.39,21.65,16.88
2024,123,0.68,24.47,2.38,47.63,17.56
2024,124,0.71,23.7,2.48,24.98,16.77
2024,125,1.09,24.05,2.27,11.84,16.47
2024,126,0.47,24.39,2.21,9.51,17.01
2024,127,1.09,25.7,2.64,2.98,17.53
2024,128,0.83,26.57,1.8,0.01,18.92
2024,129,0.85,26.73,2.0,0.0,18.88
2024,130,0.85,26.76,1.23,1.83,19.7
2024,131,1.21,25.77,2.01,0.46,17.05
2024,132,0.58,23.38,2.08,0.56,13.73
