
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.28,11.76,7.68,0.03,3.4
2024,2,0.14,10.64,7.58,6.7,4.31
2024,3,0.24,11.45,7.59,1.09,4.47
2024,4,0.35,12.13,7.96,0.4,4.9
2024,5,0.41,10.75,6.65,1.44,3.13
2024,6,0.35,11.24,6.2,0.01,2.96
2024,7,0.24,12.66,7.72,13.18,5.83
2024,8,0.22,11.84,7.36,2.95,6.1
2024,9,0.08,4.99,4.88,21.78,9.23
2024,10,0.18,4.43,4.34,11.33,9.33
2024,11,0.25,4.07,3.96,0.03,3.47
2024,12,0.22,2.72,3.53,0.33,4.53
2024,13,0.31,2.03,2.94,0.11,2.99
2024,14,0.41,3.77,3.45,0.0,3.3
2024,15,0.34,7.93,5.45,0.04,5.85
2024,16,0.22,9.76,6.27,5.64,5.32
2024,17,0.39,7.46,5.87,0.0,2.41
2024,18,0.21,10.89,7.45,0.73,6.07
2024,19,0.32,13.31,8.2,0.72,5.79
2024,20,0.12,7.12,5.99,16.86,6.52
2024,21,0.26,5.75,4.3,6.03,8.47
2024,22,0.32,5.14,4.13,0.41,7.15
2024,23,0.32,4.81,4.12,0.01,4.04
2024,24,0.32,5.17,4.56,0.24,3.64
2024,25,0.3,6.55,4.9,0.2,3.72
2024,26,0.23,6.21,4.99,1.96,2.89
2024,27,0.37,5.7,4.8,4.48,3.21
2024,28,0.3,4.64,4.37,3.4,5.5
2024,29,0.25,4.59,4.47,9.38,6.52
2024,30,0.31,5.24,4.45,2.72,7.96
2024,31,0.41,5.79,4.58,1.59,7.02
2024,32,0.48,5.84,4.3,0.27,2.93
2024,33,0.4,5.08,4.47,0.7,3.2
2024,34,0.47,5.69,4.06,0.05,2.69
2024,35,0.35,7.71,5.4,0.02,4.74
2024,36,0.52,9.91,6.75,0.0,5.87
2024,37,0.59,11.08,6.74,0.0,4.43
2024,38,0.56,11.91,7.69,0.0,5.19
2024,39,0.5,12.56,7.78,0.0,4.8
2024,40,0.62,11.38,7.15,0.0,4.09
2024,41,0.48,12.25,7.39,0.01,5.98
2024,42,0.33,13.14,7.33,0.0,5.36
2024,43,0.2,12.48,7.3,4.81,4.46
2024,44,0.36,10.23,6.76,0.84,2.73
2024,45,0.32,8.4,6.31,2.43,5.07
2024,46,0.22,6.4,5.46,7.75,6.77
2024,47,0.17,6.88,5.55,1.43,4.89
2024,48,0.24,6.8,5.33,0.39,4.61
2024,49,0.44,6.58,4.83,0.01,2.64
2024,50,0.33,6.59,4.98,0.03,3.51
2024,51,0.67,6.17,4.87,0.0,3.45
2024,52,0.58,6.97,4.62,0.0,1.63
2024,53,0.68,8.04,4.78,0.0,2.3
2024,54,0.7,9.9,6.01,0.0,4.18
2024,55,0.75,11.87,6.97,0.0,3.81
2024,56,0.54,11.78,6.22,0.0,1.89
2024,57,0.54,9.98,6.39,0.0,2.2
2024,58,0.59,8.02,6.09,0.0,2.97
2024,59,0.51,8.43,6.3,0.0,2.72
2024,60,0.42,9.23,6.59,0.0,2.9
2024,61,0.39,9.22,6.68,0.0,1.81
2024,62,0.42,9.52,6.62,0.14,1.97
2024,63,0.4,9.27,6.48,0.94,1.64
2024,64,0.74,10.18,6.39,0.01,1.03
2024,65,0.37,9.58,6.68,3.52,2.45
2024,66,0.56,8.26,5.79,1.43,3.34
2024,67,0.72,8.04,5.15,0.03,2.1
2024,68,0.29,7.0,5.54,7.61,4.67
2024,69,0.47,7.03,5.25,0.85,2.35
2024,70,0.89,8.23,5.04,0.0,1.63
2024,71,0.78,11.45,5.75,0.0,2.53
2024,72,0.34,12.26,6.93,7.08,3.17
2024,73,0.47,11.77,7.34,7.13,3.1
2024,74,0.61,10.15,6.95,2.77,1.98
2024,75,0.58,8.27,5.75,3.94,3.09
2024,76,0.59,8.68,5.69,0.19,1.85
2024,77,0.9,8.83,5.87,0.01,3.01
2024,78,0.89,10.08,5.8,0.0,1.25
2024,79,0.64,10.87,6.06,0.16,2.68
2024,80,0.65,6.9,5.11,4.52,5.68
2024,81,0.71,7.65,4.87,2.13,2.2
2024,82,0.7,6.41,5.06,1.3,4.05
2024,83,0.97,7.92,4.95,0.0,1.74
2024,84,0.97,10.43,6.08,0.0,4.1
2024,85,0.37,10.1,6.45,11.06,5.43
2024,86,0.94,9.82,5.38,0.15,3.05
2024,87,0.74,13.89,6.97,0.65,2.38
2024,88,0.49,15.34,7.63,0.0,2.16
2024,89,1.11,15.62,8.26,0.0,2.35
2024,90,1.1,16.83,7.95,0.0,1.41
2024,91,1.16,16.74,8.76,0.0,2.86
2024,92,0.9,16.5,8.67,0.0,3.35
2024,93,0.92,17.5,8.92,0.0,3.87
2024,94,1.16,15.77,7.39,0.01,2.4
2024,95,1.17,14.52,6.8,0.0,2.81
2024,96,1.14,15.44,6.96,0.0,1.42
2024,97,1.18,15.42,6.95,0.01,1.57
2024,98,0.74,13.38,7.35,5.07,4.1
2024,99,1.14,12.63,7.4,0.01,5.71
2024,100,1.27,13.11,7.7,0.02,4.11
2024,101,1.08,12.97,7.71,0.02,3.52
2024,102,1.21,14.16,8.36,0.01,4.14
2024,103,1.14,14.82,8.48,0.02,3.84
2024,104,1.15,15.17,8.39,0.01,3.1
2024,105,1.26,16.96,7.66,0.0,1.58
2024,106,1.32,18.03,8.37,0.0,2.5
2024,107,1.19,19.01,8.8,0.0,4.28
2024,108,0.93,18.76,8.35,0.04,3.49
2024,109,0.72,17.68,9.45,0.86,3.39
2024,110,0.86,13.66,8.05,5.08,4.19
2024,111,0.22,12.53,7.9,19.68,5.7
2024,112,0.88,13.89,7.03,1.9,2.15
2024,113,1.23,15.63,8.29,0.25,3.65
2024,114,0.73,15.41,8.84,0.45,4.3
2024,115,0.84,18.99,9.88,0.03,2.36
2024,116,1.08,18.2,10.65,0.19,1.88
2024,117,1.03,16.14,8.96,0.01,2.09
2024,118,1.3,14.37,8.08,0.0,6.55
2024,119,0.44,13.76,8.54,1.85,5.58
2024,120,0.45,13.82,8.83,0.2,4.84
2024,121,0.45,15.31,9.48,0.37,5.27
2024,122,0.51,14.3,8.78,0.75,6.01
2024,123,0.66,14.84,8.83,0.39,1.73
2024,124,0.99,15.39,9.38,6.94,1.65
2024,125,0.98,13.61,8.13,10.46,1.97
2024,126,1.52,14.13,7.12,0.71,5.65
2024,127,1.54,14.74,6.29,0.0,1.23
2024,128,1.44,17.24,8.09,0.0,1.91
2024,129,1.34,17.78,9.06,0.02,2.84
2024,130,0.81,15.25,9.21,0.22,5.29
2024,131,0.92,15.08,8.58,0.55,8.48
2024,132,1.04,13.73,7.3,2.48,6.85
2024,133,1.4,15.17,7.61,0.93,2.74
2024,134,0.97,13.0,7.41,2.1,4.65
2024,135,1.5,13.58,5.99,0.0,2.19
2024,136,1.4,14.37,6.67,0.0,3.86
2024,137,1.38,14.69,7.18,0.01,3.93
2024,138,1.32,15.92,8.35,0.05,4.18
2024,139,1.5,16.77,9.33,0.0,2.44
2024,140,0.57,16.06,9.68,0.27,4.5
2024,141,1.16,17.13,9.37,0.0,4.1
2024,142,1.55,16.9,9.61,0.08,3.43
2024,143,1.42,18.22,10.79,0.61,2.98
2024,144,1.41,17.61,9.8,3.98,3.21
2024,145,1.28,17.1,10.03,6.44,2.78
2024,146,1.42,17.89,10.57,0.2,4.75
