
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.0,28.59,20.28,5.3,1.52
2024,2,1.07,29.09,20.48,9.58,1.83
2024,3,0.67,28.42,20.53,9.16,2.32
2024,4,0.65,27.39,18.88,17.74,2.05
2024,5,1.25,28.43,18.61,5.56,1.3
2024,6,1.09,28.32,19.61,11.09,1.56
2024,7,0.86,27.51,20.15,16.85,1.86
2024,8,0.95,27.91,19.51,10.5,1.2
2024,9,1.12,28.56,19.6,6.06,2.08
2024,10,0.99,28.52,20.3,9.01,1.69
2024,11,0.82,28.11,20.08,20.43,2.29
2024,12,0.9,27.87,19.63,8.55,3.1
2024,13,1.25,28.63,19.53,11.7,2.12
2024,14,1.21,28.09,19.18,5.16,1.9
2024,15,1.17,28.56,19.52,6.9,2.37
2024,16,1.27,28.74,19.74,3.13,3.1
2024,17,0.77,28.32,19.83,5.1,2.69
2024,18,0.94,27.92,19.46,5.99,3.56
2024,19,0.52,27.07,19.84,39.97,4.64
2024,20,1.4,28.34,19.18,1.04,4.48
2024,21,1.09,28.02,19.88,5.2,3.87
2024,22,1.33,28.22,19.72,3.91,3.75
2024,23,1.09,28.29,19.5,3.21,3.2
2024,24,1.16,28.15,19.56,4.48,2.96
2024,25,1.43,28.25,19.81,6.17,2.63
2024,26,1.19,27.84,19.47,7.19,2.55
2024,27,0.78,27.74,19.85,12.04,3.01
2024,28,1.0,27.71,19.95,7.4,2.53
2024,29,0.84,27.33,19.46,23.78,1.94
2024,30,0.91,26.94,19.39,13.91,2.4
2024,31,0.89,27.24,19.25,42.6,1.84
2024,32,1.1,27.19,19.7,15.55,1.99
2024,33,1.33,27.75,19.78,9.65,2.77
2024,34,0.87,27.7,19.41,8.13,3.3
2024,35,1.01,27.3,19.25,6.95,2.7
2024,36,1.01,27.61,19.35,5.61,2.09
2024,37,0.55,27.18,19.4,16.0,2.2
2024,38,1.17,27.64,18.97,1.16,2.6
2024,39,1.37,28.21,18.77,0.79,2.22
2024,40,1.28,28.07,19.13,5.11,1.89
2024,41,1.05,27.28,19.32,12.99,2.67
2024,42,1.23,28.0,19.02,3.82,2.97
2024,43,1.28,27.68,19.57,4.7,2.95
2024,44,1.26,27.96,19.65,10.04,2.04
2024,45,1.0,27.46,20.32,59.54,2.12
2024,46,0.83,28.41,19.43,20.63,1.71
2024,47,0.8,27.35,19.92,31.59,2.21
2024,48,0.99,27.81,20.1,12.04,2.31
2024,49,1.21,28.02,20.43,5.72,1.84
2024,50,1.09,28.16,20.02,6.35,1.75
2024,51,1.29,28.58,19.19,2.3,1.33
2024,52,0.98,28.82,19.87,4.75,1.69
2024,53,1.36,28.74,20.42,8.46,2.53
2024,54,1.27,28.54,20.38,2.86,2.85
2024,55,1.17,28.42,20.4,5.35,2.36
2024,56,0.98,27.53,19.55,13.8,2.31
2024,57,0.98,27.72,19.77,10.13,1.65
2024,58,1.15,28.03,20.05,14.36,1.74
2024,59,0.75,27.78,20.45,19.29,2.51
2024,60,0.68,28.03,19.93,6.55,1.37
2024,61,1.19,28.33,20.37,10.43,1.87
2024,62,0.96,28.01,20.6,15.1,2.39
2024,63,1.0,27.77,19.99,3.91,2.71
2024,64,1.07,28.36,20.09,2.13,2.53
2024,65,1.1,28.48,20.98,6.65,3.86
2024,66,1.08,28.07,20.81,4.77,3.49
2024,67,1.09,28.29,20.9,5.02,3.46
2024,68,0.94,27.63,20.63,10.39,3.9
2024,69,0.59,27.02,19.94,15.41,2.41
2024,70,0.88,27.48,18.97,18.5,1.78
2024,71,0.82,27.52,19.58,4.75,3.15
2024,72,0.93,27.7,19.9,14.83,4.37
2024,73,0.89,27.5,19.73,23.86,3.5
2024,74,0.54,28.01,19.9,24.63,3.27
2024,75,0.74,27.65,19.9,19.63,2.79
2024,76,0.83,27.16,19.95,31.3,3.09
2024,77,0.92,27.39,19.47,12.79,3.52
2024,78,1.21,27.72,19.69,4.93,3.19
2024,79,1.46,28.2,19.6,1.25,3.15
2024,80,1.49,28.05,18.5,0.31,3.4
2024,81,1.33,27.76,19.44,7.69,2.88
2024,82,0.86,27.71,19.62,13.24,1.38
2024,83,1.18,28.9,18.92,0.79,1.28
2024,84,1.17,28.81,20.05,4.21,1.75
2024,85,0.99,28.42,20.29,2.99,1.91
