
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.78,23.58,9.86,0.02,2.7
2024,2,1.53,22.5,11.06,0.33,1.91
2024,3,1.32,23.61,11.4,0.65,1.99
2024,4,1.74,24.38,9.65,0.11,1.63
2024,5,1.4,21.11,12.32,6.35,2.08
2024,6,1.74,23.93,10.75,0.32,1.57
2024,7,1.42,25.76,10.17,0.06,0.84
2024,8,1.42,24.59,11.62,2.45,2.08
2024,9,0.72,21.24,12.99,10.39,1.74
2024,10,1.01,21.18,13.57,10.75,2.16
2024,11,0.95,23.07,13.15,0.58,1.69
2024,12,1.39,24.11,12.39,1.21,1.03
2024,13,1.56,24.42,11.96,0.94,1.2
2024,14,1.54,23.46,12.26,1.85,1.76
2024,15,1.76,25.04,11.26,0.28,1.76
2024,16,1.12,24.65,11.65,3.78,2.29
2024,17,1.18,20.86,12.92,6.95,1.06
2024,18,1.2,19.79,9.44,0.33,4.08
2024,19,1.92,18.09,5.75,0.0,3.49
2024,20,1.83,19.8,6.99,0.0,1.77
2024,21,1.81,21.49,7.79,0.0,1.52
2024,22,1.74,24.24,9.36,0.12,1.83
2024,23,1.63,22.73,10.9,0.49,2.34
2024,24,1.61,22.46,10.44,0.72,1.81
2024,25,1.58,23.56,10.03,0.07,1.97
2024,26,1.71,24.18,11.1,0.32,2.31
2024,27,1.19,23.3,11.69,5.44,2.01
2024,28,1.33,23.77,11.57,3.77,1.4
2024,29,1.3,24.58,12.26,4.08,0.87
2024,30,1.54,25.97,10.94,0.12,2.26
2024,31,1.55,22.02,9.59,0.19,2.37
2024,32,1.67,21.6,9.31,0.71,1.98
2024,33,1.64,22.09,8.7,0.07,1.21
2024,34,1.56,22.55,10.45,1.52,1.93
2024,35,1.42,23.26,11.33,0.4,1.72
2024,36,1.66,24.61,9.06,0.0,2.31
2024,37,1.74,24.29,8.23,0.11,2.02
2024,38,1.82,26.02,7.41,0.0,2.4
2024,39,1.61,27.27,9.28,0.44,2.47
2024,40,1.33,23.65,13.51,15.64,2.52
2024,41,1.67,24.58,11.76,1.98,1.95
2024,42,0.98,21.28,11.38,1.83,2.64
2024,43,1.31,22.3,10.85,0.11,2.03
2024,44,1.53,25.66,8.62,0.0,1.98
2024,45,1.67,25.9,9.76,0.0,1.79
2024,46,1.72,24.89,10.12,0.09,3.7
2024,47,1.74,25.96,9.62,0.02,3.51
2024,48,1.69,25.91,7.38,0.01,2.25
2024,49,1.48,25.19,12.04,1.71,2.2
2024,50,1.39,23.53,12.89,5.86,1.68
2024,51,1.36,24.14,11.35,0.33,2.05
2024,52,1.62,26.46,8.29,0.0,1.2
2024,53,1.01,24.33,11.68,5.9,1.63
2024,54,1.54,23.98,12.07,5.15,1.78
2024,55,1.32,24.47,11.52,2.01,1.95
2024,56,1.3,25.15,11.14,0.0,1.91
2024,57,1.27,24.25,12.06,1.58,2.34
2024,58,0.8,20.73,11.06,0.51,2.74
2024,59,0.99,20.86,9.67,0.25,2.14
2024,60,1.28,21.21,9.28,0.01,1.62
2024,61,1.5,21.98,8.75,0.11,1.78
2024,62,1.45,23.48,8.7,0.17,1.74
2024,63,1.49,23.52,8.8,0.53,1.93
2024,64,1.46,22.67,10.84,5.15,2.78
