
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.1,0.53,3.85,5.79,2.85
2024,2,0.07,-3.0,2.81,1.0,5.06
2024,3,0.12,-6.33,1.95,7.82,4.27
2024,4,0.09,0.47,4.07,4.2,1.32
2024,5,0.07,-1.87,3.27,2.13,2.94
2024,6,0.09,-3.75,2.6,2.05,2.72
2024,7,0.14,-11.51,1.25,0.29,5.26
2024,8,0.17,-16.39,0.77,0.39,5.44
2024,9,0.14,-13.79,1.11,0.15,3.56
2024,10,0.11,-5.11,2.34,0.58,4.48
2024,11,0.16,-3.74,2.64,1.31,5.79
2024,12,0.19,-11.88,1.17,0.09,3.26
2024,13,0.13,-8.56,1.77,3.26,2.43
2024,14,0.11,-4.91,2.49,2.49,3.79
2024,15,0.11,-2.54,2.9,0.38,4.47
2024,16,0.15,-5.25,2.3,0.11,4.23
2024,17,0.21,-10.99,1.41,0.06,2.91
2024,18,0.14,-2.36,3.24,7.25,5.39
2024,19,0.18,-2.09,3.12,2.73,3.42
2024,20,0.13,-6.06,2.19,0.83,3.17
2024,21,0.11,-5.24,2.42,1.55,2.71
2024,22,0.14,-7.93,1.89,0.05,3.35
2024,23,0.11,-2.56,2.92,1.02,5.64
2024,24,0.16,-0.99,3.42,2.44,4.08
2024,25,0.16,0.49,3.88,3.69,3.26
2024,26,0.12,-0.94,3.47,1.76,3.35
2024,27,0.14,-2.91,2.9,1.02,2.75
2024,28,0.12,-6.26,2.19,0.09,2.59
2024,29,0.25,-7.51,1.9,0.07,1.08
2024,30,0.29,-4.89,2.38,0.02,2.57
2024,31,0.29,-2.08,2.98,0.02,3.03
2024,32,0.16,0.55,3.81,0.22,4.12
2024,33,0.24,-0.34,3.44,0.13,4.96
2024,34,0.11,0.74,3.91,4.29,5.44
2024,35,0.25,1.75,4.17,0.28,5.47
2024,36,0.26,1.42,4.03,6.78,6.27
2024,37,0.2,0.91,3.82,2.48,2.87
2024,38,0.22,4.8,5.1,2.75,6.24
2024,39,0.28,-1.39,2.86,0.87,2.8
2024,40,0.2,-2.08,2.87,8.36,3.75
2024,41,0.15,-1.06,3.37,9.58,4.15
2024,42,0.16,1.39,4.19,1.1,3.39
2024,43,0.19,3.28,5.19,1.16,2.06
2024,44,0.29,4.91,5.69,4.22,1.95
2024,45,0.16,2.73,4.54,4.4,1.82
2024,46,0.17,0.65,3.76,1.04,2.54
2024,47,0.25,0.26,3.59,0.34,1.51
2024,48,0.2,1.07,3.69,0.47,3.33
2024,49,0.23,0.55,3.39,1.28,4.1
2024,50,0.49,-2.49,2.26,0.0,2.13
2024,51,0.21,-0.95,2.85,2.15,5.02
2024,52,0.26,1.58,4.15,2.21,2.82
2024,53,0.32,3.4,4.43,0.67,3.77
2024,54,0.2,4.12,4.67,0.76,6.43
2024,55,0.3,5.33,4.82,1.66,6.46
2024,56,0.25,3.99,4.24,1.32,6.06
2024,57,0.42,3.29,3.99,0.62,4.96
2024,58,0.52,2.1,3.54,0.01,4.0
2024,59,0.54,1.4,3.45,0.0,4.0
2024,60,0.5,2.85,3.85,0.0,3.0
