
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.08,10.01,9.22,10.05,2.23
2024,2,1.32,11.44,10.72,7.39,2.94
2024,3,1.27,9.98,10.05,5.69,4.37
2024,4,1.35,9.86,8.93,5.89,3.46
2024,5,1.52,9.67,9.06,0.18,3.11
2024,6,1.91,10.66,8.99,0.0,2.96
2024,7,1.72,10.45,9.56,1.65,2.46
2024,8,1.89,10.9,8.42,0.07,2.63
2024,9,1.97,11.29,8.72,0.0,2.42
2024,10,1.77,10.0,8.45,0.0,2.33
2024,11,1.83,10.73,8.94,0.0,2.85
2024,12,1.16,10.35,8.67,0.52,3.0
2024,13,1.58,10.38,9.07,0.05,2.48
2024,14,1.65,10.24,10.06,3.65,2.26
2024,15,1.41,9.08,9.42,1.17,3.41
2024,16,1.63,10.8,10.03,0.5,2.53
2024,17,1.53,11.25,10.29,0.46,3.04
2024,18,1.54,10.86,9.98,0.17,2.81
2024,19,1.21,11.2,10.74,0.43,2.54
2024,20,1.5,10.65,10.05,0.73,3.06
2024,21,1.64,10.71,9.71,0.06,2.8
2024,22,1.23,11.17,10.24,0.06,3.12
2024,23,1.29,10.55,10.27,1.16,2.93
2024,24,1.34,11.15,10.21,1.14,2.44
2024,25,1.33,9.24,9.6,20.96,3.09
2024,26,1.48,9.86,9.47,4.66,3.16
2024,27,1.55,10.18,8.88,0.42,3.05
2024,28,1.5,10.04,9.26,5.1,2.93
2024,29,1.47,9.58,9.43,5.15,3.0
2024,30,1.38,9.21,9.31,3.71,3.16
2024,31,1.35,10.11,9.17,1.04,3.01
2024,32,1.59,9.91,8.56,1.24,3.22
2024,33,1.25,9.28,7.97,1.89,2.95
2024,34,1.8,9.54,8.6,1.26,2.93
2024,35,1.71,9.49,8.68,0.0,3.44
2024,36,1.58,9.4,8.44,10.27,2.96
2024,37,1.23,8.56,8.58,12.8,3.57
2024,38,1.43,9.52,9.14,1.52,2.86
2024,39,1.5,8.51,8.71,0.66,1.72
2024,40,1.68,10.01,8.66,0.08,2.33
2024,41,1.07,9.56,9.15,23.49,1.68
2024,42,1.22,8.91,9.4,6.39,2.64
2024,43,1.11,9.58,9.57,5.49,2.75
2024,44,1.0,9.65,10.21,8.05,3.52
2024,45,1.32,10.0,9.8,7.88,3.25
2024,46,1.52,10.98,10.35,1.8,3.25
2024,47,1.21,10.98,10.66,14.2,2.87
2024,48,1.46,10.84,10.04,1.32,1.92
2024,49,1.25,11.17,10.3,11.04,2.48
2024,50,0.91,10.25,9.97,6.05,2.46
2024,51,0.91,9.67,9.62,12.83,1.9
2024,52,1.18,8.43,8.6,10.26,2.66
2024,53,1.58,9.99,8.89,0.51,2.4
2024,54,1.39,9.93,9.64,0.36,2.75
2024,55,1.18,8.23,9.38,3.03,3.88
2024,56,1.43,7.77,8.87,0.85,3.7
2024,57,1.25,8.24,8.7,1.19,2.89
2024,58,1.32,9.14,9.47,1.54,3.13
2024,59,1.12,9.11,9.43,4.09,2.61
2024,60,1.31,8.74,8.68,1.72,2.8
2024,61,1.54,8.1,8.33,0.09,3.24
2024,62,1.55,9.5,9.04,0.04,2.83
2024,63,1.54,9.98,9.4,1.01,2.77
2024,64,1.16,8.42,8.89,11.71,2.78
2024,65,1.22,8.59,9.26,8.05,3.09
2024,66,1.3,9.61,9.53,9.53,2.82
2024,67,1.17,9.26,9.77,14.93,2.23
2024,68,1.4,10.09,9.86,15.69,2.49
2024,69,1.11,10.67,10.04,13.86,2.4
2024,70,1.17,9.22,9.72,19.6,2.49
2024,71,1.46,10.16,9.72,1.61,2.53
2024,72,1.62,10.59,10.49,9.82,1.89
2024,73,1.41,10.7,10.79,2.55,2.29
2024,74,1.53,10.45,10.31,0.8,2.11
2024,75,1.51,11.76,10.64,0.01,2.56
2024,76,0.97,11.13,10.2,0.85,2.06
2024,77,1.16,9.37,9.61,2.29,3.08
2024,78,1.41,10.68,10.04,0.41,2.56
2024,79,1.02,10.06,10.14,4.63,2.15
2024,80,1.45,9.9,9.46,2.24,1.98
2024,81,1.44,11.06,10.44,1.06,2.37
2024,82,0.95,8.64,10.12,1.57,2.72
2024,83,1.68,9.26,8.02,0.05,2.05
2024,84,1.63,10.0,9.18,0.0,2.28
2024,85,1.37,9.84,9.52,0.25,2.73
2024,86,1.51,8.6,8.94,0.33,1.93
2024,87,1.51,8.69,9.0,0.25,1.99
2024,88,1.46,7.72,7.42,0.0,2.51
2024,89,1.38,8.16,8.35,0.0,2.05
2024,90,1.45,9.07,9.31,0.0,2.54
2024,91,1.14,9.21,9.68,4.36,2.4
2024,92,1.27,10.2,9.82,5.3,2.23
2024,93,0.98,8.64,9.32,6.12,2.08
2024,94,1.15,8.26,8.87,1.47,1.69
2024,95,1.28,9.56,9.24,0.09,2.13
2024,96,1.24,10.05,9.87,0.02,2.31
2024,97,1.14,9.29,10.13,0.01,2.25
2024,98,1.14,10.34,10.04,0.06,2.25
2024,99,1.03,9.87,9.64,14.81,1.84
2024,100,1.32,10.6,9.59,1.65,2.17
2024,101,1.05,9.87,10.47,0.06,2.65
2024,102,0.95,9.9,9.61,1.5,2.42
2024,103,1.21,7.92,9.07,1.52,1.68
2024,104,1.26,7.77,9.59,0.38,1.99
