
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,1.38,19.25,12.79,0.08,2.82
2024,2,1.4,18.97,12.66,0.13,2.41
2024,3,0.99,18.94,12.4,0.09,1.97
2024,4,0.81,19.82,12.35,0.1,2.56
2024,5,1.47,20.45,12.52,0.02,2.93
2024,6,1.55,20.49,12.78,0.02,3.05
2024,7,1.24,20.79,12.78,0.02,3.4
2024,8,1.53,20.29,13.11,0.01,2.99
2024,9,1.62,20.74,13.06,0.03,3.0
2024,10,1.59,20.55,13.18,0.01,3.3
2024,11,1.59,20.13,12.76,0.02,3.01
2024,12,1.17,19.73,13.01,0.21,2.3
2024,13,1.6,20.35,13.05,0.14,2.71
2024,14,1.48,19.92,13.11,0.55,2.4
2024,15,1.52,20.24,12.97,0.09,2.88
2024,16,1.44,20.97,12.95,0.07,2.76
2024,17,1.37,20.58,13.07,0.04,2.54
2024,18,1.3,20.85,13.05,0.15,3.22
2024,19,1.44,20.92,13.18,0.15,2.94
2024,20,1.47,21.0,12.97,0.06,3.22
2024,21,1.48,21.18,12.6,0.04,2.78
2024,22,1.55,21.06,13.32,0.08,2.24
2024,23,1.48,21.96,13.83,0.03,1.95
2024,24,1.58,21.93,14.13,0.0,2.37
2024,25,1.5,22.07,13.44,0.01,2.73
2024,26,1.68,22.01,13.97,0.03,2.73
2024,27,1.56,21.58,14.57,0.05,2.78
2024,28,1.41,21.67,14.21,0.11,2.75
2024,29,1.67,22.1,14.06,0.02,3.05
2024,30,1.51,22.11,13.67,0.05,2.98
2024,31,1.35,21.64,13.53,0.06,3.12
2024,32,1.6,21.35,13.46,0.13,2.82
2024,33,1.51,20.88,13.78,0.12,2.87
2024,34,1.55,20.76,13.62,0.62,3.0
2024,35,1.37,22.39,13.51,0.18,2.76
2024,36,1.54,21.54,13.71,0.03,2.81
2024,37,1.71,21.51,13.58,0.1,3.12
2024,38,1.66,20.36,13.74,0.2,2.37
2024,39,1.64,21.83,13.56,0.02,2.36
2024,40,1.42,21.62,13.16,0.02,2.45
2024,41,1.67,22.15,13.96,0.02,2.86
2024,42,1.45,21.83,13.75,0.07,3.0
2024,43,1.44,21.21,14.37,0.2,2.61
2024,44,1.46,21.59,14.42,0.12,2.73
2024,45,1.68,22.37,14.23,0.17,2.5
2024,46,1.5,22.14,14.25,0.27,2.76
2024,47,1.53,22.23,14.2,0.21,3.44
2024,48,1.59,22.02,13.79,0.15,2.96
2024,49,1.56,21.4,14.12,0.14,2.4
2024,50,1.47,21.49,14.02,0.07,2.15
2024,51,1.57,20.9,13.8,0.12,2.17
2024,52,1.4,20.88,13.7,0.09,2.31
2024,53,1.51,20.69,13.68,0.06,2.74
2024,54,1.54,20.19,13.93,0.17,2.25
2024,55,1.42,20.61,14.01,0.31,2.02
2024,56,1.46,20.57,13.59,0.28,1.96
2024,57,1.45,20.43,13.41,0.47,2.79
2024,58,1.45,20.82,13.51,0.21,3.01
2024,59,1.4,20.55,13.66,1.13,2.74
2024,60,1.5,20.09,13.71,0.47,2.08
2024,61,1.24,19.82,13.2,0.18,1.77
2024,62,1.55,20.11,12.93,0.19,2.16
2024,63,1.53,20.46,12.99,0.22,2.52
2024,64,1.57,20.62,13.83,0.3,2.24
2024,65,1.48,20.87,13.82,0.04,2.11
2024,66,1.48,21.19,13.91,0.13,2.56
2024,67,1.46,21.81,13.61,0.01,2.38
2024,68,1.5,21.13,13.65,0.13,2.28
2024,69,1.46,21.35,13.77,0.28,2.28
2024,70,1.49,21.07,13.71,0.25,2.33
2024,71,1.52,21.36,13.68,0.15,2.37
2024,72,1.5,21.24,13.44,0.06,2.69
2024,73,1.52,21.5,13.2,0.0,2.37
2024,74,1.34,21.3,12.64,0.01,2.54
2024,75,1.54,21.53,12.52,0.01,2.48
2024,76,1.29,21.13,13.07,0.43,2.59
2024,77,1.4,20.77,13.57,0.36,2.01
2024,78,1.3,20.82,12.85,0.5,1.94
2024,79,1.24,20.73,12.94,0.23,1.9
2024,80,1.39,21.01,12.55,0.02,2.48
2024,81,1.21,21.2,12.71,0.05,2.27
2024,82,1.38,20.16,12.95,0.17,2.36
2024,83,1.43,19.85,13.56,0.59,2.14
2024,84,1.35,20.68,13.29,0.13,2.17
2024,85,1.4,20.92,12.77,0.08,2.4
2024,86,1.23,20.08,12.78,0.3,1.96
2024,87,1.39,20.05,12.51,0.17,2.09
2024,88,1.4,20.9,12.34,0.14,2.57
2024,89,1.41,20.57,12.7,0.1,2.48
2024,90,1.32,20.32,12.77,0.08,2.67
2024,91,1.27,20.3,12.92,0.41,2.54
2024,92,1.43,20.17,12.7,0.77,2.46
2024,93,1.39,19.72,12.69,0.24,2.42
2024,94,1.38,19.84,12.33,0.07,2.41
2024,95,1.4,19.93,12.69,0.24,2.39
2024,96,1.39,20.08,13.16,0.1,2.51
2024,97,1.4,20.32,13.14,0.22,2.78
