
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.42,14.29,8.07,0.16,2.39
2024,2,0.35,16.82,11.06,1.82,5.94
2024,3,0.23,16.11,10.4,12.12,3.73
2024,4,0.43,15.54,9.26,3.44,5.25
2024,5,0.43,13.49,7.08,0.99,7.34
2024,6,0.4,12.84,6.45,0.05,2.45
2024,7,0.5,12.14,5.38,0.0,1.88
2024,8,0.22,12.59,7.3,13.82,3.84
2024,9,0.29,13.6,8.87,2.55,2.28
2024,10,0.48,14.48,7.99,0.11,2.34
2024,11,0.47,13.87,7.67,0.25,2.05
2024,12,0.39,13.51,7.98,0.55,6.53
2024,13,0.32,16.38,10.62,2.38,7.05
2024,14,0.33,16.95,11.41,2.05,4.7
2024,15,0.38,17.24,11.81,2.42,4.75
2024,16,0.34,17.44,11.47,5.41,7.77
2024,17,0.5,17.0,10.03,6.42,8.56
2024,18,0.37,16.28,10.02,22.96,3.63
2024,19,0.45,14.55,8.42,12.85,6.91
2024,20,0.42,12.44,6.62,0.26,3.51
2024,21,0.58,12.25,6.07,0.0,2.2
2024,22,0.53,14.67,7.65,0.01,1.2
2024,23,0.56,14.69,9.01,0.01,3.5
2024,24,0.6,15.59,8.71,0.01,2.8
2024,25,0.57,15.84,8.24,0.0,2.8
2024,26,0.55,15.53,8.84,0.01,2.47
2024,27,0.52,15.65,9.75,0.06,3.44
2024,28,0.47,15.38,9.89,0.02,4.82
2024,29,0.51,15.39,9.93,0.04,3.94
2024,30,0.53,15.02,8.73,0.01,4.21
2024,31,0.6,14.45,8.03,0.01,3.84
2024,32,0.64,14.26,7.9,0.01,3.88
2024,33,0.65,14.59,7.79,0.0,2.42
2024,34,0.65,14.79,8.03,0.02,3.72
2024,35,0.61,14.34,7.24,0.0,2.32
2024,36,0.57,15.04,8.53,0.0,1.65
2024,37,0.58,15.25,9.74,0.34,2.79
2024,38,0.56,16.29,10.09,0.22,5.24
2024,39,0.18,16.33,10.13,20.08,9.32
2024,40,0.6,15.9,9.52,2.13,8.39
2024,41,0.63,14.59,7.43,0.52,6.57
2024,42,0.57,16.1,10.39,11.68,6.44
2024,43,0.74,16.7,11.11,1.22,4.02
2024,44,0.43,16.67,11.2,0.54,2.82
2024,45,0.58,16.67,10.09,0.81,5.65
2024,46,0.74,16.45,9.87,2.98,5.88
2024,47,0.56,15.86,9.02,0.07,2.63
2024,48,0.72,15.79,8.79,0.07,2.78
2024,49,0.82,15.02,7.99,0.0,2.96
2024,50,0.76,15.08,8.25,0.02,2.95
2024,51,0.84,15.89,8.95,0.03,2.64
2024,52,0.78,15.58,8.97,0.04,3.06
2024,53,0.5,15.28,8.9,2.75,7.12
2024,54,0.76,14.28,6.96,1.05,8.14
2024,55,0.68,14.62,7.46,1.0,6.73
2024,56,0.67,15.85,9.56,6.96,7.75
2024,57,0.85,13.68,6.96,0.58,9.54
2024,58,0.9,13.07,6.51,0.03,8.06
2024,59,0.81,13.71,7.5,0.02,6.23
2024,60,0.88,13.92,7.66,0.39,7.38
2024,61,0.83,13.64,7.23,0.81,5.08
2024,62,0.68,13.97,7.63,3.5,8.31
2024,63,0.8,13.98,7.65,0.89,5.57
2024,64,0.87,14.6,8.05,1.54,5.41
2024,65,0.96,13.71,6.86,0.18,2.69
2024,66,0.88,13.66,7.08,1.04,4.24
2024,67,0.77,13.41,7.24,13.19,9.2
2024,68,0.57,13.77,7.65,14.03,8.5
2024,69,0.86,13.53,7.02,5.38,10.15
2024,70,0.93,14.1,7.74,1.65,7.39
2024,71,1.05,14.42,7.99,0.25,1.76
2024,72,0.99,14.34,7.57,0.0,2.03
2024,73,1.06,14.57,8.5,0.0,3.14
2024,74,1.06,15.24,9.64,0.3,3.35
2024,75,0.66,15.44,10.37,1.37,2.62
2024,76,0.84,15.58,9.22,0.1,2.04
2024,77,1.04,16.63,9.09,0.0,1.77
2024,78,0.93,15.67,9.88,0.0,2.66
2024,79,1.0,15.04,8.81,0.0,4.37
2024,80,1.12,14.92,8.17,0.03,4.14
2024,81,0.82,15.12,8.99,0.17,3.67
2024,82,0.71,17.61,10.0,0.01,4.17
2024,83,0.73,17.77,9.77,0.01,3.08
2024,84,0.55,17.4,9.83,0.02,4.18
2024,85,0.83,14.11,7.86,2.71,8.16
2024,86,0.92,13.05,6.86,3.43,9.5
2024,87,0.75,15.12,9.19,13.77,8.9
2024,88,0.76,14.73,8.87,14.37,7.66
2024,89,1.03,13.3,7.22,4.6,5.49
2024,90,1.09,13.38,7.51,9.58,6.44
2024,91,1.18,13.67,7.16,2.68,7.31
2024,92,1.11,14.62,7.87,0.26,5.58
2024,93,0.64,15.25,9.71,6.05,6.45
2024,94,1.31,15.0,9.4,0.4,2.32
2024,95,1.21,14.36,8.48,0.02,4.26
2024,96,1.18,16.35,9.88,0.1,6.04
2024,97,0.57,16.02,9.96,1.34,2.37
2024,98,1.19,15.56,9.49,0.18,3.19
2024,99,1.4,15.06,8.32,2.27,7.0
2024,100,1.43,14.07,6.8,0.09,5.3
2024,101,1.37,15.8,7.85,0.03,3.87
2024,102,1.42,18.43,9.5,0.0,3.27
2024,103,1.45,18.55,9.39,0.0,2.81
2024,104,1.44,18.97,9.18,0.0,2.65
2024,105,1.41,18.39,9.51,0.0,2.63
2024,106,1.42,17.14,9.8,0.03,5.49
2024,107,1.45,16.79,9.43,0.0,5.38
2024,108,1.43,17.25,10.07,0.01,3.81
2024,109,1.26,16.73,10.42,0.03,1.99
2024,110,0.9,16.52,10.03,0.03,2.43
2024,111,1.24,17.4,10.58,0.27,2.82
2024,112,1.51,17.53,10.41,0.36,2.7
2024,113,1.54,18.1,10.2,0.37,2.66
2024,114,1.54,16.64,7.34,0.0,5.15
2024,115,1.41,16.16,8.82,0.09,4.41
2024,116,1.4,15.59,8.52,0.57,6.86
2024,117,1.13,15.36,8.11,2.58,6.06
2024,118,1.46,14.8,7.55,1.8,6.64
2024,119,1.5,14.25,6.95,0.49,5.53
2024,120,1.5,14.74,7.41,0.05,5.55
2024,121,1.15,15.43,8.88,3.65,5.44
2024,122,1.51,14.15,7.09,0.3,6.18
2024,123,1.42,14.67,7.12,0.15,3.76
2024,124,1.58,15.73,8.06,0.02,3.53
2024,125,1.17,16.66,10.53,0.67,3.74
2024,126,1.16,17.0,11.18,0.97,4.33
2024,127,1.64,16.22,8.55,0.28,5.24
2024,128,1.63,17.17,8.98,0.06,4.24
2024,129,1.61,19.94,8.96,0.0,2.61
2024,130,1.6,19.06,10.09,0.08,2.51
2024,131,1.57,18.2,10.83,0.39,3.59
2024,132,1.12,17.18,10.2,0.03,5.69
2024,133,1.51,17.13,9.73,0.02,5.68
2024,134,1.16,16.96,10.38,0.16,5.4
2024,135,1.47,16.02,8.04,0.08,6.6
2024,136,1.48,15.86,8.02,0.17,5.58
2024,137,1.23,16.49,9.54,1.02,4.89
2024,138,1.56,16.34,8.8,0.42,5.42
2024,139,1.58,16.06,8.86,0.16,5.43
2024,140,1.5,16.37,8.81,0.13,5.48
