
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,1.54,28.47,3.6,0.08,17.44
2024,2,1.26,28.54,3.78,0.93,17.52
2024,3,0.8,28.1,2.9,0.55,16.67
2024,4,1.38,28.28,2.72,0.22,15.95
2024,5,1.51,28.29,3.42,0.03,16.53
2024,6,1.64,27.79,3.45,0.04,16.45
2024,7,1.47,27.57,3.08,0.05,15.95
2024,8,1.43,27.47,2.5,0.03,15.39
2024,9,1.59,27.86,2.56,0.0,15.57
2024,10,1.55,28.1,2.71,0.15,16.68
2024,11,1.49,28.34,3.11,0.31,17.13
2024,12,1.44,28.61,2.66,0.32,17.39
2024,13,1.47,28.89,3.29,0.21,18.23
2024,14,1.27,28.35,3.37,1.9,17.71
2024,15,1.08,28.01,2.69,0.71,17.52
2024,16,1.37,27.79,3.62,0.26,17.51
2024,17,1.41,28.18,3.08,0.08,16.91
2024,18,1.59,28.16,3.23,0.02,16.64
2024,19,1.59,27.84,3.44,0.01,16.39
2024,20,1.58,27.6,3.52,0.03,16.18
2024,21,1.54,27.51,3.34,0.12,15.84
2024,22,1.58,27.52,3.33,0.1,16.02
2024,23,1.43,27.86,2.92,0.12,16.16
2024,24,1.54,28.24,2.5,0.08,16.6
2024,25,1.42,28.33,2.7,0.48,17.04
2024,26,1.41,28.64,2.36,0.09,17.21
2024,27,1.49,29.05,3.34,0.32,18.45
2024,28,1.38,29.11,4.26,0.42,18.78
2024,29,1.32,29.04,2.89,0.55,18.45
2024,30,0.97,29.14,2.74,0.95,18.67
2024,31,0.65,28.39,2.31,2.51,19.04
2024,32,0.66,27.8,1.97,3.26,18.13
2024,33,1.45,28.62,2.17,0.79,17.55
2024,34,1.5,28.91,2.58,0.69,18.29
2024,35,1.19,28.94,2.3,1.05,18.34
2024,36,1.21,28.88,3.51,0.97,19.07
2024,37,1.18,27.97,1.95,4.1,19.1
2024,38,1.51,28.76,2.6,0.33,18.58
2024,39,1.46,29.43,3.94,0.09,19.04
2024,40,1.69,29.43,3.8,0.18,18.67
2024,41,1.6,29.1,3.26,0.81,18.16
2024,42,1.34,29.07,1.32,7.43,17.98
2024,43,1.37,29.7,2.73,1.06,19.04
2024,44,1.39,29.59,3.3,4.36,20.29
2024,45,1.37,28.46,1.92,4.43,20.16
2024,46,1.48,28.94,1.75,9.14,19.52
2024,47,1.4,29.15,2.05,2.37,19.66
2024,48,1.2,28.59,1.98,1.54,19.21
2024,49,1.58,29.43,1.99,1.6,18.79
2024,50,1.21,29.24,2.25,5.18,19.89
2024,51,1.14,28.9,2.72,2.49,19.88
2024,52,1.5,29.27,2.98,7.52,20.77
2024,53,0.83,29.14,2.76,4.46,20.0
2024,54,1.23,28.51,2.35,7.77,20.4
2024,55,0.95,28.14,3.03,5.53,20.32
2024,56,0.83,27.61,2.72,5.82,19.65
2024,57,1.11,27.87,2.45,0.31,19.05
2024,58,1.09,28.58,2.25,1.23,19.28
2024,59,1.32,28.92,2.9,2.1,19.89
2024,60,1.35,29.16,2.39,1.13,20.21
2024,61,0.82,27.78,2.36,2.49,20.02
2024,62,1.38,28.58,2.44,0.15,19.17
2024,63,1.24,29.07,2.75,0.18,19.41
2024,64,1.11,28.78,2.53,0.86,19.89
2024,65,1.17,28.71,2.57,0.8,19.48
2024,66,1.35,28.79,2.29,0.47,18.88
2024,67,1.29,28.56,2.45,2.54,19.46
2024,68,1.15,28.9,2.37,2.37,19.62
2024,69,1.39,28.71,2.71,2.14,20.04
2024,70,0.98,28.54,2.19,3.47,19.59
2024,71,1.44,29.28,2.52,3.63,20.09
2024,72,1.37,29.79,3.52,3.81,20.06
2024,73,1.27,29.57,3.31,2.28,20.23
2024,74,1.32,29.39,2.66,1.15,20.37
2024,75,1.15,29.2,1.8,2.98,19.53
2024,76,1.55,29.87,2.27,0.74,19.6
2024,77,1.56,29.8,3.71,1.35,20.73
2024,78,1.29,29.26,3.22,3.54,19.83
2024,79,1.42,29.24,2.74,3.62,19.92
2024,80,1.28,29.06,1.94,2.54,20.55
2024,81,0.93,28.77,2.31,10.41,21.29
2024,82,1.02,28.01,2.81,9.67,20.64
2024,83,1.25,28.61,2.05,2.13,18.69
2024,84,1.37,29.27,2.04,1.92,19.36
2024,85,1.41,29.2,2.19,3.59,20.35
2024,86,1.49,28.94,2.4,3.83,20.57
2024,87,1.3,29.28,2.05,3.64,20.76
2024,88,1.55,29.66,2.75,2.64,21.16
2024,89,0.34,28.87,2.74,2.36,21.09
2024,90,1.09,28.5,1.91,2.67,20.38
2024,91,1.12,28.8,2.43,2.09,20.21
2024,92,1.39,28.7,1.21,3.37,19.51
2024,93,1.21,29.04,2.58,2.54,20.22
2024,94,1.34,28.99,2.87,1.33,20.32
2024,95,1.2,28.58,3.05,2.88,20.35
2024,96,1.31,28.17,2.66,1.47,19.17
2024,97,1.34,28.79,3.1,1.62,19.95
2024,98,1.18,28.18,2.43,14.17,20.35
2024,99,1.01,27.57,1.74,2.66,19.51
2024,100,1.21,27.97,1.96,1.48,19.13
2024,101,1.32,28.25,2.54,0.17,19.19
2024,102,1.17,28.11,3.3,0.59,19.0
2024,103,1.29,27.7,2.8,2.97,19.28
2024,104,1.22,28.0,2.19,1.15,18.89
2024,105,1.19,28.13,2.62,1.39,19.16
2024,106,1.23,28.23,2.73,2.65,19.79
2024,107,1.23,28.18,2.81,2.89,19.91
2024,108,1.35,28.77,2.44,1.28,20.33
2024,109,1.05,28.54,2.12,5.58,20.57
2024,110,1.32,28.87,2.0,7.29,20.24
2024,111,1.12,28.58,1.81,1.72,20.71
2024,112,1.06,28.31,1.7,0.77,20.04
2024,113,1.36,28.7,2.08,0.41,20.12
2024,114,0.84,28.19,2.1,0.92,19.87
2024,115,0.83,28.21,2.2,1.53,19.78
2024,116,1.22,28.35,2.19,4.28,20.48
2024,117,1.14,28.62,2.36,0.24,20.36
2024,118,1.21,29.1,2.79,0.14,19.97
2024,119,1.16,29.4,3.07,0.02,19.05
2024,120,1.2,29.51,2.94,0.01,18.84
2024,121,1.25,29.36,2.78,0.04,19.33
2024,122,1.18,29.02,2.47,0.34,19.15
2024,123,1.21,28.93,3.0,0.07,19.16
2024,124,1.25,28.55,2.96,0.19,18.88
2024,125,1.28,28.28,3.29,0.04,18.57
2024,126,1.08,28.25,3.34,0.01,18.63
2024,127,1.19,28.32,3.12,0.01,18.81
2024,128,1.09,28.37,3.56,0.05,18.96
2024,129,1.03,27.91,3.13,0.02,18.95
2024,130,0.99,27.93,2.94,0.03,19.0
2024,131,0.98,28.33,2.63,0.02,19.13
2024,132,1.15,28.43,2.52,0.15,19.18
2024,133,1.07,28.27,2.63,0.24,19.38
2024,134,1.11,27.97,3.11,0.23,18.85
2024,135,0.88,27.6,3.1,0.67,18.49
2024,136,1.05,27.63,2.86,0.05,18.17
2024,137,1.16,27.59,2.67,2.22,18.73
2024,138,1.14,27.64,2.25,1.67,18.16
2024,139,1.13,27.35,2.11,0.15,17.71
2024,140,1.16,27.45,1.96,0.35,17.86
2024,141,1.05,27.66,2.17,0.13,17.59
2024,142,1.18,27.64,2.2,0.04,17.92
2024,143,1.11,27.14,2.48,0.06,17.95
2024,144,1.08,26.93,2.35,0.75,17.21
2024,145,0.85,26.87,2.44,0.99,17.42
2024,146,1.0,27.07,2.23,0.6,17.26
2024,147,0.99,27.33,2.59,0.11,17.71
2024,148,0.89,27.56,2.86,0.21,18.13
2024,149,1.04,27.48,3.43,0.07,18.04
2024,150,0.93,27.15,3.07,0.08,17.58
2024,151,1.07,26.93,3.31,0.19,17.02
2024,152,1.07,25.89,3.06,0.03,15.8
2024,153,1.04,25.38,3.11,0.01,15.05
2024,154,0.94,25.07,3.4,0.01,14.65
2024,155,1.09,24.99,3.4,0.0,14.47
2024,156,0.94,24.6,3.03,0.0,14.31
2024,157,0.79,24.44,2.97,0.01,14.3
2024,158,0.86,24.28,3.05,0.01,14.68
2024,159,0.83,23.73,2.64,0.0,13.94
2024,160,0.94,23.87,2.43,0.01,14.54
2024,161,0.98,24.14,2.45,0.02,14.91
2024,162,0.86,24.97,2.23,0.1,15.61
2024,163,1.06,25.31,2.74,0.2,15.91
2024,164,0.98,24.77,2.56,0.08,15.65
2024,165,0.88,24.48,2.4,0.04,15.71
2024,166,0.92,25.01,2.23,0.08,15.86
2024,167,1.01,24.68,2.36,0.06,15.33
2024,168,0.93,24.38,2.5,0.03,14.9
2024,169,0.93,24.44,2.71,0.1,15.1
2024,170,0.96,24.13,3.2,0.09,14.79
2024,171,0.92,23.53,2.84,0.14,14.54
2024,172,0.65,23.35,2.95,0.2,14.39
2024,173,0.68,23.19,2.61,0.08,14.91
2024,174,0.76,23.33,1.91,0.1,14.73
2024,175,0.9,23.57,2.23,0.09,14.91
2024,176,0.86,23.79,2.41,0.14,15.16
2024,177,0.91,23.72,2.16,0.05,14.85
2024,178,0.9,23.98,1.6,0.04,15.04
2024,179,0.75,24.25,1.68,0.02,14.61
2024,180,0.86,24.25,2.51,0.04,15.19
2024,181,0.69,24.17,1.89,0.09,15.36
2024,182,0.86,23.79,2.09,0.02,14.66
2024,183,0.5,23.55,2.41,0.01,14.56
2024,184,0.48,23.31,2.45,0.0,14.37
2024,185,0.48,22.74,2.54,0.0,14.05
2024,186,0.84,22.84,2.63,0.01,14.08
2024,187,0.93,23.13,1.99,0.01,14.03
2024,188,0.6,22.55,2.25,0.01,14.08
2024,189,0.86,22.67,2.7,0.01,13.61
2024,190,0.77,22.54,2.23,0.01,13.55
2024,191,0.88,22.45,2.34,0.0,13.36
2024,192,0.76,22.37,2.37,0.0,13.23
2024,193,0.87,22.38,2.62,0.0,13.78
2024,194,0.6,22.23,2.11,0.0,13.6
2024,195,0.75,22.17,2.43,0.0,13.08
2024,196,0.47,22.03,2.62,0.0,13.17
2024,197,0.84,22.09,1.95,0.01,13.17
2024,198,0.69,21.81,2.12,0.01,13.19
2024,199,0.64,22.13,1.8,0.01,13.19
2024,200,0.7,22.5,2.77,0.02,14.08
2024,201,0.36,22.37,3.17,0.02,13.49
2024,202,0.72,21.78,2.07,0.04,13.37
2024,203,0.48,21.59,1.77,0.04,13.24
2024,204,0.84,22.04,2.32,0.01,13.24
2024,205,0.87,22.21,2.5,0.02,13.41
2024,206,0.55,21.8,2.44,0.03,13.68
2024,207,0.7,21.95,1.93,0.0,13.8
2024,208,0.57,22.07,1.82,0.0,13.46
2024,209,0.87,21.87,2.07,0.0,13.14
2024,210,0.41,21.52,2.0,0.0,12.85
2024,211,0.35,21.3,1.87,0.0,12.56
2024,212,0.58,20.72,1.91,0.0,12.42
2024,213,0.99,21.14,2.28,0.01,12.39
2024,214,0.78,21.35,2.09,0.01,12.58
2024,215,0.78,21.14,2.64,0.0,12.42
2024,216,0.7,21.1,2.25,0.01,12.58
2024,217,0.3,21.21,2.25,0.03,12.77
2024,218,0.5,21.26,1.77,0.02,12.65
2024,219,0.74,21.23,2.05,0.01,12.68
2024,220,0.7,21.57,2.09,0.01,13.05
2024,221,0.61,21.71,2.54,0.02,13.43
2024,222,0.82,21.47,1.78,0.01,13.19
2024,223,0.77,20.98,1.54,0.01,13.19
2024,224,0.39,21.69,2.01,0.01,13.56
2024,225,0.44,21.75,1.91,0.01,13.77
2024,226,0.64,21.96,1.98,0.01,13.56
2024,227,0.36,21.92,2.06,0.03,13.33
2024,228,0.66,22.27,2.87,0.01,13.51
2024,229,0.79,22.47,3.22,0.03,13.66
2024,230,0.38,21.88,3.05,0.04,13.4
2024,231,0.71,21.83,2.62,0.01,13.27
2024,232,0.69,22.12,2.14,0.02,13.45
2024,233,0.75,22.5,2.09,0.03,13.63
2024,234,0.47,22.47,2.43,0.03,14.06
2024,235,0.72,22.33,2.47,0.01,13.91
2024,236,0.57,22.52,2.82,0.02,13.85
2024,237,0.57,21.79,2.86,0.02,13.72
2024,238,0.81,21.87,2.64,0.01,13.33
2024,239,0.58,21.99,2.54,0.01,13.15
2024,240,0.58,21.97,2.29,0.01,13.15
2024,241,0.51,21.96,2.46,0.01,12.99
2024,242,0.49,22.2,2.62,0.02,13.2
2024,243,0.34,22.1,2.56,0.04,13.6
2024,244,0.46,22.01,2.64,0.02,13.46
2024,245,0.64,22.51,2.41,0.03,13.62
2024,246,0.88,23.2,2.19,0.03,13.85
2024,247,1.18,23.08,2.57,0.02,14.25
2024,248,0.62,23.11,2.3,0.04,14.51
2024,249,0.59,23.04,2.14,0.03,14.18
2024,250,0.5,23.01,2.7,0.02,14.04
2024,251,0.67,23.16,2.92,0.03,14.08
2024,252,0.55,23.04,2.58,0.04,13.87
2024,253,0.63,23.32,2.93,0.02,13.93
2024,254,0.58,23.29,2.88,0.01,14.21
2024,255,0.54,23.27,3.06,0.01,14.09
2024,256,0.68,23.51,2.85,0.02,13.91
2024,257,0.81,23.78,2.55,0.06,14.49
2024,258,1.0,23.8,2.58,0.08,14.89
2024,259,0.94,23.7,3.05,0.19,14.97
2024,260,0.82,23.54,2.66,0.21,14.86
2024,261,0.79,23.69,2.72,0.15,14.63
2024,262,0.83,23.88,2.69,0.03,14.48
2024,263,0.58,23.85,2.93,0.03,14.36
2024,264,0.82,24.0,2.86,0.01,14.32
2024,265,1.07,24.37,3.52,0.01,14.77
2024,266,0.69,24.16,3.67,0.02,14.85
2024,267,1.01,24.22,3.53,0.1,14.95
2024,268,0.97,24.71,3.34,0.07,14.83
2024,269,1.0,24.62,3.3,0.06,14.62
2024,270,1.0,24.71,3.19,0.27,14.84
2024,271,0.41,24.88,3.05,0.05,14.44
2024,272,0.66,24.89,3.17,0.05,15.01
2024,273,0.83,25.13,2.95,0.1,15.49
2024,274,0.79,25.33,3.49,0.08,15.66
2024,275,0.77,25.09,3.8,0.11,15.45
2024,276,1.05,25.09,3.2,0.09,15.02
2024,277,0.74,25.36,3.58,0.28,15.28
2024,278,0.97,25.37,3.66,7.85,16.18
2024,279,0.84,25.74,3.22,0.15,16.72
2024,280,0.85,25.64,3.85,0.2,16.3
2024,281,0.9,25.78,3.57,0.09,16.07
2024,282,0.93,25.98,3.38,0.04,15.8
2024,283,1.11,25.85,3.1,0.03,14.96
2024,284,0.93,26.18,2.96,0.09,15.41
2024,285,1.16,26.76,3.5,0.03,16.17
2024,286,0.87,26.66,4.33,0.07,16.47
2024,287,0.92,26.27,3.52,0.03,15.69
2024,288,0.67,25.9,3.28,0.09,15.86
2024,289,0.93,26.34,3.63,0.17,16.38
2024,290,0.96,26.64,4.16,0.11,16.65
2024,291,1.12,26.19,4.14,0.06,16.33
2024,292,0.84,26.0,3.15,0.04,16.0
2024,293,0.86,25.93,3.09,0.48,15.64
2024,294,0.8,26.04,3.89,0.04,15.46
2024,295,0.9,26.33,3.62,0.02,15.58
2024,296,0.92,26.8,3.61,0.05,15.9
2024,297,0.79,26.43,4.09,0.22,16.16
2024,298,0.66,26.39,3.76,0.07,15.66
2024,299,1.18,26.51,3.37,0.42,15.65
2024,300,0.99,26.48,2.88,0.19,15.91
2024,301,1.0,26.59,3.67,0.1,16.6
2024,302,0.84,26.4,4.09,0.09,16.32
2024,303,1.08,26.57,3.35,0.08,16.36
2024,304,0.98,26.62,3.18,0.1,16.31
2024,305,0.98,26.83,3.25,0.07,16.06
2024,306,0.91,26.4,2.94,0.2,15.85
2024,307,0.92,26.95,3.46,0.34,16.69
2024,308,1.05,27.1,3.2,0.84,17.06
2024,309,1.21,27.21,3.78,0.34,17.57
2024,310,0.92,26.67,3.67,0.34,17.21
2024,311,1.03,26.89,3.13,0.14,16.76
2024,312,1.2,27.47,3.71,0.22,17.13
2024,313,0.57,26.68,3.89,0.48,17.13
2024,314,0.97,26.79,3.73,0.28,16.91
2024,315,1.03,26.86,3.29,0.4,16.41
2024,316,1.04,27.12,2.78,0.57,16.18
2024,317,1.26,27.23,3.45,0.22,17.11
2024,318,1.41,27.63,4.17,0.2,18.01
2024,319,0.43,27.04,2.36,0.18,17.88
2024,320,1.14,27.17,2.71,0.15,18.03
2024,321,1.26,27.21,2.93,1.59,17.44
2024,322,0.63,26.59,3.05,1.56,17.39
2024,323,1.34,27.12,3.56,0.2,17.69
2024,324,1.2,27.58,3.43,0.17,17.8
2024,325,1.33,27.52,3.09,0.7,17.65
2024,326,0.95,27.63,3.32,0.22,17.85
2024,327,0.67,27.25,2.78,0.66,17.15
2024,328,1.37,27.27,2.27,0.75,17.25
2024,329,1.16,27.39,2.69,0.57,17.94
2024,330,1.28,27.6,3.07,0.62,17.73
2024,331,1.37,27.32,3.52,4.8,17.75
2024,332,0.99,26.79,3.37,1.13,17.45
2024,333,1.21,27.08,2.67,0.19,16.95
2024,334,1.36,27.76,3.33,0.06,17.01
2024,335,1.53,27.73,3.73,0.01,17.24
2024,336,1.14,28.01,2.52,0.2,16.95
2024,337,1.25,27.85,2.92,2.43,18.36
2024,338,1.2,27.48,2.79,1.27,17.97
2024,339,1.26,27.51,2.86,1.69,17.74
2024,340,0.86,27.15,1.82,2.31,17.47
2024,341,1.35,27.73,2.65,0.96,17.79
2024,342,1.46,27.92,3.12,0.12,17.89
2024,343,1.29,28.28,2.54,1.13,17.62
2024,344,1.37,27.95,2.43,1.83,18.85
2024,345,1.0,27.43,2.72,3.13,19.46
2024,346,0.83,27.31,2.21,7.28,18.76
2024,347,1.18,27.83,2.37,0.78,18.7
2024,348,1.04,28.0,2.11,0.75,18.76
2024,349,1.3,28.24,2.26,0.52,18.85
2024,350,0.74,28.25,2.63,1.24,19.25
2024,351,1.28,28.16,3.3,0.98,19.43
2024,352,1.21,27.63,2.11,4.41,18.9
2024,353,1.42,28.07,2.87,1.51,18.58
2024,354,1.4,28.21,2.61,0.55,18.31
2024,355,1.35,27.95,2.8,0.5,18.16
2024,356,0.89,27.44,2.36,1.67,18.42
2024,357,0.91,27.17,1.82,0.88,17.95
2024,358,1.03,27.98,3.12,0.73,18.21
2024,359,0.93,27.93,2.93,0.74,18.72
2024,360,1.32,27.97,2.44,1.61,17.97
2024,361,1.14,27.36,2.93,8.25,18.56
2024,362,1.18,27.54,2.03,1.19,18.06
2024,363,1.37,27.73,2.32,0.5,18.45
2024,364,1.4,28.0,2.86,0.41,19.03
2024,365,1.19,27.9,2.18,0.73,19.18
2024,366,1.35,28.15,1.97,0.84,18.93
2025,1,1.17,28.22,2.1,0.26,19.2
