
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.12,5.22,5.34,1.46,5.48
2024,2,0.08,6.87,6.05,31.64,8.58
2024,3,0.11,8.37,6.66,11.67,7.86
2024,4,0.14,6.34,5.88,2.79,5.11
2024,5,0.17,4.68,5.19,0.31,4.17
2024,6,0.09,2.79,4.59,0.76,2.28
2024,7,0.09,-0.16,3.42,0.09,3.87
2024,8,0.16,-2.86,2.49,0.06,4.73
2024,9,0.2,-4.38,2.15,0.01,4.45
2024,10,0.22,-4.81,2.36,0.01,2.16
2024,11,0.22,-4.24,2.55,0.01,2.18
2024,12,0.11,-3.49,2.82,0.07,1.41
2024,13,0.11,-3.12,2.82,0.26,1.85
2024,14,0.13,-4.96,2.43,0.4,2.83
2024,15,0.13,-2.76,3.0,0.79,4.09
2024,16,0.23,-3.7,2.68,0.02,1.96
2024,17,0.08,-0.68,3.78,19.36,2.69
2024,18,0.17,-2.94,2.98,8.02,3.34
2024,19,0.18,-4.53,2.59,0.07,1.46
2024,20,0.24,-6.96,2.12,0.04,1.44
2024,21,0.17,-1.96,3.23,0.71,4.11
2024,22,0.08,3.35,4.77,5.02,6.16
2024,23,0.19,3.95,5.01,2.4,4.83
2024,24,0.23,8.28,6.56,2.16,6.04
2024,25,0.21,4.78,5.36,1.51,1.66
2024,26,0.18,4.7,5.32,3.46,3.22
2024,27,0.32,0.16,3.51,0.0,1.18
2024,28,0.31,0.76,3.71,0.0,2.57
2024,29,0.31,3.02,4.84,0.11,1.92
2024,30,0.2,4.8,5.34,0.28,1.99
2024,31,0.23,4.94,5.03,0.25,2.13
2024,32,0.24,5.27,5.23,3.31,2.74
2024,33,0.33,2.38,4.43,0.23,3.48
2024,34,0.19,5.62,5.59,1.04,4.03
2024,35,0.28,6.98,6.13,1.27,5.31
2024,36,0.27,6.15,5.6,0.33,5.4
2024,37,0.15,5.4,5.52,1.01,6.22
2024,38,0.12,7.84,6.53,16.84,6.79
2024,39,0.15,9.36,7.25,13.0,4.6
2024,40,0.21,9.53,7.29,4.46,5.03
2024,41,0.25,7.5,6.62,2.22,1.99
2024,42,0.24,6.75,6.06,3.11,4.08
2024,43,0.31,5.72,5.52,1.59,2.86
2024,44,0.32,4.62,5.05,0.53,2.65
2024,45,0.18,7.64,6.44,1.0,3.49
2024,46,0.3,9.14,7.0,0.97,3.0
2024,47,0.26,9.62,7.29,2.15,3.21
2024,48,0.34,6.94,5.81,0.32,1.48
2024,49,0.25,5.27,5.4,3.39,3.29
2024,50,0.25,7.24,6.04,1.96,3.22
2024,51,0.34,6.0,5.39,0.22,2.7
2024,52,0.31,4.98,5.16,8.06,3.9
2024,53,0.14,8.12,6.65,17.03,6.72
2024,54,0.37,4.58,5.02,2.51,4.68
2024,55,0.4,3.59,4.62,2.93,3.88
2024,56,0.4,5.2,5.14,5.62,4.05
2024,57,0.34,6.03,5.66,7.96,3.43
2024,58,0.41,5.4,5.26,0.19,3.35
2024,59,0.49,3.87,4.23,0.07,1.29
2024,60,0.56,3.34,4.34,0.02,2.3
2024,61,0.42,5.21,5.0,0.28,3.96
2024,62,0.49,7.16,5.97,1.11,3.9
2024,63,0.54,8.54,6.38,0.11,2.53
2024,64,0.25,6.8,5.69,0.31,1.78
2024,65,0.36,5.42,5.31,1.46,1.81
2024,66,0.53,5.1,4.64,0.09,1.06
2024,67,0.56,4.04,4.52,0.01,3.04
2024,68,0.7,3.79,4.51,0.05,3.82
2024,69,0.59,7.05,5.67,0.06,3.51
2024,70,0.35,6.51,5.83,7.25,2.01
2024,71,0.46,6.57,5.77,5.25,3.73
2024,72,0.32,6.8,5.77,13.58,3.4
2024,73,0.39,9.64,7.18,1.61,2.69
2024,74,0.7,9.96,7.04,0.02,1.96
2024,75,0.37,10.44,7.47,6.18,4.0
2024,76,0.47,8.77,6.25,2.21,2.97
2024,77,0.53,7.46,6.06,1.92,1.65
2024,78,0.61,10.69,7.07,1.21,1.38
2024,79,0.65,10.47,6.41,0.01,0.85
2024,80,0.71,10.89,6.72,0.0,1.29
2024,81,0.72,9.62,6.73,0.0,2.06
2024,82,0.62,10.75,7.24,0.1,2.54
2024,83,0.69,5.32,5.08,5.95,4.27
2024,84,0.56,4.13,4.85,1.28,4.6
2024,85,0.84,4.98,4.59,0.1,2.47
2024,86,0.61,7.79,5.99,1.15,2.54
2024,87,0.35,5.93,5.52,2.81,2.7
2024,88,0.76,5.66,5.09,2.68,5.45
2024,89,0.36,9.1,7.02,18.97,2.75
2024,90,0.23,9.49,7.08,2.73,2.34
2024,91,0.72,9.95,7.27,3.55,3.44
2024,92,0.46,7.07,6.09,16.78,3.46
2024,93,0.7,8.1,6.27,1.42,4.67
2024,94,0.47,9.34,7.11,4.75,3.71
2024,95,0.48,11.29,7.91,12.45,4.92
2024,96,0.65,12.99,8.78,0.2,3.46
2024,97,0.97,14.5,8.86,0.05,3.73
2024,98,0.78,15.4,9.46,0.92,2.23
2024,99,0.79,15.34,9.55,3.16,2.8
2024,100,0.54,9.41,6.38,0.79,4.97
2024,101,0.88,7.87,5.13,0.09,1.64
2024,102,0.89,9.74,5.83,0.0,1.49
2024,103,0.74,13.6,8.3,0.01,1.28
2024,104,1.07,15.3,9.53,0.01,2.17
2024,105,1.05,13.84,8.34,1.41,1.98
2024,106,1.04,9.03,6.06,2.54,4.93
2024,107,0.7,6.29,5.42,5.21,5.72
2024,108,0.78,5.09,4.89,3.95,2.73
2024,109,0.72,5.97,4.8,0.99,2.77
2024,110,0.42,5.73,5.42,7.56,4.96
2024,111,0.8,5.33,4.84,2.31,3.48
2024,112,0.8,3.92,4.23,1.37,3.51
2024,113,0.87,3.58,3.99,0.52,2.36
2024,114,1.01,4.62,3.99,0.01,1.89
2024,115,0.87,4.37,4.57,1.83,3.09
2024,116,0.72,4.7,4.31,0.24,2.5
2024,117,0.87,7.65,5.78,0.29,2.1
2024,118,0.94,10.92,7.15,1.18,2.83
2024,119,0.65,11.25,7.18,3.42,3.97
2024,120,0.92,11.49,7.3,0.29,1.55
2024,121,1.13,15.6,8.92,0.27,1.48
2024,122,1.14,16.96,10.21,0.53,2.59
2024,123,0.74,13.92,9.32,23.88,3.05
2024,124,0.88,10.36,6.64,3.85,3.71
2024,125,0.94,10.3,6.88,6.9,2.09
2024,126,0.86,11.76,8.06,19.52,1.63
2024,127,0.53,11.59,8.27,12.4,1.96
2024,128,0.73,11.77,7.74,0.82,2.12
2024,129,0.99,12.19,7.59,0.21,2.64
2024,130,1.38,13.41,7.39,0.03,2.1
2024,131,1.4,14.78,7.92,0.0,1.91
2024,132,1.46,15.87,8.37,0.0,2.21
2024,133,1.36,17.01,9.97,1.02,2.26
2024,134,1.02,16.94,10.43,2.19,1.67
2024,135,1.28,16.7,9.96,5.35,2.86
2024,136,0.58,14.2,9.01,10.65,1.07
2024,137,0.98,13.84,8.71,10.63,1.8
2024,138,0.3,12.38,8.68,46.3,3.99
2024,139,0.66,12.7,8.58,4.47,2.51
2024,140,0.87,13.56,8.58,3.56,1.48
2024,141,1.35,15.37,8.65,0.45,0.8
2024,142,0.52,13.46,9.02,16.62,1.56
2024,143,0.81,13.59,8.67,0.77,2.84
2024,144,1.05,13.89,8.37,1.25,1.19
2024,145,0.94,13.41,8.46,5.0,1.18
2024,146,1.16,14.52,8.12,1.32,1.02
2024,147,1.07,14.9,9.29,0.6,2.63
2024,148,1.12,13.71,8.56,0.89,2.15
2024,149,1.16,12.95,7.93,0.87,2.66
2024,150,0.65,13.57,9.09,11.46,3.52
2024,151,0.87,12.97,8.65,9.69,2.33
2024,152,0.89,13.56,8.34,1.49,2.3
2024,153,0.74,14.47,9.45,1.54,2.24
2024,154,0.61,14.61,9.24,0.33,3.22
2024,155,1.31,13.58,7.84,0.04,1.89
2024,156,1.28,15.16,8.67,0.12,1.79
2024,157,0.9,15.19,9.17,1.42,2.66
2024,158,1.34,14.66,8.46,0.25,2.02
2024,159,1.57,14.8,7.4,0.0,1.6
2024,160,1.51,15.29,8.33,0.0,1.62
2024,161,1.51,14.22,7.78,0.01,2.19
2024,162,1.07,11.51,6.99,1.14,3.46
2024,163,1.22,10.93,6.18,0.06,1.9
2024,164,1.18,11.28,6.53,0.24,1.82
2024,165,1.31,13.14,7.12,0.02,1.53
2024,166,0.67,15.21,9.71,4.68,3.66
2024,167,1.36,14.02,8.01,3.98,4.74
2024,168,0.9,14.12,9.1,2.83,4.0
2024,169,1.03,17.04,10.71,4.24,2.53
2024,170,1.1,17.75,11.73,10.65,2.42
2024,171,0.59,16.59,10.6,3.09,2.55
2024,172,0.89,17.79,11.95,11.24,2.34
2024,173,0.82,17.5,11.55,5.02,2.82
2024,174,0.81,14.37,9.11,6.0,2.15
2024,175,1.08,17.23,10.08,0.29,1.44
2024,176,1.48,19.35,10.96,0.0,2.35
2024,177,1.58,20.12,11.29,0.0,2.26
2024,178,1.53,22.36,11.64,0.0,1.02
2024,179,1.43,23.02,13.27,1.34,1.72
2024,180,1.4,18.36,10.06,0.05,2.19
2024,181,1.18,20.35,13.48,52.49,1.75
2024,182,0.55,18.0,11.89,17.44,2.9
2024,183,1.11,15.48,9.26,2.68,2.36
2024,184,0.57,13.81,8.94,3.64,2.34
2024,185,0.68,13.65,8.39,3.89,1.98
2024,186,1.06,15.48,9.4,2.83,3.71
2024,187,1.21,16.06,9.31,0.01,2.64
2024,188,0.97,15.81,9.58,1.76,3.5
2024,189,1.42,14.57,7.56,0.0,1.5
