
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.42,3.85,4.33,0.0,1.2
2024,2,0.19,3.66,5.46,1.15,2.25
2024,3,0.17,8.74,7.54,4.34,2.29
2024,4,0.21,5.84,6.14,6.78,0.97
2024,5,0.32,2.88,4.54,2.1,2.86
2024,6,0.4,1.85,4.14,0.47,2.62
2024,7,0.45,0.72,3.77,0.02,2.15
2024,8,0.43,1.53,3.55,0.01,1.09
2024,9,0.27,2.9,4.09,0.71,0.78
2024,10,0.18,2.92,4.83,2.79,1.3
2024,11,0.41,0.85,3.63,0.2,1.71
2024,12,0.46,0.23,3.52,0.0,1.69
2024,13,0.29,3.43,4.37,0.34,0.67
2024,14,0.21,6.27,5.76,2.05,1.44
2024,15,0.24,9.24,7.89,7.57,2.37
2024,16,0.29,10.44,8.07,2.34,3.87
2024,17,0.22,9.52,7.32,10.36,6.16
2024,18,0.37,9.35,7.27,1.57,3.59
2024,19,0.41,4.1,5.29,28.18,3.92
2024,20,0.48,2.36,4.07,0.07,2.21
2024,21,0.53,3.86,4.5,0.0,1.04
2024,22,0.4,4.76,5.33,0.01,0.97
2024,23,0.52,8.68,6.97,0.03,1.18
2024,24,0.55,10.09,6.98,0.0,0.81
2024,25,0.55,10.94,5.91,0.0,0.86
2024,26,0.52,10.36,5.41,0.0,1.45
2024,27,0.49,9.46,5.92,0.0,1.31
2024,28,0.54,7.81,5.66,0.0,1.1
2024,29,0.51,7.4,5.66,0.0,1.19
2024,30,0.55,6.57,5.56,0.0,1.08
2024,31,0.51,6.61,5.34,0.0,1.41
2024,32,0.59,7.76,5.34,0.0,2.27
2024,33,0.6,7.36,5.65,0.0,2.53
2024,34,0.62,7.12,5.12,0.0,1.27
2024,35,0.62,8.57,4.37,0.0,1.05
2024,36,0.53,8.61,4.38,0.0,1.14
2024,37,0.53,7.28,5.04,0.0,1.3
2024,38,0.36,5.38,5.9,0.07,1.58
2024,39,0.32,7.43,5.92,2.84,4.45
2024,40,0.24,8.73,7.29,16.18,4.58
2024,41,0.49,5.19,4.97,2.35,4.18
2024,42,0.46,3.4,4.76,0.71,2.44
2024,43,0.68,8.79,6.63,0.43,3.06
2024,44,0.43,9.7,7.77,0.24,1.37
2024,45,0.57,10.29,7.9,0.0,1.39
2024,46,0.38,8.39,6.92,3.55,1.84
2024,47,0.65,7.61,5.69,0.17,2.43
2024,48,0.8,6.7,4.85,0.0,2.04
2024,49,0.7,8.49,5.04,0.0,1.53
2024,50,0.81,9.71,6.04,0.0,2.35
2024,51,0.82,8.33,4.44,0.0,1.73
2024,52,0.57,8.04,4.88,0.0,1.13
2024,53,0.51,8.23,6.72,2.05,3.96
2024,54,0.61,3.96,4.49,1.99,4.04
2024,55,0.6,3.85,4.3,0.15,3.48
2024,56,0.49,8.22,6.69,1.69,5.39
2024,57,0.64,5.76,5.01,1.36,4.73
2024,58,0.7,4.65,3.95,0.01,6.26
2024,59,0.83,5.52,4.64,0.0,4.14
2024,60,0.81,5.25,4.94,0.08,3.13
2024,61,0.81,4.45,4.51,0.09,2.67
2024,62,0.31,4.79,5.51,10.22,4.89
2024,63,0.71,2.66,4.05,0.46,3.2
2024,64,0.55,5.33,5.54,0.69,2.81
2024,65,0.9,5.92,4.35,0.01,1.12
2024,66,0.95,6.08,4.38,0.0,1.35
2024,67,0.51,5.67,5.19,4.85,3.48
2024,68,0.65,5.05,5.04,8.44,5.81
2024,69,0.49,4.86,5.33,7.69,4.69
2024,70,0.67,6.72,5.54,2.59,4.53
2024,71,0.84,6.22,4.95,0.06,2.52
2024,72,1.07,8.24,5.05,0.0,1.13
2024,73,1.03,9.71,5.27,0.0,1.36
2024,74,0.83,10.16,6.52,0.01,1.98
2024,75,0.83,9.67,7.02,0.15,1.29
2024,76,0.89,11.51,7.25,0.0,1.4
2024,77,0.87,14.05,7.52,0.0,0.91
2024,78,0.88,13.4,7.63,0.0,1.02
2024,79,0.98,14.57,7.51,0.0,1.42
2024,80,0.85,13.11,7.88,0.02,2.13
2024,81,0.91,13.93,7.86,0.21,2.31
2024,82,0.96,16.03,7.01,0.0,1.59
2024,83,0.96,14.64,7.99,0.0,2.23
2024,84,0.91,12.87,7.29,0.0,2.43
2024,85,0.42,10.71,7.83,9.58,2.68
2024,86,0.93,5.33,4.59,3.9,3.71
2024,87,0.76,7.77,6.29,5.48,6.29
2024,88,0.76,10.01,7.08,3.79,6.44
2024,89,0.48,6.98,6.17,17.22,3.07
2024,90,0.77,5.82,5.69,7.21,3.48
2024,91,0.64,4.99,5.27,10.12,3.74
2024,92,0.98,5.95,5.19,1.11,3.58
2024,93,0.68,7.44,5.63,0.07,2.53
2024,94,1.07,10.74,7.05,0.03,2.22
2024,95,1.19,12.22,7.35,0.0,1.69
2024,96,1.09,13.5,7.33,0.03,2.34
2024,97,0.76,14.38,7.88,0.0,2.11
2024,98,0.95,14.59,8.89,0.3,1.78
2024,99,1.06,10.24,6.58,1.06,3.72
2024,100,1.39,7.46,4.51,0.1,2.27
2024,101,1.38,10.54,5.85,0.0,2.17
2024,102,1.38,14.39,7.32,0.0,2.91
2024,103,1.43,14.74,6.4,0.0,0.95
2024,104,1.44,16.38,6.94,0.0,1.12
2024,105,1.36,15.85,6.83,0.0,1.25
2024,106,1.35,17.17,8.97,0.0,1.92
2024,107,1.5,14.6,7.06,0.0,2.7
2024,108,1.53,11.89,6.07,0.0,2.69
2024,109,1.52,11.43,5.5,0.0,2.96
2024,110,1.49,12.05,6.16,0.0,1.65
2024,111,1.38,13.92,5.88,0.0,2.39
2024,112,1.48,12.7,5.59,0.0,1.89
2024,113,1.51,9.42,4.06,0.0,3.63
2024,114,1.39,7.62,4.32,0.03,2.85
2024,115,1.49,9.56,4.34,0.0,1.71
2024,116,0.98,10.62,5.48,0.02,1.73
2024,117,1.06,10.33,6.07,2.81,2.86
2024,118,1.1,9.34,6.06,5.32,4.11
2024,119,1.28,9.71,4.96,0.14,1.3
2024,120,1.19,10.78,5.2,0.04,1.66
2024,121,1.2,11.22,5.83,1.22,2.66
2024,122,1.25,8.03,4.98,0.9,3.08
2024,123,1.24,8.52,4.71,0.04,2.36
2024,124,1.49,11.26,5.43,0.01,2.06
2024,125,1.5,14.1,6.68,0.03,2.73
2024,126,1.01,13.58,8.33,5.71,2.99
2024,127,1.27,13.27,6.97,2.04,1.96
2024,128,1.63,13.09,5.81,0.0,2.68
2024,129,1.58,14.26,5.86,0.0,2.2
2024,130,1.48,17.28,6.7,0.0,1.51
2024,131,1.56,18.26,7.27,0.01,2.0
2024,132,1.55,18.12,7.92,0.23,1.81
2024,133,1.31,18.68,8.45,0.0,1.28
2024,134,1.27,18.74,8.28,3.05,2.71
2024,135,1.25,13.63,6.22,2.06,2.78
2024,136,1.31,11.7,5.12,0.13,2.39
2024,137,1.25,11.98,5.38,0.16,2.49
2024,138,1.18,13.56,6.87,0.97,2.39
2024,139,1.39,13.86,6.06,0.06,1.65
2024,140,1.26,13.72,5.97,1.12,1.91
2024,141,1.24,13.91,6.1,0.22,1.68
2024,142,1.18,14.43,6.75,1.39,1.81
2024,143,1.33,13.59,6.2,0.31,1.87
2024,144,1.68,15.45,5.66,0.0,1.6
2024,145,1.65,17.85,6.51,0.0,1.57
2024,146,1.62,18.82,6.05,0.0,2.36
2024,147,1.6,19.91,7.38,0.0,2.29
2024,148,1.56,20.05,7.21,0.0,2.19
2024,149,1.67,20.78,7.88,0.0,1.79
2024,150,1.69,23.09,8.2,0.0,1.35
2024,151,1.63,23.51,8.51,0.11,3.1
2024,152,1.75,19.54,5.8,0.02,3.85
2024,153,1.71,17.93,5.91,0.0,3.56
2024,154,1.74,18.3,6.3,0.0,2.51
2024,155,1.51,20.4,7.89,0.52,1.92
2024,156,1.58,22.85,8.62,0.07,1.25
2024,157,1.53,26.1,9.0,0.0,1.41
2024,158,1.53,24.8,10.14,1.61,1.96
2024,159,1.14,25.6,8.58,0.08,3.21
2024,160,0.6,19.31,9.84,5.21,2.08
2024,161,0.9,19.13,10.04,7.16,0.75
2024,162,0.88,16.04,9.21,16.29,2.23
2024,163,1.75,16.95,6.72,0.0,2.46
2024,164,1.55,17.13,7.1,0.42,2.63
2024,165,1.75,18.62,6.55,0.0,2.47
2024,166,1.78,21.83,6.55,0.0,2.91
2024,167,1.78,20.46,6.32,0.0,2.21
2024,168,1.8,21.11,6.51,0.0,2.2
2024,169,1.81,21.59,6.33,0.0,2.54
2024,170,1.02,20.28,7.6,1.26,2.73
2024,171,1.46,18.56,7.13,0.67,1.78
2024,172,1.2,16.59,7.66,3.8,1.86
2024,173,1.75,19.8,7.31,0.06,1.14
2024,174,1.47,21.45,7.28,0.0,2.17
2024,175,1.6,22.9,9.41,0.0,3.02
2024,176,1.79,23.97,9.21,0.0,1.5
2024,177,1.63,26.33,9.68,0.08,1.32
2024,178,1.12,23.64,10.04,1.0,2.42
2024,179,1.23,24.45,8.6,0.05,2.21
2024,180,1.28,21.95,9.71,4.31,2.72
2024,181,0.81,20.2,10.42,1.13,3.67
2024,182,1.22,19.85,9.43,0.73,1.35
2024,183,1.65,22.21,8.14,0.08,2.94
2024,184,1.8,22.48,8.05,0.0,2.89
2024,185,1.78,24.86,6.9,0.0,2.12
2024,186,1.78,27.1,6.79,0.2,1.35
2024,187,1.63,27.98,8.01,0.12,2.29
2024,188,1.6,25.69,8.37,0.94,3.35
2024,189,1.69,23.25,6.89,0.0,2.54
2024,190,1.77,24.37,4.64,0.0,2.42
2024,191,1.72,25.16,5.94,0.0,2.77
2024,192,1.78,26.81,8.5,0.0,1.92
2024,193,1.78,28.22,9.34,0.0,2.86
2024,194,1.78,25.27,6.8,0.0,2.18
2024,195,1.68,24.57,6.14,0.0,3.1
2024,196,1.76,25.44,4.43,0.0,2.92
2024,197,1.61,24.59,7.42,0.01,3.24
2024,198,1.71,24.28,4.7,0.0,1.62
2024,199,1.66,25.91,5.5,0.0,2.16
2024,200,1.38,28.44,5.32,0.0,1.72
2024,201,1.69,29.46,5.34,0.0,2.24
2024,202,1.7,27.58,6.22,0.0,3.08
2024,203,1.74,24.55,6.15,0.0,3.4
2024,204,1.74,25.73,4.99,0.0,2.21
2024,205,1.69,29.05,7.05,0.0,1.42
2024,206,1.63,30.89,8.04,0.0,1.85
2024,207,1.6,30.7,8.41,0.01,1.97
2024,208,1.51,29.33,8.44,0.18,1.71
2024,209,1.51,30.25,7.99,0.02,1.92
2024,210,1.59,29.68,7.95,0.3,3.0
2024,211,1.09,29.01,8.67,0.55,2.1
2024,212,1.54,30.13,7.38,0.0,3.04
2024,213,1.66,29.98,6.46,0.0,2.15
2024,214,1.66,29.47,6.02,0.0,2.12
2024,215,1.42,27.91,9.17,2.41,2.65
2024,216,1.58,27.68,7.55,0.0,1.95
2024,217,1.52,28.93,7.84,0.0,1.77
2024,218,1.52,29.66,7.35,0.0,2.2
2024,219,1.55,29.65,6.6,0.0,2.14
2024,220,1.54,29.84,7.04,0.0,1.66
2024,221,1.51,29.78,6.11,0.0,1.49
2024,222,1.47,29.84,6.31,0.0,2.19
2024,223,1.52,29.82,5.92,0.0,2.75
2024,224,1.53,29.33,6.78,0.0,2.17
2024,225,1.46,28.86,7.14,0.01,2.27
2024,226,1.11,25.04,7.63,0.56,2.54
2024,227,1.39,23.97,8.24,0.03,2.88
2024,228,1.55,22.22,5.94,0.0,2.94
2024,229,1.53,25.08,5.58,0.0,2.15
2024,230,1.46,26.65,6.38,0.0,2.22
2024,231,1.5,26.94,9.24,0.0,3.15
2024,232,1.41,25.9,6.59,0.0,2.44
2024,233,1.4,27.17,5.16,0.0,2.04
2024,234,1.33,27.46,9.21,0.93,2.58
2024,235,1.27,28.26,8.2,0.09,1.95
2024,236,1.33,28.17,6.4,0.32,2.0
2024,237,1.33,26.96,7.21,0.01,2.64
2024,238,1.32,25.75,7.91,0.09,2.61
2024,239,1.28,26.35,9.39,0.01,1.65
2024,240,1.31,27.17,7.14,0.0,1.73
2024,241,1.33,28.28,5.99,0.0,2.01
2024,242,0.73,23.97,10.77,8.68,1.58
2024,243,1.01,23.66,12.14,16.45,1.88
2024,244,0.89,20.82,11.51,5.85,2.01
2024,245,1.11,23.82,10.92,0.55,1.22
2024,246,1.2,23.65,10.2,0.59,1.57
