
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,1.19,27.59,0.54,1.74,19.67
2024,2,1.06,27.5,0.7,2.55,20.05
2024,3,1.22,27.92,0.68,0.88,20.31
2024,4,1.28,28.12,0.6,2.35,19.92
2024,5,0.9,26.65,0.54,2.04,19.51
2024,6,1.13,26.65,0.73,0.02,18.9
2024,7,1.42,27.66,0.74,0.14,18.97
2024,8,1.29,27.94,0.72,0.7,19.44
2024,9,0.87,27.29,0.71,9.12,20.15
2024,10,1.04,26.53,0.69,6.57,19.83
2024,11,1.06,26.85,0.62,5.21,19.57
2024,12,1.05,26.66,0.67,6.96,19.51
2024,13,0.85,26.71,0.57,13.79,18.98
2024,14,0.58,26.2,0.72,29.67,19.42
2024,15,1.27,26.48,0.72,6.17,19.67
2024,16,1.31,27.24,0.8,0.89,19.57
2024,17,1.39,27.75,0.74,0.91,19.86
2024,18,1.38,27.55,0.73,2.11,20.02
2024,19,1.32,27.42,0.59,1.25,20.28
2024,20,1.19,27.87,0.7,0.54,20.08
2024,21,1.19,27.41,0.62,7.04,20.94
2024,22,1.31,26.67,0.69,1.54,19.93
2024,23,1.07,27.79,0.61,3.37,20.01
2024,24,1.19,27.25,0.72,3.77,19.11
2024,25,1.06,27.72,0.66,5.39,20.35
2024,26,0.78,27.18,0.6,6.52,20.47
2024,27,0.86,27.68,0.66,3.56,20.62
2024,28,1.09,27.46,0.71,2.06,20.25
2024,29,1.29,28.02,0.83,0.26,19.87
2024,30,1.51,28.45,0.79,0.17,20.07
2024,31,1.32,27.93,0.76,7.33,19.91
2024,32,0.29,26.69,0.6,43.58,20.73
2024,33,1.05,27.25,0.74,8.22,20.21
2024,34,1.32,27.27,0.75,2.8,19.85
2024,35,1.44,27.82,0.76,3.06,20.85
2024,36,1.54,27.83,0.78,1.85,20.63
2024,37,1.42,27.89,0.69,0.27,20.66
2024,38,1.37,27.5,0.66,2.06,20.46
2024,39,1.36,27.86,0.6,1.58,20.59
2024,40,0.86,27.86,0.67,1.47,20.96
2024,41,1.27,27.88,0.72,0.81,20.79
2024,42,0.98,27.08,0.7,11.48,20.41
2024,43,1.11,26.31,0.67,21.84,19.96
2024,44,1.0,25.9,0.84,26.95,19.28
2024,45,1.17,26.45,0.74,10.75,19.06
2024,46,1.23,27.55,0.72,8.96,19.96
2024,47,1.37,27.86,0.75,1.76,20.42
2024,48,1.31,27.87,0.72,11.87,20.68
2024,49,0.84,27.45,0.65,15.15,21.17
2024,50,1.24,27.9,0.6,3.59,20.02
2024,51,1.55,28.31,0.75,0.0,19.67
2024,52,1.55,28.34,0.76,0.0,19.9
2024,53,1.53,28.57,0.78,0.0,20.43
2024,54,1.51,28.46,0.77,0.0,20.98
2024,55,1.4,28.11,0.82,2.85,20.86
2024,56,0.92,26.35,0.78,4.95,20.18
2024,57,0.59,25.19,0.65,12.63,18.82
2024,58,1.19,26.41,0.56,3.47,17.71
2024,59,1.1,27.47,0.72,0.09,18.94
2024,60,1.3,28.01,0.69,0.92,19.73
2024,61,1.19,27.01,0.65,10.44,20.23
2024,62,0.77,25.72,0.56,22.3,19.64
2024,63,1.06,26.14,0.56,1.54,18.69
2024,64,0.87,26.98,0.69,3.13,19.3
2024,65,1.52,27.59,0.72,0.36,19.36
2024,66,1.58,28.18,0.72,0.19,20.35
2024,67,1.22,28.03,0.71,0.83,20.76
2024,68,0.89,27.03,0.66,12.75,20.33
2024,69,0.98,26.54,0.69,4.65,20.06
2024,70,1.17,27.01,0.71,1.98,19.5
2024,71,0.81,27.24,0.68,4.74,19.79
2024,72,1.38,27.77,0.66,1.16,20.38
2024,73,0.71,28.08,0.71,8.76,21.17
2024,74,1.4,28.4,0.76,2.55,20.66
2024,75,0.83,27.58,0.69,9.77,21.19
2024,76,0.57,27.02,0.72,7.26,20.57
2024,77,0.96,27.49,0.73,11.95,20.31
2024,78,0.49,26.43,0.75,28.92,20.47
2024,79,1.09,26.22,0.64,12.34,19.62
2024,80,0.58,27.4,0.6,11.04,19.94
2024,81,0.85,26.09,0.71,22.07,19.59
2024,82,1.27,27.25,0.7,1.43,19.72
2024,83,0.92,27.35,0.63,8.78,20.26
2024,84,0.45,26.14,0.49,49.13,19.0
2024,85,1.0,26.63,0.51,2.38,18.32
2024,86,1.32,27.58,0.64,0.71,19.51
2024,87,0.88,27.67,0.73,18.97,20.49
2024,88,0.86,26.72,0.64,15.26,20.17
2024,89,0.74,26.89,0.69,0.0,19.03
2024,90,1.23,27.6,0.73,0.0,19.57
2024,91,0.97,27.68,0.74,4.82,20.56
2024,92,1.21,27.49,0.54,5.36,20.38
2024,93,1.05,26.9,0.66,2.36,20.14
2024,94,1.52,27.28,0.67,5.6,19.77
2024,95,1.04,26.98,0.61,12.6,20.04
2024,96,0.88,26.65,0.57,13.24,19.59
2024,97,1.26,26.65,0.71,3.85,18.82
2024,98,1.34,27.49,0.61,2.39,19.46
2024,99,1.17,27.04,0.69,3.58,20.46
2024,100,1.02,27.56,0.68,3.69,20.43
2024,101,1.32,27.68,0.64,3.17,20.99
2024,102,1.06,27.59,0.67,9.8,21.03
2024,103,0.95,27.01,0.52,20.63,19.33
2024,104,0.86,26.44,0.65,3.09,18.89
2024,105,1.44,27.6,0.68,0.2,19.92
2024,106,1.22,27.79,0.71,0.59,20.78
2024,107,1.07,27.16,0.59,5.23,20.62
2024,108,1.06,27.3,0.6,7.8,20.64
2024,109,0.51,26.42,0.56,15.15,20.11
2024,110,1.2,27.22,0.55,1.29,19.09
2024,111,0.94,27.79,0.48,7.61,19.28
2024,112,0.33,26.26,0.61,15.32,19.36
2024,113,1.28,26.2,0.71,1.54,19.2
2024,114,0.78,26.17,0.58,4.64,19.78
2024,115,0.64,26.27,0.55,21.87,19.23
2024,116,1.06,26.39,0.6,2.23,18.81
2024,117,1.21,26.7,0.65,1.49,18.95
2024,118,1.3,27.59,0.65,0.62,20.11
2024,119,1.38,27.79,0.66,1.29,20.64
2024,120,1.04,27.28,0.64,1.83,20.63
2024,121,1.12,27.45,0.64,1.55,20.31
2024,122,1.23,27.47,0.65,1.2,20.07
2024,123,1.04,27.45,0.66,2.47,20.72
2024,124,1.12,27.2,0.62,1.07,20.6
2024,125,0.82,27.15,0.6,1.93,20.63
2024,126,0.89,26.95,0.58,22.77,20.92
2024,127,0.92,26.82,0.54,14.81,20.2
2024,128,0.8,27.4,0.5,10.26,20.14
2024,129,1.2,27.55,0.63,3.67,20.36
2024,130,1.35,27.92,0.68,1.7,20.76
2024,131,0.92,27.57,0.62,5.61,20.82
2024,132,1.13,27.48,0.54,5.14,20.35
2024,133,0.53,27.06,0.57,4.3,20.25
2024,134,0.86,27.38,0.63,0.67,19.84
2024,135,1.23,27.0,0.68,2.89,20.21
2024,136,1.2,26.67,0.61,6.71,20.68
2024,137,1.02,26.64,0.53,15.47,20.12
2024,138,0.69,26.67,0.61,13.45,19.8
2024,139,0.82,26.03,0.59,31.64,19.7
2024,140,0.65,26.41,0.67,9.84,19.75
2024,141,0.62,26.88,0.78,5.69,20.19
2024,142,1.25,27.13,0.71,1.85,20.48
2024,143,0.98,27.37,0.72,2.24,20.57
2024,144,1.18,27.32,0.71,4.24,20.87
2024,145,0.84,27.19,0.61,2.03,20.98
2024,146,0.89,27.79,0.61,2.43,20.21
2024,147,1.12,27.48,0.66,3.54,20.02
2024,148,0.37,25.91,0.64,9.97,19.62
2024,149,0.5,26.16,0.7,16.15,19.39
2024,150,0.51,25.9,0.7,8.58,19.08
2024,151,0.67,25.49,0.62,9.39,18.44
2024,152,0.88,26.18,0.65,8.12,18.97
2024,153,0.63,26.59,0.65,10.01,19.81
2024,154,1.01,26.76,0.68,9.87,20.06
2024,155,0.84,26.44,0.71,12.05,20.36
2024,156,1.11,27.1,0.72,1.12,19.55
2024,157,0.88,27.19,0.65,2.92,20.24
2024,158,1.0,26.47,0.61,2.26,20.4
2024,159,1.18,27.25,0.7,1.34,20.12
2024,160,1.0,26.93,0.72,5.74,20.33
2024,161,0.86,26.79,0.63,3.48,19.3
2024,162,1.1,27.18,0.68,4.15,19.58
2024,163,1.13,26.69,0.65,2.51,19.91
2024,164,1.05,26.83,0.65,16.72,20.33
2024,165,0.99,27.16,0.72,7.76,20.18
2024,166,1.19,27.48,0.76,0.02,20.21
2024,167,1.11,26.74,0.7,0.03,19.79
2024,168,1.17,26.97,0.7,0.33,19.97
2024,169,1.18,26.96,0.56,0.65,19.38
2024,170,0.89,27.08,0.64,2.67,19.21
2024,171,1.09,26.79,0.7,0.99,20.04
2024,172,1.15,27.12,0.73,0.07,19.9
2024,173,1.07,27.23,0.7,3.36,20.09
2024,174,1.18,27.51,0.7,1.71,19.78
2024,175,1.07,26.93,0.66,2.21,19.79
2024,176,0.97,26.98,0.73,4.69,19.65
2024,177,1.12,26.55,0.62,0.48,19.32
2024,178,1.18,26.97,0.67,0.33,18.77
2024,179,1.05,27.21,0.65,0.67,19.08
2024,180,1.08,27.2,0.69,1.95,19.46
2024,181,1.19,26.89,0.7,1.7,19.6
2024,182,1.09,27.06,0.67,0.35,19.55
2024,183,1.12,27.0,0.7,2.89,19.9
2024,184,0.99,26.91,0.69,6.17,19.96
2024,185,1.02,26.76,0.67,2.52,19.88
2024,186,1.13,26.93,0.72,0.44,19.6
2024,187,1.16,27.02,0.74,0.27,19.72
2024,188,1.23,26.53,0.65,0.11,19.7
2024,189,1.14,26.93,0.73,0.2,19.32
2024,190,1.27,26.77,0.75,0.14,18.84
2024,191,1.12,27.17,0.65,8.68,19.15
2024,192,0.57,26.6,0.69,6.18,19.52
2024,193,0.92,26.55,0.66,3.69,19.67
2024,194,1.11,26.76,0.73,3.17,19.57
2024,195,0.61,26.45,0.63,13.17,19.7
2024,196,1.1,26.28,0.69,1.59,18.7
2024,197,1.09,26.34,0.73,5.55,18.75
2024,198,1.16,26.67,0.74,5.61,19.18
2024,199,1.23,26.73,0.76,0.96,18.72
2024,200,1.21,27.12,0.74,0.12,18.5
2024,201,1.29,27.22,0.71,0.03,19.07
2024,202,1.27,27.26,0.8,0.03,18.87
2024,203,1.06,27.35,0.8,0.83,18.85
2024,204,1.21,27.64,0.8,2.45,19.46
2024,205,1.28,27.64,0.75,0.43,19.48
2024,206,1.27,27.63,0.76,0.03,18.6
2024,207,1.03,27.75,0.67,1.68,18.44
2024,208,1.11,27.95,0.79,0.32,18.96
2024,209,1.17,27.79,0.72,0.01,18.85
2024,210,1.21,28.16,0.7,0.05,19.25
2024,211,1.24,28.18,0.77,0.01,18.98
2024,212,1.27,28.31,0.7,0.01,18.71
2024,213,1.25,28.09,0.7,0.04,18.62
2024,214,1.25,28.26,0.72,0.01,18.3
2024,215,1.16,28.16,0.44,0.39,18.41
2024,216,1.1,28.68,0.59,0.37,18.41
2024,217,1.15,27.98,0.74,0.04,18.51
2024,218,1.26,27.94,0.73,0.0,17.92
2024,219,1.28,28.06,0.67,0.02,17.15
2024,220,1.35,28.94,0.59,0.01,16.39
2024,221,1.3,29.81,0.68,0.0,16.28
2024,222,1.12,30.35,0.75,0.0,17.07
2024,223,0.91,30.22,0.6,6.09,17.77
2024,224,0.82,26.73,0.66,3.81,17.58
2024,225,0.8,27.89,0.64,2.63,17.41
2024,226,0.71,29.29,0.44,0.47,16.99
2024,227,1.08,29.03,0.71,4.01,17.65
2024,228,1.25,28.31,0.72,1.45,17.49
2024,229,1.23,29.44,0.71,0.12,16.87
2024,230,1.23,30.35,0.53,0.03,16.39
2024,231,1.2,30.76,0.62,0.01,15.34
2024,232,1.21,30.67,0.68,0.14,15.67
2024,233,1.29,30.92,0.67,0.03,15.74
2024,234,1.3,31.26,0.65,0.0,15.28
2024,235,1.39,31.48,0.79,0.01,15.82
2024,236,1.25,31.16,0.87,0.01,15.3
2024,237,1.21,31.63,0.78,0.0,15.75
2024,238,1.24,32.03,0.89,0.0,15.62
2024,239,1.01,31.66,0.66,0.05,15.94
