YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.26,5.39,4.18,0.07,1.22
2024,2,0.23,4.52,4.14,101.08,1.2
2024,3,0.3,6.1,5.18,0.08,0.88
2024,4,0.31,6.78,4.2,0.26,0.85
2024,5,0.06,5.86,5.21,24.2,2.74
2024,6,0.15,7.28,5.26,5.61,1.03
2024,7,0.15,6.52,4.26,2.81,0.9
2024,8,0.18,5.39,4.57,0.65,1.15
2024,9,0.21,3.48,3.87,0.32,1.62
2024,10,0.21,1.46,3.29,0.08,1.14
2024,11,0.31,2.36,3.16,0.0,0.64
2024,12,0.33,3.12,3.35,0.0,1.2
2024,13,0.29,2.71,3.42,0.03,0.89
2024,14,0.23,2.22,3.5,0.04,0.96
2024,15,0.33,2.99,3.44,0.04,1.06
2024,16,0.25,2.06,2.76,0.04,1.66
2024,17,0.19,2.13,4.01,12.56,1.38
2024,18,0.25,5.16,4.81,1.97,0.8
2024,19,0.29,4.01,3.69,0.46,2.18
2024,20,0.38,-0.25,1.91,0.0,1.49
2024,21,0.31,1.75,1.85,0.0,0.75
2024,22,0.26,3.07,2.69,0.29,0.83
2024,23,0.4,5.64,3.76,0.02,0.89
2024,24,0.39,5.85,4.58,0.07,1.18
2024,25,0.4,8.53,5.35,0.13,0.89
2024,26,0.35,7.77,5.14,0.05,0.75
2024,27,0.41,7.23,4.35,0.02,1.65
2024,28,0.32,5.83,4.05,0.02,1.44
2024,29,0.33,4.99,4.13,0.02,0.89
2024,30,0.37,5.74,4.06,0.02,0.76
2024,31,0.36,6.54,4.32,0.02,0.48
2024,32,0.36,6.36,4.77,0.13,0.81
2024,33,0.43,8.66,4.19,0.03,0.93
2024,34,0.48,9.65,5.14,0.0,1.14
2024,35,0.43,10.0,5.55,0.0,0.92
2024,36,0.46,9.19,5.59,0.1,1.28
2024,37,0.31,7.62,5.62,1.16,0.91
2024,38,0.33,7.82,5.91,0.02,1.16
2024,39,0.37,8.18,5.75,0.48,0.92
2024,40,0.14,8.89,7.02,22.27,2.25
2024,41,0.14,8.37,6.51,27.32,3.89
2024,42,0.3,8.55,5.8,8.26,1.38
2024,43,0.46,7.74,4.83,0.01,1.1
2024,44,0.55,9.26,4.64,0.0,1.08
2024,45,0.56,9.51,4.92,0.0,0.84
2024,46,0.38,9.27,5.34,0.01,0.66
2024,47,0.46,8.91,5.66,0.12,0.73
2024,48,0.52,10.99,6.09,0.0,0.67
2024,49,0.5,10.74,6.47,0.08,1.71
2024,50,0.59,11.36,5.85,0.06,1.29
2024,51,0.57,10.84,5.09,0.07,0.86
2024,52,0.58,9.76,5.5,0.04,1.11
2024,53,0.26,9.24,6.62,20.08,1.87
2024,54,0.4,8.69,6.08,22.96,1.27
2024,55,0.43,6.67,5.07,3.36,1.96
2024,56,0.48,7.06,5.32,1.47,1.28
2024,57,0.13,5.31,5.15,23.59,2.79
2024,58,0.2,6.97,5.71,34.72,3.12
2024,59,0.43,10.81,6.83,5.81,1.59
2024,60,0.32,10.88,6.53,2.54,1.67
2024,61,0.17,9.66,7.01,24.89,1.27
2024,62,0.35,9.48,6.83,10.6,1.97
2024,63,0.22,9.03,6.47,6.93,4.31
2024,64,0.54,9.69,6.5,5.46,1.55
2024,65,0.44,8.51,5.96,5.17,1.26
2024,66,0.53,8.85,5.6,7.39,1.52
2024,67,0.67,8.58,5.18,0.4,0.99
2024,68,0.38,6.07,5.55,4.96,3.06
2024,69,0.25,6.66,5.73,6.47,2.56
2024,70,0.2,8.05,6.48,34.02,4.14
2024,71,0.73,8.08,5.69,0.85,1.33
2024,72,0.83,10.47,5.04,0.0,1.69
2024,73,0.79,11.58,5.68,0.14,1.16
2024,74,0.8,10.95,6.56,0.0,1.08
2024,75,0.62,10.55,7.09,0.13,1.23
2024,76,0.85,12.85,7.05,0.11,1.19
2024,77,0.7,12.0,6.93,0.01,0.93
2024,78,0.64,11.9,7.5,1.17,0.75
2024,79,0.72,11.75,7.03,0.01,1.39
2024,80,0.67,11.97,6.85,0.04,1.46
2024,81,0.88,14.37,7.33,0.24,1.15
2024,82,0.88,13.97,6.64,0.0,1.19
2024,83,0.75,12.59,6.59,0.28,2.0
2024,84,0.99,9.78,4.09,0.02,2.03
2024,85,1.15,9.19,4.24,0.0,1.53
2024,86,0.46,7.97,5.57,6.26,2.04
2024,87,0.35,8.89,6.44,21.47,2.78
2024,88,0.31,7.35,6.0,7.32,1.63
2024,89,0.33,9.91,6.95,3.98,2.77
2024,90,0.39,12.85,7.63,8.69,4.1
2024,91,0.45,12.52,8.34,20.76,2.89
2024,92,0.74,13.31,7.57,13.23,3.24
2024,93,1.18,11.91,5.69,0.05,1.31
2024,94,0.55,11.33,6.84,1.41,1.27
2024,95,0.89,12.64,7.15,0.17,1.19
2024,96,0.88,14.11,8.2,0.02,1.08
2024,97,1.15,15.28,8.47,0.0,1.0
2024,98,0.95,16.92,9.06,0.0,0.87
2024,99,1.13,17.71,9.27,0.0,1.58
2024,100,0.42,13.62,8.3,12.97,2.05
2024,101,0.31,12.93,7.49,27.31,2.62
2024,102,1.11,16.02,7.73,0.08,1.03
2024,103,1.19,18.46,9.13,0.0,1.32
2024,104,1.2,20.12,10.06,0.0,1.05
2024,105,1.28,20.1,10.28,0.0,1.25
2024,106,0.78,17.38,10.1,0.08,1.35
2024,107,1.37,13.93,5.6,0.02,3.68
2024,108,1.27,11.02,5.08,0.21,2.4
2024,109,0.74,9.0,5.12,0.65,1.82
2024,110,1.29,10.04,4.58,0.55,1.72
2024,111,1.26,11.13,4.67,0.17,2.63
2024,112,0.94,9.59,4.62,2.28,1.38
2024,113,0.39,5.75,4.93,20.25,2.33
2024,114,0.8,5.41,4.99,9.93,0.87
2024,115,1.32,9.55,4.73,0.2,0.98
2024,116,1.09,8.51,5.22,0.72,1.72
2024,117,0.71,9.58,6.08,3.22,2.06
2024,118,0.6,11.16,7.11,3.03,2.18
2024,119,0.56,12.76,7.42,5.66,2.4
2024,120,1.18,16.18,7.18,0.0,1.6
2024,121,1.18,17.27,8.05,0.07,1.94
2024,122,0.47,15.84,9.18,14.53,2.49
2024,123,0.5,12.93,8.21,23.57,2.0
2024,124,1.18,14.29,7.59,3.32,1.27
2024,125,1.09,14.87,8.09,1.17,0.77
2024,126,1.2,15.93,9.05,0.33,1.18
2024,127,0.52,15.28,8.37,1.49,0.97
2024,128,0.51,14.11,8.64,7.79,1.57
2024,129,1.24,16.34,9.02,2.48,0.87
2024,130,1.35,17.69,9.43,0.5,1.17
2024,131,1.5,17.84,9.22,1.13,1.35
2024,132,1.34,19.28,9.06,0.03,1.17
2024,133,1.2,18.84,9.93,2.53,1.33
2024,134,0.9,17.4,10.01,5.67,1.65
2024,135,0.77,17.17,9.92,10.72,1.9
2024,136,0.34,15.43,10.21,59.51,3.25
2024,137,0.51,15.3,10.02,24.61,1.96
2024,138,1.37,15.78,8.46,7.08,1.1
2024,139,1.22,16.64,9.44,106.88,1.27
2024,140,1.26,17.95,9.65,3.37,1.01
2024,141,0.96,17.59,10.64,5.35,1.9
2024,142,1.37,17.27,10.43,22.22,1.03
2024,143,1.16,17.11,10.32,4.82,0.8
2024,144,0.92,15.78,9.84,9.84,1.41
2024,145,1.17,16.03,9.48,2.96,1.4
2024,146,1.22,16.84,9.05,4.36,0.68
2024,147,1.52,19.02,9.63,0.0,1.1
2024,148,0.81,19.48,10.47,1.81,1.09
2024,149,1.44,19.34,10.68,3.24,1.08
2024,150,1.17,18.42,11.25,3.82,1.44
2024,151,0.75,18.33,11.7,9.58,1.12
2024,152,0.85,15.09,8.86,26.82,2.59
2024,153,1.69,18.15,9.12,0.35,1.23
2024,154,1.34,18.39,10.52,7.7,0.91
2024,155,1.29,17.56,9.68,2.71,1.09
2024,156,1.19,18.79,11.38,1.17,1.1
2024,157,1.52,20.13,11.65,0.08,1.25
2024,158,1.42,20.99,12.78,0.18,1.09
2024,159,1.22,21.9,13.78,0.45,0.91
2024,160,0.85,22.02,14.3,2.29,0.83
2024,161,0.77,21.71,13.24,1.8,1.52
2024,162,1.41,21.59,13.04,5.81,1.42
2024,163,1.21,19.42,11.82,20.03,1.9
2024,164,1.25,18.78,11.01,17.36,1.11
2024,165,1.5,17.7,9.8,1.58,1.41
2024,166,0.98,18.48,10.74,0.4,1.6
2024,167,0.83,19.07,11.55,6.39,1.75
2024,168,1.56,20.32,11.83,1.08,1.01
2024,169,1.56,21.81,12.32,0.07,1.0
2024,170,1.37,23.49,12.81,0.0,1.26
2024,171,1.11,24.49,13.26,0.13,1.25
2024,172,0.52,24.56,15.41,10.03,1.37
2024,173,0.79,23.25,15.51,154.92,2.2
2024,174,1.52,21.99,12.22,1.76,1.63
2024,175,0.71,18.63,11.7,18.5,1.57
2024,176,0.84,20.38,12.22,6.69,1.07
2024,177,0.92,21.22,12.84,5.79,0.99
2024,178,1.46,20.98,13.01,3.8,0.64
2024,179,1.68,23.34,14.61,0.18,1.36
2024,180,1.59,25.02,15.61,0.15,0.9
2024,181,0.76,24.52,16.09,1.4,2.11
2024,182,1.34,23.4,14.75,2.13,1.56
2024,183,1.22,22.33,14.43,5.73,0.86
2024,184,1.6,22.7,12.99,0.49,1.18
2024,185,0.87,18.56,11.59,13.95,1.73
2024,186,1.65,20.39,10.8,0.03,1.14
2024,187,1.48,22.72,12.9,0.07,1.32
2024,188,1.05,23.19,14.0,4.67,1.3
2024,189,0.95,22.4,14.47,30.09,1.61
2024,190,1.57,23.67,14.47,3.46,0.91
2024,191,1.55,26.08,15.25,0.07,0.76
2024,192,1.52,27.46,15.6,0.03,0.82
2024,193,1.6,27.15,16.56,0.73,0.85
2024,194,1.13,24.85,16.8,10.87,1.49
2024,195,1.39,23.88,14.9,1.68,0.99
2024,196,1.58,24.48,13.37,0.0,0.8
2024,197,1.62,25.86,14.55,0.05,1.03
2024,198,1.58,25.75,15.85,0.51,1.09
2024,199,1.35,26.11,16.52,0.44,0.98
2024,200,1.43,27.17,16.32,0.17,1.22
2024,201,1.28,27.17,16.72,6.36,1.05
2024,202,1.58,25.86,14.27,1.07,1.17
2024,203,1.28,24.3,14.72,0.29,1.17
2024,204,1.5,26.61,15.0,0.87,1.01
2024,205,1.44,26.17,16.71,2.31,1.13
2024,206,1.4,26.21,16.07,0.51,1.09
