
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,0.21,-8.18,2.08,0.06,1.56
2024,2,0.17,-4.1,3.87,0.27,2.44
2024,3,0.18,-0.46,3.19,0.16,3.36
2024,4,0.32,-7.73,3.85,1.13,1.73
2024,5,0.29,-9.82,2.76,0.68,1.56
2024,6,0.24,-10.38,3.98,1.79,1.31
2024,7,0.22,-8.06,3.92,6.18,1.79
2024,8,0.22,-8.9,2.48,1.17,1.68
2024,9,0.21,-7.91,4.14,14.47,1.86
2024,10,0.15,0.26,5.37,12.23,3.74
2024,11,0.25,-8.19,3.11,0.73,1.71
2024,12,0.35,-14.26,2.5,0.02,1.01
2024,13,0.18,-2.77,6.76,12.97,3.0
2024,14,0.16,-5.71,6.44,1.35,2.09
2024,15,0.28,-9.51,3.38,0.09,1.55
2024,16,0.26,-10.86,1.63,2.32,1.45
2024,17,0.32,-13.37,4.28,0.61,1.14
2024,18,0.33,-12.08,2.83,0.17,1.26
2024,19,0.47,-20.22,2.2,0.42,0.58
2024,20,0.31,-16.2,3.75,0.98,0.88
2024,21,0.39,-17.52,3.31,0.36,0.77
2024,22,0.31,-7.33,4.45,0.5,2.08
2024,23,0.33,-6.21,4.22,0.13,2.05
2024,24,0.26,-5.45,1.86,4.52,2.53
2024,25,0.33,-4.17,1.57,2.62,2.48
2024,26,0.15,-2.19,3.3,7.0,3.04
2024,27,0.28,-4.47,1.2,0.79,2.41
2024,28,0.29,-4.75,1.64,0.2,2.45
2024,29,0.35,-7.24,2.47,0.9,1.92
2024,30,0.43,-13.43,2.64,0.12,1.18
2024,31,0.33,-4.98,1.41,0.88,2.46
2024,32,0.19,0.76,3.06,2.04,3.8
2024,33,0.23,-2.79,3.6,0.42,2.82
2024,34,0.62,-9.24,1.68,0.16,1.63
2024,35,0.54,-10.09,1.77,0.23,1.59
2024,36,0.54,-11.24,2.35,0.32,1.35
2024,37,0.59,-9.95,1.77,0.22,1.53
2024,38,0.47,-8.02,0.98,0.2,1.85
2024,39,0.46,-3.94,1.94,0.8,2.66
2024,40,0.47,1.12,2.41,3.37,3.84
2024,41,0.47,1.3,3.59,0.76,4.02
2024,42,0.34,-0.91,4.28,0.66,3.17
2024,43,0.3,-3.45,1.79,0.17,2.39
2024,44,0.59,-4.42,3.34,0.98,2.28
2024,45,0.59,-10.89,6.45,0.22,1.2
2024,46,0.65,-10.04,2.83,1.53,1.28
2024,47,0.48,-6.18,4.41,1.96,1.96
2024,48,0.64,-11.52,4.06,0.22,1.15
2024,49,0.42,-7.62,5.21,1.98,1.87
