
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.08,-17.75,0.77,0.21,2.88
2024,2,0.12,-27.09,0.33,0.03,3.71
2024,3,0.11,-31.55,0.2,0.03,2.47
2024,4,0.12,-31.92,0.2,0.04,2.16
2024,5,0.13,-30.29,0.25,0.06,1.81
2024,6,0.12,-22.12,0.51,2.4,2.19
2024,7,0.13,-27.69,0.3,0.11,2.42
2024,8,0.14,-21.3,0.59,1.07,3.5
2024,9,0.14,-11.25,1.44,5.77,4.54
2024,10,0.14,-12.2,1.36,2.46,3.54
2024,11,0.15,-7.96,1.97,3.95,6.66
2024,12,0.14,-19.33,0.71,0.22,4.73
2024,13,0.16,-29.54,0.25,0.0,2.22
2024,14,0.16,-21.03,0.67,1.54,4.02
2024,15,0.14,-6.41,2.25,3.23,5.28
2024,16,0.15,-6.58,2.22,1.02,3.95
2024,17,0.16,-12.83,1.26,0.57,4.95
2024,18,0.16,-15.36,1.07,10.74,5.58
2024,19,0.17,-10.58,1.6,0.88,2.5
2024,20,0.12,-11.25,1.46,0.1,2.31
2024,21,0.18,-21.03,0.59,0.08,2.17
2024,22,0.18,-14.41,1.07,0.06,5.34
2024,23,0.16,-6.83,2.11,4.41,7.45
2024,24,0.16,-2.94,2.95,1.19,5.19
2024,25,0.14,-4.09,2.71,2.7,4.04
2024,26,0.17,-8.34,1.84,0.89,1.15
2024,27,0.2,-10.04,1.59,0.27,1.26
2024,28,0.17,-10.77,1.47,0.12,1.34
2024,29,0.12,-7.54,2.0,0.11,4.61
2024,30,0.2,-3.08,2.85,0.05,3.79
2024,31,0.13,-4.64,2.54,0.31,2.42
2024,32,0.12,-1.83,3.21,2.11,4.2
2024,33,0.13,-3.57,2.73,1.27,5.46
2024,34,0.15,-7.53,2.06,0.89,3.56
2024,35,0.22,-2.07,3.2,3.32,5.14
2024,36,0.19,-5.95,2.37,0.32,2.51
2024,37,0.22,-7.92,1.98,1.66,2.58
2024,38,0.17,-10.86,1.57,7.93,4.18
2024,39,0.29,-18.53,0.73,0.28,5.01
