
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.78,24.68,11.24,0.0,1.64
2024,2,0.68,24.09,10.7,0.0,1.64
2024,3,0.69,23.56,10.3,0.0,1.92
2024,4,0.84,22.72,9.22,0.0,1.58
2024,5,0.87,21.44,8.63,0.0,1.61
2024,6,0.91,23.06,10.11,0.0,2.19
2024,7,0.92,24.34,12.3,0.02,2.28
2024,8,0.92,26.04,11.98,0.05,2.63
2024,9,0.76,25.73,12.99,0.98,2.21
2024,10,0.65,25.92,12.6,0.02,1.91
2024,11,0.88,26.68,12.62,0.0,1.79
2024,12,0.98,26.46,11.12,0.0,2.44
2024,13,0.93,26.0,11.08,0.0,2.24
2024,14,1.07,24.57,9.23,0.0,2.31
2024,15,1.11,22.46,7.19,0.0,2.28
2024,16,1.08,21.47,7.33,0.0,1.63
2024,17,0.89,21.76,9.23,0.0,1.48
2024,18,0.93,22.0,9.37,0.0,1.43
2024,19,0.96,22.18,8.53,0.0,1.66
2024,20,0.94,22.66,9.37,0.0,1.61
2024,21,1.01,22.93,8.21,0.0,1.77
2024,22,1.01,23.03,8.39,0.0,2.57
2024,23,1.06,21.87,6.35,0.0,2.68
2024,24,1.07,21.74,5.87,0.0,2.28
2024,25,1.05,22.39,6.07,0.0,2.4
2024,26,0.94,23.54,6.66,0.0,2.44
2024,27,0.9,24.88,7.54,0.0,1.87
2024,28,0.92,24.99,7.95,0.0,1.95
2024,29,0.87,24.95,7.53,0.0,1.99
2024,30,0.88,24.42,7.81,0.0,1.99
2024,31,1.06,24.11,8.81,0.0,1.73
2024,32,1.04,23.02,10.34,0.04,1.81
2024,33,1.09,23.82,9.74,0.0,2.07
2024,34,1.07,26.23,8.52,0.0,2.47
2024,35,0.97,27.23,9.03,0.0,2.04
2024,36,1.03,27.02,9.39,0.0,1.82
2024,37,1.1,26.68,9.25,0.0,1.77
2024,38,1.12,26.43,9.47,0.0,2.33
2024,39,1.16,26.32,8.02,0.0,2.43
2024,40,1.2,26.04,8.09,0.0,2.0
2024,41,1.23,25.17,7.19,0.0,2.16
2024,42,1.2,24.96,6.61,0.0,1.92
2024,43,1.1,25.42,7.27,0.0,1.74
2024,44,1.06,25.08,7.28,0.0,1.88
2024,45,1.02,25.71,5.99,0.0,2.63
2024,46,1.09,26.63,6.87,0.0,2.31
2024,47,0.98,28.04,8.98,0.0,2.32
2024,48,1.11,28.61,8.68,0.0,1.74
2024,49,1.18,28.23,8.35,0.0,1.56
2024,50,1.3,27.57,8.19,0.0,1.6
2024,51,1.34,26.05,10.63,0.0,2.15
2024,52,1.27,25.18,12.8,0.0,2.1
2024,53,1.28,25.0,11.84,0.0,2.08
2024,54,1.35,24.63,9.32,0.0,2.11
2024,55,1.35,24.68,4.72,0.0,2.57
2024,56,1.32,25.28,4.08,0.0,2.36
2024,57,1.14,28.0,7.26,0.0,2.17
2024,58,1.1,29.1,8.78,0.01,1.86
2024,59,1.14,30.16,9.82,0.0,2.22
2024,60,1.18,30.79,10.39,0.18,1.89
2024,61,1.17,30.23,12.94,0.95,1.73
2024,62,1.25,27.82,13.36,0.37,2.46
2024,63,1.33,25.06,12.25,0.09,3.19
2024,64,1.45,24.15,7.72,0.0,2.32
