
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.19,2.33,4.36,0.78,1.86
2024,2,0.12,2.94,4.31,4.19,1.82
2024,3,0.17,7.07,5.49,1.13,3.26
2024,4,0.16,5.05,5.08,1.46,3.16
2024,5,0.14,2.66,4.41,3.27,0.6
2024,6,0.09,0.99,4.3,16.05,0.7
2024,7,0.08,-1.8,3.41,9.98,1.29
2024,8,0.12,-7.6,2.05,0.16,1.29
2024,9,0.22,-9.26,1.76,0.01,1.91
2024,10,0.21,-5.39,2.44,0.03,0.86
2024,11,0.23,-5.76,2.3,0.08,0.67
2024,12,0.17,-5.79,2.37,0.07,0.96
2024,13,0.12,-6.57,2.2,0.03,1.37
2024,14,0.19,-6.34,2.14,0.0,1.32
2024,15,0.17,-4.2,2.75,1.09,2.15
2024,16,0.19,-5.04,2.33,0.07,1.38
2024,17,0.13,-1.01,3.7,5.89,1.18
2024,18,0.18,1.83,4.51,4.97,1.77
2024,19,0.21,-3.47,2.63,0.98,1.08
2024,20,0.28,-5.39,2.05,0.0,0.68
2024,21,0.28,-4.44,2.34,0.0,0.96
2024,22,0.14,0.35,3.5,6.07,1.62
2024,23,0.21,2.51,4.49,2.54,2.38
2024,24,0.22,7.95,6.23,3.93,3.79
2024,25,0.25,4.64,5.25,6.86,1.8
2024,26,0.15,5.71,5.79,7.53,1.98
2024,27,0.34,1.21,3.63,0.89,1.16
2024,28,0.35,0.68,3.51,0.0,0.93
2024,29,0.34,4.8,2.98,0.0,0.74
2024,30,0.31,4.64,3.83,0.0,0.94
2024,31,0.22,4.85,4.78,0.01,1.02
2024,32,0.2,4.28,5.2,6.27,1.89
2024,33,0.24,3.54,4.58,0.65,1.81
2024,34,0.31,4.64,4.62,0.01,1.91
2024,35,0.34,5.56,5.27,0.77,2.7
2024,36,0.35,6.52,5.3,0.04,2.64
2024,37,0.31,4.61,4.77,0.0,2.0
2024,38,0.24,5.13,4.95,1.35,2.8
2024,39,0.27,7.81,6.21,2.65,2.14
2024,40,0.26,7.32,6.08,0.7,0.8
2024,41,0.25,6.54,5.75,0.12,0.98
2024,42,0.22,4.13,5.23,8.0,2.03
2024,43,0.3,4.47,5.12,1.61,1.58
2024,44,0.35,4.19,4.56,1.12,1.25
2024,45,0.39,5.61,4.88,0.08,1.3
2024,46,0.48,7.95,5.67,0.03,0.8
2024,47,0.37,8.28,6.05,0.34,1.03
2024,48,0.37,8.01,6.56,6.68,1.12
2024,49,0.45,7.52,5.61,0.43,0.74
2024,50,0.25,5.79,5.43,6.61,2.11
2024,51,0.32,4.73,4.97,2.96,1.66
2024,52,0.47,5.4,4.32,0.03,1.03
2024,53,0.31,6.7,5.84,6.53,1.19
2024,54,0.23,2.71,4.6,10.89,1.09
2024,55,0.53,3.02,3.9,0.25,0.82
2024,56,0.59,3.02,4.24,0.82,0.75
2024,57,0.46,4.31,4.61,0.05,0.79
2024,58,0.33,4.13,5.05,0.89,0.83
2024,59,0.26,3.83,4.98,0.16,0.61
2024,60,0.36,5.23,5.18,0.03,0.89
2024,61,0.3,4.77,5.35,1.14,0.85
2024,62,0.57,6.5,5.39,0.44,0.86
2024,63,0.59,7.09,5.16,0.0,1.24
2024,64,0.27,5.56,5.27,0.07,1.42
2024,65,0.33,5.7,5.48,2.55,0.84
2024,66,0.32,3.35,4.84,8.59,0.68
2024,67,0.37,2.61,4.35,0.68,1.16
2024,68,0.69,2.86,4.06,0.03,1.53
2024,69,0.75,5.08,4.68,0.02,0.9
2024,70,0.43,6.94,5.63,0.16,1.12
2024,71,0.73,6.03,4.86,0.09,0.82
2024,72,0.38,5.23,5.15,1.67,1.52
2024,73,0.42,5.14,5.41,1.13,0.97
2024,74,0.68,9.37,6.15,0.13,0.57
2024,75,0.65,9.73,6.85,1.7,1.32
2024,76,0.45,8.86,6.67,5.05,2.04
2024,77,0.67,8.37,5.92,0.87,0.67
2024,78,0.41,7.67,6.3,9.7,0.7
2024,79,0.7,8.04,5.86,1.07,0.69
2024,80,0.77,9.13,5.39,0.0,1.02
2024,81,0.44,8.38,6.54,7.37,1.37
2024,82,0.76,9.89,6.23,0.02,1.17
2024,83,0.55,6.28,5.07,4.95,2.2
2024,84,0.6,2.96,4.26,3.52,2.47
2024,85,0.85,4.43,4.13,0.25,1.72
2024,86,0.77,6.67,5.03,0.0,0.99
2024,87,0.69,8.71,6.33,5.04,1.43
2024,88,0.5,4.51,4.95,7.06,1.56
2024,89,0.73,9.41,5.9,0.0,1.64
2024,90,0.73,11.74,6.43,0.0,1.41
2024,91,0.72,11.19,6.81,0.05,1.25
2024,92,0.48,8.66,6.43,3.09,1.81
2024,93,0.82,7.02,5.41,1.06,2.28
2024,94,0.53,7.58,5.4,1.65,1.24
2024,95,0.62,11.32,7.07,1.63,1.95
2024,96,0.95,14.02,8.12,1.06,0.93
2024,97,1.08,18.06,7.17,0.0,0.83
2024,98,0.92,16.35,7.95,0.0,1.05
2024,99,0.92,18.22,8.6,0.0,0.92
2024,100,0.52,11.45,7.41,3.95,1.79
2024,101,0.84,6.82,5.26,4.56,1.03
2024,102,1.04,9.54,5.77,0.0,0.81
2024,103,1.12,13.03,6.87,0.0,0.65
2024,104,1.09,15.62,7.38,0.0,0.75
2024,105,1.06,17.11,9.2,0.09,1.22
2024,106,0.52,12.86,8.3,13.91,1.91
2024,107,0.84,5.86,4.69,4.15,2.73
2024,108,0.69,4.02,4.84,11.32,1.33
2024,109,0.74,3.42,4.44,3.1,1.27
2024,110,0.58,3.41,4.5,6.7,2.64
2024,111,0.76,3.09,4.39,7.54,1.95
2024,112,0.59,2.59,4.39,8.66,0.83
2024,113,0.78,2.41,3.94,1.95,1.61
2024,114,0.52,2.49,4.2,2.74,1.45
2024,115,0.73,3.39,4.18,1.64,1.46
2024,116,0.84,3.89,4.08,0.83,1.4
2024,117,0.98,7.86,4.58,0.01,0.75
2024,118,1.37,11.11,5.58,0.0,1.01
2024,119,1.05,13.45,7.37,0.0,1.07
2024,120,1.25,14.14,7.66,0.01,0.81
2024,121,1.27,16.53,8.09,0.0,0.96
2024,122,1.21,16.09,8.51,0.01,1.2
2024,123,1.02,14.89,8.22,0.72,1.71
2024,124,0.56,8.9,6.62,7.83,1.57
2024,125,1.15,12.32,7.5,0.58,0.85
2024,126,0.89,13.92,8.62,2.0,1.04
2024,127,0.88,13.66,8.66,12.41,1.15
2024,128,0.8,11.41,7.83,6.87,1.13
2024,129,0.4,10.01,7.41,12.42,0.93
2024,130,1.15,11.57,6.91,0.39,0.86
2024,131,1.31,12.33,6.72,0.0,1.12
2024,132,1.26,13.62,7.45,0.0,1.16
2024,133,1.34,14.86,8.38,0.0,1.32
2024,134,1.33,15.56,8.74,0.82,0.68
2024,135,1.56,16.01,8.73,0.01,1.56
2024,136,1.1,16.07,8.93,0.82,0.62
2024,137,1.18,15.88,9.1,4.34,0.91
2024,138,0.67,11.72,7.67,10.35,1.78
2024,139,1.22,14.6,8.3,11.3,1.05
2024,140,1.33,14.78,8.54,6.32,0.87
2024,141,1.49,15.84,9.15,0.65,1.04
2024,142,0.5,13.97,9.14,14.88,1.44
2024,143,0.99,13.47,8.45,2.96,1.35
2024,144,1.12,13.57,8.68,13.28,1.01
2024,145,1.02,13.14,7.8,6.54,0.83
2024,146,1.2,13.36,8.11,4.9,0.7
2024,147,1.42,15.5,8.75,0.46,0.69
2024,148,1.0,16.23,9.94,16.89,0.88
2024,149,1.1,13.37,7.88,10.69,1.36
2024,150,1.03,14.3,7.76,1.21,0.65
2024,151,1.12,14.73,9.58,16.54,0.78
2024,152,0.45,11.25,8.24,30.58,1.39
2024,153,0.29,10.67,8.0,33.02,2.45
2024,154,0.71,13.68,9.03,9.79,1.1
2024,155,0.53,13.62,9.6,28.4,1.02
2024,156,1.34,15.78,9.2,1.1,0.64
2024,157,1.16,17.05,10.14,1.27,1.21
2024,158,1.31,19.07,11.07,4.23,0.68
2024,159,1.29,18.93,11.39,6.96,0.89
2024,160,1.16,19.85,12.04,10.84,0.62
2024,161,0.92,17.13,11.27,21.83,0.64
2024,162,1.31,15.46,9.61,13.01,1.08
2024,163,0.9,11.63,7.05,4.71,0.97
2024,164,1.15,11.54,6.69,3.56,0.8
2024,165,1.18,12.47,7.23,0.95,0.68
2024,166,0.84,14.05,8.42,0.51,0.62
2024,167,1.06,14.69,9.3,12.32,1.19
2024,168,1.35,15.8,8.96,2.85,0.76
2024,169,1.24,18.15,11.16,7.49,0.65
2024,170,1.59,21.61,12.31,0.46,0.8
2024,171,1.46,22.2,13.15,0.04,0.86
2024,172,0.81,21.18,14.23,1.65,1.13
2024,173,0.59,20.71,13.43,6.36,1.09
2024,174,1.4,16.69,9.59,16.63,1.24
2024,175,0.97,16.05,10.31,2.32,1.03
2024,176,1.45,18.26,11.09,0.01,1.53
2024,177,1.62,20.0,12.54,1.03,1.55
2024,178,1.28,19.82,13.11,4.69,0.45
2024,179,1.13,19.68,13.44,8.62,0.88
2024,180,1.37,22.05,14.26,2.14,1.04
2024,181,1.29,24.76,14.62,0.13,0.89
2024,182,0.93,20.16,13.16,12.04,1.33
2024,183,1.02,16.85,10.8,7.85,1.1
2024,184,0.91,14.94,8.99,3.54,1.31
2024,185,0.76,14.08,9.08,8.52,1.24
2024,186,1.12,15.28,9.1,1.11,1.54
2024,187,1.47,18.16,10.56,0.27,0.88
2024,188,1.27,20.9,13.06,12.1,0.91
2024,189,0.75,15.05,10.34,19.6,0.88
2024,190,1.52,17.94,11.54,1.96,0.77
2024,191,1.66,22.15,14.47,0.41,0.94
2024,192,0.99,22.07,14.05,10.42,0.89
2024,193,1.24,22.02,14.27,2.69,0.58
2024,194,0.94,20.64,14.24,25.49,1.22
2024,195,0.95,16.33,10.94,12.82,0.93
2024,196,1.36,18.91,11.81,1.07,0.53
2024,197,1.45,23.2,13.62,0.32,0.88
2024,198,1.03,20.28,13.31,10.15,0.93
2024,199,0.89,18.73,12.05,1.92,0.72
2024,200,1.29,20.55,13.03,0.09,1.12
2024,201,1.4,22.63,14.14,3.29,0.73
2024,202,1.26,20.34,13.04,6.06,0.92
2024,203,1.36,22.14,13.36,6.59,0.57
2024,204,1.01,20.38,13.54,8.15,1.24
2024,205,1.2,19.57,12.12,2.7,0.94
2024,206,1.13,17.6,11.12,3.73,1.25
2024,207,1.3,18.42,10.15,0.04,0.56
2024,208,1.18,20.88,11.25,0.0,0.73
2024,209,1.31,23.81,13.64,1.0,0.65
2024,210,1.24,18.98,11.88,5.02,1.29
2024,211,1.49,18.65,10.18,0.0,0.9
2024,212,1.47,21.45,11.21,0.0,0.78
2024,213,1.43,25.29,12.95,2.29,0.74
2024,214,1.0,22.0,14.63,7.02,0.99
2024,215,0.99,19.75,13.36,3.43,1.46
2024,216,1.08,19.68,12.25,7.19,0.78
2024,217,1.01,19.13,12.17,2.03,1.19
2024,218,1.14,19.3,12.01,0.9,0.97
2024,219,1.45,20.87,11.87,0.0,0.89
2024,220,1.02,21.38,13.66,3.44,0.82
2024,221,0.85,19.09,12.86,4.94,0.92
