
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.23,-9.09,1.5,0.02,0.63
2024,2,0.18,-5.44,2.24,0.08,0.84
2024,3,0.2,-1.09,3.24,0.49,0.78
2024,4,0.32,-8.9,1.43,0.36,1.19
2024,5,0.21,-7.96,1.72,0.42,0.78
2024,6,0.18,-10.28,1.3,2.14,1.23
2024,7,0.2,-8.91,1.73,4.75,0.89
2024,8,0.21,-8.4,1.81,0.57,0.7
2024,9,0.09,-6.8,2.05,9.87,1.82
2024,10,0.19,-0.76,3.64,8.64,1.59
2024,11,0.23,-8.55,1.65,0.61,0.83
2024,12,0.28,-12.74,1.18,0.4,1.24
2024,13,0.13,-1.87,3.28,14.12,2.32
2024,14,0.21,-7.84,1.97,0.89,1.81
2024,15,0.3,-12.11,1.35,0.15,1.25
2024,16,0.2,-14.26,1.13,2.74,0.65
2024,17,0.25,-13.51,1.19,0.3,1.46
2024,18,0.25,-11.12,1.45,0.19,0.98
2024,19,0.45,-21.57,0.56,0.13,1.3
2024,20,0.27,-16.06,0.92,0.51,1.59
2024,21,0.35,-16.79,0.85,0.16,1.2
2024,22,0.25,-7.18,2.16,1.04,1.57
2024,23,0.28,-6.16,2.2,0.45,1.24
2024,24,0.18,-8.04,1.94,4.51,0.89
2024,25,0.22,-5.0,2.48,1.14,0.79
2024,26,0.15,-2.88,2.97,5.34,1.22
2024,27,0.21,-4.4,2.6,1.44,0.59
2024,28,0.26,-3.21,2.92,0.18,0.78
2024,29,0.3,-8.88,1.84,0.41,1.13
2024,30,0.34,-11.26,1.46,0.24,1.22
2024,31,0.25,-5.7,2.47,0.35,0.78
2024,32,0.23,0.05,3.79,1.09,1.24
2024,33,0.27,-4.13,2.68,0.14,1.56
2024,34,0.47,-10.43,1.6,0.03,0.77
2024,35,0.48,-9.93,1.67,0.04,0.77
2024,36,0.53,-10.65,1.55,0.01,1.0
2024,37,0.58,-9.55,1.68,0.01,0.73
2024,38,0.36,-7.12,2.08,0.03,0.74
2024,39,0.49,-3.66,2.84,0.01,1.24
2024,40,0.47,0.21,3.89,1.72,1.51
2024,41,0.42,1.67,3.91,0.47,1.47
2024,42,0.39,-0.33,3.13,0.33,1.38
2024,43,0.53,-1.87,2.72,0.18,0.87
2024,44,0.64,-4.56,2.16,0.2,1.8
2024,45,0.65,-9.19,1.18,0.04,2.69
2024,46,0.61,-8.04,1.5,4.66,1.4
2024,47,0.54,-6.7,1.86,1.41,1.57
2024,48,0.66,-11.99,1.03,0.07,1.53
2024,49,0.36,-6.88,1.97,2.71,2.32
2024,50,0.74,-11.56,1.06,0.14,1.66
2024,51,0.6,-10.29,1.29,0.09,0.84
2024,52,0.64,-3.32,2.72,0.07,1.51
2024,53,0.53,1.17,4.02,1.61,1.26
2024,54,0.37,-2.6,2.78,0.22,2.24
2024,55,0.89,-15.1,0.66,0.02,1.77
2024,56,0.64,-5.87,1.92,0.82,1.56
2024,57,0.79,0.02,2.94,0.31,1.41
2024,58,0.69,5.24,5.26,0.06,1.46
2024,59,0.29,5.74,5.56,3.62,2.97
2024,60,0.94,-10.44,0.77,0.73,2.93
2024,61,0.65,-4.8,2.02,0.09,1.08
2024,62,0.49,0.95,4.05,0.57,0.97
2024,63,0.47,4.41,4.74,0.68,0.64
2024,64,0.6,6.9,5.55,0.05,1.37
2024,65,0.8,8.85,6.2,0.88,1.4
2024,66,0.27,4.08,4.43,3.07,1.54
2024,67,0.92,2.53,3.1,0.11,1.56
2024,68,0.93,1.67,2.82,0.05,1.42
2024,69,0.36,2.93,4.14,11.0,2.25
2024,70,0.56,-0.24,3.31,8.75,1.89
2024,71,0.83,-0.76,2.37,0.59,2.82
2024,72,0.95,1.93,3.25,0.07,1.15
2024,73,0.71,2.99,3.57,0.0,1.49
2024,74,0.91,5.45,4.15,1.03,0.62
2024,75,0.76,4.78,4.66,1.83,0.91
2024,76,0.62,1.14,3.22,2.96,1.03
2024,77,0.6,2.82,3.77,4.07,1.38
2024,78,0.56,0.64,3.23,1.43,1.59
2024,79,0.8,-2.4,2.41,0.52,1.2
2024,80,0.68,-0.73,2.35,0.95,1.83
2024,81,1.02,-7.34,1.16,0.37,2.34
2024,82,0.85,-7.76,1.25,0.05,0.79
2024,83,0.68,-4.41,1.97,0.75,0.94
2024,84,1.09,-4.63,1.58,0.03,1.07
2024,85,0.98,0.48,2.62,0.0,1.18
2024,86,0.75,4.65,4.47,0.06,1.28
2024,87,0.64,7.14,5.45,2.15,1.06
2024,88,0.86,2.82,3.27,0.03,0.72
2024,89,1.0,1.57,2.61,0.04,1.31
2024,90,1.12,0.75,2.4,0.01,1.13
2024,91,1.17,2.76,2.94,0.0,0.87
2024,92,0.83,3.85,3.34,0.02,0.68
2024,93,1.07,3.3,3.27,0.08,1.16
2024,94,0.33,2.73,3.81,12.34,1.92
2024,95,0.46,0.78,3.5,7.95,1.55
2024,96,0.62,2.11,3.91,2.82,0.95
2024,97,0.87,4.49,4.15,0.41,0.87
2024,98,1.27,6.75,4.0,0.01,0.78
2024,99,1.15,7.86,4.42,0.11,0.57
2024,100,1.21,10.81,4.96,0.08,0.79
2024,101,0.96,12.63,6.69,0.21,0.52
2024,102,0.35,10.24,7.49,12.58,0.78
2024,103,0.55,13.26,7.96,8.46,1.36
2024,104,0.73,4.97,4.56,5.26,1.01
2024,105,0.7,4.94,4.62,1.34,0.56
2024,106,1.04,6.4,4.59,1.36,0.59
2024,107,1.3,5.35,3.95,0.17,0.72
2024,108,1.15,4.2,3.52,0.0,0.73
2024,109,0.32,6.52,5.39,1.9,0.8
2024,110,0.39,9.33,6.53,2.99,0.7
2024,111,0.94,4.99,3.61,0.66,0.62
2024,112,0.88,3.68,3.25,1.13,0.69
2024,113,1.39,2.68,2.49,0.02,0.51
2024,114,0.92,9.38,4.9,4.74,0.7
2024,115,1.1,2.81,3.21,6.62,0.76
2024,116,1.42,2.56,2.19,0.34,0.4
2024,117,1.45,7.21,3.0,0.08,0.49
2024,118,0.87,8.27,5.3,2.38,0.46
2024,119,0.73,12.93,7.84,2.94,0.44
2024,120,0.81,6.55,4.62,2.79,0.35
2024,121,0.34,7.84,5.77,10.34,0.45
2024,122,0.86,9.79,6.31,1.55,0.2
