
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.2,6.86,5.57,4.36,5.48
2024,2,0.09,10.96,7.51,14.13,9.0
2024,3,0.15,10.16,6.75,6.52,7.83
2024,4,0.16,8.09,6.3,0.63,5.5
2024,5,0.22,6.45,5.31,0.18,3.92
2024,6,0.12,3.98,4.68,0.27,3.14
2024,7,0.08,1.36,3.68,0.16,4.03
2024,8,0.12,-2.87,2.56,0.44,3.92
2024,9,0.14,-2.45,2.52,0.67,3.3
2024,10,0.17,-1.61,2.97,0.07,2.19
2024,11,0.23,-2.26,2.68,0.0,3.3
2024,12,0.17,-1.05,3.19,0.06,2.13
2024,13,0.11,-1.92,2.88,0.1,1.06
2024,14,0.13,-2.98,2.65,0.08,1.34
2024,15,0.24,-0.72,3.12,0.3,2.06
2024,16,0.27,-2.67,2.66,0.11,1.41
2024,17,0.17,0.62,4.03,20.56,2.77
2024,18,0.26,-2.7,2.92,4.33,3.27
2024,19,0.28,-3.31,2.76,0.05,1.01
2024,20,0.29,-4.01,2.44,0.05,2.26
2024,21,0.17,0.97,3.8,0.21,5.7
2024,22,0.19,6.36,5.72,2.73,6.48
2024,23,0.15,7.19,6.09,0.78,5.15
2024,24,0.25,11.05,7.38,0.67,4.72
2024,25,0.23,9.54,7.19,1.98,2.35
2024,26,0.25,7.07,5.32,1.52,3.53
2024,27,0.31,1.54,3.74,0.03,1.93
2024,28,0.29,2.77,4.25,0.04,3.0
2024,29,0.31,7.69,6.26,0.13,3.24
2024,30,0.19,8.05,6.06,0.11,2.5
2024,31,0.21,6.3,5.19,0.01,2.22
2024,32,0.19,7.67,5.73,2.08,2.24
2024,33,0.24,5.36,5.18,0.31,2.95
2024,34,0.2,8.7,6.48,0.67,3.17
2024,35,0.28,8.91,6.56,0.47,4.22
2024,36,0.34,7.09,5.46,0.09,4.03
2024,37,0.27,9.11,6.29,0.16,6.03
2024,38,0.13,10.56,7.46,8.57,6.19
2024,39,0.21,11.39,7.77,10.51,5.75
2024,40,0.22,10.53,7.33,0.63,5.37
2024,41,0.16,7.99,6.59,5.61,2.57
2024,42,0.22,7.8,6.2,1.41,4.58
2024,43,0.36,5.77,5.33,0.31,2.11
2024,44,0.39,6.18,5.25,2.0,3.87
2024,45,0.26,10.7,7.32,1.12,4.05
2024,46,0.43,11.87,7.53,0.44,3.62
2024,47,0.22,10.28,6.91,0.97,3.46
2024,48,0.4,9.29,5.57,0.01,1.3
2024,49,0.18,8.4,6.19,5.01,3.99
2024,50,0.26,9.58,6.65,0.6,3.19
2024,51,0.27,7.39,5.55,0.15,2.66
