
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,0.26,-4.51,1.03,0.0,2.01
2024,2,0.31,-3.21,2.9,0.0,1.75
2024,3,0.44,-3.09,2.81,0.0,1.63
2024,4,0.38,-2.18,2.71,0.0,1.79
2024,5,0.4,-2.93,1.77,0.0,1.7
2024,6,0.47,-5.14,3.95,0.0,1.14
2024,7,0.44,-7.84,2.12,0.0,0.99
2024,8,0.31,-5.32,0.67,0.0,1.63
2024,9,0.36,-2.15,1.76,0.16,1.66
2024,10,0.4,-4.59,2.09,0.0,1.67
2024,11,0.4,-0.45,2.14,0.0,2.02
2024,12,0.37,-0.94,1.22,0.0,2.02
2024,13,0.11,-3.06,1.66,0.0,2.14
2024,14,0.47,-3.85,3.06,0.0,1.01
2024,15,0.47,-5.02,1.84,0.0,1.21
2024,16,0.23,-3.62,1.57,0.07,2.1
2024,17,0.17,-1.79,0.72,0.55,2.63
2024,18,0.33,-3.16,1.65,0.01,1.57
2024,19,0.34,-4.95,1.01,0.25,1.42
2024,20,0.34,-6.17,1.71,0.5,1.37
2024,21,0.51,-10.72,5.52,0.0,0.56
2024,22,0.51,-10.7,4.56,0.0,0.6
2024,23,0.51,-8.33,5.66,0.0,0.77
2024,24,0.51,-4.64,3.24,0.0,1.26
2024,25,0.46,-3.6,3.55,0.0,1.12
2024,26,0.51,-3.61,3.26,0.0,1.12
2024,27,0.48,-4.86,2.93,0.0,1.15
2024,28,0.47,-3.45,2.39,0.0,1.34
2024,29,0.32,-4.28,2.38,0.0,1.61
2024,30,0.16,-5.17,1.1,0.0,2.04
2024,31,0.31,-5.07,2.14,0.0,1.3
2024,32,0.39,-7.51,0.97,0.0,0.95
2024,33,0.43,-6.63,1.02,0.0,1.27
2024,34,0.47,-3.66,1.07,0.0,1.49
2024,35,0.37,-4.91,1.1,0.24,1.59
2024,36,0.47,-2.74,1.15,0.42,1.89
2024,37,0.44,-2.25,2.06,0.03,1.67
2024,38,0.6,-2.86,2.64,0.0,1.32
2024,39,0.53,-2.62,2.22,0.0,1.45
2024,40,0.38,-1.43,3.4,0.0,1.56
2024,41,0.61,-2.12,2.76,0.0,1.39
2024,42,0.52,1.69,2.56,0.0,1.92
2024,43,0.44,2.74,1.31,0.0,2.6
2024,44,0.51,5.62,1.51,0.0,3.04
2024,45,0.29,2.96,2.62,0.0,2.42
2024,46,0.66,0.41,2.5,0.0,1.64
2024,47,0.58,0.58,1.61,0.0,2.31
2024,48,0.53,1.86,1.47,0.0,3.49
2024,49,0.13,3.94,2.56,0.44,3.84
2024,50,0.58,-0.8,3.94,0.0,0.97
2024,51,0.23,-3.95,2.22,2.96,0.94
2024,52,0.33,-4.0,2.71,3.79,1.1
2024,53,0.67,-3.45,2.05,0.06,1.1
2024,54,0.62,-2.72,1.22,0.0,1.51
2024,55,0.43,-0.81,1.14,0.0,1.96
2024,56,0.78,0.22,2.64,0.0,1.48
2024,57,0.55,-1.5,2.27,0.0,1.56
2024,58,0.43,-0.19,2.43,0.07,2.5
2024,59,0.24,0.22,2.07,0.01,2.28
2024,60,0.76,-2.07,4.25,0.0,1.0
2024,61,0.82,-2.47,2.17,0.0,1.13
2024,62,0.82,1.08,2.83,0.0,1.51
2024,63,0.75,0.47,2.75,0.0,1.64
2024,64,0.4,0.0,1.56,0.08,2.12
2024,65,0.17,0.83,1.38,1.81,2.78
2024,66,0.84,1.52,2.01,0.01,1.8
2024,67,0.67,2.04,3.88,0.0,1.96
2024,68,0.98,1.74,2.64,0.0,1.52
2024,69,0.84,4.32,1.59,0.0,1.98
2024,70,0.53,4.86,1.42,0.0,2.8
2024,71,0.8,6.86,2.48,0.0,2.33
2024,72,0.89,5.47,2.02,0.0,2.0
2024,73,0.82,8.28,2.01,0.0,2.33
2024,74,0.86,9.65,2.58,0.0,2.43
