
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.31,11.63,6.76,0.04,2.29
2024,2,0.12,14.38,9.7,15.85,3.3
2024,3,0.19,13.98,8.82,12.95,1.8
2024,4,0.22,12.64,8.11,8.4,2.52
2024,5,0.31,10.45,6.77,4.31,3.22
2024,6,0.38,10.03,5.8,0.14,1.56
2024,7,0.42,9.25,5.29,0.0,1.48
2024,8,0.19,8.64,5.63,5.17,2.15
2024,9,0.2,8.66,6.46,2.77,2.14
2024,10,0.23,11.13,7.42,3.58,1.65
2024,11,0.44,8.81,5.78,0.09,2.49
2024,12,0.39,8.72,5.49,0.24,3.07
2024,13,0.19,12.54,7.86,18.6,3.88
2024,14,0.22,14.62,10.0,9.48,2.55
2024,15,0.23,15.15,10.55,18.82,1.51
2024,16,0.22,15.89,10.33,5.63,3.62
2024,17,0.33,14.61,9.14,7.08,4.42
2024,18,0.29,13.28,8.25,2.94,2.17
2024,19,0.43,10.97,6.52,0.91,2.18
2024,20,0.49,7.78,4.0,0.01,1.64
2024,21,0.36,10.21,6.16,0.06,2.82
2024,22,0.26,12.88,8.39,0.7,2.26
2024,23,0.39,14.52,9.3,0.31,1.07
2024,24,0.5,14.4,8.84,0.06,1.53
2024,25,0.5,14.06,7.68,0.05,1.41
2024,26,0.47,13.15,8.26,3.85,1.6
2024,27,0.46,13.64,8.31,0.0,1.94
2024,28,0.47,13.61,8.46,0.01,2.72
2024,29,0.46,13.32,8.03,0.17,2.45
2024,30,0.48,13.66,7.57,0.0,1.85
2024,31,0.53,13.53,7.68,0.05,1.51
2024,32,0.54,13.01,7.47,0.05,1.62
2024,33,0.57,12.87,7.62,0.0,1.84
2024,34,0.58,13.39,7.23,0.0,1.66
2024,35,0.58,12.99,7.05,0.0,1.24
2024,36,0.53,12.72,7.02,0.01,1.02
2024,37,0.55,12.22,7.73,0.14,1.65
2024,38,0.27,14.33,9.43,1.12,2.67
2024,39,0.18,14.32,9.47,25.94,4.41
2024,40,0.3,13.4,9.07,19.16,3.56
2024,41,0.5,11.46,6.54,1.6,3.3
2024,42,0.43,12.49,8.29,7.17,2.89
2024,43,0.58,14.54,9.43,4.37,2.03
2024,44,0.47,14.88,9.85,7.03,1.68
2024,45,0.54,16.2,10.15,0.08,1.91
2024,46,0.35,14.43,9.18,7.15,2.63
2024,47,0.51,14.12,7.99,0.61,1.52
2024,48,0.71,13.64,7.55,0.0,1.48
2024,49,0.7,13.79,7.8,0.02,1.38
2024,50,0.74,15.15,8.98,0.01,1.43
2024,51,0.71,13.86,7.55,0.01,1.53
2024,52,0.5,13.72,8.43,0.39,1.71
2024,53,0.41,12.93,8.0,7.69,3.9
2024,54,0.56,11.37,6.54,7.88,4.2
2024,55,0.5,12.01,7.26,4.45,3.49
2024,56,0.22,13.86,8.91,14.65,4.37
2024,57,0.63,10.78,6.39,1.14,4.48
2024,58,0.73,10.3,6.3,0.59,3.15
2024,59,0.82,11.36,6.96,0.26,2.36
2024,60,0.74,11.37,6.87,2.44,3.45
2024,61,0.38,11.77,7.29,6.53,3.01
2024,62,0.4,11.07,6.96,19.74,4.26
2024,63,0.66,11.41,7.02,4.84,2.7
2024,64,0.78,12.43,7.53,8.45,3.24
2024,65,0.73,11.98,5.93,0.3,1.29
2024,66,0.81,11.59,6.72,0.26,2.72
2024,67,0.42,10.41,7.04,19.28,4.08
2024,68,0.53,11.51,7.03,16.16,4.71
2024,69,0.68,10.62,6.86,8.56,4.09
2024,70,0.53,12.13,7.38,4.69,3.54
2024,71,0.71,12.56,7.06,0.28,1.68
2024,72,0.97,12.58,6.76,0.03,1.58
2024,73,1.01,13.29,7.82,0.01,1.94
2024,74,0.45,13.75,9.15,6.78,2.61
2024,75,0.79,14.96,9.81,5.69,0.89
2024,76,0.53,14.93,9.61,0.39,1.84
2024,77,0.7,15.31,8.96,0.01,1.08
2024,78,0.94,15.04,8.78,0.01,1.59
2024,79,0.88,13.56,8.53,0.0,1.69
2024,80,1.04,12.89,7.76,0.28,2.37
2024,81,0.91,15.9,9.45,0.05,1.66
2024,82,0.81,17.32,9.41,0.0,1.73
2024,83,0.95,16.77,9.61,0.0,2.09
2024,84,1.08,14.97,8.2,0.0,2.54
2024,85,0.66,10.94,6.9,2.15,3.46
2024,86,0.53,10.03,6.53,13.96,3.65
2024,87,0.59,12.2,7.21,8.01,4.52
2024,88,0.34,11.8,7.73,19.6,3.88
2024,89,0.8,11.1,6.75,10.0,2.0
2024,90,0.61,9.94,6.87,9.26,2.24
2024,91,0.96,10.88,6.69,7.07,2.39
2024,92,0.99,12.48,7.15,4.03,3.28
2024,93,0.4,13.31,8.95,11.0,3.8
2024,94,0.95,14.32,8.82,1.1,2.4
2024,95,0.95,13.67,7.78,0.02,2.92
2024,96,1.02,16.35,8.62,0.66,3.35
2024,97,0.63,14.8,9.64,5.82,1.96
2024,98,1.06,13.97,8.5,1.76,1.66
2024,99,0.98,12.34,7.5,18.1,3.47
2024,100,1.34,12.02,6.35,0.86,2.17
2024,101,1.3,15.18,7.76,0.0,1.5
2024,102,1.31,18.31,9.27,0.12,1.31
2024,103,1.37,17.46,9.52,0.0,1.33
2024,104,1.35,18.44,10.07,0.0,0.94
2024,105,1.35,18.66,10.74,0.0,1.23
2024,106,1.38,16.39,9.62,0.0,2.8
2024,107,1.45,16.08,9.08,0.01,2.77
2024,108,1.45,16.31,8.56,0.0,2.24
2024,109,1.45,16.74,8.34,0.0,2.15
2024,110,1.3,16.7,8.61,0.78,1.61
2024,111,1.28,17.52,9.0,0.29,1.2
2024,112,1.47,17.18,8.18,0.08,1.7
2024,113,1.49,15.57,7.38,0.0,2.23
2024,114,1.5,14.05,6.67,0.0,2.69
2024,115,1.44,14.31,7.36,0.0,2.38
2024,116,1.25,13.4,7.88,0.53,2.69
2024,117,0.84,13.11,8.09,9.57,2.2
2024,118,1.18,12.06,7.09,3.46,2.38
2024,119,1.34,11.79,6.67,0.79,2.49
2024,120,1.46,12.18,6.62,0.09,1.9
2024,121,0.83,13.15,7.88,9.97,2.65
2024,122,1.01,11.51,6.72,6.23,2.8
2024,123,1.19,12.55,7.08,3.81,2.46
2024,124,0.62,14.06,8.9,2.2,3.13
2024,125,0.66,15.12,9.96,4.24,2.87
2024,126,0.72,15.5,10.08,19.99,2.52
2024,127,1.58,13.59,7.68,0.34,2.35
2024,128,1.58,16.14,8.34,0.01,1.69
2024,129,1.62,18.96,8.57,0.0,1.4
2024,130,1.31,19.29,9.41,0.0,1.12
2024,131,1.55,18.91,10.45,0.11,0.94
2024,132,1.45,16.94,10.19,0.03,1.98
2024,133,1.3,15.26,8.84,0.01,1.75
2024,134,0.53,14.95,9.6,5.28,2.44
2024,135,1.13,13.91,7.8,1.69,2.95
2024,136,1.12,13.31,7.58,3.3,2.52
2024,137,0.95,14.25,8.26,3.21,2.17
2024,138,1.18,13.98,8.27,1.41,2.41
2024,139,0.89,14.39,8.65,2.04,2.22
2024,140,1.42,14.45,8.51,0.72,2.65
2024,141,1.51,14.55,8.41,0.62,2.13
2024,142,1.07,14.92,8.55,3.18,1.74
2024,143,1.33,14.48,8.13,0.96,2.23
2024,144,1.73,14.69,7.82,0.01,2.5
2024,145,1.72,15.85,8.09,0.0,1.32
2024,146,1.32,15.96,9.19,1.4,1.08
2024,147,1.59,15.25,8.8,0.3,2.45
2024,148,1.65,15.25,8.46,0.0,2.75
2024,149,1.7,17.27,9.56,0.03,2.35
2024,150,1.68,17.55,10.27,0.28,2.38
2024,151,1.76,19.11,11.67,0.31,2.28
2024,152,1.76,19.98,9.35,0.0,1.77
2024,153,1.74,19.46,8.52,0.0,2.04
2024,154,1.71,20.57,8.51,0.0,1.62
2024,155,1.68,19.83,9.52,0.0,1.06
2024,156,1.67,19.29,10.23,0.0,0.88
2024,157,1.22,17.61,10.56,0.0,0.87
2024,158,1.45,18.23,10.51,0.08,1.33
2024,159,1.3,21.26,12.37,9.21,0.88
2024,160,0.91,18.12,11.76,10.27,0.91
2024,161,1.05,18.85,10.69,1.65,1.6
2024,162,1.67,19.27,10.41,0.13,1.85
2024,163,1.77,17.97,9.33,0.21,2.81
2024,164,1.77,17.34,9.2,0.66,2.64
2024,165,1.67,16.64,9.26,0.12,1.49
2024,166,1.21,16.74,10.18,0.91,1.68
2024,167,1.5,15.99,8.78,0.07,1.74
2024,168,0.92,17.2,10.62,0.85,1.29
2024,169,0.71,17.5,11.38,6.1,2.05
2024,170,1.59,17.17,9.56,4.01,1.18
2024,171,1.38,17.37,9.5,3.87,2.03
2024,172,1.44,16.68,9.48,0.18,2.84
2024,173,1.79,16.28,8.79,0.01,1.91
2024,174,1.52,17.39,9.62,0.0,2.03
2024,175,1.74,19.92,10.7,0.0,2.08
2024,176,1.75,21.6,10.95,0.02,1.04
2024,177,0.78,17.31,10.61,0.69,1.26
2024,178,1.44,18.5,10.19,0.27,1.12
2024,179,1.51,20.72,11.1,0.51,1.3
2024,180,1.01,19.34,11.87,6.51,0.82
2024,181,1.48,18.0,11.05,1.95,1.53
2024,182,1.3,17.8,10.99,3.25,1.47
2024,183,1.74,20.26,10.73,0.21,1.91
2024,184,1.77,22.15,10.06,0.02,1.66
2024,185,1.77,20.55,9.94,0.0,2.07
2024,186,1.77,24.05,9.59,0.01,1.6
2024,187,1.76,21.69,10.2,0.01,1.74
2024,188,1.68,17.29,9.4,0.03,3.02
2024,189,1.75,16.15,8.22,0.0,2.02
2024,190,1.6,17.21,9.6,0.49,1.25
2024,191,0.66,18.3,11.39,2.13,1.43
2024,192,1.39,19.72,12.22,1.87,1.15
2024,193,1.44,19.62,11.94,0.38,1.04
2024,194,1.76,19.81,10.2,0.0,1.88
2024,195,1.66,18.08,9.33,0.0,1.12
2024,196,1.07,18.45,10.77,7.31,1.72
2024,197,1.44,18.49,10.78,1.83,1.4
2024,198,1.66,18.46,10.19,0.08,1.68
2024,199,1.7,19.11,10.57,0.0,1.57
2024,200,1.71,20.03,9.8,0.01,1.52
2024,201,1.61,20.56,11.59,0.22,1.23
2024,202,0.98,19.66,12.5,0.59,1.37
2024,203,1.72,19.52,9.61,0.09,2.74
2024,204,1.68,24.16,8.3,0.0,1.7
2024,205,1.66,25.85,8.92,0.01,1.19
2024,206,1.65,24.76,10.3,0.02,1.26
2024,207,1.61,20.7,11.36,0.03,2.35
2024,208,1.66,20.69,11.64,0.0,2.38
2024,209,1.65,21.25,11.18,0.0,1.55
2024,210,1.59,22.12,11.09,0.0,0.87
2024,211,1.1,24.3,11.02,3.9,0.83
2024,212,1.53,22.85,12.14,0.05,0.81
2024,213,1.1,20.35,12.22,0.27,1.03
2024,214,1.03,19.92,11.88,0.22,1.83
2024,215,1.57,19.38,11.02,0.0,2.57
2024,216,1.59,20.14,10.79,0.02,2.25
2024,217,1.6,21.64,10.33,0.0,2.14
2024,218,1.59,20.39,11.49,0.0,1.89
2024,219,1.5,19.8,12.08,0.02,1.58
2024,220,1.58,20.13,11.17,0.01,2.05
2024,221,1.56,19.8,10.79,0.0,1.85
2024,222,1.53,21.85,10.83,0.01,1.63
2024,223,1.49,23.49,11.28,0.02,0.77
2024,224,1.33,21.32,12.26,0.08,0.99
2024,225,1.48,20.31,12.03,0.11,1.69
2024,226,1.01,19.64,11.39,0.06,1.15
2024,227,1.53,20.21,10.55,0.01,2.63
2024,228,1.53,22.66,8.65,0.0,1.97
2024,229,1.53,23.98,8.7,0.0,1.68
2024,230,1.4,21.91,12.14,0.01,1.99
2024,231,1.49,20.6,12.06,0.03,1.71
2024,232,1.47,20.17,10.56,0.01,2.12
2024,233,1.47,20.14,11.1,0.01,2.31
2024,234,1.4,21.22,10.37,0.0,1.76
2024,235,1.26,18.07,10.75,0.04,1.71
2024,236,1.37,20.7,11.12,0.04,0.72
2024,237,1.02,19.7,11.32,0.27,1.68
2024,238,1.42,19.41,8.63,0.0,2.78
2024,239,1.29,20.38,9.1,0.0,1.57
2024,240,1.31,18.47,10.48,0.06,1.37
2024,241,1.27,18.81,10.79,0.09,1.19
2024,242,1.3,18.64,10.89,0.11,1.71
2024,243,1.21,19.64,10.32,0.06,1.19
2024,244,1.04,18.95,10.89,0.11,1.04
2024,245,1.23,18.96,11.14,0.15,1.24
2024,246,1.04,18.14,10.63,0.35,2.67
2024,247,1.29,18.19,8.92,0.0,3.13
2024,248,1.31,19.23,8.34,0.0,2.72
2024,249,1.06,17.47,8.35,0.0,2.74
2024,250,0.82,15.41,8.91,0.56,1.24
2024,251,1.18,16.56,9.89,1.28,1.26
2024,252,1.25,16.62,9.77,0.16,0.97
2024,253,1.26,17.1,9.82,0.01,1.94
2024,254,1.25,17.65,9.19,0.0,2.46
2024,255,1.18,17.92,8.56,0.01,3.07
2024,256,1.16,17.89,10.33,0.01,2.09
2024,257,1.23,19.74,7.46,0.0,1.65
2024,258,1.15,19.81,6.23,0.0,1.43
2024,259,1.13,21.55,5.85,0.0,1.33
2024,260,1.09,22.4,5.34,0.0,1.71
2024,261,1.03,20.67,6.89,0.0,1.72
2024,262,0.84,19.67,8.36,0.0,1.32
2024,263,0.92,19.44,9.51,0.1,0.86
2024,264,0.59,18.55,10.38,5.36,0.67
2024,265,0.9,18.5,10.18,0.84,0.82
2024,266,0.73,17.14,10.13,0.07,1.05
2024,267,1.04,16.35,9.17,0.09,1.19
2024,268,0.54,17.13,11.48,14.92,1.84
2024,269,0.32,19.17,13.05,9.76,2.85
2024,270,0.88,18.66,11.85,18.94,2.32
2024,271,1.01,16.32,8.84,0.84,2.37
2024,272,1.04,16.46,6.89,0.01,1.48
2024,273,0.92,18.25,8.19,0.01,0.9
2024,274,0.83,18.6,10.86,0.2,0.83
2024,275,0.41,18.67,12.56,3.36,1.2
2024,276,0.3,18.55,13.0,13.56,1.54
2024,277,0.61,18.64,12.39,1.68,0.73
2024,278,0.74,18.92,11.99,1.12,0.68
2024,279,0.3,19.12,13.24,5.07,2.16
2024,280,0.4,18.68,12.93,39.75,1.72
2024,281,0.74,18.04,11.6,8.13,2.25
2024,282,0.32,18.56,12.28,19.46,3.57
2024,283,0.54,18.14,11.64,18.05,4.02
2024,284,0.76,17.53,9.42,1.34,1.02
2024,285,0.34,18.16,11.87,8.64,3.61
2024,286,0.78,19.31,11.95,2.2,1.69
2024,287,0.79,19.76,12.18,1.49,1.4
2024,288,0.62,19.76,11.18,0.41,1.51
2024,289,0.49,19.08,12.1,11.4,1.79
2024,290,0.47,17.92,11.53,8.45,2.05
2024,291,0.69,16.53,9.55,1.15,2.23
2024,292,0.42,17.51,11.4,2.59,1.9
