
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,0.17,-10.42,1.26,0.03,1.38
2024,2,0.11,-8.62,2.41,0.19,1.85
2024,3,0.15,-4.12,1.38,0.61,2.78
2024,4,0.24,-8.89,1.42,4.31,1.8
2024,5,0.28,-13.53,1.86,0.5,1.12
2024,6,0.27,-13.51,1.2,0.23,1.02
2024,7,0.2,-10.81,2.0,1.19,1.39
2024,8,0.28,-9.75,1.48,0.23,1.55
2024,9,0.21,-10.84,1.53,3.69,1.41
2024,10,0.08,-2.04,2.81,28.38,3.37
2024,11,0.25,-8.76,2.33,0.9,1.92
2024,12,0.35,-16.6,1.24,0.04,0.93
2024,13,0.16,-6.63,3.21,18.01,2.38
2024,14,0.19,-7.26,3.37,1.97,2.1
2024,15,0.24,-14.26,1.78,0.38,1.19
2024,16,0.24,-12.46,0.96,3.18,1.33
2024,17,0.34,-15.14,2.11,0.35,1.08
2024,18,0.31,-15.71,2.37,0.23,1.0
2024,19,0.35,-22.13,1.47,0.03,0.59
2024,20,0.28,-14.96,0.99,0.58,1.06
2024,21,0.36,-18.35,1.6,0.07,0.78
2024,22,0.27,-11.63,2.95,0.71,1.59
2024,23,0.4,-13.26,1.61,0.13,1.27
2024,24,0.22,-14.85,0.98,0.51,1.2
2024,25,0.29,-5.86,0.82,0.59,2.32
2024,26,0.19,-6.24,0.99,2.04,2.31
2024,27,0.23,-7.3,1.06,0.12,2.11
2024,28,0.24,-6.34,0.96,0.09,2.32
2024,29,0.25,-11.01,2.15,0.08,1.52
2024,30,0.39,-16.13,1.16,0.03,0.96
2024,31,0.27,-9.81,1.52,0.16,1.77
2024,32,0.11,-2.87,0.91,5.78,3.1
2024,33,0.23,-7.84,1.86,0.29,2.04
2024,34,0.46,-11.84,0.99,0.02,1.4
2024,35,0.5,-12.26,1.14,0.02,1.37
2024,36,0.54,-10.95,1.9,0.01,1.54
2024,37,0.55,-7.89,1.28,0.01,1.99
2024,38,0.44,-7.11,0.81,0.1,2.14
2024,39,0.4,-5.1,0.74,1.43,2.53
2024,40,0.43,-2.84,0.89,2.8,3.09
2024,41,0.34,0.11,1.87,3.75,3.91
2024,42,0.26,-2.45,1.93,0.47,3.17
2024,43,0.38,-8.75,1.32,0.2,1.82
2024,44,0.6,-9.21,0.98,0.14,1.72
2024,45,0.5,-14.64,2.65,0.18,1.05
2024,46,0.64,-13.73,1.38,0.03,1.18
2024,47,0.58,-11.59,1.36,0.63,1.39
2024,48,0.51,-14.08,1.63,0.2,1.1
2024,49,0.49,-14.89,1.57,4.15,1.26
2024,50,0.62,-14.08,2.37,0.35,1.12
2024,51,0.68,-19.85,1.2,0.04,0.66
2024,52,0.59,-11.86,1.26,0.01,1.52
2024,53,0.41,-4.88,1.2,1.26,2.69
2024,54,0.29,-2.79,1.6,1.03,3.21
2024,55,0.72,-19.86,1.56,0.02,0.64
2024,56,0.6,-15.82,1.44,0.1,1.06
2024,57,0.51,-6.7,2.04,2.0,2.25
2024,58,0.61,-2.99,1.05,0.8,3.08
2024,59,0.35,1.67,2.42,10.12,4.49
2024,60,0.57,-16.42,4.49,0.47,0.8
2024,61,0.79,-13.28,2.88,0.03,1.1
2024,62,0.69,-2.89,1.29,1.17,3.15
2024,63,0.52,1.3,0.72,0.38,3.97
2024,64,0.48,1.13,2.02,0.23,3.86
2024,65,0.7,3.31,1.55,0.58,4.81
2024,66,0.36,2.56,1.49,1.9,3.98
2024,67,0.68,-0.46,2.33,0.2,2.92
2024,68,0.9,-1.71,1.41,0.02,2.56
2024,69,0.67,-1.14,1.98,2.52,3.08
2024,70,0.27,-0.97,1.94,23.6,3.52
2024,71,0.53,-1.97,2.46,2.57,3.14
2024,72,0.82,-4.03,2.11,0.04,2.56
2024,73,0.98,-1.67,0.74,0.11,3.09
2024,74,0.71,1.5,0.73,0.02,3.83
2024,75,0.88,2.0,0.87,0.64,3.7
2024,76,0.54,-0.84,0.88,1.09,3.08
2024,77,0.36,-0.25,1.67,9.23,3.72
2024,78,0.67,-0.94,1.57,1.12,3.26
2024,79,0.84,-4.21,1.92,0.04,2.25
2024,80,0.63,-3.13,1.45,5.23,2.78
2024,81,0.52,-7.71,3.62,1.5,1.77
2024,82,1.16,-11.06,2.97,0.14,1.18
2024,83,0.55,-9.58,1.59,2.78,1.44
2024,84,1.23,-8.31,1.48,0.14,1.55
2024,85,1.1,-4.64,1.42,0.04,2.18
2024,86,1.0,-1.11,2.02,0.84,3.16
2024,87,0.52,1.85,0.97,4.04,4.39
2024,88,0.36,2.07,0.78,0.35,4.39
2024,89,0.7,1.47,1.57,0.14,3.53
2024,90,1.21,-1.61,3.13,0.14,2.38
2024,91,1.31,-1.36,1.92,0.0,2.51
2024,92,0.73,0.03,0.56,0.63,3.08
2024,93,1.09,1.0,1.01,0.09,3.04
2024,94,1.03,0.67,2.84,0.04,3.07
2024,95,0.39,-0.82,3.87,4.51,3.04
2024,96,0.67,0.9,3.87,4.48,3.57
2024,97,0.71,0.73,2.9,0.37,3.34
2024,98,1.24,2.84,1.27,0.06,3.48
2024,99,1.18,5.29,1.31,0.05,4.29
2024,100,1.24,3.3,1.29,0.05,3.55
2024,101,0.62,3.55,1.22,2.25,4.59
2024,102,0.49,5.15,1.39,7.67,5.34
2024,103,0.51,9.68,2.59,11.09,7.45
2024,104,0.74,6.66,1.82,5.24,5.93
2024,105,1.01,4.54,2.18,0.35,4.34
2024,106,0.98,5.24,1.41,0.87,4.23
2024,107,0.8,1.96,1.71,0.41,3.41
2024,108,1.09,2.58,0.93,0.0,3.32
2024,109,1.27,4.68,1.33,0.06,4.17
2024,110,0.78,7.35,1.58,3.21,5.56
2024,111,1.0,5.39,2.49,0.55,4.34
2024,112,0.65,1.78,1.85,2.34,3.84
2024,113,1.27,-2.85,2.21,0.13,2.0
2024,114,1.23,5.77,2.05,1.97,4.71
2024,115,0.5,0.59,1.88,10.22,3.44
2024,116,1.42,-1.03,1.75,0.08,2.29
2024,117,1.44,3.47,1.04,0.51,3.48
2024,118,1.33,7.38,0.91,0.66,4.77
2024,119,0.51,8.64,1.48,7.28,6.76
2024,120,1.41,6.41,1.01,0.11,4.24
2024,121,0.82,4.32,1.5,0.03,3.85
2024,122,1.46,6.48,1.22,0.13,4.49
2024,123,0.58,5.68,1.7,5.8,5.41
2024,124,1.18,7.44,1.37,0.64,5.61
2024,125,0.91,9.81,1.09,0.36,6.54
2024,126,0.62,9.28,1.36,6.46,6.73
2024,127,1.04,10.87,1.25,2.25,7.1
2024,128,1.3,8.81,1.33,0.04,5.49
2024,129,0.83,5.67,1.62,3.32,4.89
2024,130,0.88,6.69,1.36,1.86,5.07
2024,131,1.43,8.34,1.01,0.08,4.85
2024,132,1.13,8.57,0.91,0.03,5.28
2024,133,1.1,9.98,0.67,0.14,5.5
2024,134,1.11,12.01,0.97,1.03,6.84
2024,135,0.63,12.69,0.92,9.65,8.88
2024,136,1.19,14.57,0.63,0.22,8.08
2024,137,1.23,12.81,1.35,1.43,7.74
2024,138,1.09,15.02,0.79,9.39,9.68
2024,139,0.75,14.73,0.58,9.8,9.69
2024,140,1.16,15.64,0.56,0.06,9.09
2024,141,1.47,17.77,1.0,1.15,11.31
2024,142,1.11,17.88,0.94,1.14,11.3
2024,143,1.32,20.07,0.54,4.64,11.87
2024,144,1.27,18.52,1.62,5.19,11.28
2024,145,0.91,12.78,1.61,2.09,7.41
2024,146,1.44,12.75,0.88,0.2,6.62
2024,147,1.24,13.97,0.8,0.83,7.76
2024,148,0.73,12.49,1.88,15.38,8.62
2024,149,1.0,15.74,2.27,10.19,10.23
2024,150,1.38,11.78,1.3,0.07,6.13
