
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.85,18.13,14.01,0.74,1.74
2024,2,0.75,18.27,13.97,2.25,2.01
2024,3,0.65,17.59,13.67,8.62,1.41
2024,4,0.99,17.57,13.73,5.63,1.81
2024,5,1.14,18.08,13.45,1.79,1.07
2024,6,1.01,18.11,12.2,1.05,1.29
2024,7,1.01,18.67,13.0,0.04,1.45
2024,8,0.89,18.42,14.04,2.86,1.18
2024,9,0.73,18.24,13.58,1.4,1.41
2024,10,0.88,18.56,13.61,10.74,1.59
2024,11,1.01,18.04,13.45,8.39,1.71
2024,12,0.81,17.94,13.5,5.81,1.53
2024,13,1.01,18.19,13.6,5.57,1.6
2024,14,1.07,18.56,13.37,6.35,1.35
2024,15,0.78,18.58,13.28,5.82,1.28
2024,16,0.63,18.78,13.54,1.61,0.97
2024,17,0.6,19.02,13.55,0.35,1.4
2024,18,0.73,19.44,13.84,1.66,1.31
2024,19,0.92,19.12,13.93,21.98,1.3
2024,20,0.75,18.95,14.17,6.15,1.16
2024,21,0.82,18.76,14.12,1.28,1.07
2024,22,1.06,19.69,13.79,0.15,1.13
2024,23,1.06,19.31,13.93,0.05,1.11
2024,24,1.32,19.35,13.07,2.28,1.66
2024,25,1.45,19.32,13.57,0.73,1.66
2024,26,1.38,19.37,13.56,0.0,1.72
2024,27,1.22,19.53,14.3,1.7,2.11
2024,28,1.2,19.36,14.94,1.24,2.1
2024,29,1.03,19.14,14.52,0.26,1.56
2024,30,1.13,18.88,14.27,0.58,1.75
2024,31,0.95,18.45,13.74,0.36,1.58
2024,32,0.82,18.48,14.35,6.75,1.77
2024,33,0.89,17.86,13.87,8.09,1.81
2024,34,0.96,18.42,14.15,11.59,1.72
2024,35,0.99,18.81,14.4,13.31,1.86
2024,36,0.88,17.8,14.43,7.33,1.51
2024,37,1.03,18.29,14.16,5.28,1.23
2024,38,1.02,18.54,14.72,5.73,1.47
2024,39,1.17,19.03,14.11,1.7,1.88
2024,40,0.96,19.49,14.11,1.57,1.27
2024,41,0.87,19.09,13.52,2.96,1.12
2024,42,1.06,18.99,13.85,2.8,1.31
2024,43,0.81,19.19,14.28,8.93,1.49
2024,44,0.84,19.32,14.48,4.17,1.69
2024,45,0.84,19.79,14.07,0.63,1.22
2024,46,0.96,19.81,13.98,0.94,1.11
2024,47,0.95,19.95,14.34,2.96,0.88
2024,48,0.91,19.48,14.74,8.48,1.16
2024,49,0.99,19.27,14.83,1.13,1.26
2024,50,0.89,19.01,15.19,5.39,2.15
2024,51,0.65,18.44,14.3,11.59,2.9
2024,52,0.84,17.9,13.32,0.99,2.96
2024,53,1.09,17.7,12.44,0.03,2.24
2024,54,0.97,18.73,13.79,0.52,2.57
2024,55,0.77,18.21,13.45,2.9,2.48
2024,56,0.75,17.72,13.01,20.11,1.75
2024,57,0.76,17.51,14.07,10.19,1.85
2024,58,0.86,18.16,14.09,6.47,1.58
2024,59,0.76,18.74,14.01,5.48,1.96
2024,60,0.66,18.33,13.84,4.43,1.69
2024,61,0.75,17.72,13.5,5.99,2.15
2024,62,0.54,17.3,13.18,10.42,2.01
2024,63,0.59,17.32,13.11,4.57,1.76
2024,64,0.79,18.17,13.63,0.27,1.91
2024,65,0.71,18.7,13.93,0.2,1.54
2024,66,0.84,19.08,14.1,0.92,1.54
2024,67,0.78,19.43,13.91,0.58,1.39
2024,68,0.64,19.67,13.94,0.72,1.24
2024,69,0.71,19.14,13.83,1.37,1.28
2024,70,0.81,19.75,14.23,7.82,1.31
2024,71,0.91,19.67,14.24,2.11,1.17
2024,72,0.89,19.6,13.67,1.28,1.23
2024,73,0.83,19.8,13.84,0.9,1.19
2024,74,0.81,20.06,13.9,3.28,0.92
2024,75,0.61,19.26,14.16,1.53,1.32
2024,76,0.96,19.95,14.21,9.54,1.47
2024,77,1.09,19.5,14.15,10.31,1.3
2024,78,0.98,19.52,13.81,4.17,1.27
2024,79,0.91,19.04,13.88,2.49,1.47
2024,80,1.0,18.49,14.27,9.61,1.49
2024,81,0.91,18.47,14.46,14.06,1.58
2024,82,0.59,18.49,13.92,5.29,0.92
2024,83,0.61,18.97,13.64,3.95,1.76
2024,84,0.77,18.83,14.87,2.43,2.36
2024,85,0.71,18.01,14.11,4.37,2.03
2024,86,0.84,17.74,13.79,4.83,2.25
2024,87,1.02,17.88,13.79,9.16,1.92
2024,88,1.08,19.0,13.74,2.5,2.37
2024,89,0.72,18.44,13.94,4.58,1.46
2024,90,0.95,18.92,13.59,0.15,1.5
2024,91,0.82,18.55,13.76,13.66,1.99
2024,92,0.69,18.12,13.99,13.46,1.91
2024,93,0.49,17.19,13.75,9.24,1.84
2024,94,0.65,17.74,13.45,4.02,1.91
2024,95,0.79,17.28,12.89,6.81,1.62
2024,96,0.72,18.7,12.67,2.18,1.24
2024,97,0.93,19.02,14.19,10.45,1.25
2024,98,0.99,18.94,14.07,1.81,1.41
2024,99,0.85,18.89,13.83,0.48,0.97
2024,100,0.94,19.19,12.99,0.23,1.32
2024,101,0.82,18.92,12.85,0.52,1.54
2024,102,1.01,19.29,13.16,0.16,1.55
2024,103,0.86,19.87,13.75,4.16,1.62
2024,104,0.77,19.13,14.32,16.72,1.7
2024,105,0.9,18.56,14.26,2.92,1.87
2024,106,0.89,18.7,13.52,2.04,1.82
2024,107,0.88,18.81,13.99,0.65,1.44
2024,108,0.62,18.74,14.19,0.51,1.29
2024,109,0.88,18.19,14.06,7.37,1.51
2024,110,0.5,17.82,13.78,13.77,1.48
2024,111,1.12,18.45,14.17,4.24,2.08
2024,112,0.81,17.29,13.76,19.07,2.32
2024,113,0.79,17.58,13.79,5.05,1.75
2024,114,0.84,18.25,13.87,1.46,1.59
2024,115,1.03,18.72,14.59,10.35,1.78
2024,116,0.83,18.89,14.26,3.98,1.65
2024,117,1.03,18.66,14.35,0.73,2.18
2024,118,0.82,17.59,13.85,19.49,2.18
2024,119,1.0,18.01,14.14,14.55,2.31
2024,120,1.02,18.67,14.35,9.17,1.61
2024,121,0.91,19.12,14.16,2.86,1.45
2024,122,0.97,19.18,14.24,1.61,1.47
2024,123,1.0,19.04,13.97,11.69,1.67
2024,124,0.83,18.12,13.83,8.07,1.48
2024,125,0.95,18.7,14.45,16.19,1.75
2024,126,0.78,18.99,14.05,4.79,1.06
2024,127,0.93,19.18,14.52,3.01,1.46
2024,128,0.79,18.52,14.0,1.62,1.46
2024,129,0.57,17.99,13.07,7.81,1.17
2024,130,0.84,18.79,13.3,0.67,0.92
2024,131,1.0,19.04,13.63,0.06,1.2
2024,132,0.87,19.01,13.35,0.47,1.11
2024,133,1.07,19.2,14.26,1.18,1.56
2024,134,0.78,19.01,14.25,3.11,1.32
2024,135,0.73,18.58,13.64,1.97,1.26
2024,136,0.8,18.29,13.56,4.82,1.35
2024,137,0.88,18.47,13.91,7.51,1.52
2024,138,0.98,18.76,13.98,1.44,1.39
2024,139,0.87,19.13,13.18,0.19,1.12
2024,140,0.91,19.42,13.16,0.18,1.08
2024,141,0.85,19.4,13.27,1.13,1.01
2024,142,0.97,19.53,13.63,0.75,1.42
2024,143,0.8,19.03,14.0,5.38,1.19
2024,144,0.77,18.74,13.99,8.78,1.64
2024,145,0.94,19.57,14.13,2.39,1.45
2024,146,0.88,19.42,13.46,1.78,1.23
2024,147,0.97,18.91,13.23,3.17,1.19
2024,148,0.87,18.88,13.53,7.43,1.46
2024,149,0.75,18.99,13.48,19.45,1.34
2024,150,0.73,18.71,12.98,6.51,0.91
2024,151,1.09,18.97,12.98,0.21,1.31
2024,152,1.08,20.01,13.31,0.08,0.95
2024,153,1.16,19.88,13.36,0.1,1.0
2024,154,1.12,19.39,12.78,3.81,1.14
2024,155,1.01,19.09,12.33,1.6,1.24
2024,156,0.68,18.6,12.12,0.98,0.8
2024,157,0.71,17.71,12.0,2.13,1.14
2024,158,0.72,17.82,12.01,1.49,1.02
2024,159,0.83,18.38,12.26,0.33,0.98
2024,160,0.8,18.45,12.23,0.82,0.89
2024,161,0.91,18.26,12.96,4.27,1.64
2024,162,0.84,17.98,12.9,1.41,1.35
2024,163,0.82,18.32,12.26,0.47,1.05
2024,164,0.77,18.21,12.54,2.71,1.35
2024,165,0.65,17.81,12.76,1.25,1.22
2024,166,0.74,17.32,12.51,3.71,1.68
2024,167,0.73,17.24,12.72,11.07,1.29
2024,168,0.76,18.11,12.56,4.96,1.41
2024,169,1.03,18.74,12.17,1.19,1.47
2024,170,1.03,17.51,12.43,2.83,1.66
2024,171,0.69,17.17,13.03,3.3,1.4
2024,172,0.73,17.67,13.19,7.56,1.36
2024,173,0.75,18.19,12.06,0.4,1.02
2024,174,1.02,18.11,12.14,1.19,1.32
2024,175,1.13,18.56,11.96,0.07,1.06
2024,176,1.06,18.28,12.07,9.68,1.3
2024,177,0.76,17.47,12.79,5.91,1.11
2024,178,0.82,17.64,12.05,2.6,1.17
2024,179,0.8,17.32,11.95,0.52,1.26
2024,180,0.94,17.31,12.46,3.93,1.58
2024,181,0.99,18.1,13.26,8.81,1.73
2024,182,0.59,17.5,12.93,3.78,1.17
2024,183,0.96,17.68,12.31,7.58,1.23
2024,184,0.8,17.74,12.02,2.82,0.74
2024,185,0.7,17.36,11.91,3.89,1.09
2024,186,0.81,17.17,12.69,2.55,1.59
2024,187,0.77,17.71,12.62,1.06,1.1
2024,188,0.74,18.57,12.44,0.35,0.83
2024,189,0.82,17.84,11.6,0.11,0.89
2024,190,1.05,18.1,11.01,0.26,1.41
2024,191,0.84,17.68,11.84,0.65,1.35
2024,192,0.89,17.71,12.11,0.18,1.39
2024,193,0.95,18.18,11.94,0.05,1.48
2024,194,0.91,18.71,11.95,2.47,1.12
2024,195,0.87,17.97,10.89,1.03,1.25
2024,196,0.92,18.53,11.26,0.85,1.37
2024,197,1.11,18.6,11.63,0.1,1.26
2024,198,1.23,18.69,11.1,0.03,1.53
2024,199,1.19,18.83,10.71,0.59,1.17
