
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.59,24.06,14.17,0.31,3.66
2024,2,1.1,24.65,15.34,7.39,3.6
2024,3,0.95,25.27,18.12,34.6,2.37
2024,4,0.88,24.73,18.09,26.4,2.52
2024,5,1.29,24.73,16.93,3.68,3.41
2024,6,1.31,24.92,16.42,1.52,2.44
2024,7,1.51,25.32,15.99,0.09,2.12
2024,8,1.59,26.4,18.0,0.24,2.08
2024,9,1.49,26.91,17.87,0.08,1.25
2024,10,1.54,27.91,18.35,0.94,1.48
2024,11,1.47,28.53,18.2,51.38,1.63
2024,12,1.19,27.14,19.1,36.15,1.95
2024,13,0.89,25.57,18.89,18.58,2.72
2024,14,1.03,25.8,18.29,8.65,2.55
2024,15,1.43,28.15,19.34,1.31,1.75
2024,16,1.73,28.29,19.05,0.18,2.01
2024,17,1.58,29.15,19.42,2.55,1.55
2024,18,1.45,27.6,20.1,3.77,1.69
2024,19,0.98,28.71,19.54,1.41,1.46
2024,20,1.4,28.67,19.23,4.76,1.36
2024,21,1.18,26.85,18.86,28.0,3.45
2024,22,1.21,25.57,17.13,5.04,3.81
2024,23,0.57,24.06,16.14,34.73,4.14
2024,24,0.83,23.68,15.15,15.5,2.64
2024,25,1.27,24.78,16.99,9.24,3.09
2024,26,1.24,24.79,16.99,6.17,2.76
2024,27,1.16,25.07,16.73,3.24,1.43
2024,28,1.08,25.38,17.47,9.99,1.56
2024,29,1.56,25.88,16.54,0.44,1.91
2024,30,1.41,26.78,18.24,1.18,1.61
2024,31,0.85,26.52,18.58,6.84,1.39
2024,32,1.32,25.86,17.55,2.58,1.71
2024,33,0.72,25.38,17.46,4.17,1.71
2024,34,1.39,25.75,17.57,1.27,1.83
2024,35,1.05,26.15,18.81,13.75,2.28
2024,36,1.38,26.7,18.14,2.92,1.66
2024,37,1.35,26.57,17.93,1.07,1.69
2024,38,1.34,26.76,18.23,1.91,1.61
2024,39,1.38,26.93,18.16,3.68,2.51
2024,40,1.52,27.28,18.41,1.89,3.02
2024,41,1.52,26.4,17.32,0.19,3.72
2024,42,1.51,26.65,17.48,0.33,3.08
2024,43,1.62,27.31,16.25,0.34,2.24
2024,44,1.46,27.62,17.4,0.65,1.4
2024,45,1.13,25.91,17.75,5.83,1.63
2024,46,0.38,25.42,17.91,20.86,1.99
2024,47,1.19,24.92,17.22,1.38,3.87
2024,48,1.48,25.33,17.39,1.2,3.02
2024,49,1.25,25.66,17.82,2.38,2.34
2024,50,1.28,25.72,17.04,4.86,1.59
2024,51,0.58,25.8,18.23,6.17,1.67
2024,52,0.96,26.19,18.99,11.47,1.61
2024,53,0.78,26.5,19.18,16.39,2.48
2024,54,0.95,27.32,19.4,1.01,2.06
2024,55,1.37,27.61,19.26,1.56,1.73
2024,56,1.32,27.05,20.12,2.39,2.16
2024,57,1.21,26.4,18.35,3.22,2.39
2024,58,1.45,26.65,18.33,1.68,3.0
2024,59,1.19,27.39,18.92,0.55,2.3
2024,60,1.21,26.8,19.92,3.03,1.64
2024,61,1.1,26.54,19.07,7.87,2.27
2024,62,1.34,25.08,15.52,2.13,2.62
2024,63,1.51,25.23,15.05,0.27,2.99
2024,64,1.58,25.71,16.39,0.12,2.98
2024,65,1.5,26.58,17.97,10.29,1.68
