
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.28,11.45,7.68,1.22,1.93
2024,2,0.38,11.0,6.84,0.32,1.36
2024,3,0.3,11.93,8.1,0.86,3.05
2024,4,0.4,11.42,8.22,0.12,1.68
2024,5,0.24,12.16,8.43,4.7,4.3
2024,6,0.25,11.62,7.91,12.91,3.05
2024,7,0.17,9.8,7.18,5.63,1.09
2024,8,0.3,7.92,5.42,0.17,2.4
2024,9,0.33,7.66,4.94,0.24,1.33
2024,10,0.27,8.53,5.71,0.64,1.36
2024,11,0.29,7.54,4.97,0.04,1.71
2024,12,0.44,4.89,4.08,0.01,2.27
2024,13,0.44,4.54,3.25,0.04,1.42
2024,14,0.3,7.9,5.73,3.41,1.59
2024,15,0.26,10.36,7.42,2.14,1.99
2024,16,0.37,10.48,7.72,0.53,1.75
2024,17,0.19,12.36,8.9,3.54,3.88
2024,18,0.43,12.89,8.9,2.18,4.35
2024,19,0.41,12.23,8.2,0.69,2.6
2024,20,0.36,5.99,3.93,0.8,4.63
2024,21,0.48,4.66,3.05,0.0,1.57
2024,22,0.47,6.33,3.93,0.0,1.45
2024,23,0.47,8.26,5.73,0.01,1.69
2024,24,0.48,9.44,5.64,0.0,1.18
2024,25,0.47,9.79,5.65,0.0,1.01
2024,26,0.31,9.49,6.64,0.01,1.05
2024,27,0.51,9.84,6.02,0.01,1.15
2024,28,0.52,7.27,4.28,0.02,1.68
2024,29,0.53,7.14,4.38,0.0,1.62
2024,30,0.52,7.9,4.5,0.0,1.23
2024,31,0.53,7.63,4.46,0.01,1.26
2024,32,0.54,8.08,4.37,0.07,1.23
2024,33,0.56,8.58,4.34,0.06,1.48
2024,34,0.59,10.41,4.77,0.0,1.48
2024,35,0.58,10.13,6.17,0.04,1.25
2024,36,0.32,10.1,6.91,0.01,1.52
2024,37,0.53,10.38,7.33,0.0,1.91
2024,38,0.49,10.75,7.14,0.01,2.6
2024,39,0.57,11.16,7.51,0.02,2.37
2024,40,0.44,12.61,7.97,0.05,5.25
2024,41,0.21,12.19,8.38,30.42,5.8
2024,42,0.32,11.05,7.09,15.85,3.43
2024,43,0.63,10.72,6.48,1.05,1.07
2024,44,0.65,9.38,5.45,0.02,2.48
2024,45,0.71,9.08,5.02,0.02,2.24
2024,46,0.7,11.14,4.35,0.07,1.24
2024,47,0.61,12.19,4.93,0.03,1.22
2024,48,0.71,12.88,5.31,0.0,1.25
2024,49,0.7,12.05,6.72,0.01,1.46
2024,50,0.54,11.2,6.71,0.07,1.21
2024,51,0.62,10.14,5.68,0.98,1.78
2024,52,0.76,9.74,4.87,0.02,1.72
2024,53,0.62,9.56,6.27,0.05,3.31
2024,54,0.25,11.97,7.92,10.85,7.09
2024,55,0.71,9.67,5.89,0.88,2.45
2024,56,0.74,9.91,6.01,0.78,1.64
2024,57,0.39,9.3,6.4,4.93,3.91
2024,58,0.33,12.75,7.84,8.45,5.42
2024,59,0.43,12.81,7.47,2.39,2.67
2024,60,0.6,11.56,7.41,7.38,1.67
2024,61,0.51,10.24,7.01,7.31,2.62
2024,62,0.71,11.32,7.24,6.3,2.58
2024,63,0.64,11.18,7.02,15.24,5.35
2024,64,0.69,9.33,5.62,2.13,1.43
2024,65,0.83,9.87,6.25,2.61,1.76
2024,66,0.84,9.81,6.06,1.37,2.62
2024,67,0.91,8.99,5.26,0.27,1.93
2024,68,0.74,9.59,5.69,1.06,2.9
2024,69,0.55,11.01,7.35,10.53,3.38
2024,70,0.3,12.09,8.29,9.32,5.46
2024,71,0.71,10.64,7.12,12.04,1.78
2024,72,0.94,10.92,6.34,0.45,2.17
2024,73,0.93,11.21,5.52,0.02,1.36
2024,74,0.97,11.72,6.04,0.02,1.69
2024,75,0.9,11.37,6.96,0.04,1.5
2024,76,0.9,12.1,7.46,0.16,1.21
2024,77,0.98,12.98,7.2,0.01,1.53
2024,78,0.65,12.33,8.11,0.17,2.29
2024,79,1.04,14.38,7.5,0.02,1.56
2024,80,1.09,13.12,7.0,0.0,1.87
2024,81,1.09,13.47,7.31,0.08,1.69
2024,82,1.01,13.72,7.33,1.7,1.69
2024,83,1.05,13.91,8.01,0.05,2.58
2024,84,0.89,12.76,7.54,0.02,2.95
2024,85,0.87,11.87,5.87,0.01,2.47
2024,86,0.19,12.73,8.17,14.35,4.36
2024,87,0.33,11.14,7.59,20.23,3.72
2024,88,0.83,12.95,8.39,0.94,4.8
2024,89,0.96,14.94,7.99,0.09,4.73
2024,90,0.84,15.65,7.02,0.0,5.53
2024,91,0.61,15.88,9.05,0.02,4.64
2024,92,0.59,14.72,8.29,4.19,4.65
2024,93,1.14,12.53,7.29,0.28,2.58
2024,94,0.94,12.84,7.9,0.04,2.22
2024,95,1.31,13.99,7.3,0.03,1.58
2024,96,1.22,15.14,7.26,0.02,1.55
2024,97,1.26,16.72,7.08,0.0,1.41
2024,98,1.32,17.57,6.79,0.0,1.51
2024,99,1.2,17.84,7.82,0.0,1.77
2024,100,1.17,16.06,7.6,0.05,2.74
2024,101,1.26,13.77,7.15,0.07,2.99
2024,102,1.14,15.43,7.36,0.0,1.2
2024,103,1.26,19.4,8.29,0.0,1.48
2024,104,1.36,20.52,8.69,0.0,1.43
2024,105,1.4,20.75,8.58,0.0,1.44
2024,106,0.72,18.65,7.92,0.01,2.2
2024,107,1.17,15.56,8.58,0.18,4.03
2024,108,1.31,13.24,6.13,0.19,2.73
2024,109,1.3,12.17,5.3,3.2,1.51
2024,110,1.37,12.17,5.38,0.57,3.2
2024,111,1.04,10.85,6.42,1.84,2.84
2024,112,1.43,12.01,5.36,0.05,3.31
2024,113,0.99,12.0,6.66,0.56,3.52
2024,114,1.21,10.65,5.91,2.2,2.92
2024,115,0.99,9.66,5.64,4.14,2.03
2024,116,1.15,10.74,5.89,1.2,2.3
2024,117,1.12,12.53,6.8,0.15,2.67
2024,118,1.4,15.12,7.11,0.01,3.01
2024,119,1.46,18.14,7.21,0.0,1.95
2024,120,1.45,19.67,7.56,0.02,1.9
2024,121,1.41,19.47,8.43,0.0,2.33
2024,122,0.67,16.24,9.21,14.95,4.12
2024,123,1.12,14.38,8.31,8.46,3.7
