YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,2.04,22.11,3.9,0.0,2.08
2024,2,1.98,22.35,4.47,0.04,2.24
2024,3,1.97,22.67,4.41,0.44,2.19
2024,4,2.0,22.79,5.31,0.0,2.06
2024,5,1.92,22.34,6.34,0.0,2.07
2024,6,1.86,21.7,6.04,0.0,1.93
2024,7,2.01,21.28,4.57,0.0,2.13
2024,8,2.0,21.59,3.96,0.0,2.16
2024,9,2.03,21.63,3.72,0.18,1.99
2024,10,2.05,21.48,4.06,0.21,2.1
2024,11,1.98,21.68,3.99,0.12,1.97
2024,12,1.77,21.65,3.88,0.4,1.87
2024,13,2.0,20.77,4.01,0.01,2.01
2024,14,2.0,23.51,2.43,0.0,1.93
2024,15,1.99,22.54,3.18,0.0,2.22
2024,16,2.01,20.99,2.98,0.0,2.29
2024,17,1.93,22.94,5.52,0.0,2.19
2024,18,2.05,22.78,4.71,0.0,2.28
2024,19,2.01,25.12,3.46,0.0,2.38
2024,20,1.98,23.87,4.16,0.01,2.28
2024,21,1.92,23.6,4.71,4.02,2.42
2024,22,1.93,25.03,7.14,0.6,2.49
2024,23,1.82,24.39,6.5,0.01,2.36
2024,24,1.85,24.97,6.13,0.0,2.65
2024,25,1.88,24.98,6.32,0.0,2.33
2024,26,1.79,23.22,6.24,0.0,2.29
2024,27,1.85,23.99,6.85,0.62,2.4
2024,28,1.78,24.38,7.13,0.33,2.1
2024,29,1.86,25.49,5.97,0.01,2.08
2024,30,1.87,26.45,3.67,0.19,2.35
2024,31,1.92,26.44,3.39,0.37,2.32
2024,32,1.88,25.32,4.38,0.7,2.42
2024,33,1.91,25.18,4.46,0.45,2.64
2024,34,1.91,26.57,3.71,0.16,2.46
2024,35,1.73,24.87,6.32,0.0,2.06
2024,36,1.86,24.4,5.19,1.71,2.36
2024,37,1.87,23.29,5.64,0.46,2.34
2024,38,1.88,24.23,5.68,0.0,2.45
2024,39,1.7,23.27,8.58,0.64,2.17
2024,40,1.68,22.35,8.04,1.04,1.93
2024,41,1.69,23.65,6.2,0.04,1.92
2024,42,1.77,23.4,5.96,0.0,1.96
2024,43,1.75,24.47,3.77,0.0,2.36
2024,44,1.77,24.21,5.03,0.0,2.44
2024,45,1.73,23.74,6.43,0.0,2.09
2024,46,1.73,24.3,6.6,0.0,2.21
2024,47,1.74,23.96,6.39,0.0,2.09
2024,48,1.8,24.4,4.33,0.56,2.25
2024,49,1.76,25.2,5.32,0.4,2.4
2024,50,1.68,23.04,6.98,0.0,2.12
2024,51,1.68,21.87,7.74,0.0,1.76
2024,52,1.69,19.52,8.06,0.5,2.06
2024,53,0.58,17.11,7.32,0.39,2.36
2024,54,1.43,19.51,6.74,0.47,2.03
2024,55,1.59,20.82,6.9,0.37,2.05
2024,56,1.63,22.09,6.57,0.01,2.03
2024,57,1.63,22.16,5.11,0.01,1.91
2024,58,1.66,22.12,4.94,0.0,1.98
2024,59,1.68,22.59,4.27,0.09,2.01
2024,60,1.66,23.5,4.57,0.42,2.01
2024,61,1.59,23.3,3.95,0.0,1.79
2024,62,1.59,22.52,3.37,0.0,1.4
2024,63,1.61,22.44,2.97,0.0,1.95
2024,64,1.55,22.5,2.67,0.0,2.2
2024,65,1.53,22.31,4.42,0.0,1.99
2024,66,1.58,21.47,3.34,0.0,1.92
2024,67,1.5,19.95,3.77,0.03,1.96
2024,68,1.55,19.24,3.34,0.02,2.06
2024,69,1.54,21.96,2.98,0.0,1.83
2024,70,1.51,21.59,3.96,0.0,1.77
2024,71,1.52,21.04,4.06,0.0,1.86
2024,72,1.52,20.81,3.56,0.0,1.68
2024,73,1.49,21.06,3.01,0.0,1.78
2024,74,1.49,21.97,2.31,0.0,1.75
2024,75,1.47,20.9,2.28,0.0,1.77
2024,76,1.47,20.66,1.89,0.0,1.84
2024,77,1.46,21.56,2.1,0.0,1.72
2024,78,1.39,22.23,2.52,0.0,1.78
2024,79,1.4,20.64,4.7,0.0,2.05
2024,80,0.82,17.72,6.21,0.23,1.62
2024,81,1.3,21.53,4.67,0.29,1.64
2024,82,1.36,23.77,4.81,0.0,1.82
2024,83,1.38,22.89,5.06,0.0,1.65
2024,84,1.35,23.93,4.81,0.0,2.09
2024,85,1.31,22.74,5.43,0.0,1.97
2024,86,1.3,22.2,5.68,0.0,1.8
2024,87,1.32,21.15,5.93,1.07,1.95
2024,88,1.27,21.51,5.63,0.38,1.88
2024,89,1.29,21.91,4.78,0.0,1.93
2024,90,1.29,23.24,3.5,0.0,1.83
2024,91,1.12,21.21,3.31,0.0,1.55
2024,92,0.86,19.42,3.72,0.0,1.42
2024,93,0.74,18.99,3.95,0.03,1.69
2024,94,0.55,17.78,5.34,0.44,1.49
2024,95,1.21,19.26,4.29,0.0,1.55
2024,96,1.18,19.66,3.53,0.0,1.77
2024,97,1.19,17.84,3.44,0.0,1.74
2024,98,1.17,20.67,2.86,0.0,1.58
2024,99,1.17,19.42,2.47,0.0,1.64
2024,100,1.15,19.74,2.22,0.0,1.63
2024,101,1.04,18.98,2.48,0.0,1.73
2024,102,0.63,17.07,3.52,0.01,1.54
2024,103,0.46,15.19,4.58,0.28,1.03
2024,104,0.71,11.74,6.45,2.48,1.56
2024,105,0.84,11.51,6.28,0.05,1.94
2024,106,0.43,9.61,6.02,0.02,1.15
2024,107,0.97,12.89,2.54,0.0,1.66
2024,108,1.0,19.12,1.68,0.0,1.81
2024,109,0.98,21.15,2.41,0.0,1.69
2024,110,0.79,18.31,2.78,0.0,1.44
2024,111,0.57,17.82,2.9,0.0,1.44
2024,112,0.44,15.8,5.28,0.08,1.66
2024,113,0.92,12.76,6.53,0.11,1.72
2024,114,0.97,15.68,3.67,0.01,1.54
2024,115,0.97,15.13,3.06,0.0,1.76
2024,116,0.87,13.85,2.85,0.0,1.45
2024,117,0.92,12.43,3.85,0.0,1.46
2024,118,0.93,12.21,2.38,0.0,1.45
2024,119,0.5,11.86,1.71,0.0,1.57
2024,120,0.76,9.84,3.4,0.39,2.64
2024,121,0.62,10.41,4.83,0.66,1.9
2024,122,0.53,8.37,3.82,0.0,1.37
2024,123,0.61,8.57,1.05,0.0,1.5
2024,124,0.83,8.84,1.63,0.0,1.71
2024,125,0.79,10.69,2.23,0.02,1.77
2024,126,0.5,9.75,3.32,0.0,1.24
2024,127,0.71,8.75,3.6,0.0,2.03
2024,128,0.15,3.84,4.1,0.45,2.23
2024,129,0.68,8.52,1.42,0.0,1.56
2024,130,0.61,12.43,1.41,0.0,1.62
2024,131,0.48,9.82,2.52,0.0,1.33
2024,132,0.63,7.83,2.26,0.0,1.33
2024,133,0.64,5.84,1.88,0.25,1.15
2024,134,0.67,6.83,1.04,0.17,1.39
2024,135,0.66,9.81,0.99,0.06,1.4
2024,136,0.42,7.1,3.68,0.0,1.92
2024,137,0.67,5.96,1.6,0.0,1.67
2024,138,0.56,6.6,2.52,0.0,1.47
2024,139,0.68,7.18,1.81,0.0,1.44
2024,140,0.47,10.99,0.85,0.0,1.56
2024,141,0.14,9.16,4.16,8.28,1.6
2024,142,0.39,9.6,6.28,2.71,1.35
2024,143,0.13,7.47,6.11,4.76,1.33
2024,144,0.49,5.64,4.19,1.78,1.12
2024,145,0.37,8.91,3.32,0.09,1.48
2024,146,0.4,9.98,4.37,0.16,1.42
2024,147,0.51,6.42,4.4,0.26,1.52
2024,148,0.43,9.07,2.97,0.0,1.48
2024,149,0.45,13.57,3.13,0.0,1.54
2024,150,0.5,14.41,3.71,0.03,1.28
2024,151,0.51,15.2,3.93,0.01,1.21
2024,152,0.35,12.09,4.43,0.0,1.03
2024,153,0.54,12.79,3.94,0.0,1.46
2024,154,0.44,15.39,4.59,0.16,1.49
2024,155,0.38,15.4,5.55,0.01,1.19
2024,156,0.26,13.16,4.75,0.01,1.42
2024,157,0.31,12.7,5.05,0.0,1.25
2024,158,0.34,13.97,4.76,0.01,1.32
2024,159,0.49,16.12,4.65,0.0,1.09
2024,160,0.42,11.96,5.69,0.53,1.58
2024,161,0.31,8.7,5.3,0.2,1.97
2024,162,0.28,11.33,4.87,0.0,1.56
2024,163,0.21,13.71,4.64,0.0,1.52
2024,164,0.31,12.58,4.84,4.89,2.59
2024,165,0.18,3.48,5.01,16.89,3.27
2024,166,0.34,4.42,5.04,1.61,2.32
2024,167,0.48,6.65,4.53,0.0,1.17
2024,168,0.52,7.8,3.72,0.0,1.26
2024,169,0.33,7.44,4.06,1.11,2.04
2024,170,0.3,4.59,5.59,2.16,2.8
2024,171,0.49,7.98,4.29,0.09,2.21
2024,172,0.31,8.35,4.52,2.08,1.54
2024,173,0.13,4.1,4.87,6.69,3.66
2024,174,0.25,3.27,5.01,0.54,1.85
2024,175,0.33,4.99,3.72,0.01,1.35
2024,176,0.31,5.17,3.59,4.5,1.28
2024,177,0.44,3.03,2.85,0.07,1.14
2024,178,0.41,8.33,3.31,0.0,1.93
2024,179,0.41,10.75,5.32,0.0,1.13
2024,180,0.51,10.07,3.23,0.0,1.19
2024,181,0.45,11.05,3.16,0.01,1.5
2024,182,0.55,12.0,3.51,0.0,1.28
2024,183,0.55,11.86,3.33,0.0,1.48
2024,184,0.54,11.79,3.46,0.0,1.35
2024,185,0.51,12.75,3.44,0.0,1.22
2024,186,0.58,10.4,3.39,0.0,1.11
2024,187,0.59,8.28,2.14,0.0,1.6
2024,188,0.55,7.42,1.94,0.0,1.33
2024,189,0.56,7.98,2.39,0.0,1.3
2024,190,0.57,7.75,2.28,0.0,1.57
2024,191,0.57,5.88,2.07,0.0,1.4
2024,192,0.61,4.07,2.23,0.0,1.45
2024,193,0.57,5.3,2.4,0.0,1.46
2024,194,0.56,7.36,2.42,0.0,1.61
2024,195,0.56,9.09,2.29,0.0,1.32
2024,196,0.57,10.53,2.41,0.0,1.51
2024,197,0.59,11.81,2.7,0.0,1.35
2024,198,0.63,13.74,3.36,0.0,1.46
2024,199,0.52,15.76,3.72,0.0,1.29
2024,200,0.29,12.63,4.63,0.0,1.04
2024,201,0.56,11.74,4.67,0.03,1.3
2024,202,0.57,11.28,3.98,0.0,1.23
2024,203,0.61,9.65,4.59,0.0,1.57
2024,204,0.63,13.32,3.96,0.0,1.35
2024,205,0.5,7.07,5.04,0.19,0.9
2024,206,0.67,8.53,3.91,0.01,1.24
2024,207,0.64,12.32,3.26,0.0,1.49
2024,208,0.58,11.19,3.56,0.0,1.32
2024,209,0.69,11.31,3.33,0.0,1.3
2024,210,0.68,12.14,2.87,0.0,1.4
2024,211,0.66,14.96,2.67,0.0,1.42
2024,212,0.39,15.25,3.52,0.0,1.66
2024,213,0.31,13.13,3.92,0.0,1.9
2024,214,0.26,12.68,4.24,0.0,3.67
2024,215,0.32,5.11,4.87,0.0,3.16
2024,216,0.59,8.08,3.43,0.0,1.77
2024,217,0.46,9.96,3.18,0.0,1.62
2024,218,0.25,6.95,4.22,4.39,2.26
2024,219,0.6,4.06,3.15,0.91,1.21
2024,220,0.52,3.9,2.38,0.03,1.48
2024,221,0.67,6.11,1.89,0.0,1.69
2024,222,0.65,10.31,2.08,0.0,1.38
2024,223,0.71,12.02,2.84,0.0,1.44
2024,224,0.83,14.7,3.96,0.0,1.51
2024,225,0.8,16.82,4.02,0.0,1.53
2024,226,0.78,16.22,4.28,0.0,1.37
2024,227,0.69,14.09,4.51,0.0,1.32
2024,228,0.79,11.98,4.61,0.0,1.64
2024,229,0.72,9.9,3.78,0.0,0.86
2024,230,0.86,11.65,3.09,0.0,1.47
2024,231,0.44,10.14,3.64,0.03,1.58
2024,232,0.65,9.02,3.85,1.78,1.52
2024,233,0.64,5.35,4.16,0.6,1.26
2024,234,0.81,3.66,2.94,0.34,2.76
2024,235,0.86,4.38,3.02,0.1,1.59
2024,236,0.77,2.28,2.82,0.0,1.6
2024,237,0.9,8.81,1.15,0.0,1.49
2024,238,0.82,13.04,2.34,0.0,1.79
2024,239,0.95,11.36,2.41,0.0,1.45
2024,240,0.92,13.17,2.11,0.0,1.48
2024,241,0.85,11.4,3.26,0.05,1.56
2024,242,0.71,10.69,4.3,1.55,1.59
2024,243,0.82,7.09,5.08,1.19,1.51
2024,244,0.95,11.82,3.47,0.0,1.56
2024,245,0.99,17.17,3.25,0.0,1.48
2024,246,0.86,10.57,4.53,0.06,1.48
2024,247,0.68,10.4,1.75,0.02,1.39
2024,248,1.03,13.01,1.22,0.0,1.88
2024,249,0.91,16.05,2.05,0.0,1.39
2024,250,1.05,14.07,3.62,0.0,1.52
2024,251,1.01,12.56,2.55,0.0,1.39
2024,252,0.85,14.27,2.22,0.0,1.29
2024,253,0.92,16.28,3.08,0.0,1.49
2024,254,0.9,12.2,4.83,0.0,1.75
2024,255,1.14,12.02,3.51,0.0,1.65
2024,256,1.05,11.85,2.62,0.01,1.53
2024,257,1.13,11.4,2.59,0.01,1.7
2024,258,1.13,14.16,1.38,0.0,1.94
2024,259,1.14,15.14,1.63,0.0,1.99
2024,260,0.91,16.99,2.07,0.01,1.81
2024,261,1.18,15.13,1.99,0.0,1.7
2024,262,0.84,13.27,3.05,0.26,1.57
2024,263,0.93,8.71,4.59,1.79,2.92
2024,264,0.62,12.31,2.0,0.0,1.45
2024,265,1.07,12.86,2.82,0.0,2.37
2024,266,0.47,8.43,3.96,2.51,1.94
2024,267,0.78,9.7,5.04,4.82,1.77
2024,268,1.12,10.8,3.76,0.02,1.73
2024,269,1.18,11.22,2.56,0.0,1.59
2024,270,1.2,14.56,1.89,0.01,1.67
2024,271,1.0,16.14,2.39,0.0,1.63
2024,272,1.16,17.4,2.59,0.01,1.76
2024,273,1.13,15.34,4.06,0.06,1.87
2024,274,1.07,12.49,5.05,0.13,2.27
2024,275,1.0,10.79,4.05,0.02,1.77
2024,276,1.24,14.28,2.74,0.0,1.74
2024,277,1.33,18.07,3.33,0.0,1.53
2024,278,1.38,19.38,3.44,0.0,1.82
2024,279,1.37,21.22,3.24,0.0,1.81
2024,280,0.87,18.41,5.96,0.49,1.39
2024,281,1.03,15.71,7.3,5.46,1.52
2024,282,0.55,9.67,7.36,5.01,1.96
2024,283,0.93,11.08,7.09,0.44,1.57
2024,284,1.05,13.37,7.28,0.06,1.66
