
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,1.22,25.75,3.92,0.0,15.2
2024,2,1.17,26.35,4.23,0.0,15.95
2024,3,1.2,25.53,2.71,0.0,14.95
2024,4,1.15,26.48,1.59,0.01,16.16
2024,5,1.21,26.17,2.17,0.0,16.96
2024,6,1.19,25.51,2.19,0.0,16.7
2024,7,1.22,26.45,2.23,0.0,15.86
2024,8,1.23,25.92,3.47,0.0,14.9
2024,9,1.17,25.51,2.01,0.0,16.14
2024,10,1.17,26.48,2.23,0.0,16.38
2024,11,1.12,26.03,1.96,0.0,16.72
2024,12,1.15,25.42,1.79,0.0,16.41
2024,13,1.16,26.53,2.0,0.0,16.67
2024,14,1.15,26.82,2.09,0.0,16.98
2024,15,1.18,26.75,2.16,0.0,16.27
2024,16,1.21,26.86,2.27,0.0,15.34
2024,17,1.23,27.87,4.54,0.0,16.99
2024,18,1.28,27.6,3.41,0.0,15.83
2024,19,1.23,27.65,3.09,0.04,17.35
2024,20,1.26,27.34,4.74,0.45,16.35
2024,21,1.28,27.24,4.3,0.17,16.0
2024,22,1.27,27.37,3.32,0.0,15.6
2024,23,1.24,27.27,2.33,0.0,15.09
2024,24,1.27,27.94,2.5,0.0,15.59
2024,25,1.2,28.26,2.48,0.04,17.28
2024,26,1.23,28.12,2.1,0.2,17.03
2024,27,1.24,28.21,1.61,0.01,16.52
2024,28,1.24,28.43,3.96,0.05,16.02
2024,29,1.3,26.43,7.34,0.06,13.97
2024,30,1.21,25.03,7.07,0.0,12.6
2024,31,1.33,25.55,5.32,0.0,13.22
2024,32,1.31,26.28,4.27,0.0,14.04
2024,33,1.34,25.88,3.56,0.0,14.69
2024,34,1.01,25.55,3.89,0.05,16.69
2024,35,1.27,25.53,4.7,0.29,16.66
2024,36,1.23,26.88,3.64,2.25,16.73
2024,37,1.35,24.81,7.11,0.4,10.48
2024,38,1.36,24.59,4.23,0.0,10.59
2024,39,1.39,24.85,3.13,0.0,12.22
2024,40,1.34,25.9,1.93,0.01,13.88
2024,41,1.39,25.21,2.31,0.03,14.86
2024,42,1.41,25.94,2.74,0.01,15.55
2024,43,1.4,26.71,2.21,0.12,16.46
2024,44,1.27,28.77,3.53,0.13,16.21
2024,45,1.35,28.2,4.03,0.02,15.86
2024,46,1.43,28.36,2.8,0.01,15.12
2024,47,1.44,27.73,3.22,0.0,14.18
2024,48,1.36,27.19,2.92,0.0,15.3
2024,49,1.18,28.18,3.2,0.08,16.11
2024,50,1.43,27.17,6.77,0.01,13.18
2024,51,1.44,26.76,6.79,0.0,12.43
2024,52,1.47,26.2,5.06,0.0,12.06
2024,53,1.49,25.34,3.39,0.0,10.9
2024,54,1.42,25.03,2.43,0.0,12.76
2024,55,1.45,27.13,2.5,0.0,13.1
2024,56,1.44,27.17,3.6,0.0,12.19
2024,57,1.5,27.0,3.19,0.0,12.15
2024,58,1.51,27.19,3.77,0.0,14.56
2024,59,1.45,27.38,3.02,0.0,15.25
2024,60,1.42,27.91,3.48,0.0,14.85
2024,61,1.48,27.74,3.88,0.0,14.98
2024,62,1.34,27.03,2.74,0.0,16.03
2024,63,1.35,26.91,2.69,0.0,15.97
2024,64,1.32,27.18,2.44,0.0,15.5
2024,65,1.38,26.82,2.7,0.0,15.3
2024,66,1.37,26.55,3.12,0.0,15.44
2024,67,1.33,27.16,3.36,0.0,17.15
2024,68,1.41,27.11,2.95,0.0,16.25
2024,69,1.52,26.44,2.78,0.0,15.24
2024,70,1.34,29.09,2.3,0.0,15.48
2024,71,1.41,30.36,3.39,0.0,15.28
2024,72,1.5,29.4,3.95,0.0,15.71
2024,73,1.46,29.04,3.78,0.0,16.58
2024,74,1.38,28.67,2.83,0.01,16.84
2024,75,1.45,28.86,3.0,0.01,16.75
2024,76,1.38,29.14,3.27,1.19,17.11
2024,77,1.3,27.83,2.71,73.4,18.82
2024,78,1.22,28.1,2.74,11.3,18.25
2024,79,1.31,29.13,2.22,26.16,18.13
2024,80,1.43,28.01,2.52,41.24,17.36
2024,81,1.39,27.77,3.48,2.33,17.8
2024,82,1.32,27.79,2.23,0.01,18.93
2024,83,1.39,28.42,2.36,0.0,18.71
2024,84,1.42,28.27,2.57,0.06,19.11
2024,85,1.43,27.83,3.08,0.01,18.94
2024,86,1.52,27.39,3.56,0.01,18.44
2024,87,1.54,27.45,2.8,0.01,17.68
2024,88,1.22,28.63,3.28,0.09,16.96
2024,89,1.51,28.79,4.05,0.03,16.01
2024,90,1.53,28.17,3.65,0.03,16.57
2024,91,1.45,28.65,2.74,0.05,17.31
2024,92,1.33,27.46,2.81,4.43,18.01
2024,93,1.37,27.35,3.06,0.3,17.64
2024,94,1.3,27.39,3.69,1.42,18.24
2024,95,0.95,27.9,2.24,18.22,18.56
2024,96,1.15,27.96,2.79,25.31,18.68
2024,97,1.57,28.79,3.44,0.01,18.39
2024,98,1.38,28.32,2.69,0.01,18.54
2024,99,1.3,28.61,2.23,0.01,19.15
2024,100,1.5,28.64,2.5,0.0,18.79
2024,101,0.88,27.34,2.28,0.02,18.89
2024,102,1.32,29.6,1.77,0.57,18.05
2024,103,1.56,30.0,5.06,0.23,17.13
2024,104,1.54,29.49,5.69,0.06,16.37
2024,105,1.66,29.55,4.17,0.0,16.11
2024,106,1.66,29.56,3.95,0.02,16.52
2024,107,1.47,29.14,2.71,0.49,18.17
2024,108,1.31,28.31,3.12,1.69,19.07
2024,109,1.13,28.46,3.0,2.72,19.05
2024,110,1.09,27.55,2.77,2.78,18.4
2024,111,0.73,26.35,3.07,10.14,18.91
2024,112,1.05,27.44,3.0,8.21,18.85
2024,113,1.44,27.97,1.96,9.91,19.11
2024,114,1.48,28.1,2.27,19.5,18.25
2024,115,1.49,28.63,2.81,2.65,18.18
2024,116,1.63,29.34,2.34,3.81,17.92
2024,117,1.46,28.65,2.67,0.3,17.53
2024,118,1.34,27.91,2.76,1.59,18.16
2024,119,0.97,27.19,2.1,4.54,17.92
2024,120,1.27,27.49,2.77,1.8,18.65
2024,121,1.31,27.71,2.42,2.21,18.59
2024,122,1.18,28.2,2.1,4.11,19.28
2024,123,1.3,28.05,2.94,7.15,19.61
2024,124,1.41,28.33,3.33,1.32,19.86
2024,125,1.39,28.43,3.38,2.83,20.51
2024,126,1.25,27.97,2.61,3.28,19.87
2024,127,1.22,28.34,2.16,0.06,19.19
2024,128,1.27,28.58,2.28,0.14,19.36
2024,129,1.16,29.25,2.42,0.07,19.58
2024,130,0.89,28.87,1.89,0.3,20.12
