
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.29,1.72,3.76,0.39,1.83
2024,2,0.27,1.89,3.71,0.07,1.65
2024,3,0.22,1.12,3.47,0.44,2.19
2024,4,0.36,0.96,3.38,0.0,2.67
2024,5,0.34,2.32,3.85,0.01,2.95
2024,6,0.47,-0.51,2.75,0.78,2.87
2024,7,0.45,-5.1,1.73,0.0,5.58
2024,8,0.45,-5.7,1.7,0.03,1.34
2024,9,0.16,-0.61,3.31,2.32,1.98
2024,10,0.4,-1.97,2.6,0.1,1.59
2024,11,0.31,0.49,3.41,0.0,2.99
2024,12,0.5,-1.05,2.68,0.0,2.73
2024,13,0.49,-1.42,2.14,0.0,1.91
2024,14,0.18,-1.77,2.98,4.5,4.09
2024,15,0.54,-5.93,1.65,0.0,4.31
2024,16,0.45,-3.34,1.63,0.0,1.2
2024,17,0.14,0.48,2.76,8.89,1.52
2024,18,0.44,1.51,3.56,0.88,3.12
2024,19,0.45,2.12,3.49,0.07,3.87
2024,20,0.27,1.45,3.58,4.66,5.12
2024,21,0.27,0.26,3.06,1.24,4.41
2024,22,0.37,-8.72,1.37,0.21,7.84
2024,23,0.48,-11.87,1.08,0.11,7.34
2024,24,0.58,-8.98,1.35,0.01,6.09
2024,25,0.56,-6.86,1.6,0.0,3.8
2024,26,0.49,-2.78,2.36,0.0,1.85
2024,27,0.46,-1.74,2.64,0.0,2.02
2024,28,0.53,-1.99,2.45,0.0,2.0
2024,29,0.5,-1.33,2.56,0.0,1.43
2024,30,0.52,0.33,2.92,0.0,1.49
2024,31,0.49,1.8,3.44,0.0,1.88
2024,32,0.51,0.4,3.05,0.68,3.46
2024,33,0.51,1.11,3.38,0.15,2.12
2024,34,0.31,2.29,3.92,0.21,2.06
2024,35,0.47,3.66,4.04,0.14,2.36
2024,36,0.31,1.32,3.42,9.92,5.24
2024,37,0.31,-0.13,3.13,0.81,2.25
2024,38,0.53,-0.71,2.89,0.01,1.33
2024,39,0.59,0.06,2.96,0.0,1.49
2024,40,0.62,0.01,2.89,0.0,2.14
2024,41,0.52,0.53,3.21,0.0,2.54
2024,42,0.51,-0.03,3.09,0.01,2.92
2024,43,0.67,1.38,3.4,0.0,2.45
2024,44,0.6,4.45,4.85,0.0,4.22
2024,45,0.47,7.68,6.38,0.43,2.94
2024,46,0.35,1.69,3.92,9.21,3.66
2024,47,0.72,0.88,2.81,0.01,1.76
2024,48,0.64,2.53,3.37,0.0,1.95
2024,49,0.18,5.61,4.83,14.37,3.32
2024,50,0.21,7.4,6.01,10.94,4.4
2024,51,0.26,3.04,3.92,4.4,3.65
2024,52,0.24,1.87,3.65,15.58,5.67
2024,53,0.27,0.04,3.03,3.96,5.25
2024,54,0.6,0.23,2.88,0.06,4.18
2024,55,0.5,0.51,3.11,2.38,3.34
2024,56,0.65,1.25,3.46,1.31,2.37
2024,57,0.72,1.43,3.35,0.07,2.15
2024,58,0.63,2.03,3.21,0.09,3.39
2024,59,0.45,3.1,3.92,0.1,1.89
2024,60,0.41,2.71,3.91,0.07,3.25
2024,61,0.9,-4.36,1.57,0.0,7.21
2024,62,0.72,-0.04,2.76,0.11,5.19
2024,63,0.54,2.37,3.75,0.27,2.99
2024,64,0.68,3.31,3.06,0.0,1.28
2024,65,0.33,4.39,4.1,0.49,3.2
2024,66,0.62,3.36,4.04,0.4,3.22
2024,67,0.66,2.28,3.71,0.42,3.76
2024,68,0.92,0.81,2.97,0.0,5.16
2024,69,0.97,0.28,2.61,0.0,2.8
2024,70,0.81,2.53,3.16,0.0,1.68
2024,71,0.5,3.66,3.98,0.01,2.1
2024,72,0.67,4.62,4.61,0.86,1.8
2024,73,0.88,3.47,4.03,0.13,3.05
2024,74,0.93,5.0,4.44,0.03,2.15
2024,75,0.78,5.65,4.79,0.06,3.39
