
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.57,4.23,4.05,0.0,2.91
2024,2,0.5,5.44,4.33,1.27,2.57
2024,3,0.34,4.06,4.2,1.21,4.89
2024,4,0.54,4.59,4.21,0.92,2.18
2024,5,0.48,7.17,4.68,0.0,2.55
2024,6,0.44,6.01,4.84,0.0,3.21
2024,7,0.61,4.11,3.67,0.0,4.52
2024,8,0.42,5.54,4.25,0.12,1.59
2024,9,0.54,7.94,5.54,0.04,2.92
2024,10,0.42,4.31,3.89,0.02,5.36
2024,11,0.59,4.64,3.59,0.0,2.18
2024,12,0.51,9.08,4.8,0.0,1.94
2024,13,0.47,9.4,5.67,0.0,2.36
2024,14,0.57,9.6,5.6,0.1,5.04
2024,15,0.58,4.33,3.75,0.0,5.3
2024,16,0.41,6.69,4.95,0.0,3.37
2024,17,0.65,10.34,6.41,0.01,2.59
2024,18,0.21,8.51,6.14,5.51,4.05
2024,19,0.15,8.76,6.06,10.99,4.64
2024,20,0.13,4.84,4.82,7.29,6.89
2024,21,0.14,4.7,4.22,0.98,6.65
2024,22,0.47,-0.41,2.41,0.02,7.96
2024,23,0.64,-2.79,1.91,0.01,6.78
2024,24,0.62,-0.94,2.08,0.0,4.84
2024,25,0.58,1.3,2.43,0.0,3.15
2024,26,0.56,2.62,2.67,0.0,2.37
2024,27,0.35,3.44,3.04,0.0,2.15
2024,28,0.52,3.72,3.16,0.0,2.2
2024,29,0.45,5.72,4.19,2.02,2.79
2024,30,0.22,8.97,6.67,2.09,2.26
2024,31,0.27,9.37,6.79,9.01,1.65
2024,32,0.13,7.04,5.59,20.31,6.67
2024,33,0.3,5.18,4.54,7.94,5.59
2024,34,0.17,5.61,5.04,21.57,5.22
2024,35,0.1,4.87,4.96,13.04,4.93
2024,36,0.43,2.07,3.44,0.34,6.66
2024,37,0.3,1.64,3.54,3.6,4.3
2024,38,0.37,2.72,3.58,0.31,5.06
2024,39,0.59,2.75,3.48,0.0,3.99
2024,40,0.46,4.13,3.56,0.0,2.54
2024,41,0.62,7.08,4.28,0.0,2.47
2024,42,0.68,8.39,4.67,0.02,2.52
2024,43,0.81,8.59,4.95,0.0,4.22
2024,44,0.69,11.19,6.68,0.58,3.86
2024,45,0.83,14.85,7.8,0.04,1.89
2024,46,0.16,7.79,5.64,4.13,5.94
2024,47,0.87,5.35,3.85,0.0,2.63
2024,48,0.83,9.29,6.12,0.17,3.6
2024,49,0.54,14.88,9.12,0.25,3.72
2024,50,0.43,13.77,8.52,2.91,5.57
2024,51,0.21,8.6,6.11,3.16,5.39
2024,52,0.15,6.61,5.43,46.39,6.33
2024,53,0.09,2.99,4.03,11.61,6.26
2024,54,0.2,2.31,3.82,5.08,5.93
2024,55,0.16,2.17,3.92,6.98,5.33
2024,56,0.4,1.27,3.31,0.15,5.31
2024,57,0.74,4.17,3.94,0.08,4.37
2024,58,0.7,5.83,4.51,0.03,3.16
2024,59,0.2,7.27,5.84,14.98,2.69
2024,60,0.23,6.53,5.57,32.99,4.42
2024,61,0.76,4.12,3.46,0.15,5.75
2024,62,0.8,3.77,3.3,0.0,2.01
2024,63,0.95,6.96,4.69,0.0,3.17
2024,64,0.26,10.23,6.91,8.35,3.63
2024,65,0.33,11.58,7.77,14.38,3.99
2024,66,0.59,7.99,5.33,0.6,6.54
2024,67,0.92,6.82,4.42,0.01,3.0
2024,68,0.86,6.96,4.67,0.04,4.32
2024,69,1.04,7.05,4.5,0.0,2.71
2024,70,1.17,7.76,5.01,0.0,3.9
2024,71,0.52,10.37,6.82,4.42,3.07
2024,72,0.63,9.59,5.88,0.13,4.81
2024,73,1.11,7.7,4.81,0.0,2.35
2024,74,0.37,10.23,6.43,0.01,2.2
2024,75,1.0,12.29,7.63,0.13,3.51
2024,76,0.65,15.39,9.14,0.68,2.27
2024,77,0.28,10.82,6.89,0.42,5.4
2024,78,0.53,8.77,5.49,0.67,3.87
2024,79,1.08,10.08,5.54,0.02,4.12
2024,80,1.11,9.8,4.63,0.01,3.47
2024,81,1.01,10.94,6.02,0.0,4.44
2024,82,1.11,15.83,8.36,0.0,3.88
2024,83,0.55,17.48,11.01,3.32,2.41
2024,84,0.63,18.05,11.54,5.62,3.5
2024,85,0.52,15.45,9.61,7.63,5.09
2024,86,0.8,11.43,6.69,0.04,5.07
2024,87,0.66,12.01,7.22,6.46,5.19
2024,88,0.39,13.12,8.33,26.47,3.85
2024,89,1.23,17.75,9.94,0.05,3.62
2024,90,1.05,19.15,9.81,0.01,2.89
2024,91,0.5,13.63,8.23,0.84,3.85
2024,92,1.17,15.42,8.09,1.25,4.04
2024,93,0.35,19.38,12.62,9.69,4.51
2024,94,0.42,17.54,10.83,6.27,5.7
2024,95,0.86,12.85,6.45,1.37,3.84
2024,96,1.23,13.21,7.19,0.26,3.64
2024,97,0.66,13.95,8.68,4.38,2.42
2024,98,0.48,13.83,8.37,10.28,2.96
2024,99,0.42,12.69,8.18,25.67,3.69
2024,100,1.28,14.81,7.57,0.0,3.5
2024,101,1.21,14.74,8.25,0.02,4.31
2024,102,1.01,16.66,10.13,3.22,3.48
2024,103,0.28,16.35,10.5,10.61,3.63
2024,104,0.64,16.87,10.52,0.62,3.29
2024,105,0.4,18.52,12.15,20.67,3.27
2024,106,1.27,19.91,11.2,1.46,3.68
2024,107,0.93,18.19,10.89,3.79,3.1
2024,108,0.21,14.77,9.42,41.56,4.83
2024,109,1.43,14.94,7.67,0.03,2.8
2024,110,0.86,15.42,9.35,5.82,5.82
2024,111,0.78,18.98,11.76,3.39,5.2
2024,112,0.65,17.09,9.98,9.96,2.57
2024,113,1.02,17.19,10.48,1.99,2.54
2024,114,0.8,17.95,10.62,11.83,1.75
2024,115,1.49,18.94,8.46,0.1,2.57
2024,116,1.12,18.23,9.03,0.3,4.01
2024,117,0.64,16.46,10.3,1.25,4.77
2024,118,0.63,18.43,11.59,0.47,3.57
2024,119,0.3,19.17,12.64,5.31,3.62
2024,120,0.75,19.43,11.74,4.24,3.93
2024,121,0.35,15.23,9.26,14.76,5.14
2024,122,1.19,16.3,7.77,0.3,4.02
2024,123,0.93,16.94,8.93,0.04,3.16
2024,124,1.34,17.46,9.25,0.1,4.09
2024,125,0.6,17.39,10.48,5.97,3.94
2024,126,0.5,19.38,12.72,10.59,4.07
2024,127,1.1,20.41,12.08,0.25,2.63
2024,128,1.08,21.12,11.31,0.33,1.55
2024,129,1.56,18.35,9.3,0.01,4.23
2024,130,1.38,17.92,9.21,0.0,3.17
2024,131,1.6,20.75,11.56,0.11,4.25
2024,132,0.45,21.89,14.75,25.58,3.38
2024,133,0.76,18.29,9.08,7.92,5.08
2024,134,1.52,18.92,8.76,0.75,2.81
2024,135,1.67,19.62,8.94,0.0,2.37
2024,136,1.21,17.69,9.44,0.0,4.91
2024,137,1.63,18.65,7.88,0.0,3.49
2024,138,1.56,21.16,10.84,0.0,4.36
2024,139,1.69,22.42,13.77,0.04,4.93
2024,140,1.38,22.29,14.28,0.02,4.57
2024,141,1.12,22.06,14.64,0.05,4.09
2024,142,1.01,21.51,13.82,0.02,3.79
2024,143,0.94,21.35,13.49,0.03,3.64
2024,144,1.17,22.15,13.65,0.02,2.68
2024,145,1.4,22.9,14.13,0.06,3.4
2024,146,0.91,23.43,15.06,0.07,4.13
2024,147,1.21,26.76,17.88,1.85,2.94
2024,148,0.42,19.98,12.72,31.6,7.48
2024,149,1.67,20.69,9.75,0.05,4.99
2024,150,1.46,21.06,11.73,0.0,4.97
2024,151,0.97,22.31,13.67,8.81,2.57
2024,152,0.61,21.74,13.4,16.35,2.16
