
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.94,22.51,12.54,1.0,3.73
2024,2,1.77,23.36,14.11,1.4,3.77
2024,3,1.66,23.63,14.35,3.68,3.04
2024,4,1.1,22.59,14.9,7.62,3.01
2024,5,1.39,21.37,11.67,0.99,4.02
2024,6,1.66,22.05,10.64,0.12,3.14
2024,7,1.71,23.2,12.53,0.09,4.37
2024,8,0.8,23.53,15.01,5.88,3.6
2024,9,1.54,22.82,14.13,0.6,3.16
2024,10,1.53,23.88,14.6,0.26,2.1
2024,11,1.64,24.6,16.88,3.81,1.99
2024,12,1.74,24.38,15.19,1.97,2.87
2024,13,1.88,24.74,15.46,2.06,2.22
2024,14,1.19,23.06,14.99,20.41,4.44
2024,15,1.04,21.98,12.3,16.3,5.19
2024,16,1.12,22.6,13.51,13.94,3.45
2024,17,1.22,23.71,16.48,20.78,3.55
2024,18,1.73,24.33,15.02,0.39,2.8
2024,19,1.73,21.97,10.6,0.01,3.2
2024,20,1.45,23.38,13.47,0.03,3.49
2024,21,1.85,26.71,14.53,0.01,2.21
2024,22,1.3,21.96,11.97,0.31,4.97
2024,23,1.47,22.32,11.4,0.53,3.24
2024,24,1.73,24.92,13.44,0.14,2.84
2024,25,1.18,26.17,15.01,0.2,2.12
2024,26,1.32,26.35,15.5,0.76,3.66
2024,27,0.64,22.06,13.3,0.99,3.16
2024,28,1.39,22.8,12.84,0.13,2.62
2024,29,1.79,24.5,15.12,0.15,2.9
2024,30,1.32,24.06,16.36,2.46,2.12
2024,31,1.16,23.28,15.42,3.82,3.11
2024,32,1.5,23.99,13.75,0.25,2.45
2024,33,1.78,23.75,14.31,0.2,3.3
2024,34,1.4,23.34,12.48,0.03,3.33
2024,35,1.6,25.77,15.87,0.0,3.17
2024,36,1.12,26.3,16.94,22.79,1.41
2024,37,0.74,22.71,14.89,18.61,5.47
2024,38,0.87,21.54,11.76,0.52,5.46
2024,39,1.13,21.91,10.62,0.21,4.26
2024,40,1.06,22.07,13.15,0.52,4.47
2024,41,1.35,22.38,12.3,1.36,5.24
2024,42,1.16,22.35,11.31,0.26,3.14
2024,43,1.71,23.76,14.18,0.49,2.97
2024,44,1.64,24.92,15.04,5.75,3.49
2024,45,1.13,23.53,13.73,4.43,3.7
2024,46,0.55,21.69,12.09,2.11,2.99
2024,47,1.31,23.9,15.56,2.89,2.55
2024,48,1.53,24.59,15.89,3.6,1.94
2024,49,1.34,24.31,15.92,2.89,1.47
2024,50,0.57,22.4,15.38,9.17,2.68
2024,51,0.92,22.17,13.78,7.21,2.71
2024,52,1.25,22.86,14.39,6.45,2.08
2024,53,1.52,24.68,15.29,0.14,1.5
2024,54,1.47,26.51,15.03,4.76,2.68
2024,55,0.51,21.44,12.37,4.13,4.95
2024,56,1.53,22.65,12.16,0.08,2.26
2024,57,1.36,23.03,13.67,0.24,3.82
2024,58,0.6,22.93,12.77,0.75,3.08
2024,59,1.41,24.51,15.43,0.47,3.59
2024,60,1.45,27.8,16.83,0.29,2.17
2024,61,1.0,25.53,16.94,1.51,1.88
2024,62,0.74,23.51,15.46,2.31,3.64
2024,63,1.33,24.28,12.87,0.22,2.6
2024,64,0.95,21.27,10.29,0.29,4.9
2024,65,1.37,21.84,10.1,0.07,2.82
2024,66,1.33,23.85,13.0,0.0,3.37
2024,67,1.34,24.19,15.06,0.6,2.7
2024,68,1.35,25.14,14.35,0.09,2.37
2024,69,1.38,24.81,14.26,0.02,3.07
2024,70,1.37,24.72,13.64,0.0,3.35
2024,71,1.28,24.46,12.42,0.0,3.25
2024,72,1.41,24.46,12.43,0.0,2.38
2024,73,1.21,24.17,13.23,0.01,2.03
2024,74,1.24,24.02,13.88,4.29,3.92
2024,75,1.09,21.66,10.89,1.61,5.05
2024,76,1.02,22.14,10.71,1.25,3.08
2024,77,0.77,20.76,12.85,13.26,3.04
2024,78,0.81,21.84,13.77,2.21,2.29
2024,79,1.21,23.29,14.96,1.45,3.64
2024,80,0.5,21.61,12.84,3.25,4.58
2024,81,1.07,19.54,8.67,0.0,4.22
2024,82,0.88,20.89,9.9,0.03,2.47
2024,83,1.05,21.19,11.05,0.14,1.85
2024,84,1.15,21.61,11.91,1.0,1.77
2024,85,1.23,22.53,10.91,0.0,1.57
2024,86,1.18,22.01,13.26,0.05,1.79
2024,87,1.04,22.02,12.43,0.15,2.85
2024,88,0.88,21.82,12.2,0.03,3.02
2024,89,0.93,21.9,11.79,0.01,2.35
2024,90,1.18,21.78,12.22,0.0,2.03
2024,91,1.06,22.37,12.52,0.0,1.37
2024,92,1.12,22.58,12.67,0.0,2.81
2024,93,0.47,22.29,11.82,5.65,3.41
2024,94,1.01,20.43,10.32,0.18,2.74
2024,95,0.31,20.67,11.76,15.17,3.79
2024,96,0.2,20.8,13.08,90.82,5.07
2024,97,1.09,21.84,13.81,48.81,3.78
2024,98,1.03,20.87,12.38,0.1,1.45
2024,99,0.92,19.94,11.81,0.24,2.53
2024,100,0.79,17.46,10.36,5.54,5.0
2024,101,0.8,17.58,9.45,0.12,5.71
2024,102,0.99,18.45,9.93,0.01,3.51
2024,103,1.01,19.33,10.29,0.06,1.95
2024,104,0.97,19.67,11.41,1.0,1.72
2024,105,0.96,20.91,11.9,0.97,1.27
2024,106,0.96,19.94,10.99,0.14,2.07
2024,107,0.85,19.89,10.63,0.02,2.32
2024,108,0.72,20.41,11.6,1.66,2.43
2024,109,0.76,19.52,11.33,2.28,2.26
2024,110,0.7,17.93,9.66,0.79,3.36
2024,111,0.5,19.19,10.62,2.16,5.92
2024,112,0.74,19.33,9.68,0.05,3.39
2024,113,0.83,19.41,10.14,0.02,1.96
2024,114,0.92,19.06,10.92,0.01,3.03
2024,115,0.66,19.63,10.29,0.0,3.64
2024,116,0.81,18.08,7.91,0.0,3.56
2024,117,0.84,18.21,8.98,0.0,3.52
2024,118,0.75,18.77,9.8,0.11,2.29
2024,119,0.85,19.94,11.17,0.05,2.7
2024,120,0.8,20.71,11.39,0.09,2.16
2024,121,0.34,18.99,10.86,3.3,5.43
2024,122,0.55,18.43,9.45,0.99,4.63
2024,123,0.64,18.52,9.21,0.55,3.36
2024,124,0.52,17.8,9.61,2.89,2.49
2024,125,0.61,18.43,9.74,4.17,2.37
2024,126,0.49,18.07,10.45,12.59,3.24
2024,127,0.51,19.51,9.79,3.35,5.48
2024,128,0.59,19.38,9.36,1.5,3.0
2024,129,0.58,18.84,10.15,8.32,2.38
2024,130,0.61,19.23,9.71,3.68,1.76
2024,131,0.47,19.06,10.41,1.45,2.53
2024,132,0.28,18.14,10.96,14.78,2.96
2024,133,0.5,17.52,10.59,14.69,2.41
2024,134,0.52,18.91,11.39,2.38,4.15
2024,135,0.73,17.76,9.9,0.03,2.63
2024,136,0.67,18.63,9.55,0.04,2.06
2024,137,0.59,18.49,10.0,0.04,1.43
2024,138,0.67,18.2,9.86,0.11,1.82
2024,139,0.4,15.48,8.37,2.96,6.86
2024,140,0.63,14.72,7.01,0.11,3.96
2024,141,0.48,15.99,8.42,0.11,4.68
2024,142,0.5,17.26,9.18,0.07,4.54
2024,143,0.66,16.1,8.07,0.01,3.22
2024,144,0.64,16.75,8.31,0.01,1.91
2024,145,0.61,17.3,9.19,0.02,2.31
2024,146,0.45,17.59,9.59,0.04,1.87
2024,147,0.63,17.3,9.13,0.02,1.55
2024,148,0.63,16.68,8.07,0.01,2.51
2024,149,0.63,16.52,7.57,0.01,1.75
2024,150,0.63,16.28,8.71,0.02,2.49
2024,151,0.62,17.13,9.7,0.0,3.03
2024,152,0.19,18.45,10.83,1.22,3.85
2024,153,0.17,16.58,10.08,19.97,4.57
2024,154,0.37,15.39,8.71,3.62,5.62
2024,155,0.56,14.6,6.74,0.0,3.57
2024,156,0.54,14.43,6.83,0.0,2.44
2024,157,0.53,15.66,8.95,5.03,2.48
2024,158,0.42,16.29,10.2,25.43,1.77
2024,159,0.42,16.3,10.04,12.24,2.41
2024,160,0.45,16.23,9.46,0.34,3.58
2024,161,0.54,15.7,7.86,0.01,2.87
2024,162,0.5,14.66,7.59,0.01,3.66
2024,163,0.4,14.62,7.29,0.45,3.27
2024,164,0.5,15.3,7.29,0.11,5.06
2024,165,0.46,13.8,7.46,0.08,3.94
2024,166,0.3,14.84,8.71,4.89,3.02
2024,167,0.41,14.42,7.97,4.58,4.1
