
YEAR,DOY,ALLSKY_SFC_UVA,T2M,QV2M,PRECTOTCORR,WS2M
2024,1,0.21,-0.42,2.84,0.44,3.9
2024,2,0.25,0.9,3.1,0.26,6.8
2024,3,0.18,1.76,3.61,0.46,5.59
2024,4,0.42,-1.65,2.31,0.76,5.51
2024,5,0.21,-0.37,2.71,1.32,5.54
2024,6,0.24,0.96,3.15,1.26,5.38
2024,7,0.26,0.3,3.21,1.18,3.31
2024,8,0.22,2.0,3.48,1.62,3.29
2024,9,0.1,3.02,4.26,12.49,6.71
2024,10,0.22,2.07,3.71,2.7,9.38
2024,11,0.13,1.31,3.63,1.46,4.26
2024,12,0.24,1.47,3.58,5.45,7.01
2024,13,0.12,0.87,3.37,3.31,10.97
2024,14,0.33,-5.53,2.07,1.4,11.41
2024,15,0.37,-8.03,1.73,0.08,7.66
2024,16,0.29,-6.98,1.8,0.86,6.18
2024,17,0.27,-7.83,1.72,1.53,9.43
2024,18,0.29,-4.27,2.14,0.93,5.71
2024,19,0.32,-5.94,1.9,2.58,5.26
2024,20,0.33,-7.53,1.82,0.7,6.09
2024,21,0.34,-4.62,2.17,1.52,5.77
2024,22,0.2,-1.16,2.87,1.4,7.67
2024,23,0.24,0.5,3.51,3.48,3.28
2024,24,0.2,2.59,4.37,5.76,1.6
2024,25,0.28,2.31,4.13,1.44,3.75
2024,26,0.32,2.19,4.0,14.15,5.45
2024,27,0.33,2.6,4.08,1.68,1.43
2024,28,0.22,1.77,3.96,2.29,5.25
2024,29,0.45,1.07,3.23,1.63,3.29
2024,30,0.25,1.91,3.64,0.09,3.85
2024,31,0.35,2.34,4.0,0.63,3.56
2024,32,0.26,2.81,4.17,0.66,5.39
2024,33,0.5,1.05,3.28,0.35,4.52
2024,34,0.48,0.73,2.89,0.02,1.32
2024,35,0.51,0.81,3.34,0.18,1.98
2024,36,0.33,1.23,3.27,0.42,3.32
2024,37,0.59,1.65,2.71,0.01,2.04
2024,38,0.48,2.17,3.36,0.09,1.7
2024,39,0.49,3.21,4.26,0.28,2.66
2024,40,0.54,6.4,5.4,0.75,6.38
2024,41,0.6,4.45,4.46,0.35,4.42
2024,42,0.34,1.83,3.33,1.84,3.32
2024,43,0.43,1.09,2.92,1.18,2.21
2024,44,0.41,1.0,2.86,0.09,5.08
2024,45,0.66,-2.09,2.12,0.04,4.91
2024,46,0.25,-0.16,2.82,1.98,5.99
2024,47,0.45,-1.0,2.54,0.51,6.89
2024,48,0.48,-3.4,2.11,0.38,6.5
2024,49,0.44,-2.01,2.59,1.0,10.59
2024,50,0.56,-2.97,1.93,0.22,2.91
2024,51,0.64,0.41,2.69,0.24,3.33
2024,52,0.57,3.51,4.15,0.24,4.45
2024,53,0.46,5.37,4.82,0.08,3.23
2024,54,0.63,2.21,3.64,0.28,5.41
2024,55,0.79,-4.57,1.75,0.03,5.04
2024,56,0.69,1.24,3.05,0.58,7.12
2024,57,0.76,3.24,3.77,0.42,2.84
2024,58,0.36,6.18,5.58,3.87,4.22
2024,59,0.45,4.0,4.67,5.7,9.37
2024,60,0.65,-2.85,1.93,0.56,8.07
2024,61,0.81,2.79,3.38,0.74,4.22
2024,62,0.28,4.91,4.75,0.78,1.88
2024,63,0.45,5.01,5.04,0.68,2.69
2024,64,0.82,6.64,5.54,0.26,2.63
2024,65,0.68,9.16,6.2,1.23,3.89
2024,66,0.36,5.26,4.76,1.38,4.32
2024,67,0.93,4.45,3.86,0.21,4.5
2024,68,0.87,5.53,4.7,0.46,4.46
2024,69,0.33,6.25,5.24,7.04,6.57
2024,70,0.51,0.81,3.19,1.61,7.76
2024,71,0.85,2.91,3.26,0.61,6.76
2024,72,0.87,5.78,4.72,0.16,3.31
2024,73,0.93,8.57,5.41,0.1,3.82
2024,74,0.44,5.19,4.96,7.26,3.11
2024,75,0.69,5.12,4.6,1.94,3.71
2024,76,0.67,4.23,4.27,1.61,4.94
2024,77,0.81,3.28,3.65,1.61,5.79
2024,78,0.61,1.04,3.01,0.08,6.62
2024,79,0.53,1.24,3.23,0.85,7.38
2024,80,0.57,-0.03,2.54,1.0,8.12
2024,81,0.57,-2.25,2.1,0.37,6.08
2024,82,0.45,-1.86,2.44,1.99,4.13
2024,83,1.01,-0.45,2.65,1.55,5.8
2024,84,1.1,-0.37,2.1,0.02,3.91
2024,85,1.03,4.37,3.8,0.16,4.58
2024,86,0.35,6.57,4.83,2.47,3.95
2024,87,0.72,5.77,4.57,1.14,5.18
2024,88,1.13,3.4,3.36,0.59,3.78
2024,89,0.8,2.34,3.35,0.24,4.76
2024,90,0.95,2.89,3.59,0.22,2.21
2024,91,0.98,4.33,4.0,0.3,2.39
2024,92,1.06,5.37,3.99,0.01,2.93
2024,93,0.38,4.88,4.64,1.93,8.49
2024,94,0.21,4.64,5.04,16.52,4.19
2024,95,0.48,2.91,4.22,4.62,4.97
2024,96,0.8,3.1,3.89,0.62,5.46
2024,97,1.24,5.8,4.26,0.44,5.04
2024,98,1.32,6.99,4.15,0.08,2.27
2024,99,0.76,8.07,4.69,0.93,1.75
2024,100,1.21,10.83,6.45,0.32,2.38
2024,101,1.05,10.56,5.53,0.01,2.4
2024,102,0.41,9.09,6.84,13.21,3.79
2024,103,0.55,7.26,5.89,11.57,7.56
2024,104,0.91,6.48,4.35,3.28,8.09
2024,105,1.07,8.99,5.88,2.53,3.0
2024,106,1.25,8.35,5.06,0.4,2.9
2024,107,1.3,9.23,4.43,0.0,2.2
2024,108,0.28,6.71,5.32,0.93,7.69
2024,109,0.56,8.7,6.21,5.15,2.16
2024,110,0.77,8.34,5.72,1.29,3.87
2024,111,0.84,5.67,4.05,0.63,4.87
2024,112,0.99,5.45,3.92,0.07,4.44
2024,113,1.44,6.54,3.98,0.01,3.3
2024,114,0.69,8.75,5.59,0.95,6.15
2024,115,0.93,6.68,4.26,0.84,4.29
2024,116,1.47,4.58,3.23,1.89,2.88
2024,117,1.44,6.23,3.82,0.58,4.58
2024,118,0.54,9.79,6.94,3.14,4.06
2024,119,0.57,12.93,8.77,2.95,3.7
2024,120,0.87,8.61,6.07,4.13,3.4
2024,121,0.81,10.19,6.75,2.63,1.78
2024,122,1.25,10.58,6.55,0.29,2.3
2024,123,1.54,12.14,6.31,0.06,2.0
2024,124,0.79,10.31,6.82,1.72,2.77
2024,125,1.14,12.05,7.77,0.11,3.07
2024,126,0.53,12.78,8.11,2.48,2.31
2024,127,1.33,12.02,5.46,0.83,2.58
2024,128,1.44,11.01,5.89,0.97,2.81
2024,129,1.19,11.88,7.12,5.07,4.56
2024,130,1.17,11.05,5.93,0.04,2.05
