
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,0.05,2.05,1.93,10.91,4.39
2024,2,0.06,2.49,2.71,2.45,4.49
2024,3,0.04,3.41,3.53,10.15,4.89
2024,4,0.07,4.38,3.96,5.7,5.2
2024,5,0.1,-2.81,3.09,1.54,2.48
2024,6,0.09,-2.61,4.38,2.15,2.62
2024,7,0.09,-7.19,5.21,0.08,1.61
2024,8,0.16,-10.98,3.91,0.0,1.23
2024,9,0.17,-10.74,1.77,0.0,1.36
2024,10,0.11,-7.86,3.23,0.04,1.76
2024,11,0.13,-3.59,4.81,1.09,2.67
2024,12,0.13,-5.75,4.04,0.7,2.2
2024,13,0.07,-1.51,5.08,1.82,3.18
2024,14,0.08,-0.35,5.43,2.07,3.6
2024,15,0.07,-0.57,6.07,1.92,3.39
2024,16,0.17,-5.69,3.66,0.28,2.03
2024,17,0.18,-4.2,4.07,1.94,2.59
2024,18,0.13,-1.61,2.83,3.5,3.29
2024,19,0.14,-4.19,3.62,0.21,2.56
2024,20,0.09,-1.61,6.39,2.4,3.12
2024,21,0.14,-2.18,2.72,0.15,3.01
2024,22,0.15,-0.8,5.79,0.55,3.06
2024,23,0.15,1.52,4.77,0.66,4.08
2024,24,0.09,2.43,6.18,12.01,4.46
2024,25,0.12,2.59,7.13,4.14,4.36
2024,26,0.13,-0.12,3.33,5.04,3.44
2024,27,0.1,1.41,5.21,2.21,4.0
2024,28,0.12,0.68,2.0,0.37,3.89
2024,29,0.24,0.41,3.14,0.09,3.59
2024,30,0.25,1.13,3.67,0.0,3.59
2024,31,0.13,1.89,3.86,0.11,4.12
2024,32,0.14,1.73,5.36,0.99,4.01
2024,33,0.18,1.88,4.97,1.4,4.11
2024,34,0.14,6.14,7.51,1.26,5.64
2024,35,0.13,4.56,6.97,1.85,4.76
2024,36,0.13,4.62,6.43,5.07,5.0
2024,37,0.08,6.7,7.82,4.92,5.62
2024,38,0.15,4.37,7.04,5.79,4.86
2024,39,0.27,-0.64,2.17,0.89,3.32
2024,40,0.14,-0.53,3.73,6.24,3.5
2024,41,0.15,2.29,2.53,0.88,4.49
2024,42,0.17,5.51,3.23,3.13,5.72
2024,43,0.12,6.44,3.33,1.68,5.88
2024,44,0.18,4.58,3.9,0.36,4.77
2024,45,0.34,3.49,2.13,0.21,4.09
2024,46,0.17,4.54,3.15,0.39,4.87
2024,47,0.39,6.08,3.86,0.03,5.22
2024,48,0.19,6.36,4.22,5.49,5.55
2024,49,0.38,1.35,2.08,0.04,3.32
2024,50,0.28,1.22,4.42,4.16,3.99
2024,51,0.23,5.3,4.43,1.82,5.12
2024,52,0.2,5.1,3.94,1.65,5.09
2024,53,0.27,5.56,4.3,0.76,5.16
2024,54,0.2,6.83,2.83,6.91,5.89
2024,55,0.25,6.08,3.57,1.1,5.4
2024,56,0.46,6.37,2.5,0.19,5.5
2024,57,0.45,8.0,2.33,0.88,6.26
2024,58,0.44,9.56,2.09,0.46,7.12
2024,59,0.2,9.16,2.24,4.63,6.99
2024,60,0.27,7.24,2.69,0.16,5.65
2024,61,0.39,7.8,4.5,0.71,6.1
2024,62,0.28,7.24,3.65,0.19,6.02
