
YEAR,DOY,ALLSKY_SFC_UVA,T2M,WS2M,PRECTOTCORR,QV2M
2024,1,0.17,2.94,2.64,0.28,4.29
2024,2,0.47,1.31,2.93,0.0,3.37
2024,3,0.46,1.84,1.51,0.0,3.49
2024,4,0.28,1.61,3.46,0.36,3.4
2024,5,0.5,-1.31,1.82,0.0,2.59
2024,6,0.12,1.07,2.91,25.41,3.99
2024,7,0.42,1.71,3.65,0.33,3.83
2024,8,0.42,1.95,2.04,0.01,3.46
2024,9,0.09,7.26,6.17,58.48,6.46
2024,10,0.33,5.78,4.44,0.63,4.56
2024,11,0.53,3.15,2.4,0.01,3.95
2024,12,0.42,4.46,3.83,11.87,4.74
2024,13,0.47,4.34,4.75,3.15,4.33
2024,14,0.43,-0.79,4.13,0.01,2.68
2024,15,0.25,-2.39,1.41,4.82,2.53
2024,16,0.2,-3.12,4.08,1.45,2.55
2024,17,0.53,-6.93,3.69,0.0,1.58
2024,18,0.3,-3.17,1.29,0.0,2.41
2024,19,0.22,-2.22,3.33,4.55,2.92
2024,20,0.45,-6.27,5.36,0.33,1.76
2024,21,0.53,-5.64,4.41,0.06,1.95
2024,22,0.5,-3.75,2.06,0.0,2.37
2024,23,0.38,-0.41,1.31,0.05,3.36
2024,24,0.26,3.32,1.41,0.64,4.83
2024,25,0.26,9.47,1.7,2.47,7.58
2024,26,0.55,14.02,2.54,0.33,8.96
2024,27,0.43,8.24,2.06,11.83,5.78
2024,28,0.28,4.91,3.7,25.05,5.02
2024,29,0.56,3.6,4.76,0.21,3.99
2024,30,0.37,1.82,2.15,0.01,3.71
2024,31,0.29,3.47,1.25,0.01,4.24
2024,32,0.63,4.1,2.01,0.26,4.45
2024,33,0.37,5.5,3.02,0.16,4.84
2024,34,0.68,2.68,2.43,0.0,3.58
2024,35,0.68,3.65,1.42,0.0,3.34
2024,36,0.67,2.45,2.24,0.0,3.5
2024,37,0.69,0.53,2.66,0.0,3.08
2024,38,0.68,2.49,1.57,0.0,3.41
2024,39,0.6,3.7,2.05,0.0,4.08
2024,40,0.67,7.57,2.05,0.0,5.75
2024,41,0.31,10.1,1.71,0.01,7.54
2024,42,0.24,8.67,1.7,2.67,6.31
2024,43,0.22,7.21,1.47,3.42,5.94
2024,44,0.59,3.56,5.36,21.6,4.21
2024,45,0.78,0.76,3.38,0.01,2.99
2024,46,0.67,2.06,3.02,0.0,3.59
